osmid,x,y,ref,highway
211585924,-79.441105,42.397709,,
211585927,-79.440619,42.397729,,
211604858,-79.455416,42.382949,,
211611636,-79.434387,42.390731,,
211611639,-79.4341,42.390409,,
211624285,-79.436897,42.390195,,
211624288,-79.436716,42.39001,,
211628995,-79.454882,42.382027,,
211634307,-79.450816,42.395314,,
211634319,-79.449303,42.395853,,
211634390,-79.441042,42.386194,,
211634396,-79.441032,42.388769,,traffic_signals
211639322,-79.442879,42.386176,,
211639331,-79.443322,42.388048,,
211639447,-79.44342,42.401642,,
211658488,-79.436249,42.390156,,
211659151,-79.455507,42.383922,,
211659170,-79.454631,42.392172,,
211659983,-79.455617,42.382235,,
211659988,-79.455523,42.38141,,
211660651,-79.454048,42.382107,,
211660756,-79.454422,42.381071,,
211667261,-79.4392222,42.3892981,,
211667960,-79.4378874,42.3865421,,
211667963,-79.4363364,42.3865318,,
211686441,-79.443874,42.38786,,
211686446,-79.445788,42.389919,,
211686448,-79.446442,42.390614,,
211686451,-79.44732,42.391556,,
211686457,-79.448607,42.392939,,
211686460,-79.449319,42.393713,,
211686465,-79.450117,42.394566,,
211686479,-79.452458,42.397052,,
211695280,-79.441104,42.393694,,
211696769,-79.441074,42.390299,,
211696771,-79.441079,42.391937,,
211696773,-79.441098,42.393013,,
211696806,-79.441206,42.400223,,
211697451,-79.441569,42.401034,,
211698836,-79.442885,42.391932,,
211718595,-79.442493,42.388323,,
211726709,-79.444322,42.386058,,
211730742,-79.443831,42.391118,,
211730744,-79.442865,42.391107,,
211746954,-79.442855,42.39029,,
211746957,-79.44385,42.390291,,
211749392,-79.453525,42.381132,,
211756141,-79.452897,42.382455,,
211792016,-79.4361973,42.3851864,,
211793235,-79.455211,42.382077,,
211793238,-79.454765,42.381058,,
211797833,-79.453232,42.38235,,
211802760,-79.452786,42.381455,,
3756798179,-79.438942,42.3869422,,
3756798182,-79.4363591,42.3870328,,
