u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
221348687,221377217,0,False,tertiary,East Main Street,48.699,,,,,,,,,,,59017411,CR 67
221348687,221412075,0,False,tertiary,East Main Street,33.462,,,,,,,,,,,59017411,CR 67
221348687,221348700,0,False,secondary_link,,30.191,,,,,,,,,,,20618985,
221348700,221412075,0,False,secondary,Gilbert Street,33.087,,,,,,,,,,,20626396,NY 313
221348700,221412071,0,False,secondary,Gilbert Street,49.537,,,,,,,,,,,20626396,NY 313
221348700,221348687,0,False,secondary_link,,30.191,,,,,,,,,,,20618985,
221349340,221349344,0,False,residential,,60.161,,,,,,,,,,,20619047,
221349340,221412075,0,False,tertiary,East Main Street,276.606,,,,30 mph,,,,,,,242848724,CR 67
221349344,221349340,0,False,residential,,60.161,,,,,,,,,,,20619047,
221349344,221412071,0,False,residential,Furnace Street,357.787,,,,,,,,,,,"[20632656, 20620858]",
221351278,221351279,0,False,residential,,16.215,,,,,,,,,,,20619295,
221351278,221578557,0,False,secondary,South Park Street,149.26,,,,30 mph,,,,,,,20639747,NY 22
221351279,221351278,0,False,residential,,16.215,,,,,,,,,,,20619295,
221362360,221362383,0,False,residential,,310.552,,,,,,,,,,,20620571,
221362360,221412324,0,False,residential,North Union Street,372.799,,,,,,,,,,,20623534,
221362360,221386346,0,False,residential,North Union Street,608.661,,,,,,,,,,,20623534,
221362383,221362360,0,False,residential,,310.552,,,,,,,,,,,20620571,
221363312,221363323,0,False,residential,,102.924,,,,,,,,,,,20620682,
221363312,221475072,0,False,secondary,West Main Street,120.414,,,,30 mph,,,,,,,20632694,NY 372
221363312,221488396,0,False,secondary,West Main Street,82.177,,,,30 mph,,,,,,,20632694,NY 372
221363323,221363312,0,False,residential,,102.924,,,,,,,,,,,20620682,
221372922,221372925,0,False,residential,,56.737,,,,,,,,,,,20621956,
221372922,221409990,0,False,secondary,West Main Street,151.85,,,,30 mph,,,,,,,20632694,NY 372
221372922,221488379,0,False,secondary,West Main Street,228.697,,,,30 mph,,,,,,,20632694,NY 372
221372925,221372922,0,False,residential,,56.737,,,,,,,,,,,20621956,
221372925,221372925,0,False,residential,,61.859,,,,,,,,,,,20621956,
221372925,221372925,1,False,residential,,61.859,,,,,,,,,,,20621956,
221377217,221443974,0,False,tertiary,East Main Street,301.465,,,,,,,,,,,59017411,CR 67
221377217,221348687,0,False,tertiary,East Main Street,48.699,,,,,,,,,,,59017411,CR 67
221377217,221377222,0,False,residential,,192.829,,,,,,,,,,,20622453,
221377222,221377217,0,False,residential,,192.829,,,,,,,,,,,20622453,
221386342,221386346,0,False,residential,North Union Street,20.726,,,,,,,,,,,20623534,
221386342,221460710,0,False,secondary,North Park Street,49.841,,,,,,,,,,,20630239,NY 22
221386342,221460682,0,False,secondary,North Park Street,352.707,,,,,,,,,,,20630239,NY 22
221386346,221386342,0,False,residential,North Union Street,20.726,,,,,,,,,,,20623534,
221386346,221362360,0,False,residential,North Union Street,608.661,,,,,,,,,,,20623534,
221390365,221555087,0,False,residential,Myrtle Avenue,519.319,,,,,,,,,,,20637913,
221409259,221409276,0,False,residential,Railroad Avenue,133.417,,,,,,,,,,,20626131,
221409259,221415297,0,False,residential,Pearl Street,301.465,,,,,,,,,,,20626674,
221409259,221415231,0,False,residential,Pearl Street,560.219,,,,,,,,,,,20626674,
221409276,221409284,0,False,residential,Railroad Avenue,262.193,,,,,,,,,,,20626131,
221409276,221409259,0,False,residential,Railroad Avenue,133.417,,,,,,,,,,,20626131,
221409276,221467139,0,False,residential,Avenue A,65.04,,,,,,,,,,,20642650,
221409284,221412519,0,False,secondary,West Main Street,23.675,,,,30 mph,,,,,,,32742000,372
221409284,221409276,0,False,residential,Railroad Avenue,262.193,,,,,,,,,,,20626131,
221409284,221443960,0,False,secondary,West Main Street,99.772,,,,30 mph,,,,,,,32742000,372
221409990,221372922,0,False,secondary,West Main Street,151.85,,,,30 mph,,,,,,,20632694,NY 372
221409990,221488374,0,False,secondary,West Main Street,35.009,,,,30 mph,,,,,,,20632694,NY 372
221412023,221412031,0,False,secondary,Gilbert Street,72.077,,,,,,,,,,,20626396,NY 313
221412023,221412090,0,False,secondary,South Park Street,132.345,,,,30 mph,,,,,,,20639747,NY 22
221412023,221578550,0,False,secondary,South Park Street,206.626,,,,30 mph,,,,,,,20639747,NY 22
221412031,221412071,0,False,secondary,Gilbert Street,572.323,,,,,,,,,,,20626396,NY 313
221412031,221412023,0,False,secondary,Gilbert Street,72.077,,,,,,,,,,,20626396,NY 313
221412031,221412098,0,False,secondary,Gilbert Street,53.355,,,,,,,,,,,20626400,
221412071,221348700,0,False,secondary,Gilbert Street,49.537,,,,,,,,,,,20626396,NY 313
221412071,221412031,0,False,secondary,Gilbert Street,572.323,,,,,,,,,,,20626396,NY 313
221412071,221349344,0,False,residential,Furnace Street,357.787,,,,,,,,,,,"[20632656, 20620858]",
221412075,221348700,0,False,secondary,Gilbert Street,33.087,,,,,,,,,,,20626396,NY 313
