u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
62632177,62776768,0,False,residential,Stiles Avenue,63.007,,,,,,,,,,,8748079,
62632177,62722591,0,False,residential,Stiles Avenue,107.772,,,,,,,,,,,8748079,
62632177,62632188,0,False,residential,East Drive,182.62,,,,,,,,,,,8735223,
62632188,62705535,0,False,residential,Pleasant Street,16.907,,,,,,,,,,,8756955,
62632188,62632177,0,False,residential,East Drive,182.62,,,,,,,,,,,8735223,
62632188,62909232,0,False,residential,Pleasant Street,196.424,,,,,,,,,,,8756955,
62632608,62632727,0,False,residential,,375.198,,,,,,,,,,,8735263,
62632608,62753004,0,False,residential,Cornell Drive,700.814,,,,,,,,,,,8746601,
62632608,62753135,0,False,residential,Cornell Drive,129.057,,,,,,,,,,,8746601,
62632608,3581472096,0,False,residential,Suny Agric Colonel,304.98,,,,,,,,,,,8752780,
62632727,62632608,0,False,residential,,375.198,,,,,,,,,,,8735263,
62637417,62688075,0,False,trunk,Gouverneur Street,53.898,2,,,,,,,,,,8742316,US 11
62637417,62637423,0,False,residential,,145.789,,,,,,,,,,,8735771,
62637423,62637417,0,False,residential,,145.789,,,,,,,,,,,8735771,
62642688,62721683,0,False,residential,Buck Street,88.231,,,,,,,,,,,8744865,
62642688,62728764,0,False,residential,Clark Street,199.771,,,,,,,,,,,8754019,
62642688,62870240,0,False,residential,Clark Street,85.759,,,,,,,,,,,8754019,
62647005,62647027,0,False,residential,,749.396,,,,,,,,,,,175826815,
62647027,62786964,0,False,"['residential', 'tertiary']","['County Road 27', 'Riverside Drive']",959.791,,,,,,,,,,,"[8757384, 8744737]",
62647027,62647005,0,False,residential,,749.396,,,,,,,,,,,175826815,
62656751,3684643453,0,False,residential,Suny Agric Colonel,301.511,,,,,,,,,,,8752777,
62657135,62657135,0,False,residential,,88.033,,,,,,,,,,,8738768,
62657135,62657135,1,False,residential,,88.033,,,,,,,,,,,8738768,
62657135,62671271,0,False,residential,,55.087,,,,,,,,,,,8740306,
62671271,62657135,0,False,residential,,55.087,,,,,,,,,,,8740306,
62671271,62781692,0,False,residential,Law Lane,52.349,,,,,,,,,,,8748382,
62671271,62688079,0,False,residential,Law Lane,74.2,,,,,,,,,,,8748384,
62675735,4224210214,0,False,trunk,US route 11,976.793,1,,,,,,,,,,8748194,US 11
62685553,62685611,0,False,residential,,72.747,,,,,,,,,,,8742040,
62685611,62685553,0,False,residential,,72.747,,,,,,,,,,,8742040,
