u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
211595390,211595393,0,False,residential,,24.395,,,,,,,,,,,20042543,
211595390,211650557,0,False,residential,Park Avenue,144.192,,,,,,,,,,,20046223,
211595390,211650539,0,False,residential,Park Avenue,249.33,,,,,,,,,,,20046223,
211595393,211595390,0,False,residential,,24.395,,,,,,,,,,,20042543,
211636677,211642713,0,False,tertiary,Maple Avenue,129.642,,,,,,,,,,,20050764,
211636677,211740844,0,False,tertiary,Maple Avenue,132.814,,,,,,,,,,,20050764,
211636677,211642691,0,False,residential,"['Lakeview Avenue', 'Pettit Place']",449.731,,,,,,,,,,,"[20045888, 20045641]",
211639009,211648602,0,False,tertiary,Frisbee Road,1616.871,,,,,,,,,,,20047622,
211642691,211642757,0,False,residential,Lakeview Avenue,38.791,,,,,,,,,,,20045890,
211642691,211642713,0,False,residential,Lakeview Avenue,289.546,,,,,,,,,,,20045888,
211642691,211636677,0,False,residential,"['Lakeview Avenue', 'Pettit Place']",449.731,,,,,,,,,,,"[20045888, 20045641]",
211642713,211636677,0,False,tertiary,Maple Avenue,129.642,,,,,,,,,,,20050764,
211642713,211642691,0,False,residential,Lakeview Avenue,289.546,,,,,,,,,,,20045888,
211642713,211661898,0,False,tertiary,Maple Avenue,359.54,,,,,,,,,,,20050764,
211642757,211642691,0,False,residential,Lakeview Avenue,38.791,,,,,,,,,,,20045890,
211648599,211648602,0,False,tertiary,Putnam Road,140.558,,,,,,,,,,,20046088,
211648599,211740831,0,False,residential,Commercial Street,236.849,,,,,,,,,,,20052295,
211648602,211648599,0,False,tertiary,Putnam Road,140.558,,,,,,,,,,,20046088,
211648602,211639009,0,False,tertiary,Frisbee Road,1616.871,,,,,,,,,,,20047622,
211648602,211740831,0,False,tertiary,Maple Avenue,82.777,,,,,,,,,,,20050764,
211650539,211595390,0,False,residential,Park Avenue,249.33,,,,,,,,,,,20046223,
211650539,211712674,0,False,tertiary,Maple Avenue,146.328,,,,,,,,,,,20050764,
211650539,211661898,0,False,tertiary,Maple Avenue,117.562,,,,,,,,,,,20050764,
211650557,211595390,0,False,residential,Park Avenue,144.192,,,,,,,,,,,20046223,
211650557,211778865,0,False,tertiary,Dale Drive,346.674,,,,,,,,,,,20053352,
211650557,211738582,0,False,tertiary,Dale Drive,178.738,,,,,,,,,,,20053352,
211657495,211657521,0,False,residential,Leroy Place,210.053,,,,,,,,,,,20046629,
211657495,211774716,0,False,residential,Pennington Road,113.764,,,,,,,,,,,20053119,
211657521,211778877,0,False,tertiary,Dale Drive,56.897,,,,,,,,,,,20053352,
211657521,211657495,0,False,residential,Leroy Place,210.053,,,,,,,,,,,20046629,
211657521,211774716,0,False,tertiary,Dale Drive,57.54,,,,,,,,,,,20053352,
211661861,211661898,0,False,residential,Mill Street,444.658,,,,,,,,,,,20046868,
211661861,211712674,0,False,primary,South Main Street,335.271,,,,,,,,,,,20049353,NY 60
211661898,211661861,0,False,residential,Mill Street,444.658,,,,,,,,,,,20046868,
211661898,211650539,0,False,tertiary,Maple Avenue,117.562,,,,,,,,,,,20050764,
211661898,211642713,0,False,tertiary,Maple Avenue,359.54,,,,,,,,,,,20050764,
211712674,211661861,0,False,primary,South Main Street,335.271,,,,,,,,,,,20049353,NY 60
211712674,211738582,0,False,primary,North Main Street,286.485,,,,,,,,,,,20050624,NY 60
211712674,211650539,0,False,tertiary,Maple Avenue,146.328,,,,,,,,,,,20050764,
211727891,211738582,0,False,primary,North Main Street,188.685,,,,,,,,,,,20050624,NY 60
211737706,211740842,0,False,residential,Burnham Place,278.708,,,,,,,,,,,20052633,
211738582,211727891,0,False,primary,North Main Street,188.685,,,,,,,,,,,20050624,NY 60
211738582,211712674,0,False,primary,North Main Street,286.485,,,,,,,,,,,20050624,NY 60
211738582,211650557,0,False,tertiary,Dale Drive,178.738,,,,,,,,,,,20053352,
211740831,211740842,0,False,tertiary,Maple Avenue,357.512,,,,,,,,,,,20050764,
211740831,211648602,0,False,tertiary,Maple Avenue,82.777,,,,,,,,,,,20050764,
211740831,211648599,0,False,residential,Commercial Street,236.849,,,,,,,,,,,20052295,
211740842,211740844,0,False,tertiary,Maple Avenue,156.125,,,,,,,,,,,20050764,
211740842,211740831,0,False,tertiary,Maple Avenue,357.512,,,,,,,,,,,20050764,
211740842,211737706,0,False,residential,Burnham Place,278.708,,,,,,,,,,,20052633,
211740844,211636677,0,False,tertiary,Maple Avenue,132.814,,,,,,,,,,,20050764,
211740844,211740842,0,False,tertiary,Maple Avenue,156.125,,,,,,,,,,,20050764,
211740844,211758199,0,False,residential,Miller Place,303.484,,,,,,,,,,,20051816,
211758199,211740844,0,False,residential,Miller Place,303.484,,,,,,,,,,,20051816,
211774716,211657495,0,False,residential,Pennington Road,113.764,,,,,,,,,,,20053119,
211774716,211657521,0,False,tertiary,Dale Drive,57.54,,,,,,,,,,,20053352,
211778865,211778877,0,False,tertiary,Dale Drive,91.873,,,,,,,,,,,20053352,
211778865,211778877,1,False,residential,North Shore Park,553.191,,,,,,,,,,,20054469,
211778865,211650557,0,False,tertiary,Dale Drive,346.674,,,,,,,,,,,20053352,
211778877,211657521,0,False,tertiary,Dale Drive,56.897,,,,,,,,,,,20053352,
211778877,211778865,0,False,tertiary,Dale Drive,91.873,,,,,,,,,,,20053352,
211778877,211778865,1,False,residential,North Shore Park,553.191,,,,,,,,,,,20054469,
