osmid,x,y,ref,highway
212900241,-75.246736,42.965982,,
212900255,-75.245751,42.965648,,
212947598,-75.250761,42.98004,,
212947604,-75.250996,42.979995,,
212947615,-75.252664,42.980049,,
212947620,-75.253112,42.980056,,
212969785,-75.248733,42.979829,,
213060781,-75.24876,42.974204,,
213060782,-75.248594,42.973054,,
213070426,-75.252151,42.978263,,
213075926,-75.248767,42.972323,,
213075940,-75.248391,42.9739,,
213075944,-75.248366,42.974452,,
213075979,-75.248951,42.97786,,
213075996,-75.25226,42.982007,,
213100066,-75.248542,42.968446,,
213124252,-75.249053,42.970831,,
213124266,-75.248175,42.97178,,
213152819,-75.247205,42.974409,,
213155859,-75.249728,42.977613,,
1934614435,-75.2492834,42.978222,,
