u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
41248399,41542725,0,False,residential,"['Daniel Drive', 'Hanifin Avenue']",396.725,,,,25 mph,,,,,,,"[5563826, 5592557]",
41248399,1936242724,0,False,residential,Loralee Drive,304.567,,,,25 mph,,,,,,,5580409,
41248399,41391936,0,False,residential,Loralee Drive,141.779,,,,25 mph,,,,,,,5580409,
41249082,41259375,0,False,residential,"['Whitestone Road', 'Tallyho Drive']",786.275,,,,20 mph,,,,,,,"[5577872, 5563914, 5570727]",
41249925,41283767,0,False,primary,Central Avenue,248.626,4,,,40 mph,,,,,,,142660004,NY 5
41249925,2729276182,0,True,motorway_link,,205.786,,,,25 mph,,,,,,,5564016,
41252243,41252341,0,False,primary,Central Avenue,251.957,4,,,40 mph,,,,,,,142660003,NY 5
41252243,2551014973,0,True,motorway_link,,566.229,,,,25 mph,,,,,,,5564262,
41252243,41412920,0,False,residential,Tanglewood Road,128.303,,,,25 mph,,,,,,,5580009,
41252243,41261033,0,False,primary,Central Avenue,95.534,4,,,40 mph,,,,,,,142660006,NY 5
41252246,41252341,0,True,motorway_link,,464.82,,,,25 mph,,,,,,,5564264,
41252246,2551014973,0,True,motorway,Adirondack Northway,432.169,3,,,55 mph,,,,,,,34119549,I 87
41252341,41283767,0,False,primary,Central Avenue,57.078,6,,,40 mph,,,,,,,138100325,NY 5
41252341,41252243,0,False,primary,Central Avenue,251.957,4,,,40 mph,,,,,,,142660003,NY 5
41252341,2428687367,0,True,motorway_link,,649.908,,,,25 mph,,,,,,,5567888,
41259370,41259375,0,False,unclassified,,155.306,,,,,,,,,,,5565047,
41259375,41259370,0,False,unclassified,,155.306,,,,,,,,,,,5565047,
41259375,41249082,0,False,residential,"['Whitestone Road', 'Tallyho Drive']",786.275,,,,20 mph,,,,,,,"[5577872, 5563914, 5570727]",
41259375,41386664,0,False,tertiary,Lincoln Avenue,95.071,,,,25 mph,,,,,,,116240515,
41261033,41498482,0,False,primary,Central Avenue,44.544,4,,,40 mph,,,,,,,142660005,NY 5
41261033,41252243,0,False,primary,Central Avenue,95.534,4,,,40 mph,,,,,,,142660006,NY 5
41261082,41261033,0,True,motorway_link,,798.504,,,,,,,,,,,5565208,
41261082,2428687367,0,True,motorway,Adirondack Northway,559.277,3,,,55 mph,,,,,,,34119575,I 87
41277127,2551014957,0,True,motorway_link,,696.508,"['2', '4']",,,30 mph,,,,,,,"[5567077, 98796735]",
41277127,41287530,0,True,motorway,Adirondack Northway,629.42,3,,,55 mph,,,,,,,98245480,I 87
41283767,41252341,0,False,primary,Central Avenue,57.078,6,,,40 mph,,,,,,,138100325,NY 5
41283767,41249925,0,False,primary,Central Avenue,248.626,4,,,40 mph,,,,,,,142660004,NY 5
41283767,41287530,0,True,motorway_link,,673.95,,,,25 mph,,,,,,,5568429,
41287530,41485625,0,True,motorway,Adirondack Northway,113.869,3,,,55 mph,,,yes,,,,"[98245480, 34119552]",I 87
41290819,41290843,0,False,residential,Lois Court,460.148,,,,25 mph,,,,,,,5568834,
41290819,41320081,0,False,residential,"['South Cottonwood Place', 'Gert Lane']",77.886,,,,25 mph,,,,,,,"[5571961, 5590733]",
41290819,41297417,0,False,residential,South Cottonwood Place,98.921,,,,25 mph,,,,,,,5590733,
41290843,41290819,0,False,residential,Lois Court,460.148,,,,25 mph,,,,,,,5568834,
41292455,41476652,0,False,primary,Central Avenue,80.605,4,,,40 mph,,,,,,,557500598,NY 5
41292455,41498509,0,False,primary,Central Avenue,78.696,4,,,40 mph,,,,,,,557500598,NY 5
41292455,41292465,0,False,residential,Willow Avenue,186.298,,,,25 mph,,,,,,,5569019,
41292465,41292455,0,False,residential,Willow Avenue,186.298,,,,25 mph,,,,,,,5569019,
41292718,41498514,0,False,primary,Central Avenue,341.226,4,,,40 mph,,,,,,,"[543060293, 557500598]",NY 5
41297394,41297399,0,False,tertiary,Locust Park,284.593,,,,25 mph,,,,,,,5569529,
41297394,41306173,0,False,residential,Jupiter Lane,269.795,,,,25 mph,,,,,,,5580102,
41297394,41324775,0,False,primary,Central Avenue,190.015,4,,,40 mph,,,,,,,557500598,NY 5
41297394,41380653,0,False,primary,Central Avenue,296.163,4,,,40 mph,,,,,,,"[557500598, 142659999]",NY 5
41297399,41297404,0,False,tertiary,Locust Park,14.16,,,,25 mph,,,,,,,5569529,
41297399,41410424,0,False,residential,Thunder Road,118.006,,,,25 mph,,,,,,,5579785,
41297399,41297394,0,False,tertiary,Locust Park,284.593,,,,25 mph,,,,,,,5569529,
41297404,41297399,0,False,tertiary,Locust Park,14.16,,,,25 mph,,,,,,,5569529,
41297404,41377147,0,False,residential,Winston Place,106.979,,,,25 mph,,,,,,,5584684,
41297404,41297417,0,False,tertiary,Locust Park,288.741,,,,25 mph,,,,,,,5569529,
41297417,41377152,0,False,residential,Cottonwood Place,107.319,,,,25 mph,,,,,,,5583750,
41297417,41297423,0,False,tertiary,Locust Park,168.852,,,,25 mph,,,,,,,5569529,
41297417,41297404,0,False,tertiary,Locust Park,288.741,,,,25 mph,,,,,,,5569529,
41297417,41290819,0,False,residential,South Cottonwood Place,98.921,,,,25 mph,,,,,,,5590733,
41297423,41297432,0,False,tertiary,Locust Park,133.693,,,,25 mph,,,,,,,5569529,
41297423,41297417,0,False,tertiary,Locust Park,168.852,,,,25 mph,,,,,,,5569529,
41297423,41528579,0,False,residential,Stirrup Drive,143.815,,,,25 mph,,,,,,,5590958,
41297432,41297462,0,False,tertiary,Locust Park,261.639,,,,25 mph,,,,,,,5569529,
41297432,41297462,1,False,residential,Colt Road,223.772,,,,25 mph,,,,,,,5590748,
41297432,41297423,0,False,tertiary,Locust Park,133.693,,,,25 mph,,,,,,,5569529,
41297462,41297465,0,False,tertiary,Locust Park,63.292,,,,25 mph,,,,,,,5569529,
41297462,41297432,0,False,tertiary,Locust Park,261.639,,,,25 mph,,,,,,,5569529,
41297462,41297432,1,False,residential,Colt Road,223.772,,,,25 mph,,,,,,,5590748,
41297465,41297462,0,False,tertiary,Locust Park,63.292,,,,25 mph,,,,,,,5569529,
41297465,41489585,0,False,residential,Bridle Path,397.395,,,,25 mph,,,,,,,5586703,
41297465,41516049,0,False,tertiary,Hunting Road,68.659,,,,25 mph,,,,,,,5589743,
41297465,41517086,0,False,tertiary,Hunting Road,221.446,,,,25 mph,,,,,,,5589743,
41304075,41304077,0,False,residential,Maple Drive,40.889,,,,25 mph,,,,,,,5570189,
41304077,41304075,0,False,residential,Maple Drive,40.889,,,,25 mph,,,,,,,5570189,
41304077,41312172,0,False,residential,Barker Street,143.026,,,,25 mph,,,,,,,5594052,
41304077,41304092,0,False,residential,Maple Drive,192.36,,,,25 mph,,,,,,,5570189,
41304092,41304099,0,False,residential,Maple Drive,97.38,,,,25 mph,,,,,,,5570189,
41304092,41304077,0,False,residential,Maple Drive,192.36,,,,25 mph,,,,,,,5570189,
41304092,41312172,0,False,residential,Cypress Street,178.358,,,,25 mph,,,,,,,5571035,
41304099,41304109,0,False,residential,Maple Drive,94.41,,,,25 mph,,,,,,,5570189,
41304099,41304092,0,False,residential,Maple Drive,97.38,,,,25 mph,,,,,,,5570189,
41304099,41369982,0,False,residential,Cedar Drive,219.118,,,,25 mph,,,,,,,5576528,
41304109,41304110,0,False,residential,Maple Drive,91.725,,,,25 mph,,,,,,,5570189,
41304109,41304099,0,False,residential,Maple Drive,94.41,,,,25 mph,,,,,,,5570189,
41304109,41353784,0,False,residential,Walnut Street,275.194,,,,25 mph,,,,,,,5575034,
41304110,41304109,0,False,residential,Maple Drive,91.725,,,,25 mph,,,,,,,5570189,
41304110,41370372,0,False,residential,Thoroughbred Lane,110.007,,,,25 mph,,,,,,,5576589,
41304110,41370356,0,False,residential,Thoroughbred Lane,227.901,,,,25 mph,,,,,,,5576589,
41306173,41306213,0,False,unclassified,Walker Way,579.098,,,,25 mph,,,,,,,5570428,
41306173,41413848,0,False,residential,Jupiter Lane,158.559,,,,25 mph,,,,,,,5580102,
41306173,41297394,0,False,residential,Jupiter Lane,269.795,,,,25 mph,,,,,,,5580102,
41306213,41455301,0,False,unclassified,Fritz Boulevard,94.462,,,,25 mph,,,,,,,5583737,
41306213,41306221,0,False,unclassified,Walker Way,233.461,,,,25 mph,,,,,,,5570428,
41306213,41306173,0,False,unclassified,Walker Way,579.098,,,,25 mph,,,,,,,5570428,
41306221,41306223,0,False,unclassified,Walker Way,61.196,,,,25 mph,,,,,,,5570428,
41306221,41306213,0,False,unclassified,Walker Way,233.461,,,,25 mph,,,,,,,5570428,
41306221,41386664,0,False,unclassified,Petra Lane,649.653,,,,25 mph,,,,,,,5587697,
41306223,41306221,0,False,unclassified,Walker Way,61.196,,,,25 mph,,,,,,,5570428,
41306396,41324781,0,False,residential,Broderick Street,152.248,,,,25 mph,,,,,,,5572489,
41306396,41375280,0,False,residential,"['Gail Avenue', 'Wells Boulevard']",280.84,,,,25 mph,,,,,,,"[5580776, 5570443]",
41306396,41324775,0,False,residential,Broderick Street,447.086,,,,25 mph,,,,,,,5572489,
41306855,41457761,0,False,residential,Sebring Avenue,73.688,,,,25 mph,,,,,,,5589869,
41306855,41411216,0,False,residential,"['Bick Lane', 'Bradt Lane']",233.555,,,,25 mph,,,,,,,"[5579841, 5570514]",
41306855,41391946,0,False,residential,Sebring Avenue,181.591,,,,25 mph,,,,,,,5589869,
41308980,41421052,0,False,tertiary,Sand Creek Road,88.294,,,,30 mph,,,,,,,36869500,
41308980,41482274,0,False,tertiary,Sand Creek Road,140.035,,,,30 mph,,,,,,,36869500,
41308980,41308986,0,False,residential,Space Boulevard,157.282,,,,25 mph,,,,,,,5570729,
41308986,41308986,0,False,residential,"['Space Boulevard', 'Moon Drive']",625.451,,,,25 mph,,,,,,,"[5570729, 5580402]",
41308986,41308986,1,False,residential,"['Space Boulevard', 'Moon Drive']",625.451,,,,25 mph,,,,,,,"[5570729, 5580402]",
41308986,41308980,0,False,residential,Space Boulevard,157.282,,,,25 mph,,,,,,,5570729,
41308993,41324786,0,False,residential,Broderick Street,76.526,,,,25 mph,,,,,,,5572489,
41308993,41309001,0,False,residential,Stella Terrace,123.518,,,,25 mph,,,,,,,5570730,
41308993,41471131,0,False,residential,"['Broderick Road', 'Broderick Street']",134.538,,,,25 mph,,,,,,,"[5572489, 5585159]",
41309001,41309006,0,False,residential,Stella Terrace,243.677,,,,25 mph,,,,,,,5570730,
41309001,41308993,0,False,residential,Stella Terrace,123.518,,,,25 mph,,,,,,,5570730,
41309001,41416851,0,False,residential,Beatrice Lane,103.402,,,,25 mph,,,,,,,5589918,
41309006,41471134,0,False,residential,Vics Court,47.323,,,,25 mph,,,,,,,5591777,
41309006,41416861,0,False,residential,Vics Court,83.502,,,,25 mph,,,,,,,5591777,
