osmid,x,y,ref,highway
116224244,-75.432441,42.06182,,
116231412,-75.431487,42.055928,,
116282432,-75.424801,42.064049,,
116282447,-75.425552,42.066643,,
116329472,-75.425622,42.069754,,
116336501,-75.428734,42.061928,,
116348280,-75.426611,42.059289,,
116348300,-75.4270044,42.0598532,,
116348323,-75.42722,42.060313,,
116354155,-75.432585,42.057562,,
116401886,-75.426209,42.063128,,
116401949,-75.427004,42.065704,,
116436971,-75.431912,42.059282,,
116436980,-75.432723,42.059771,,
116450010,-75.434551,42.056469,,
116450133,-75.430865,42.060178,,
116450169,-75.428286,42.061045,,
116450176,-75.426899,42.061432,,
116450205,-75.424469,42.062109,,
116450213,-75.423289,42.062434,,
116454741,-75.426464,42.060528,,
116454750,-75.427572,42.062762,,
116474995,-75.423687,42.069906,,
116489931,-75.431351,42.061734,,
116509227,-75.427827,42.060149,,
116509237,-75.429153,42.062779,,
116522285,-75.429826,42.059513,,
116522342,-75.424266,42.06092,,
116522349,-75.423267,42.06101,,
116523867,-75.407332,42.066819,,
116549258,-75.432164,42.060905,,
116549262,-75.432299,42.060948,,
116549271,-75.433162,42.061222,,
116560617,-75.423694,42.056874,,
116581099,-75.431744,42.062148,,
116587073,-75.407391,42.066653,,
116587088,-75.406922,42.066557,,
116587289,-75.420769,42.061935,,
116587321,-75.420361,42.061576,,
116621969,-75.4246664,42.063339,,
116625150,-75.433487,42.061994,,
116644320,-75.423212,42.06033,,
116652533,-75.422863,42.065888,,
116672872,-75.418452,42.058509,,
116672888,-75.419255,42.058344,,
116674185,-75.423754,42.065042,,
116752398,-75.4153531,42.0596895,,
116958821,-75.41903,42.061312,,
116958847,-75.420014,42.062475,,
116969867,-75.414697,42.057346,,
116969939,-75.4154264,42.0590925,,
116969974,-75.4158505,42.0598949,,
116969995,-75.4166122,42.0606675,,
117019578,-75.4218876,42.0630004,,
117019583,-75.4217439,42.0631107,,
117019628,-75.420475,42.064036,,
117019661,-75.419411,42.064842,,
117062424,-75.409596,42.062678,,
117062751,-75.413594,42.059841,,
117121078,-75.414219,42.066903,,
117191015,-75.419238,42.060437,,
117191068,-75.41993,42.060892,,
117191149,-75.421105,42.061158,,
117223430,-75.4177577,42.0619198,,
117223468,-75.416483,42.063644,,
117223552,-75.413504,42.06783,,
117332349,-75.418524,42.057544,,
117422716,-75.413044,42.061027,,
117422876,-75.419227,42.059185,,
117486463,-75.419874,42.060082,,
117486612,-75.4172908,42.0613784,,
117532436,-75.419209,42.063047,,
117623001,-75.422034,42.066646,,
117623038,-75.4213991,42.0672119,,
117686669,-75.420549,42.062093,,
117686689,-75.4215687,42.0628801,,
117800401,-75.415153,42.068792,,
117804523,-75.417756,42.064155,,
118017421,-75.416173,42.066446,,
118017838,-75.416546,42.065918,,
5380594475,-75.4302484,42.0661032,,turning_circle
5380594483,-75.4188396,42.0656425,,
