u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
221699947,444232959,0,False,residential,,175.245,,,,,,,,,,,20650626,
221699947,222091972,0,False,residential,Glenmere Avenue,81.0,,,,,,,,,,,20701830,
221740764,444232647,0,False,secondary,Seward Highway,206.673,,,,,,,,,,,32389922,NY 17A; NY 94
221750465,221750468,0,False,residential,,69.538,,,,,,,,,,,20655609,
221750465,444232691,0,False,residential,,16.074,,,,,,,,,,,20662119,
221750465,222146818,0,False,residential,Roe Street,197.866,,,,,,,,,,,20698261,
221750465,222267962,0,False,residential,Roe Street,260.678,,,,,,,,,,,20698263,
221750468,221750465,0,False,residential,,69.538,,,,,,,,,,,20655609,
221764230,221764234,0,False,residential,,35.617,,,,,,,,,,,20656967,
221764230,221891554,0,False,secondary,Randall Street,329.906,,,,,,,,,,,20700687,NY 94
221764234,221764230,0,False,residential,,35.617,,,,,,,,,,,20656967,
221764234,221764234,0,False,residential,,55.653,,,,,,,,,,,20656967,
221764234,221764234,1,False,residential,,55.653,,,,,,,,,,,20656967,
221766904,221766907,0,False,residential,,99.99,,,,,,,,,,,20657234,
221766907,221766904,0,False,residential,,99.99,,,,,,,,,,,20657234,
221766907,222091972,0,False,residential,Glenmere Avenue,300.923,,,,,,,,,,,20701830,
221766907,222303490,0,False,residential,Glenmere Avenue,301.828,,,,,,,,,,,20701830,
221768195,222174705,0,False,residential,Roe Street,6.136,,,,,,,,,,,20698261,
221768195,221768218,0,False,residential,Roe Street,63.905,,,,,,,,,,,20698261,
221768195,221768218,1,False,residential,,170.788,,,,,,,,,,,20657372,
221768218,221768195,0,False,residential,Roe Street,63.905,,,,,,,,,,,20698261,
221768218,221768195,1,False,residential,,170.788,,,,,,,,,,,20657372,
221768218,221891668,0,False,residential,Roe Street,92.5,,,,,,,,,,,20698261,
221795602,221795619,0,False,residential,,174.738,,,,,,,,,,,20660337,
221795619,221795602,0,False,residential,,174.738,,,,,,,,,,,20660337,
221795619,221942064,0,False,residential,Farries Avenue,110.669,,,,,,,,,,,20673469,
221795619,221942052,0,False,residential,Farries Avenue,127.072,,,,,,,,,,,20673469,
221807212,221807214,0,False,residential,,89.236,,,,,,,,,,,20661752,
221807212,221961295,0,False,tertiary,Highland Avenue,74.474,,,,,,,,,,,32334502,CR 41
221807212,221961278,0,False,tertiary,Highland Avenue,303.074,,,,,,,,,,,32334502,CR 41
221807214,221807212,0,False,residential,,89.236,,,,,,,,,,,20661752,
221807214,221961295,0,False,residential,Bridge Street,109.411,,,,,,,,,,,20682416,
221807214,222088375,0,False,residential,Bridge Street,288.936,,,,,,,,,,,20682416,
221833740,222203610,0,False,residential,Rose Street,64.814,,,,,,,,,,,20704964,
221833740,221989910,0,False,residential,Rose Street,35.457,,,,,,,,,,,20704964,
221833740,221833749,0,False,residential,,73.379,,,,,,,,,,,20665242,
221833749,221833740,0,False,residential,,73.379,,,,,,,,,,,20665242,
221835057,221835099,0,False,residential,Scanlon Avenue,24.978,,,,,,,,,,,20665398,
221835057,222028355,0,False,residential,Cedar Street,101.693,,,,,,,,,,,20677987,
221835057,221835079,0,False,residential,Scanlon Avenue,152.966,,,,,,,,,,,20665396,
221835079,221835093,0,False,residential,Scanlon Avenue,324.621,,,,,,,,,,,20665396,
221835079,221835057,0,False,residential,Scanlon Avenue,152.966,,,,,,,,,,,20665396,
221835079,221977290,0,False,residential,Birch Street,119.641,,,,,,,,,,,20675651,
221835093,221835096,0,False,residential,Scanlon Avenue,71.289,,,,,,,,,,,20665396,
221835093,221835079,0,False,residential,Scanlon Avenue,324.621,,,,,,,,,,,20665396,
221835093,222240936,0,False,residential,Nathaniel Lane,102.969,,,,,,,,,,,20701007,
221835096,221835093,0,False,residential,Scanlon Avenue,71.289,,,,,,,,,,,20665396,
221835096,221966463,0,False,secondary,South Main Street,10.207,,,,,,,,,,,20674890,NY 17A; NY 94
221835096,221966459,0,False,secondary,South Main Street,67.787,,,,,,,,,,,20674890,NY 17A; NY 94
221835099,221835057,0,False,residential,Scanlon Avenue,24.978,,,,,,,,,,,20665398,
221875791,222051539,0,False,tertiary,Pumpkin Swamp Road,85.002,,,,,,,,,,,20695422,CR 25
221875791,221891668,0,False,tertiary,"['Meadow Road', 'Pumpkin Swamp Road']",379.032,,,,,,,,,,,"[20670235, 20695422]",CR 25
221877492,221961229,0,False,residential,Dussenbury Drive,85.979,,,,,,,,,,,20680166,
221877492,221877572,0,False,residential,Sturr Lane,556.28,,,,,,,,,,,20669286,
221877492,221877572,1,False,residential,Dussenbury Drive,420.491,,,,,,,,,,,20680166,
221877572,444232672,0,False,residential,Dussenbury Drive,75.788,,,,,,,,,,,20680166,
