osmid,x,y,ref,highway
212521602,-77.814178,42.797332,,
212521606,-77.8164967,42.7975857,,
212523874,-77.8224954,42.8021609,,
212529369,-77.7904162,42.7987882,,
212529390,-77.790433,42.79669,,
212529410,-77.7887468,42.7988771,,
212538813,-77.788775,42.7992144,,
212544467,-77.8066165,42.7990249,,
212544471,-77.8075588,42.7991392,,
212544475,-77.8097005,42.7993873,,
212544478,-77.8136685,42.7998317,,
212544481,-77.8152141,42.8000106,,
212544484,-77.8158296,42.8000735,,
212545730,-77.8013178,42.7906116,,
212545738,-77.7971399,42.790555,,
212546731,-77.7945395,42.8047476,,
212549812,-77.814768,42.794635,,
212549814,-77.8171133,42.7949368,,
212549837,-77.8038981,42.7890107,,
212550148,-77.8070968,42.7971287,,
212550158,-77.814038,42.7979686,,
212550555,-77.8038231,42.8006712,,
212550562,-77.8040313,42.8019447,,
212551698,-77.8172068,42.7945401,,
212551701,-77.819443,42.7948117,,
212551703,-77.8197439,42.7948585,,
212551754,-77.809553,42.792395,,
212551757,-77.8088796,42.7953165,,
212551825,-77.8276964,42.7943973,,
212552717,-77.7870104,42.7977965,,
212553741,-77.8130189,42.7927808,,
212553742,-77.8123532,42.795711,,
212553781,-77.8036285,42.7906465,,
212553830,-77.7966161,42.7968714,,
212553841,-77.7993782,42.7980677,,
212554397,-77.7971706,42.7892387,,
212554399,-77.8013661,42.7893069,,
212554405,-77.8039946,42.7889482,,
212554422,-77.8247566,42.8036031,,
212554467,-77.82352,42.808039,,
212554727,-77.8150831,42.7930627,,
212554730,-77.8144746,42.7959569,,
212555124,-77.8068505,42.8024408,,
212555404,-77.8213698,42.803855,,
212555555,-77.8205426,42.8015972,,
212555563,-77.8187729,42.7978252,,
212555684,-77.7962878,42.7951311,,traffic_signals
212555788,-77.8192594,42.7934762,,
212556654,-77.8246134,42.8028302,,
212556687,-77.8167752,42.7964218,,
212558334,-77.8008921,42.802459,,
212558340,-77.7989133,42.8036517,,
212558347,-77.7973968,42.8045801,,
212558360,-77.7962116,42.8052797,,
212558362,-77.7948863,42.8060951,,
212562865,-77.8172934,42.7936505,,
212562879,-77.8082438,42.7922594,,
212562884,-77.807686,42.7923062,,
212564143,-77.801863,42.7959308,,
212564189,-77.8021618,42.794543,,
212564269,-77.807474,42.795161,,
212564825,-77.8048293,42.7896315,,
212564837,-77.805614,42.7903278,,
212565120,-77.8004585,42.8073334,,turning_circle
212565730,-77.8216644,42.8019179,,
212565739,-77.8172089,42.8033154,,
212566274,-77.7985217,42.8010789,,
212570148,-77.8084938,42.8023668,,
212570331,-77.8000055,42.79413,,
212570333,-77.7994016,42.794286,,
212570341,-77.7970662,42.7948964,,
212570348,-77.8046984,42.792986,,
212572071,-77.79713,42.7914458,,
212572076,-77.7994225,42.7916557,,
212572219,-77.828058,42.7961382,,
212573922,-77.8169873,42.7955215,,
212573926,-77.8168124,42.7962435,,
212574550,-77.8034751,42.7986045,,
212574585,-77.8018223,42.7998168,,
212575382,-77.8002201,42.8000792,,turning_circle
212576386,-77.8095084,42.8055414,,
212576514,-77.8150675,42.8006603,,
212576527,-77.8104496,42.804696,,
212579256,-77.8181514,42.800865,,
212579259,-77.8195516,42.8013111,,
212579267,-77.8236607,42.8025206,,
212581201,-77.8056824,42.7902654,,
212586604,-77.7962535,42.8072995,,
212587501,-77.8227891,42.8042469,,
1351593484,-77.8264745,42.7933271,,
1351593508,-77.8276433,42.7942699,,
1351593515,-77.8273728,42.7936009,,
2079148064,-77.7882026,42.799831,,
2079148164,-77.78664,42.8018747,,
2079148203,-77.7947518,42.8020159,,
2079148318,-77.7967093,42.8070289,,
2079148327,-77.7962299,42.8077736,,
2079399394,-77.8053009,42.7884418,,
2079399487,-77.8075383,42.7919853,,
2079399495,-77.8080779,42.792275,,
2079399505,-77.8037909,42.7924989,,
2079399566,-77.81646,42.7977187,,
2079399613,-77.8197832,42.800414,,
2079399723,-77.8027485,42.807788,,
2079399735,-77.8067745,42.8087982,,
2611239395,-77.7995857,42.7981023,,
2611254994,-77.8178822,42.7965527,,
3074757079,-77.8172937,42.7941194,,
3074757083,-77.8175137,42.7936662,,traffic_signals
3092026119,-77.8003044,42.7943109,,
3627507521,-77.8188094,42.7957538,,
3656052516,-77.8132572,42.8066858,,
3744179077,-77.8228235,42.8041951,,
3744179082,-77.8204767,42.8046213,,
3808467148,-77.7933905,42.7958929,,
3808467149,-77.7933514,42.7956078,,
3808467152,-77.7932528,42.7950222,,
3808467155,-77.7932592,42.7946726,,
3808576807,-77.8047203,42.7931073,,
3808576808,-77.8034771,42.7934078,,
4676915001,-77.8196936,42.8013516,,
4676915002,-77.8193369,42.8020387,,
