u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
212133334,212168907,0,False,residential,Spring Street,91.832,,,,,,,,,,,20081086,
212133334,212173376,0,False,residential,North Water Street,143.73,,,,,,,,,,,20081370,
212133334,212133336,0,False,residential,Frontage Road,196.653,,,,,,,,,,,20078613,
212133334,212169691,0,False,residential,Spring Street,166.534,,,,,,,yes,,,,"[118042602, 118042636, 20081086]",
212133336,212133338,0,False,residential,Frontage Road,132.356,,,,,,,,,,,20078613,
212133336,212133334,0,False,residential,Frontage Road,196.653,,,,,,,,,,,20078613,
212133336,212168932,0,False,residential,Church Street,99.338,,,,,,,,,,,20082150,
212133338,212133336,0,False,residential,Frontage Road,132.356,,,,,,,,,,,20078613,
212133338,212175482,0,False,residential,Cayadutta Street,114.646,,,,,,,,,,,20081532,
212133338,212168925,0,False,secondary,West Fulton Street,116.391,,,,30 mph,,,,,,,214859257,NY 29A
212133338,212169928,0,False,secondary,West Fulton Street,143.997,,,,30 mph,,,yes,,,,"[214859257, 214859250, 48329841]",NY 29A
212133484,212133486,0,False,residential,Summer Street,216.373,,,,,,,,,,,20078626,
212133484,212156478,0,False,residential,North McNab Avenue,100.38,,,,,,,,,,,20080271,
212133484,212155419,0,False,residential,North McNab Avenue,117.287,,,,,,,,,,,20080271,
212133484,212169913,0,False,residential,"['North Clark Avenue', 'Summer Street']",211.087,,,,,,,,,,,"[20078626, 20081214]",
212133486,212133489,0,False,residential,Summer Street,103.903,,,,,,,,,,,20078626,
212133486,212133484,0,False,residential,Summer Street,216.373,,,,,,,,,,,20078626,
212133489,212133486,0,False,residential,Summer Street,103.903,,,,,,,,,,,20078626,
212133489,212169697,0,False,residential,Western Boulevard,91.589,,,,,,,,,,,20081369,
212133489,2243261223,0,False,residential,Western Boulevard,8.495,,,,,,,,,,,20081369,
212134243,212167780,0,False,tertiary,Kingsboro Avenue,12.393,,,,30 mph,,,,,,,20082227,
212134243,212174587,0,False,tertiary,Kingsboro Avenue,93.74,,,,30 mph,,,,,,,20082227,
212134243,2649362854,0,False,residential,"['Gregory Street', 'Meadow Street']",391.605,,,,20 mph,,,,,,,"[20078656, 20082661]",
212143120,2460228766,0,True,tertiary_link,South Kingsboro Avenue Extension,20.151,,,,,,,,,,,298049153,CR 128
212145168,212145170,0,False,residential,,26.562,,,,,,,,,,,20079367,
212145168,212149124,0,False,residential,,72.815,,,,,,,,,,,20079672,
212145168,212148000,0,False,residential,North Nassau Street,60.896,,,,,,,,,,,20080431,
212145170,212145168,0,False,residential,,26.562,,,,,,,,,,,20079367,
212145170,212149054,0,False,residential,,61.932,,,,,,,,,,,20079661,
212145170,212146230,0,False,residential,,244.886,,,,,,,,,,,20079661,
212145450,212165446,0,False,residential,East 8th Avenue,185.504,,,,,,,,,,,20080911,
212145450,212160604,0,False,residential,East 8th Avenue,30.085,,,,,,,,,,,20080911,
212145450,5341874358,0,False,residential,,64.834,,,,,,,,,,,20079385,
212146230,212148036,0,False,residential,,72.207,,,,,,,,,,,"[20079433, 20079574]",
212146230,212145170,0,False,residential,,244.886,,,,,,,,,,,20079661,
212146230,212149035,0,False,residential,,253.945,,,,,,,,,,,20079661,
