u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
221703380,221813406,0,False,tertiary,North Connector Road,8.795,,,,,,,,,,,20667739,
221703380,221858995,0,False,tertiary,North Connector Road,388.415,,,,,,,,,,,67905982,
221703875,221703879,0,False,residential,,94.032,,,,,,,,,,,20651022,
221703875,222289348,0,False,secondary,Main Street,136.079,,,,,,,,,,,193047492,NY 207
221703875,221730635,0,False,secondary,Main Street,184.457,,,,,,,,,,,193047492,NY 207
221703879,221703875,0,False,residential,,94.032,,,,,,,,,,,20651022,
221703879,221703908,0,False,residential,,56.3,,,,,,,,,,,20651023,
221703879,221703892,0,False,residential,,78.165,,,,,,,,,,,20651022,
221703892,221703908,0,False,residential,,70.953,,,,,,,,,,,20651022,
221703892,221703879,0,False,residential,,78.165,,,,,,,,,,,20651022,
221703892,221703929,0,False,residential,,117.388,,,,,,,,,,,20664625,
221703908,221703879,0,False,residential,,56.3,,,,,,,,,,,20651023,
221703908,221703929,0,False,residential,,23.362,,,,,,,,,,,20651023,
221703908,221703892,0,False,residential,,70.953,,,,,,,,,,,20651022,
221703928,221703929,0,False,residential,,15.795,,,,,,,,,,,20651023,
221703928,222289348,0,False,residential,Briarwood Apartment,120.14,,,,,,,,,,,20703771,
221703928,222325087,0,False,residential,Briarwood Apartment,97.25,,,,,,,,,,,20703771,
221703929,221703908,0,False,residential,,23.362,,,,,,,,,,,20651023,
221703929,221703928,0,False,residential,,15.795,,,,,,,,,,,20651023,
221703929,221703892,0,False,residential,,117.388,,,,,,,,,,,20664625,
221725732,221954973,0,False,residential,Webster Avenue,15.938,,,,,,,,,,,20674214,
221725732,221725736,0,False,residential,,112.679,,,,,,,,,,,20653050,
221725732,221725757,0,False,residential,Webster Avenue,24.435,,,,,,,,,,,20674214,
221725736,221725739,0,False,residential,Saint John Street,26.97,,,,,,,,,,,20677549,
221725736,222016452,0,False,residential,Saint John Street,51.51,,,,,,,,,,,20677549,
221725736,221725732,0,False,residential,,112.679,,,,,,,,,,,20653050,
221725739,221765478,0,False,residential,Saint John Street,11.389,,,,,,,,,,,20677549,
221725739,221725736,0,False,residential,Saint John Street,26.97,,,,,,,,,,,20677549,
221725739,221725757,0,False,residential,,116.282,,,,,,,,,,,20653052,
221725757,221954985,0,False,residential,Webster Avenue,14.259,,,,,,,,,,,20674214,
221725757,221725739,0,False,residential,,116.282,,,,,,,,,,,20653052,
221725757,221725732,0,False,residential,Webster Avenue,24.435,,,,,,,,,,,20674214,
221729242,221729253,0,False,residential,,72.279,,,,,,,,,,,20653377,
221729242,222272483,0,False,residential,Hilltop Drive,82.064,,,,,,,,,,,20698700,
221729242,222130373,0,False,residential,Hilltop Drive,321.423,,,,,,,,,,,20698700,
221729253,221729242,0,False,residential,,72.279,,,,,,,,,,,20653377,
221730635,222151074,0,False,secondary,Main Street,48.48,,,,,,,,,,,193047492,NY 207
221730635,221730647,0,True,secondary_link,,62.84,,,,,,,,,,,20653527,
221730635,221703875,0,False,secondary,Main Street,184.457,,,,,,,,,,,193047492,NY 207
221730647,222151069,0,False,tertiary,Sarah Wells Trail,201.237,,,,,,,,,,,20688241,CR 8
221730647,222151074,0,False,tertiary,Sarah Wells Trail,37.229,,,,,,,,,,,20688241,CR 8
221732650,221732655,0,False,residential,,38.394,,,,,,,,,,,20653753,
221732650,222311723,0,False,tertiary,Scotchtown Road,18.612,,,,,,,,,,,20702571,CR 83
221732650,222038579,0,False,tertiary,Scotchtown Road,70.918,,,,,,,,,,,20702571,CR 83
221732655,221732650,0,False,residential,,38.394,,,,,,,,,,,20653753,
221732655,222311723,0,False,residential,Gregory Drive,43.573,,,,,,,,,,,20710793,
221732655,221732708,0,False,residential,,549.195,,,,,,,,,,,20653753,
221732655,221776115,0,False,residential,,296.741,,,,,,,,,,,20658199,
221732708,221732655,0,False,residential,,549.195,,,,,,,,,,,20653753,
221733379,222180873,0,True,motorway,,687.021,3,,,,,,,,,,20691372,US 6;NY 17;NY 17M
221733410,221733379,0,True,motorway_link,,169.931,,,,,,,,,,,20653835,
221733440,221813406,0,False,tertiary,North Connector Road,156.324,,,,,,,,,,,20667739,
221733440,221733410,0,True,motorway_link,,221.18,,,,,,,,,,,20653835,
221733440,221770396,0,False,tertiary,North Connector Road,258.165,,,,,,,,,,,20667739,
221737439,221870026,0,False,residential,Green Street,52.088,,,,,,,,,,,20668638,
221737439,221870018,0,False,residential,Green Street,128.404,,,,,,,,,,,20668638,
221737439,1111912102,0,False,residential,,389.954,,,,,,,,,,,95968245,
221756858,221756889,0,True,motorway_link,,141.358,,,,,,,,,,,20656217,
221756858,221756895,0,True,motorway,,193.982,3,,,,,,,,,,121501105,US 6;NY 17
221756889,221756933,0,False,tertiary,Chester Avenue,16.233,,,,,,,,,,,20711976,NY 17M
221756895,221828471,0,True,motorway,,332.348,3,,,,,,,,,,20691372,US 6;NY 17;NY 17M
221756933,221756889,0,False,tertiary,Chester Avenue,16.233,,,,,,,,,,,20711976,NY 17M
221756933,221756895,0,True,motorway_link,,155.454,,,,,,,,,,,20656218,NY 17M
221756933,221858995,0,False,tertiary,Chester Avenue,252.493,,,,,,,,,,,27945443,NY 17M
221765462,221954985,0,False,residential,Webster Road,62.464,,,,,,,,,,,20707941,
221765462,221765478,0,False,residential,,64.845,,,,,,,,,,,20657081,
221765462,221765478,1,False,residential,Webster Road,51.322,,,,,,,,,,,20707941,
221765478,221864920,0,False,residential,Saint John Street,113.653,,,,,,,,,,,20677549,
221765478,221725739,0,False,residential,Saint John Street,11.389,,,,,,,,,,,20677549,
221765478,221765462,0,False,residential,,64.845,,,,,,,,,,,20657081,
221765478,221765462,1,False,residential,Webster Road,51.322,,,,,,,,,,,20707941,
221770396,221733440,0,False,tertiary,North Connector Road,258.165,,,,,,,,,,,20667739,
221770396,221851602,0,False,tertiary,North Connector Road,78.473,,,,,,,,,,,20667739,
221770421,221851602,0,False,secondary,Greenwich Avenue,108.067,,,,,,,,,,,40047620,17A
221770421,221770396,0,True,tertiary,,145.475,,,,,,,,,,,20657580,
221770421,221800861,0,False,secondary,Greenwich Avenue,211.329,,,,,,,yes,,,,"[32389834, 40047619, 40047620]",17A
221775911,222038667,0,False,tertiary,Minisink Trail,12.826,,,,,,,,,,,20678679,
221775911,222038685,0,False,tertiary,Minisink Trail,144.622,,,,,,,,,,,20678679,
221776115,221732655,0,False,residential,,296.741,,,,,,,,,,,20658199,
221776115,222311723,0,False,tertiary,Scotchtown Road,243.755,,,,,,,,,,,20702571,CR 83
221776115,222080675,0,False,tertiary,Scotchtown Road,271.708,,,,,,,,,,,20702571,CR 83
221787703,221787710,0,False,residential,,27.344,,,,,,,,,,,20659478,
221787703,222158850,0,False,residential,Craigville Avenue,216.982,,,,,,,,,,,20710493,
221787703,222158820,0,False,residential,"['Craigville Avenue', 'Old Craigville Road']",190.963,,,,,,,,,,,"[20689155, 20710493]",
221787710,221787703,0,False,residential,,27.344,,,,,,,,,,,20659478,
221789538,221789549,0,False,residential,,99.783,,,,,,,,,,,20659642,
221789538,222088734,0,False,residential,Coleman Road,152.56,,,,,,,,,,,20682438,
221789549,221789538,0,False,residential,,99.783,,,,,,,,,,,20659642,
221793555,221793558,0,False,residential,,41.132,,,,,,,,,,,20660104,
221793555,221883831,0,False,residential,Railroad Avenue,86.091,,,,,,,,,,,20709200,
221793555,617496882,0,False,residential,Railroad Avenue,299.942,,,,,,,,,,,"[20709200, 20692376]",
221793558,221793555,0,False,residential,,41.132,,,,,,,,,,,20660104,
221793558,221883859,0,False,residential,Grand Street,50.998,,,,,,,,,,,117581132,
221793558,221883855,0,False,residential,Grand Street,21.268,,,,,,,,,,,117581132,
221795379,222101475,0,False,residential,Kelsey Lane,83.106,,,,,,,,,,,20683340,
221799080,221799133,0,True,motorway_link,,410.21,,,,,,,,,,,20660791,
221799080,221800964,0,True,motorway,,384.609,3,,,,,,,,,,32390283,US 6;NY 17;NY 17M
221799133,221799147,0,True,motorway_link,,77.263,,,,,,,,,,,20660791,
221799133,221800861,0,True,motorway_link,,124.353,,,,,,,,,,,20660988,
221799147,221800861,0,False,secondary,Greenwich Avenue,99.998,,,,,,,,,,,32389834,17A
221799147,221800964,0,True,motorway_link,,591.345,,,,,,,,,,,20660997,
221799147,221851582,0,False,secondary,Greenwich Avenue,293.288,,,,,,,,,,,20667084,NY 17A
221799147,222078047,0,False,tertiary,Hatfield Lane,919.932,,,,,,,,,,,"[20693488, 139807606]",
221800861,221799147,0,False,secondary,Greenwich Avenue,99.998,,,,,,,,,,,32389834,17A
221800861,221770421,0,False,secondary,Greenwich Avenue,211.329,,,,,,,yes,,,,"[32389834, 40047619, 40047620]",17A
221802846,221881457,0,False,residential,East Ciest,106.24,,,,,,,,,,,20669705,
221803067,221954973,0,False,secondary,Main Street,11.167,,,,,,,,,,,193047492,NY 207
221803067,221864896,0,False,secondary,Main Street,185.794,,,,,,,,,,,193047492,NY 207
221803094,221887943,0,False,tertiary,South Church Street,10.346,,,,,,,,,,,416292296,
221803094,221803067,0,True,secondary_link,,58.822,1,,,,,,,,,,20661222,
221803094,221851690,0,False,tertiary,South Church Street,68.865,,,,,,,,,,,416292296,
221813406,221703380,0,False,tertiary,North Connector Road,8.795,,,,,,,,,,,20667739,
221813406,221733440,0,False,tertiary,North Connector Road,156.324,,,,,,,,,,,20667739,
221813406,221733410,0,True,motorway_link,,112.728,,,,,,,,,,,20662492,
221815768,222038596,0,False,tertiary,Minisink Trail,70.521,,,,,,,,,,,20678677,
221815768,222038579,0,False,tertiary,Minisink Trail,41.092,,,,,,,,,,,20678677,
221828471,221703380,0,True,motorway_link,,306.401,,,,,,,,,,,20664516,
221828471,221733379,0,True,motorway,,313.006,3,,,,,,,,,,20691372,US 6;NY 17;NY 17M
221829247,222289335,0,False,secondary,Main Street,35.381,,,,,,,,,,,193047492,NY 207
221829247,222158850,0,False,tertiary,Craigville Road,208.332,,,,,,,,,,,20693716,CR 66
221829247,222289348,0,False,secondary,Main Street,236.573,,,,,,,,,,,193047492,NY 207
221838290,222079987,0,False,tertiary,North Church Street,40.456,,,,,,,,,,,20686213,
221838290,222130357,0,False,tertiary,North Church Street,30.305,,,,,,,,,,,20686213,
221838290,221838304,0,False,residential,Montgomery Street,457.053,,,,,,,,,,,20665742,
221838304,221874626,0,False,residential,Erie Street,138.019,,,,,,,,,,,20674344,
221838304,221881457,0,False,residential,Erie Street,26.631,,,,,,,,,,,20674344,
221838304,221838322,0,False,residential,Montgomery Street,364.094,,,,,,,,,,,20665742,
221838304,221838290,0,False,residential,Montgomery Street,457.053,,,,,,,,,,,20665742,
221838322,221838326,0,False,residential,Montgomery Street,278.795,,,,,,,,,,,20665742,
221838322,222237141,0,False,tertiary,Scotchtown Road,85.624,,,,,,,,,,,20702571,CR 83
221838322,3354692931,0,False,tertiary,Scotchtown Road,57.049,,,,,,,,,,,20702571,CR 83
221838322,221838304,0,False,residential,Montgomery Street,364.094,,,,,,,,,,,20665742,
221838326,221838322,0,False,residential,Montgomery Street,278.795,,,,,,,,,,,20665742,
221845626,222091222,0,False,residential,Murray Road,81.832,,,,,,,,,,,20666479,
221845626,221874639,0,False,residential,Murray Avenue,404.54,,,,,,,,,,,20669010,
221845626,221898469,0,True,residential,McNally Street,323.937,,,,,,,,,,,43141609,
221845647,221845652,0,False,residential,Murray Road,145.933,,,,,,,,,,,20666479,
221845647,222091222,0,False,residential,Murray Road,229.062,,,,,,,,,,,20666479,
221845647,222236681,0,False,residential,Post Court,49.71,,,,,,,,,,,20695467,
221845652,221845694,0,False,residential,Murray Road,288.511,,,,,,,,,,,20666479,
221845652,221845647,0,False,residential,Murray Road,145.933,,,,,,,,,,,20666479,
221845652,222057315,0,False,residential,Maiden Lane,226.093,,,,,,,,,,,20682650,
221845694,221845870,0,False,residential,Murray Road,418.492,,,,,,,,,,,"[20666495, 20666466, 20666479]",
221845694,221845652,0,False,residential,Murray Road,288.511,,,,,,,,,,,20666479,
