osmid,x,y,ref,highway
221697819,-74.1273394,41.3045253,,
221697822,-74.126683,41.3049433,,
221697846,-74.1271519,41.304995,,
221699129,-74.151444,41.310356,,
221741696,-74.163642,41.313032,,
221752795,-74.163252,41.312569,,
221786055,-74.159896,41.313741,,
221786063,-74.159362,41.314292,,
221794197,-74.151337,41.31031,,
221794979,-74.150392,41.311436,,
221799328,-74.154405,41.308724,,
221806688,-74.157775,41.310104,,
221806691,-74.157388,41.309853,,
221831470,-74.128895,41.3035943,,
221831476,-74.1285148,41.3037421,,
221831484,-74.1275082,41.3049856,,
221832553,-74.15733,41.310474,,
221832567,-74.156747,41.310543,,
221838915,-74.145263,41.308779,,
221838932,-74.146731,41.307358,,
221857981,-74.154324,41.312157,,
221857986,-74.154674,41.311685,,
221859898,-74.146343,41.312706,,
221859902,-74.146208,41.312287,,
221873886,-74.1435653,41.3094891,,
221873944,-74.148815,41.311985,,
221886722,-74.139668,41.313171,,
221886738,-74.140722,41.313145,,
221886759,-74.141794,41.313017,,
221886785,-74.148303,41.312032,,
221886798,-74.152523,41.310988,,
221886808,-74.151235,41.311451,,
221930564,-74.129166,41.303252,,
221930594,-74.128374,41.304569,,
221930698,-74.127784,41.303769,,
221930718,-74.1277176,41.3042144,,
221930782,-74.1399508,41.3082458,,
221956111,-74.145512,41.308967,,
221956153,-74.149542,41.309807,,
221956175,-74.150359,41.309722,,
221956382,-74.144563,41.30848,,
221966375,-74.147073,41.304861,,
221966388,-74.148101,41.306778,,
221966392,-74.148456,41.307463,,
221966399,-74.148779,41.307963,,
221974468,-74.152771,41.307395,,traffic_signals
221974476,-74.151502,41.308588,,
221974480,-74.151315,41.308774,,
221977146,-74.14776,41.30259,,
221977152,-74.148522,41.301799,,
221977162,-74.147197,41.302237,,
221977166,-74.148024,41.301403,,
222024552,-74.161873,41.312451,,
222024567,-74.1604,41.311743,,
222024571,-74.160056,41.31145,,
222024574,-74.159725,41.31115,,
222024589,-74.159275,41.310912,,
222024609,-74.157885,41.310381,,
222024678,-74.157667,41.312483,,
222024701,-74.159979,41.313767,,
222024709,-74.16003,41.313626,,
222028370,-74.150678,41.310007,,
222028409,-74.155411,41.312512,,
222028426,-74.158719,41.313232,,
222053441,-74.142328,41.314203,,
222053460,-74.143453,41.314241,,
222058052,-74.144085,41.315927,,
222058083,-74.143196,41.313103,,
222073310,-74.148079,41.308436,,
222087923,-74.150012,41.310553,,
222106584,-74.146493,41.301909,,
222106642,-74.150439,41.30223,,
222139475,-74.147915,41.30448,,
222139477,-74.148294,41.304738,,
222139498,-74.150323,41.306029,,
222139557,-74.157321,41.312243,,
222148279,-74.148974,41.3059,,
222210592,-74.148027,41.30361,,
222210595,-74.14802,41.303535,,
222213209,-74.140945,41.311654,,
222254132,-74.149926,41.312621,,
222254145,-74.150514,41.313005,,
222258427,-74.149976,41.306894,,
222258433,-74.149915,41.307378,,
222319016,-74.147305,41.308067,,
222331756,-74.151076,41.308645,,
222345040,-74.142053,41.314527,,
222349156,-74.149638,41.313087,,
222358662,-74.150712,41.305586,,
222404383,-74.145591,41.314884,,
222404385,-74.145315,41.31528,,
222404822,-74.160355,41.312606,,
222415473,-74.154987,41.308782,,
222415504,-74.155048,41.308253,,
222415539,-74.155472,41.309682,,
222415628,-74.141129,41.311963,,
222419845,-74.148969,41.313038,,
222419878,-74.146953,41.31262,,
222434859,-74.146647,41.313703,,
566507699,-74.1314922,41.3053792,,
3775842319,-74.1322406,41.3073871,,
