osmid,x,y,ref,highway
62684508,-75.411435,44.614409,,
62705226,-75.404555,44.616412,,
62705231,-75.403174,44.61756,,
62710096,-75.406669,44.622135,,
62710102,-75.404778,44.624479,,
62723493,-75.404765,44.620249,,
62723495,-75.40618,44.621125,,
62726365,-75.411733,44.618834,,
62726368,-75.410316,44.619995,,
62749046,-75.405892,44.617205,,
62765871,-75.407293,44.618049,,
62765874,-75.4073358,44.6180677,,
62765877,-75.408155,44.61859,,
62765878,-75.408869,44.619052,,
62767749,-75.393684,44.621334,,
62773868,-75.402631,44.622018,,
62786776,-75.408996,44.621063,,
62786779,-75.407469,44.622263,,
62803377,-75.406871,44.619664,,
62804865,-75.4046804,44.6183023,,
62804868,-75.406056,44.619168,,
62804871,-75.407543,44.620096,,
62854770,-75.408701,44.616888,,
62854777,-75.410294,44.617924,,
62887032,-75.40319,44.62157,,
62887038,-75.401413,44.62292,,
62888421,-75.405264,44.6219,,
62898896,-75.4001195,44.6211973,,
62901226,-75.415158,44.619536,,
62918965,-75.400737,44.621245,,
62918983,-75.408736,44.622375,,
