u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213019802,213019805,0,False,residential,,140.503,,,,,,,,,,,20144261,
213019805,213019802,0,False,residential,,140.503,,,,,,,,,,,20144261,
213019805,213046523,0,False,secondary,Salisbury Street,250.517,,,,,,,,,,,35972194,
213019805,213046517,0,False,secondary,Salisbury Street,125.641,,,,,,,,,,,35972194,
213020845,213060641,0,False,residential,Park Avenue,73.712,,,,,,,,,,,20147536,
213020845,213060622,0,False,residential,Park Avenue,178.869,,,,,,,,,,,20147536,
213020845,213137210,0,False,residential,Demott Street,360.484,,,,,,,,,,,20152210,
213043889,213043892,0,False,residential,,64.402,,,,,,,,,,,20146425,
213043889,213129488,0,False,tertiary,County Route 15,595.353,,,,,,,,,,,20153088,
213043892,213043889,0,False,residential,,64.402,,,,,,,,,,,20146425,
213046517,213108457,0,False,residential,Academy Street,274.341,,,,,,,,,,,20150412,
213046517,213019805,0,False,secondary,Salisbury Street,125.641,,,,,,,,,,,35972194,
213046523,213046526,0,False,secondary,Salisbury Street,106.129,,,,,,,,,,,35972194,
213046523,213019805,0,False,secondary,Salisbury Street,250.517,,,,,,,,,,,35972194,
213046523,213169701,0,False,residential,Powers Avenue,302.142,,,,,,,,,,,20161301,
213046526,213046523,0,False,secondary,Salisbury Street,106.129,,,,,,,,,,,35972194,
213046526,213107883,0,False,residential,Cable Trail,529.252,,,,,,,,,,,20150372,
213046526,213046531,0,False,secondary,Salisbury Street,209.627,,,,,,,,,,,35972194,
213046531,213158608,0,False,residential,Maple Avenue,302.712,,,,,,,,,,,20153773,
213046531,213046539,0,False,secondary,Salisbury Street,259.62,,,,,,,,,,,35972194,
213046531,213046526,0,False,secondary,Salisbury Street,209.627,,,,,,,,,,,35972194,
213046539,213129480,0,False,secondary,Ridge Road,292.003,,,,,,,,,,,20151708,CR 22
213046539,213046531,0,False,secondary,Salisbury Street,259.62,,,,,,,,,,,35972194,
213060622,213020845,0,False,residential,Park Avenue,178.869,,,,,,,,,,,20147536,
213060622,213169708,0,False,secondary,Harwood Drive,79.497,,,,,,,,,,,35972196,
213060622,213169701,0,False,secondary,Harwood Drive,113.197,,,,,,,,,,,35972196,
213060641,213020845,0,False,residential,Park Avenue,73.712,,,,,,,,,,,20147536,
213061057,213061059,0,False,residential,Tifft Street,121.22,,,,,,,,,,,20147576,
213061057,213187814,0,False,residential,Salina Street,244.928,,,,,,,,,,,20158430,
213061057,213171182,0,False,residential,Salina Street,137.924,,,,,,,,,,,20158430,
213061059,213061057,0,False,residential,Tifft Street,121.22,,,,,,,,,,,20147576,
213061059,213099721,0,False,residential,Church Street,125.096,,,,,,,,,,,20149873,
213061059,213061067,0,False,residential,Tifft Street,356.73,,,,,,,,,,,20147576,
213061067,213129491,0,False,tertiary,Ridge Road,219.055,,,,,,,,,,,175687955,
213061067,213061059,0,False,residential,Tifft Street,356.73,,,,,,,,,,,20147576,
213099721,213061059,0,False,residential,Church Street,125.096,,,,,,,,,,,20149873,
213099721,213129491,0,False,residential,Prospect Street,408.796,,,,,,,,,,,20154934,
213099721,213171182,0,False,residential,Prospect Street,122.399,,,,,,,,,,,20154934,
213107883,213046526,0,False,residential,Cable Trail,529.252,,,,,,,,,,,20150372,
213108457,213046517,0,False,residential,Academy Street,274.341,,,,,,,,,,,20150412,
213108457,213137210,0,False,secondary,Harwood Drive,272.498,,,,,,,,,,,35972196,
213129480,213129488,0,False,secondary,Ridge Road,151.302,,,,,,,,,,,20151708,CR 22
213129480,213046539,0,False,secondary,Ridge Road,292.003,,,,,,,,,,,20151708,CR 22
213129480,213158608,0,False,secondary,Harwood Drive,340.629,,,,,,,,,,,35972196,
213129488,213129491,0,False,tertiary,Ridge Road,40.079,,,,,,,,,,,175687955,
213129488,213129480,0,False,secondary,Ridge Road,151.302,,,,,,,,,,,20151708,CR 22
213129488,213043889,0,False,tertiary,County Route 15,595.353,,,,,,,,,,,20153088,
213129491,213061067,0,False,tertiary,Ridge Road,219.055,,,,,,,,,,,175687955,
213129491,213129488,0,False,tertiary,Ridge Road,40.079,,,,,,,,,,,175687955,
213129491,213099721,0,False,residential,Prospect Street,408.796,,,,,,,,,,,20154934,
213137210,213169701,0,False,secondary,Harwood Drive,112.559,,,,,,,,,,,35972196,
213137210,213020845,0,False,residential,Demott Street,360.484,,,,,,,,,,,20152210,
213137210,213108457,0,False,secondary,Harwood Drive,272.498,,,,,,,,,,,35972196,
213158608,213169708,0,False,secondary,Harwood Drive,112.399,,,,,,,,,,,35972196,
213158608,213046531,0,False,residential,Maple Avenue,302.712,,,,,,,,,,,20153773,
213158608,213129480,0,False,secondary,Harwood Drive,340.629,,,,,,,,,,,35972196,
213169701,213137210,0,False,secondary,Harwood Drive,112.559,,,,,,,,,,,35972196,
213169701,213046523,0,False,residential,Powers Avenue,302.142,,,,,,,,,,,20161301,
213169701,213060622,0,False,secondary,Harwood Drive,113.197,,,,,,,,,,,35972196,
213169708,213158608,0,False,secondary,Harwood Drive,112.399,,,,,,,,,,,35972196,
213169708,213171182,0,False,residential,Salina Street,197.96,,,,,,,,,,,20158430,
213169708,213060622,0,False,secondary,Harwood Drive,79.497,,,,,,,,,,,35972196,
213171182,213061057,0,False,residential,Salina Street,137.924,,,,,,,,,,,20158430,
213171182,213099721,0,False,residential,Prospect Street,122.399,,,,,,,,,,,20154934,
213171182,213169708,0,False,residential,Salina Street,197.96,,,,,,,,,,,20158430,
213187814,213061057,0,False,residential,Salina Street,244.928,,,,,,,,,,,20158430,
