u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213171490,213171491,0,False,residential,,18.793,,,,,,,,,,,20154970,
213171490,213280553,0,False,tertiary,Main Street,121.155,,,,,,,,,,,20168754,CR 11
213171490,213209005,0,False,tertiary,Main Street,166.745,,,,,,,,,,,20168754,CR 11
213171491,213171490,0,False,residential,,18.793,,,,,,,,,,,20154970,
213209005,213246720,0,False,tertiary,Main Street,39.59,,,,,,,,,,,20168754,CR 11
213209005,213209018,0,False,tertiary,Gilbert Lake Road,117.067,,,,,,,,,,,20162630,CR 12
213209005,213171490,0,False,tertiary,Main Street,166.745,,,,,,,,,,,20168754,CR 11
213209018,213209005,0,False,tertiary,Gilbert Lake Road,117.067,,,,,,,,,,,20162630,CR 12
213209018,213266265,0,False,residential,Craft Street,291.535,,,,,,,,,,,20167437,
213222164,213280594,0,False,tertiary,Main Street,169.019,,,,,,,,,,,20168754,CR 11
213222164,213280555,0,False,tertiary,Main Street,382.531,,,,,,,,,,,20168754,CR 11
213228385,213266265,0,False,residential,Brook Street,271.185,,,,,,,,,,,20173254,
213228385,213280594,0,False,residential,Brook Street,150.301,,,,,,,,,,,20173254,
213246720,213209005,0,False,tertiary,Main Street,39.59,,,,,,,,,,,20168754,CR 11
213266265,213280553,0,False,residential,Brook Street,106.55,,,,,,,,,,,20173254,
213266265,213209018,0,False,residential,Craft Street,291.535,,,,,,,,,,,20167437,
213266265,213228385,0,False,residential,Brook Street,271.185,,,,,,,,,,,20173254,
213280553,213280555,0,False,tertiary,Main Street,9.651,,,,,,,,,,,20168754,CR 11
213280553,213171490,0,False,tertiary,Main Street,121.155,,,,,,,,,,,20168754,CR 11
213280553,213266265,0,False,residential,Brook Street,106.55,,,,,,,,,,,20173254,
213280555,213280553,0,False,tertiary,Main Street,9.651,,,,,,,,,,,20168754,CR 11
213280555,213222164,0,False,tertiary,Main Street,382.531,,,,,,,,,,,20168754,CR 11
213280555,213400595,0,False,residential,Louden Drive,105.076,,,,,,,,,,,20179836,
213280594,213222164,0,False,tertiary,Main Street,169.019,,,,,,,,,,,20168754,CR 11
213280594,213228385,0,False,residential,Brook Street,150.301,,,,,,,,,,,20173254,
213400595,213400595,0,False,residential,Louden Drive,112.754,,,,,,,,,,,20179832,
213400595,213400595,1,False,residential,Louden Drive,112.754,,,,,,,,,,,20179832,
213400595,213280555,0,False,residential,Louden Drive,105.076,,,,,,,,,,,20179836,
