osmid,x,y,ref,highway
212336092,-74.857647,43.03902,,
212336095,-74.8576567,43.0391156,,
212336124,-74.85297,43.054109,,
212336130,-74.851469,43.054166,,
212336177,-74.872556,43.033158,,
212336183,-74.873549,43.033681,,
212336693,-74.850796,43.043049,,
212337473,-74.843374,43.047648,,
212337479,-74.845854,43.0476,,
212338925,-74.8609864,43.042243,,
212339786,-74.862126,43.041952,,
212339801,-74.862118,43.04153,,
212342215,-74.8610375,43.0373451,,
212342222,-74.860267,43.037283,,
212345298,-74.858029,43.038351,,
212347327,-74.855143,43.056495,,
212347330,-74.8559,43.056495,,
212348957,-74.873397,43.046913,,
212348961,-74.872988,43.047246,,
212351637,-74.845487,43.042185,,
212351668,-74.846281,43.042099,,
212353482,-74.871635,43.049036,,
212353490,-74.871504,43.049165,,
212354700,-74.8577594,43.0415911,,
212354702,-74.857775,43.041654,,
212354751,-74.839328,43.038659,,
212354760,-74.839183,43.038939,,
212354949,-74.8589221,43.0414025,,
212355357,-74.8627507,43.0379608,,
212359832,-74.87216,43.049474,,
212359835,-74.872048,43.050213,,
212359979,-74.850012,43.046628,,
212359983,-74.850405,43.046647,,
212364397,-74.859043,43.041893,,traffic_signals
212367439,-74.847494,43.04279,,
212369792,-74.855885,43.047317,,
212369795,-74.856037,43.047801,,
212369800,-74.856176,43.048211,,
212371114,-74.854711,43.044819,,
212371119,-74.854538,43.045687,,
212371123,-74.853766,43.046519,,
212371126,-74.85351,43.046801,,
212371129,-74.853135,43.047198,,
212371132,-74.852663,43.047728,,
212371406,-74.874705,43.047739,,
212371433,-74.877092,43.048638,,
212371758,-74.871112,43.048609,,
212373669,-74.8627901,43.0404957,,
212373695,-74.858804,43.041105,,
212373995,-74.877051,43.053159,,
212374758,-74.872766,43.048247,,
212374763,-74.872297,43.04864,,
212374775,-74.871726,43.049107,,
212375513,-74.839835,43.03888,,
212375528,-74.846247,43.042505,,
212375548,-74.850097,43.042705,,traffic_signals
212375569,-74.859,43.041784,,traffic_signals
212375594,-74.863116,43.041427,,
212375871,-74.8332397,43.0366256,,
212375895,-74.839702,43.038899,,
212375926,-74.846203,43.042609,,
212375959,-74.850291,43.042794,,traffic_signals
212375982,-74.862862,43.041571,,
212375990,-74.863849,43.041472,,
212379428,-74.864401,43.041051,,traffic_signals
212379432,-74.863703,43.040516,,
212387763,-74.853449,43.045351,,
212387786,-74.85623,43.045474,,
212387795,-74.857456,43.044978,,
212387799,-74.858262,43.044667,,
212387805,-74.858889,43.044426,,
212387811,-74.85991,43.044045,,
212389351,-74.865609,43.03841,,
212389360,-74.8660124,43.0386476,,
212389363,-74.866325,43.038821,,
212389367,-74.866434,43.038883,,
212389537,-74.870617,43.034665,,
212389689,-74.882113,43.026067,,
212391932,-74.860426,43.042356,,
212391935,-74.860596,43.042838,,
212393590,-74.851688,43.053217,,
212396494,-74.865301,43.047025,,
212396498,-74.862864,43.047208,,
212396513,-74.859248,43.047376,,
212397461,-74.852914,43.044099,,traffic_signals
212397472,-74.853917,43.044602,,
212397475,-74.854073,43.044671,,
212397490,-74.85593,43.044677,,traffic_signals
212397496,-74.857141,43.044207,,
212397501,-74.85856,43.043623,,traffic_signals
212397507,-74.859615,43.043236,,traffic_signals
212397895,-74.855309,43.04309,,
212398890,-74.862279,43.043985,,
212398906,-74.860217,43.044826,,
212398973,-74.851563,43.04542,,
212398979,-74.850927,43.046097,,
212399446,-74.837334,43.033263,,
212399571,-74.855878,43.038542,,
212399956,-74.854266,43.041452,,
212399959,-74.854197,43.041148,,
212400753,-74.870184,43.044975,,
212400756,-74.870292,43.044239,,
212400773,-74.871999,43.0459,,
212400783,-74.869684,43.047457,,
212403168,-74.860542,43.045637,,
212403172,-74.858743,43.045941,,
212403178,-74.856544,43.046314,,
212403185,-74.854167,43.046716,,
212403471,-74.846973,43.04588,,
212403483,-74.847909,43.046146,,
212403488,-74.849315,43.04684,,
212403503,-74.851452,43.047574,,
