osmid,x,y,ref,highway
211455415,-78.805192,42.256336,,
211458304,-78.8090105,42.2550127,,
211458321,-78.8055412,42.2531267,,
211458325,-78.805291,42.252931,,
211462033,-78.8044785,42.2551013,,
211462041,-78.8063066,42.2557995,,
211462043,-78.8067189,42.2559555,,
211462061,-78.80467,42.2539138,,
211477067,-78.797798,42.252036,,
211477076,-78.795428,42.25059,,
211477079,-78.794849,42.250229,,
211477096,-78.8049017,42.2548797,,
211478270,-78.799106,42.24354,,
211505599,-78.803187,42.246791,,
211511174,-78.7881719,42.2435299,,
211539168,-78.800219,42.247127,,
211539173,-78.800618,42.247195,,
211539191,-78.794107,42.248809,,
211539194,-78.79474,42.249205,,
211539198,-78.794846,42.249272,,
211539208,-78.795977,42.250075,,
211539223,-78.796615,42.250603,,
211539232,-78.798131,42.251665,,
211549175,-78.800362,42.249257,,
211549184,-78.799808,42.249996,,
211549192,-78.799676,42.249929,,
211549193,-78.799007,42.250683,,
211561653,-78.795518,42.24509,,
211561677,-78.794995,42.247618,,
211562490,-78.797576,42.248761,,
211562503,-78.796779,42.249425,,
211562520,-78.795251,42.251078,,
211568177,-78.800248,42.246734,,
211568186,-78.80005,42.249279,,
211571201,-78.801976,42.249199,,
211571212,-78.801357,42.250773,,
211571215,-78.800673,42.251525,,
211581435,-78.796723,42.245572,,
211581441,-78.796389,42.248241,,
211590584,-78.793428,42.244649,,
211590615,-78.798484,42.245629,,
211602554,-78.79885,42.249418,,
211602557,-78.799358,42.249748,,
211602560,-78.802381,42.251287,,
211602576,-78.805537,42.252666,,
211602579,-78.807349,42.253291,,
211602582,-78.810086,42.254249,,
211605956,-78.796219,42.248166,,
211606013,-78.792749,42.249189,,
211609667,-78.78407,42.243066,,
211609682,-78.785596,42.243446,,
211609685,-78.78633,42.243742,,
211609688,-78.787577,42.2443,,
211609691,-78.790246,42.245505,,
211609703,-78.798082,42.248995,,
211618454,-78.804722,42.253544,,
211619627,-78.805948,42.249044,,
211619638,-78.805696,42.251129,,
211629291,-78.797655,42.250016,,
211629300,-78.8017,42.252048,,
211639433,-78.796377,42.250745,,
211653295,-78.784996,42.245234,,
211658417,-78.807385,42.248994,,
211658422,-78.807386,42.251346,,
211673055,-78.799659,42.249321,,
211673058,-78.804313,42.249109,,
211688074,-78.798462,42.246653,,
211717791,-78.803508,42.250022,,
2659925303,-78.7973772,42.2530586,,
2659925314,-78.8090663,42.2550333,,
2659925317,-78.8094614,42.2551795,,
2659925349,-78.8085973,42.2564788,,
