osmid,x,y,ref,highway
43001771,-78.693126,43.1711825,,
43001773,-78.6924823,43.172341,,
43001779,-78.692161,43.1743055,,
43001782,-78.691887,43.1747196,,
43001787,-78.6920766,43.1759775,,
43001794,-78.6920872,43.1778655,,
43001801,-78.6922235,43.1798517,,
43001806,-78.6925358,43.1804412,,
43001811,-78.6935786,43.1817989,,
43001814,-78.6963519,43.1827669,,
43002650,-78.665086,43.1656969,,
43002658,-78.6636719,43.1657792,,
43002668,-78.6632508,43.1651908,,
43002672,-78.6632716,43.1648486,,
43002681,-78.663722,43.165204,,
43002684,-78.6637331,43.1648763,,
43003964,-78.6956852,43.1690969,,
43004524,-78.6651135,43.1652766,,
43005761,-78.6862633,43.1734657,,
43007614,-78.6699318,43.1768317,,
43007617,-78.6696384,43.1763453,,
43008008,-78.6916901,43.1682264,,
43008010,-78.6893479,43.1682158,,
43008016,-78.6876849,43.168616,,
43008018,-78.6860378,43.1689941,,
43008024,-78.6814646,43.1696762,,
43008027,-78.6800789,43.1697017,,
43008032,-78.6784664,43.1697113,,
43008036,-78.6764412,43.1697335,,
43008039,-78.6753517,43.1697448,,
43008062,-78.6719412,43.168848,,
43008074,-78.6676302,43.1777671,,
43008078,-78.6678723,43.1785025,,
43008082,-78.668014,43.1790331,,
43008093,-78.6676806,43.1790257,,
43008103,-78.7120888,43.172055,,
43008105,-78.7198906,43.1706939,,
43008108,-78.721455,43.170457,,
43008249,-78.7037431,43.1844603,,
43008931,-78.6633087,43.1780815,,
43009280,-78.7018346,43.1723816,,
43009281,-78.7070873,43.172391,,
43009283,-78.7087873,43.1723989,,
43009361,-78.6968714,43.1572084,,
43009364,-78.7004442,43.1571281,,turning_circle
43009984,-78.6865996,43.1820878,,
43009985,-78.685176,43.1830615,,
43010046,-78.6803802,43.1733994,,
43010054,-78.6817262,43.1740533,,
43010057,-78.6837041,43.1750842,,
43010093,-78.7064005,43.1672762,,traffic_signals
43010096,-78.7064372,43.1643508,,
43010099,-78.7063961,43.1635883,,
43010132,-78.6681589,43.1775327,,
43010143,-78.6662986,43.176932,,
43010152,-78.6654271,43.1763244,,
43010162,-78.66752,43.1753704,,
43010168,-78.6682658,43.1754134,,
43010662,-78.6889261,43.1791986,,
43010692,-78.6825544,43.1726078,,
43010694,-78.6828581,43.1731097,,
43010697,-78.6831698,43.1736078,,
43010704,-78.6834211,43.1741242,,
43011508,-78.6654468,43.1579966,,
43011520,-78.6638281,43.1566012,,
43011529,-78.6654707,43.1566167,,
43011705,-78.6822728,43.16621,,
43011708,-78.6822061,43.1671429,,
43011713,-78.6821649,43.1679656,,
43011930,-78.69684,43.1688682,,traffic_signals
43011933,-78.6993257,43.1688542,,
43011938,-78.7018399,43.1688457,,traffic_signals
43011942,-78.7058086,43.1688577,,
43011945,-78.7064437,43.1688577,,traffic_signals
43011950,-78.7077148,43.1688268,,
43011954,-78.7097569,43.168341,,
43011957,-78.7119703,43.1678121,,
43011960,-78.7184632,43.1662408,,
43012448,-78.6902646,43.1703663,,traffic_signals
43012450,-78.6900373,43.1698078,,
43012456,-78.6898244,43.1693163,,traffic_signals
43012459,-78.6895717,43.1687796,,
43012463,-78.6890528,43.1675767,,
43012466,-78.6887917,43.1669832,,
43012469,-78.6886725,43.1667395,,
43012474,-78.6884732,43.16637,,
43012478,-78.6876586,43.1645444,,traffic_signals
43012482,-78.6874177,43.1639911,,
43012487,-78.6872118,43.163489,,
43012492,-78.6866787,43.1623018,,
43012497,-78.686378,43.1615913,,
43012500,-78.6857699,43.1603944,,
43012503,-78.6857764,43.1602779,,
43012508,-78.6858412,43.1561382,,
43012510,-78.6859195,43.153944,,traffic_signals
43012513,-78.6862024,43.1517316,,
43012646,-78.6868548,43.1713036,,
43012648,-78.6871907,43.1718252,,
43012651,-78.6874748,43.1723386,,
43013120,-78.6803758,43.1581404,,
43013121,-78.6755535,43.1579169,,
43013124,-78.6723435,43.1577769,,
43013129,-78.6780035,43.176137,,
43013131,-78.6765789,43.1766192,,
43013135,-78.6757825,43.1769513,,
43013139,-78.6748767,43.1773085,,
43013142,-78.6735677,43.1776642,,
43013147,-78.6709247,43.1787145,,
43013356,-78.6968667,43.1583678,,
43013360,-78.6995109,43.1583787,,
43013364,-78.7005072,43.158375,,
43013367,-78.7007352,43.1583731,,
43013373,-78.6951026,43.1705791,,
43013376,-78.6968543,43.1705839,,
43013430,-78.6954745,43.1679625,,
