osmid,x,y,ref,highway
254113724,-73.739019,40.954288,,
254113728,-73.73939,40.954288,,
254113734,-73.740006,40.954735,,
254113735,-73.74061,40.955187,,
254113738,-73.740942,40.955826,,
254113743,-73.741255,40.956539,,
254113751,-73.74212,40.957281,,
254113752,-73.742255,40.957382,,
254115129,-73.7309943,40.9640334,18B-A,motorway_junction
254115137,-73.7334567,40.9631318,18B,motorway_junction
254115140,-73.735218,40.962644,,
254115144,-73.7365125,40.9622969,18A,motorway_junction
254116076,-73.7410746,40.9677198,,
254116084,-73.739795,40.963073,,
254116108,-73.739696,40.960461,,
254117044,-73.723258,40.944302,,
254117062,-73.718783,40.946604,,
254125106,-73.732585,40.940767,,
254125107,-73.73237,40.941089,,
254126073,-73.736814,40.960577,,
254126096,-73.7327253,40.9631049,,
254126281,-73.729393,40.933765,,
254126284,-73.728713,40.934705,,
254127618,-73.730293,40.939788,,
254127619,-73.730153,40.939969,,
254129619,-73.736578,40.961208,,
254129682,-73.736558,40.9619862,18B,motorway_junction
254136689,-73.733702,40.941254,,
254136699,-73.732035,40.941886,,
254138029,-73.7282846,40.9500578,,
254138030,-73.727238,40.950655,,
254138184,-73.736082,40.96254,,
254138449,-73.735511,40.963977,,
254140037,-73.7315217,40.9460281,,
254140053,-73.731928,40.946525,,
254149712,-73.739588,40.954097,,
254149716,-73.739041,40.954015,,
254150910,-73.725284,40.956335,,
254150912,-73.724953,40.956466,,
254151508,-73.747001,40.949753,18A,motorway_junction
254151510,-73.7452543,40.9517022,,
254155222,-73.74162,40.960007,,
254155292,-73.741059,40.961758,,
254157783,-73.734265,40.926531,,
254157784,-73.733734,40.926444,,
254157898,-73.730339,40.951783,,
254157901,-73.730203,40.951108,,
254158723,-73.74052,40.959945,,
254158958,-73.730687,40.93115,,
254158983,-73.73056,40.931309,,
254164386,-73.735876,40.963149,,
254168481,-73.7345453,40.9496474,,
254168763,-73.717748,40.959671,,
254168764,-73.717919,40.959778,,
254172307,-73.733295,40.960847,,
254172308,-73.732954,40.961244,,
254173138,-73.718587,40.947334,,
254173265,-73.733373,40.948388,,
254173276,-73.732904,40.948336,,
254173923,-73.735334,40.940488,,
254173925,-73.7360584,40.9398304,,
254178290,-73.7371405,40.9527006,,
254178291,-73.736192,40.953552,,
254178296,-73.734444,40.954893,,
254178297,-73.733841,40.955156,,
254178298,-73.733687,40.955227,,
254178301,-73.732467,40.956081,,
254178302,-73.732221,40.956295,,
254178304,-73.731461,40.956969,,
254178308,-73.730255,40.9577224,,
254178310,-73.7291893,40.9581954,,
254178311,-73.729009,40.9582772,,
254178313,-73.7284037,40.9585852,,
254178314,-73.728205,40.958684,,
254178316,-73.727399,40.9592011,,
254178317,-73.726713,40.959642,,
254178318,-73.726053,40.960072,,
254178320,-73.72536,40.960521,,
254178321,-73.7246574,40.9609812,,
254178323,-73.7240437,40.9614952,,
254180015,-73.7429695,40.943535,,stop
254180018,-73.7443742,40.9427266,,
254180088,-73.741521,40.955285,,
254180939,-73.71735,40.944174,,
254180981,-73.717241,40.950215,,
254180986,-73.716743,40.95122,,
254180988,-73.716661,40.951383,,
254180992,-73.716927,40.951974,,
254180998,-73.718716,40.954159,,
254181013,-73.743489,40.945917,,
254181014,-73.744075,40.945725,,
254184937,-73.734237,40.949146,,
254184944,-73.735513,40.948508,,
254185241,-73.7367474,40.967586,,
254185242,-73.736649,40.967616,,
254186699,-73.733443,40.926666,,
254186720,-73.734643,40.924676,,
254187014,-73.716113,40.954834,,
254187377,-73.723505,40.95413,,stop
254187379,-73.725109,40.956122,,
254187386,-73.727295,40.95749,,
254189118,-73.745178,40.946886,,
254189120,-73.7459007,40.9474271,,
254189122,-73.746884,40.94754,,
254190237,-73.727277,40.945301,,
254190250,-73.724571,40.947713,,
254194440,-73.733203,40.954066,,
254194444,-73.731651,40.954653,,
254196128,-73.723617,40.945319,,
254196356,-73.731644,40.960854,,
254196439,-73.732636,40.962243,,
254196440,-73.732681,40.962351,,
254199622,-73.736949,40.957424,,
254199630,-73.736776,40.957879,,
254199633,-73.736442,40.95879,,
254199642,-73.735933,40.960291,,
254200025,-73.740672,40.956907,,
254200026,-73.740793,40.957584,,
254200028,-73.740954,40.95829,,
254200976,-73.740999,40.9501027,,
254200980,-73.7376816,40.9530728,,traffic_signals
254200983,-73.735739,40.954551,,
254201390,-73.732019,40.958688,,
254201398,-73.733377,40.959508,,
254201399,-73.734141,40.959874,,
254201401,-73.734858,40.960287,,
254201402,-73.73496,40.960358,,
254202870,-73.724147,40.953706,,
254202885,-73.725866,40.95575,,
254204296,-73.730672,40.962458,,
254204297,-73.731127,40.96326,,
254208500,-73.740828,40.955941,,
254208505,-73.739566,40.955865,,
254208506,-73.738605,40.955679,,
254208975,-73.72496,40.953275,,
254208978,-73.726641,40.955345,,
254208983,-73.729895,40.959098,,
254209802,-73.725066,40.948733,,
254209806,-73.7229675,40.9504145,,
254211191,-73.72477,40.958479,,
254211193,-73.723785,40.959049,,
254211194,-73.72308,40.959491,,
254211195,-73.72239,40.95992,,
254211196,-73.72126,40.960564,,
254212610,-73.740501,40.957636,,
254212611,-73.740616,40.958554,,
254213608,-73.728886,40.960962,,
254213610,-73.730469,40.962744,,
254214339,-73.737778,40.96056,,
254214340,-73.737487,40.961271,,
254214341,-73.736887,40.960384,,
254214505,-73.740323,40.941723,,
254214527,-73.7395683,40.9411155,,
254215134,-73.7437378,40.9439595,,
254215137,-73.7452999,40.9430285,,
254218128,-73.733557,40.939457,,
254218130,-73.733843,40.939109,,
254219687,-73.7440493,40.947951,,
254219688,-73.7447295,40.9483528,,
254219689,-73.745437,40.948825,,
254219690,-73.746117,40.949275,,
254219692,-73.746339,40.949435,,
254219902,-73.732529,40.93319,,
254219912,-73.731293,40.934825,,
254223584,-73.7357984,40.965872,,
254223588,-73.736819,40.965713,,turning_circle
254223608,-73.748366,40.946206,,
254223863,-73.730529,40.930337,,
254224198,-73.722529,40.958989,,
254224199,-73.721811,40.9594,,
254224200,-73.721698,40.959465,,
254224201,-73.720751,40.960064,,
254224426,-73.7361624,40.966533,,
254224427,-73.736997,40.966294,,
254226866,-73.7182,40.954281,,
254226868,-73.718423,40.954982,,
254226873,-73.717733,40.955955,,
254228510,-73.735692,40.936748,,
254228522,-73.734279,40.937539,,
254230018,-73.735612,40.955557,,
254230019,-73.735533,40.955507,,
254230553,-73.7398086,40.9317117,,
254230554,-73.7396793,40.9315563,,
254230562,-73.7402454,40.9308664,,
254231544,-73.741052,40.965626,,
254231987,-73.734568,40.96413,,
254231989,-73.732941,40.964497,,
254231990,-73.732077,40.9647,,
254232694,-73.733444,40.949907,,traffic_signals
254232696,-73.7358596,40.9493177,,
254232698,-73.7367416,40.9491107,,
254232700,-73.738325,40.9478937,,
254232701,-73.7390538,40.9473252,,
254232702,-73.7405502,40.9461155,,
254232704,-73.7413005,40.9455138,,
254232706,-73.7425569,40.9447201,,
254233269,-73.737721,40.958075,,
254234260,-73.725928,40.937911,,
