u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
261358341,443239768,0,False,residential,250 Yard Drive,274.75,,,,,,,,,,,24117397,
261360523,4072669608,0,False,residential,,544.322,,,,,permissive,,,,,,24117951,
261360523,443248521,0,False,residential,,42.967,,,,,permissive,,,,,,441670134,
261360605,443248501,0,False,tertiary,Piping Rock Road,85.034,,,,,,,,,,,24127194,
261361408,261436641,0,False,tertiary,Piping Rock Road,49.083,,,,,,,,,,,24127194,
261361408,4368824822,0,False,residential,,628.02,,,,,,,,,,,24118175,
261361408,261436646,0,False,tertiary,Piping Rock Road,188.972,,,,,,,,,,,24127194,
261362320,3353309401,0,False,residential,,24.754,,,,,,,,,,,440072290,
261364799,4368824881,0,False,residential,Woods Road,189.164,,,,,,,,,,,24118739,
261364799,261436646,0,False,residential,Linden Farms Road,602.937,,,,,,,,,,,24130385,
261364799,261458232,0,False,residential,Linden Farms Road,343.853,,,,,,,,,,,24130385,
261375563,261375620,0,False,secondary,Glen Cove Oyster Bay Road,314.257,,,,,,,,,,,24119998,
261375563,261379737,0,False,secondary,Chicken Valley Road,207.914,,,,,,,,,,,24136984,
261375601,4377759267,0,False,secondary,Glen Cove Oyster Bay Road,133.831,,,,,,,,,,,24119997,
261375601,261375603,0,False,secondary,Glen Cove Oyster Bay Road,92.213,,,,,,,,,,,24119997,
261375603,261375601,0,False,secondary,Glen Cove Oyster Bay Road,92.213,,,,,,,,,,,24119997,
261375613,261471471,0,False,residential,Brook Row,76.189,,,,,,,,,,,440273238,
261375620,261375563,0,False,secondary,Glen Cove Oyster Bay Road,314.257,,,,,,,,,,,24119998,
261377398,261377414,0,False,residential,Still Road,241.396,,,,,,,,,,,24120238,
261377398,4377759102,0,False,tertiary,Duck Pond Road,471.449,,,,,,,,,,,24124733,
261377398,3353309401,0,False,tertiary,Duck Pond Road,234.989,,,,,,,,,,,24124733,
