u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
221726904,222303063,0,False,residential,Clark Place,39.958,,,,,,,,,,,20712282,
221726904,222360701,0,False,residential,Clark Place,95.433,,,,,,,,,,,20712282,
221760491,221760498,0,False,residential,,30.801,,,,,,,,,,,20656572,
221760498,221760491,0,False,residential,,30.801,,,,,,,,,,,20656572,
221760498,221976709,0,False,secondary,State Highway 208,203.278,,,,,,,,,,,20697148,NY 208
221760498,222216946,0,False,secondary,State Highway 208,82.747,,,,,,,,,,,20697148,NY 208
221843663,221843677,0,False,residential,Aristotle Drive,99.075,,,,,,,,,,,20666283,
221843663,221843693,0,False,residential,Aristotle Drive,307.589,,,,,,,,,,,20666283,
221843663,221936254,0,False,residential,Ted Miller Drive,266.072,,,,,,,,,,,20708565,
221843677,222087821,0,False,secondary,Homestead Avenue,51.078,,,,,,,,,,,289468927,NY 208
221843677,221843663,0,False,residential,Aristotle Drive,99.075,,,,,,,,,,,20666283,
221843677,221936268,0,False,secondary,Homestead Avenue,222.216,,,,,,,,,,,289468927,NY 208
221843693,221843663,0,False,residential,Aristotle Drive,307.589,,,,,,,,,,,20666283,
221843693,221895484,0,False,residential,Everett Place,43.374,,,,,,,,,,,20679962,
221843693,221936238,0,False,residential,Everett Place,117.104,,,,,,,,,,,20679962,
221847387,221847398,0,False,residential,Palmer Court,82.455,,,,,,,,,,,20666631,
221847387,221936235,0,False,residential,Country Club Drive,43.908,,,,,,,,,,,20673124,
221847387,222006271,0,False,residential,"['Saracino Drive', 'Country Club Drive']",196.867,,,,,,,,,,,"[20677123, 20673124]",
221847398,221847387,0,False,residential,Palmer Court,82.455,,,,,,,,,,,20666631,
221854515,222360708,0,False,secondary,Homestead Avenue,84.218,,,,30 mph,,,,,,,68122198,NY 208
221854515,222004782,0,False,secondary,Homestead Avenue,74.354,,,,30 mph,,,,,,,68122198,NY 208
221854515,221854536,0,False,residential,Broadway,273.85,,,,,,,,,,,20667315,
221854536,222004794,0,False,residential,Maiden Lane,74.962,,,,,,,,,,,20682651,
221854536,221854540,0,False,residential,Broadway,72.831,,,,,,,,,,,20667315,
221854536,221854515,0,False,residential,Broadway,273.85,,,,,,,,,,,20667315,
221854540,221854544,0,False,residential,Broadway,72.028,,,,,,,,,,,20667315,
221854540,221854536,0,False,residential,Broadway,72.831,,,,,,,,,,,20667315,
221854540,221945966,0,False,residential,Prospect Avenue,119.613,,,,,,,,,,,20673693,
221854544,221961503,0,False,residential,Highland Avenue,120.664,,,,,,,,,,,20674576,
221854544,221854540,0,False,residential,Broadway,72.028,,,,,,,,,,,20667315,
221854544,221961510,0,False,residential,Highland Avenue,232.497,,,,,,,,,,,20674576,
221874562,222145456,0,False,residential,Main Street,87.41,,,,,,,,,,,20700499,
221874562,221915856,0,False,residential,"['Charles Street', 'Murray Avenue']",243.998,,,,,,,,,,,"[20669002, 20671818]",
221874562,222289074,0,False,residential,Main Street,20.643,,,,,,,,,,,20700499,
221893433,221893445,0,False,residential,Shipps Lane,49.296,,,,,,,,,,,20670378,
221893445,221893453,0,False,residential,Shipps Lane,124.049,,,,,,,,,,,20670378,
221893445,221893433,0,False,residential,Shipps Lane,49.296,,,,,,,,,,,20670378,
221893445,222041178,0,False,residential,Tower Avenue,315.943,,,,,,,,,,,20687674,
221893453,221893445,0,False,residential,Shipps Lane,124.049,,,,,,,,,,,20670378,
221893453,221917709,0,False,secondary,Homestead Avenue,92.541,,,,30 mph,,,,,,,68122198,NY 208
221893453,222041175,0,False,secondary,Homestead Avenue,338.389,,,,30 mph,,,,,,,68122198,NY 208
221893955,221893962,0,False,residential,Blake Road,98.907,,,,,,,,,,,20670423,
221893955,222167268,0,False,residential,Rakov Road,42.263,,,,,,,,,,,20690055,
221893955,222167245,0,False,residential,Rakov Road,175.179,,,,,,,,,,,20690055,
221893962,221893974,0,False,residential,Blake Road,131.106,,,,,,,,,,,20670423,
221893962,221893955,0,False,residential,Blake Road,98.907,,,,,,,,,,,20670423,
221893962,222242824,0,False,residential,Watts Lane,171.144,,,,,,,,,,,20695937,
221893974,221893962,0,False,residential,Blake Road,131.106,,,,,,,,,,,20670423,
221893974,222006310,0,False,residential,Saracino Drive,175.423,,,,,,,,,,,20677123,
221893974,222006271,0,False,residential,Saracino Drive,166.454,,,,,,,,,,,20677123,
221895484,221895524,0,False,residential,Bodle Circle,293.642,,,,,,,,,,,20670492,
221895484,221895524,1,False,residential,Everett Place,99.533,,,,,,,,,,,20679962,
221895484,221843693,0,False,residential,Everett Place,43.374,,,,,,,,,,,20679962,
221895524,221895484,0,False,residential,Bodle Circle,293.642,,,,,,,,,,,20670492,
221895524,221895484,1,False,residential,Everett Place,99.533,,,,,,,,,,,20679962,
221895524,222006310,0,False,residential,Everett Place,78.692,,,,,,,,,,,20679962,
221915856,221874562,0,False,residential,"['Charles Street', 'Murray Avenue']",243.998,,,,,,,,,,,"[20671818, 20669002]",
221915856,222232234,0,False,residential,Volunteer Place,104.373,,,,,,,,,,,20695135,
221915856,222145456,0,False,residential,Wallace Avenue,150.55,,,,,,,,,,,20699621,
221915856,222281019,0,False,residential,Wallace Avenue,140.722,,,,,,,,,,,20699621,
221917709,221917716,0,False,residential,Houston Street,223.571,,,,,,,,,,,20671893,
221917709,222082919,0,False,secondary,Homestead Avenue,179.711,,,,30 mph,,,,,,,68122198,NY 208
221917709,221893453,0,False,secondary,Homestead Avenue,92.541,,,,30 mph,,,,,,,68122198,NY 208
221917716,221917709,0,False,residential,Houston Street,223.571,,,,,,,,,,,20671893,
221936235,221936238,0,False,residential,Country Club Drive,50.435,,,,,,,,,,,20673124,
221936235,221847387,0,False,residential,Country Club Drive,43.908,,,,,,,,,,,20673124,
221936235,221947285,0,False,residential,Adams Drive,74.081,,,,,,,,,,,20705627,
221936238,221936254,0,False,residential,Country Club Drive,85.823,,,,,,,,,,,20673124,
221936238,221936235,0,False,residential,Country Club Drive,50.435,,,,,,,,,,,20673124,
221936238,221843693,0,False,residential,Everett Place,117.104,,,,,,,,,,,20679962,
221936254,221936268,0,False,residential,Country Club Drive,98.982,,,,,,,,,,,20673124,
221936254,221936238,0,False,residential,Country Club Drive,85.823,,,,,,,,,,,20673124,
221936254,221843663,0,False,residential,Ted Miller Drive,266.072,,,,,,,,,,,20708565,
221936268,221936254,0,False,residential,Country Club Drive,98.982,,,,,,,,,,,20673124,
221936268,222343269,0,False,secondary,Homestead Avenue,151.798,,,,30 mph,,,,,,,68122198,NY 208
221936268,221843677,0,False,secondary,Homestead Avenue,222.216,,,,,,,,,,,289468927,NY 208
221945873,221945966,0,False,residential,Prospect Avenue,533.981,,,,,,,,,,,20673693,
221945966,221854540,0,False,residential,Prospect Avenue,119.613,,,,,,,,,,,20673693,
221945966,221945873,0,False,residential,Prospect Avenue,533.981,,,,,,,,,,,20673693,
221945966,221961503,0,False,residential,Clark Place,75.119,,,,,,,,,,,289487121,
221945966,222091380,0,False,residential,Clark Place,97.901,,,,,,,,,,,289487121,
221947285,221947293,0,False,residential,Greening Place,128.622,,,,,,,,,,,20673764,
221947285,221936235,0,False,residential,Adams Drive,74.081,,,,,,,,,,,20705627,
221947285,222082944,0,False,residential,Adams Drive,53.119,,,,,,,,,,,20705627,
221947293,221947285,0,False,residential,Greening Place,128.622,,,,,,,,,,,20673764,
221961493,221961503,0,False,residential,Highland Avenue,175.581,,,,,,,,,,,20674576,
221961503,221854544,0,False,residential,Highland Avenue,120.664,,,,,,,,,,,20674576,
