osmid,x,y,ref,highway
212145260,-74.2743637,43.1006124,,
212146380,-74.2667089,43.1009543,,
212158368,-74.2711054,43.1044625,,
212158372,-74.2711834,43.1050794,,
212159533,-74.2585068,43.0994888,,
212159970,-74.2740754,43.1043543,,
212159973,-74.2728682,43.1043993,,
212159979,-74.2717636,43.1044529,,
212159985,-74.2690892,43.1044334,,
212159986,-74.2669135,43.104451,,
212159989,-74.2646905,43.1045744,,
212160781,-74.2745748,43.1020085,,
212162717,-74.2696055,43.1025312,,
212163383,-74.2720983,43.1022614,,
212164146,-74.269042,43.1035406,,
212164971,-74.2679654,43.1091458,,
212165492,-74.2596406,43.1007655,,
212168756,-74.271372,43.1018468,,
212170023,-74.2712851,43.1023452,,
212170026,-74.2667752,43.1028352,,
212170029,-74.2651426,43.1029497,,
212170031,-74.2643142,43.1031289,,
212175322,-74.2630175,43.1087088,,
212175941,-74.2576136,43.0984297,,
212183832,-74.2697526,43.107428,,
212184965,-74.2582222,43.0991426,,
212184974,-74.259966,43.0983248,,
212185665,-74.2714844,43.101317,,
212186114,-74.264339,43.1086316,,
212186813,-74.2668396,43.1036716,,
212186816,-74.2645224,43.1037787,,
212188328,-74.2722127,43.1096305,,
1512931849,-74.2577037,43.1024592,,
3016745557,-74.2551985,43.0999955,,
