u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213182637,213236081,0,False,residential,Middle-fort Road,320.332,,,,,,,,,,,20165281,
213183046,213245433,0,False,residential,Nickerson Drive,371.85,,,,,,,,,,,20166540,
213186402,3015677370,0,False,residential,Railroad Avenue,18.988,,,,,,,,,,,20167198,
213186402,213244448,0,False,residential,Railroad Avenue,93.53,,,,,,,,,,,20167198,
213186402,213186408,0,False,residential,,86.14,,,,,,,,,,,20158108,
213186408,213219650,0,False,residential,Cliff Street,99.493,,,,,,,,,,,20163635,
213186408,213186402,0,False,residential,,86.14,,,,,,,,,,,20158108,
213186408,213219652,0,False,residential,Cliff Street,80.094,,,,,,,,,,,20163635,
213201686,213201686,0,False,residential,,75.8,,,,,,,,,,,20161420,
213201686,213201686,1,False,residential,,75.8,,,,,,,,,,,20161420,
213201686,213223059,0,False,residential,Griebel Lane,53.573,,,,,,,,,,,20163998,
213204344,213237993,0,False,residential,Scribner Avenue,27.875,,,,,,,,,,,20165461,
213204344,213233505,0,False,residential,Wells Avenue,48.489,,,,,,,,,,,20166042,
213204344,213204352,0,False,residential,,89.362,,,,,,,,,,,20162010,
213204352,213233505,0,False,residential,Maple Avenue,51.69,,,,,,,,,,,20165088,
213204352,213204344,0,False,residential,,89.362,,,,,,,,,,,20162010,
213204352,3589161001,0,False,residential,Maple Avenue,57.197,,,,,,,,,,,20165088,
213204507,213204508,0,False,residential,,145.488,,,,,,,,,,,20162066,
213204508,213244448,0,False,secondary,Main Street,68.187,,,,,,,,,,,20165946,NY 145
213204508,213219650,0,False,secondary,Main Street,44.996,,,,,,,,,,,20165946,NY 145
213204508,213204507,0,False,residential,,145.488,,,,,,,,,,,20162066,
213211626,3161565112,0,False,residential,Danforth Avenue,26.791,,,,,,,,,,,20162873,
213211626,213233505,0,False,residential,Wells Avenue,64.666,,,,,,,,,,,20166042,
213211626,3161565110,0,False,residential,Wells Avenue,31.275,,,,,,,,,,,20166042,
213211628,213223155,0,False,residential,Danforth Avenue,105.871,,,,,,,,,,,20162873,
213211628,3161565112,0,False,residential,Danforth Avenue,26.4,,,,,,,,,,,20162873,
213211628,213258966,0,False,residential,Railroad Avenue,98.676,,,,,,,,,,,20167198,
213214990,213251542,0,False,residential,Grove Street,47.35,,,,30 mph,,,,,,,20166433,
213214990,213223741,0,False,residential,Grove Street,131.907,,,,30 mph,,,,,,,20166433,
213214990,213214996,0,False,residential,Northview Lane,104.466,,,,30 mph,,,,,,,20163177,
213214996,213214990,0,False,residential,Northview Lane,104.466,,,,30 mph,,,,,,,20163177,
213215289,213233509,0,False,residential,Union Street,89.883,,,,,,,,,,,20165772,
213215289,3589161001,0,False,residential,Pine Street,399.636,,,,,,,,,,,"[20163210, 20166811]",
213219650,213186408,0,False,residential,Cliff Street,99.493,,,,,,,,,,,20163635,
213219650,213204508,0,False,secondary,Main Street,44.996,,,,,,,,,,,20165946,NY 145
213219650,213244446,0,False,secondary,Main Street,70.744,,,,,,,,,,,20165946,NY 145
213219652,213245888,0,False,residential,Wells Avenue,112.899,,,,,,,,,,,20166042,
213219652,213219707,0,False,residential,Wells Avenue,63.671,,,,,,,,,,,20166042,
213219652,213186408,0,False,residential,Cliff Street,80.094,,,,,,,,,,,20163635,
213219707,213219652,0,False,residential,Wells Avenue,63.671,,,,,,,,,,,20166042,
213219707,213244446,0,False,residential,Wells Avenue,108.285,,,,,,,,,,,20166042,
213219707,213219722,0,False,residential,Cliff Street,480.408,,,,30 mph,,,,,,,"[20163642, 20163639]",
213219722,213219725,0,False,residential,Cliff Street,118.708,,,,30 mph,,,,,,,20163642,
213219722,213242229,0,False,residential,Union Street,173.337,,,,,,,,,,,20165774,
213219722,213242226,0,False,residential,Union Street,183.043,,,,,,,,,,,20165774,
213219722,213219707,0,False,residential,Cliff Street,480.408,,,,30 mph,,,,,,,"[20163642, 20163639]",
213219725,213219722,0,False,residential,Cliff Street,118.708,,,,30 mph,,,,,,,20163642,
213219725,213223741,0,False,residential,Prospect Street,172.5,,,,30 mph,,,,,,,20164057,
213219725,5093586934,0,False,residential,Cliff Street,214.841,,,,30 mph,,,,,,,"[20163642, 217081823]",
213222943,213237266,0,False,secondary,Main Street,233.445,,,,,,,,,,,20165960,NY 145
213222943,213244572,0,False,secondary,Main Street,309.067,,,,,,,,,,,20165960,NY 145
213223058,213223059,0,False,residential,Griebel Lane,84.784,,,,,,,,,,,20163998,
213223059,213201686,0,False,residential,Griebel Lane,53.573,,,,,,,,,,,20163998,
213223059,213223058,0,False,residential,Griebel Lane,84.784,,,,,,,,,,,20163998,
213223059,213237991,0,False,residential,Pleasant Avenue,138.758,,,,,,,,,,,20165784,
213223155,213223156,0,False,residential,Danforth Avenue,163.779,,,,,,,,,,,20162873,
213223155,213211628,0,False,residential,Danforth Avenue,105.871,,,,,,,,,,,20162873,
213223155,3015677370,0,False,residential,Sheldon Street,144.358,,,,,,,,,,,20167027,
213223156,213223155,0,False,residential,Danforth Avenue,163.779,,,,,,,,,,,20162873,
213223156,213237985,0,False,secondary,River Street,151.123,,,,,,,,,,,20166995,NY 30
213223156,213244459,0,False,secondary,River Street,70.277,,,,,,,,,,,20166995,NY 30
213223741,213219725,0,False,residential,Prospect Street,172.5,,,,30 mph,,,,,,,20164057,
213223741,213214990,0,False,residential,Grove Street,131.907,,,,30 mph,,,,,,,20166433,
213223741,213242229,0,False,residential,Grove Street,122.551,,,,30 mph,,,,,,,20166433,
213223741,213223743,0,False,residential,Prospect Street,102.284,,,,30 mph,,,,,,,20164057,
213223743,213223741,0,False,residential,Prospect Street,102.284,,,,30 mph,,,,,,,20164057,
213230370,2903687799,0,False,residential,Papoose Path,37.939,,,,,,,,,,,20165372,
213230370,213237086,0,False,residential,Papoose Path,137.028,,,,,,,,,,,20165372,
213230370,213230375,0,False,residential,Warrior Way,534.867,,,,,,,,,,,20164763,
213230375,213245448,0,False,tertiary,Clauverwie,68.487,,,,,,,,,,,286690943,CR 36
213230375,213230370,0,False,residential,Warrior Way,534.867,,,,,,,,,,,20164763,
213230375,213245433,0,False,tertiary,Clauverwie,277.029,,,,,,,,,,,286690943,CR 36
213230869,213244562,0,False,tertiary,Huntersland Road,328.872,,,,,,,,,,,20167204,CR 21
213233505,213204352,0,False,residential,Maple Avenue,51.69,,,,,,,,,,,20165088,
213233505,213204344,0,False,residential,Wells Avenue,48.489,,,,,,,,,,,20166042,
213233505,213211626,0,False,residential,Wells Avenue,64.666,,,,,,,,,,,20166042,
213233509,3589161001,0,False,residential,Maple Avenue,312.886,,,,,,,,,,,20165088,
213233509,213215289,0,False,residential,Union Street,89.883,,,,,,,,,,,20165772,
213233509,213242229,0,False,residential,"['Maple Avenue', 'Union Street']",118.749,,,,,,,,,,,"[20165088, 20165774]",
213236081,213182637,0,False,residential,Middle-fort Road,320.332,,,,,,,,,,,20165281,
213236081,213237985,0,False,secondary,River Street,447.616,,,,,,,,,,,20166995,NY 30
213237086,213230370,0,False,residential,Papoose Path,137.028,,,,,,,,,,,20165372,
213237086,2903687798,0,False,residential,Papoose Path,36.96,,,,,,,,,,,20165372,
213237086,213245424,0,False,residential,Squaw Trail,536.458,,,,,,,,,,,20166917,
213237262,213237266,0,False,residential,Lawyers Lane,343.65,,,,,,,,,,,20165391,
213237266,213237262,0,False,residential,Lawyers Lane,343.65,,,,,,,,,,,20165391,
213237266,213222943,0,False,secondary,Main Street,233.445,,,,,,,,,,,20165960,NY 145
213237266,213244435,0,False,secondary,Main Street,281.441,,,,,,,,,,,418421458,NY 145
213237985,213237991,0,False,residential,Scribner Avenue,240.194,,,,,,,,,,,20165461,
213237985,213236081,0,False,secondary,River Street,447.616,,,,,,,,,,,20166995,NY 30
213237985,213223156,0,False,secondary,River Street,151.123,,,,,,,,,,,20166995,NY 30
213237991,213237993,0,False,residential,Scribner Avenue,61.098,,,,,,,,,,,20165461,
213237991,213237985,0,False,residential,Scribner Avenue,240.194,,,,,,,,,,,20165461,
213237991,213223059,0,False,residential,Pleasant Avenue,138.758,,,,,,,,,,,20165784,
213237993,213204344,0,False,residential,Scribner Avenue,27.875,,,,,,,,,,,20165461,
213237993,213237991,0,False,residential,Scribner Avenue,61.098,,,,,,,,,,,20165461,
213237993,213211628,0,True,residential,Railroad Avenue,141.713,,,,,,,,,,,310697587,
213242226,213219722,0,False,residential,Union Street,183.043,,,,,,,,,,,20165774,
213242226,2741462602,0,False,residential,MT Path,114.976,,,,,,,,,,,20165884,
