osmid,x,y,ref,highway
261340057,-73.638553,40.744732,,
261340058,-73.641328,40.743808,,
261340059,-73.643561,40.743068,,
261344300,-73.65019,40.749673,,
261344301,-73.650428,40.749598,,
261344303,-73.649778,40.737054,,
261351027,-73.638319,40.740818,,
261351030,-73.63765,40.739239,,
261352663,-73.622985,40.751584,,
261352665,-73.622767,40.751635,,
261363299,-73.629326,40.753093,,
261363300,-73.629701,40.753744,,
261363301,-73.630062,40.75437,,
261363302,-73.630424,40.754999,,
261363363,-73.653927,40.741867,,
261363364,-73.65505,40.741498,,
261363585,-73.651603,40.745661,,
261363588,-73.653801,40.749487,,
261363589,-73.648151,40.740464,,
261363590,-73.649029,40.741997,,
261363591,-73.65012,40.743885,,
261363592,-73.651223,40.745787,,
261363593,-73.65401,40.749424,,
261363594,-73.655244,40.752555,,
261365007,-73.646455,40.740939,,
261365008,-73.647378,40.742547,,
261365229,-73.62709,40.747745,,
261365230,-73.627366,40.748446,,
261365231,-73.627629,40.749118,,
261365232,-73.627882,40.749762,,
261366199,-73.648348,40.737314,,
261366200,-73.648665,40.738334,,
261367477,-73.646593,40.737631,,
261367478,-73.64693,40.738768,,
261367885,-73.655011,40.743754,,
261368670,-73.628992,40.750229,,
261368671,-73.62933,40.750819,,
261368672,-73.629695,40.751452,,
261368673,-73.630054,40.752075,,
261368676,-73.630433,40.752724,,
261370171,-73.646051,40.73955,,
261370172,-73.646801,40.740854,,
261372217,-73.641509,40.749918,,
261372218,-73.644322,40.748975,,
261372890,-73.634294,40.743671,,
261372891,-73.632163,40.744177,,
261372892,-73.630441,40.744588,,
261372893,-73.628682,40.745007,,
261372894,-73.626927,40.745429,,
261372896,-73.625199,40.745833,,
261373108,-73.62595,40.741381,,
261373109,-73.626563,40.743293,,
261375343,-73.637262,40.750456,,
261375347,-73.638455,40.752845,,
261375348,-73.638536,40.753529,,
261375513,-73.627354,40.743103,,
261377110,-73.6229783,40.7448653,,
261378953,-73.625973,40.751937,,
261378956,-73.625524,40.751011,,
261379037,-73.631887,40.743497,,
261379038,-73.632435,40.744833,,
261379039,-73.632703,40.745489,,
261379040,-73.632918,40.746017,,
261379584,-73.646223,40.74955,,
261379585,-73.647059,40.749293,,
261380788,-73.627559,40.752907,,
261380789,-73.625853,40.753476,,
261380791,-73.624261,40.754007,,
261380792,-73.624018,40.754093,,
261381199,-73.64339,40.739305,,
261381200,-73.64426,40.739097,,
261381201,-73.645124,40.73889,,
261381228,-73.641069,40.740122,,
261381230,-73.642611,40.739768,,
261382704,-73.624901,40.759,,
261383192,-73.64901,40.749312,,
261383193,-73.649832,40.749039,,
261383270,-73.650293,40.746095,,
261383272,-73.650688,40.74678,,
261383273,-73.651047,40.747408,,
261383274,-73.651412,40.748041,,
261383275,-73.651771,40.748666,,
261383276,-73.652131,40.749294,,
261383277,-73.652265,40.749532,,
261383280,-73.652456,40.749936,,
261383282,-73.652434,40.750194,,
261383285,-73.653085,40.75175,,
261383289,-73.653365,40.752403,,
261385665,-73.650946,40.739534,,
261385669,-73.650514,40.738787,,
261387636,-73.634225,40.754484,,
261387637,-73.633296,40.754792,,
261388026,-73.627657,40.747205,,
261390266,-73.637445,40.752915,,
261390267,-73.634201,40.753137,,
261390601,-73.629406,40.740757,,
261390602,-73.629937,40.742488,,
261391683,-73.634793,40.748974,,
261391684,-73.635729,40.748686,,
261391685,-73.636557,40.748407,,
261391741,-73.63753,40.748087,,
261391742,-73.637852,40.747978,,
261391743,-73.63997,40.747262,,
261391744,-73.642772,40.746324,,
261391745,-73.645007,40.745583,,
261391746,-73.645932,40.745276,,
261391747,-73.646807,40.744985,,
261391748,-73.648466,40.744434,,
261391749,-73.650962,40.743604,,
261391750,-73.651807,40.743323,,
261391751,-73.652633,40.743049,,
261391752,-73.653461,40.742773,,
261391753,-73.654288,40.742499,,
261391754,-73.655542,40.742078,,
261391779,-73.655249,40.741733,,
261391832,-73.636613,40.748389,,
261391833,-73.637313,40.748161,,
261392311,-73.634795,40.749637,,
261392312,-73.633045,40.750212,,
261393117,-73.645053,40.737917,,
261393118,-73.650374,40.736927,,
261393239,-73.620736,40.742318,,
261393240,-73.6221863,40.7420443,,
261393241,-73.6226146,40.7419683,,
261393242,-73.622778,40.741932,,
261393244,-73.624353,40.741669,,
261393245,-73.624541,40.741635,,
261393246,-73.625147,40.741526,,
261393247,-73.625428,40.741475,,
261393251,-73.629004,40.740829,,
261393252,-73.629882,40.740671,,
261393253,-73.630286,40.740598,,
261393255,-73.631161,40.74044,,
261393260,-73.633814,40.739965,,traffic_signals
261393263,-73.635714,40.73959,,
261393264,-73.636378,40.739455,,
261393267,-73.638295,40.739132,,
261393269,-73.639237,40.738973,,traffic_signals
261393271,-73.640505,40.738733,,traffic_signals
261393273,-73.64207,40.738449,,
261393274,-73.642966,40.73829,,
261393275,-73.643856,40.738125,,
261393276,-73.64474,40.737969,,
261393278,-73.645924,40.737749,,
261393279,-73.647472,40.737472,,
261393280,-73.649229,40.737154,,
261393281,-73.650102,40.736993,,
261393306,-73.623156,40.748637,,
261393309,-73.623049,40.749425,,
261393312,-73.623055,40.750142,,
261393316,-73.623209,40.750822,,
261393318,-73.623485,40.751466,,
261394373,-73.64245,40.75154,,
261394374,-73.645261,40.750609,,
261395100,-73.624813,40.75689,,
261398482,-73.622207,40.750308,,
261398492,-73.634747,40.747488,,
261398493,-73.631455,40.748235,,
261398496,-73.62591,40.749493,,
261398498,-73.624129,40.749896,,
261399638,-73.64651,40.737396,,
261401662,-73.633566,40.745283,,
261401663,-73.633785,40.745816,,
261402653,-73.625506,40.742647,,
261402654,-73.625762,40.743484,,
261402859,-73.639689,40.750401,,
261402862,-73.641425,40.749781,,
261403648,-73.647174,40.751332,,
261403649,-73.648007,40.751073,,
261404705,-73.657034,40.752156,,
261404706,-73.656105,40.752365,,
261404709,-73.654352,40.752734,,
261405031,-73.629883,40.750029,,
261405032,-73.631273,40.752444,,
261406167,-73.634565,40.751349,,
261406168,-73.633838,40.751593,,
261406169,-73.632992,40.751874,,
261406170,-73.63213,40.75216,,
261406171,-73.631841,40.752256,,
261406172,-73.627926,40.753558,,
261406174,-73.626427,40.754056,,
261406175,-73.626223,40.754127,,
261406183,-73.622648,40.755859,,
261406225,-73.645268,40.747763,,
261406793,-73.6233306,40.7443199,,
261407883,-73.624696,40.742787,,
261407884,-73.624965,40.743674,,
