osmid,x,y,ref,highway
212523112,-77.8796846,42.727516,,
212542549,-77.8614851,42.7215514,,
212542937,-77.8757305,42.7261384,,
212542939,-77.8745776,42.7265353,,
212542948,-77.8796271,42.7350234,,
212542952,-77.8767326,42.7359635,,
212544228,-77.8856383,42.7193573,,
212544235,-77.883963,42.7199639,,
212544242,-77.8826775,42.7203853,,
212544248,-77.8811614,42.7208767,,
212544250,-77.8803862,42.7211325,,
212544253,-77.8790804,42.7215593,,
212544256,-77.8773808,42.7221159,,
212544259,-77.8755614,42.7227143,,
212544264,-77.8728157,42.7235894,,
212544266,-77.8716471,42.7239695,,
212544268,-77.871015,42.7241804,,
212544407,-77.882174,42.7225824,,
212544980,-77.8755955,42.7293128,,
212544987,-77.8712432,42.7268045,,
212544994,-77.8731559,42.7276367,,
212545744,-77.874223,42.7258884,,traffic_signals
212545748,-77.8730095,42.7262783,,
212545755,-77.8685065,42.7276801,,
212546935,-77.8895351,42.7274001,,
212547137,-77.8733056,42.7243886,,
212547139,-77.8721215,42.7247654,,
212548680,-77.867101,42.725076,,
212548681,-77.867449,42.724964,,
212548682,-77.868104,42.724752,,
212548683,-77.868455,42.724639,,
212548686,-77.868656,42.724574,,
212549172,-77.8731713,42.7149729,,
212549175,-77.8739306,42.7161656,,
212549457,-77.867937,42.725652,,
212549796,-77.8685,42.725423,,
212550179,-77.873827,42.7252292,,traffic_signals
212550192,-77.8749339,42.724826,,
212550212,-77.8764575,42.7242541,,
212550219,-77.8782304,42.7235902,,
212550224,-77.8799305,42.7229285,,
212550230,-77.8800793,42.722876,,
212550238,-77.881262,42.7225847,,
212550254,-77.8826951,42.7225801,,
212550261,-77.8839914,42.7225496,,
212550266,-77.8852654,42.722086,,
212550270,-77.8866797,42.7210749,,
212550272,-77.88714,42.7207675,,
212550296,-77.8786178,42.7278724,,
212550299,-77.8790949,42.7288375,,
212551195,-77.8746335,42.7211584,,
212551198,-77.8764349,42.7206128,,
212552035,-77.8708147,42.7201919,,
212552043,-77.8684395,42.7205571,,
212552046,-77.8678922,42.7198054,,
212552054,-77.86787,42.7197698,,
212552933,-77.8751179,42.7143502,,
212552938,-77.8685948,42.716441,,
212553569,-77.8769184,42.7146774,,
212553574,-77.8768288,42.7148631,,
212553577,-77.8762544,42.7154407,,
212553587,-77.8720498,42.7167716,,
212553589,-77.8693114,42.717638,,
212553768,-77.8744309,42.7208115,,
212553771,-77.8716988,42.7216858,,
212554478,-77.8809399,42.7271124,,
212554527,-77.881298,42.726953,,
212554763,-77.8803038,42.7260908,,
212555484,-77.8809655,42.7372542,,
212555497,-77.8786626,42.7384404,,
212555643,-77.866407,42.7241885,,
212556171,-77.8753526,42.7254924,,stop
212556349,-77.8767655,42.7210988,,
212556351,-77.874944,42.7216764,,
212556356,-77.8722147,42.7225754,,
212557767,-77.8726389,42.7177818,,
212557771,-77.8698904,42.7186349,,
212559134,-77.8786234,42.7332892,,
212559138,-77.8753017,42.7343945,,
212562892,-77.8618167,42.7170593,,
212562893,-77.8655413,42.7158336,,
212562897,-77.8677924,42.7151012,,
212563855,-77.8684901,42.7195836,,
212568528,-77.8719126,42.722065,,
212568539,-77.87015,42.722658,,
212568544,-77.867113,42.72446,,
212570562,-77.88834,42.72375,,
212571233,-77.8805369,42.7364939,,
212571260,-77.87615,42.729142,,
212571300,-77.8803594,42.7362271,,
212571309,-77.8753005,42.7276863,,
212571311,-77.8754429,42.7279251,,
212572918,-77.8808328,42.7259354,,
212572920,-77.880685,42.725201,,
212573515,-77.8823549,42.7359118,,
212573681,-77.8679971,42.7154354,,
212575169,-77.879778,42.718522,,
212575388,-77.8725519,42.7282287,,
212577638,-77.8770707,42.7373251,,
212578687,-77.867767,42.724298,,
212583832,-77.870581,42.730949,,
212587003,-77.870726,42.722697,,
212587692,-77.8735309,42.7193211,,
212588901,-77.8769222,42.7250077,,stop
212591180,-77.8761414,42.7201205,,
212591197,-77.8787253,42.7244079,,stop
212591493,-77.868158,42.72417,,
1422654946,-77.8679253,42.721052,,
1422654950,-77.8681131,42.7214266,,
1422654952,-77.867329,42.7216687,,
1422654957,-77.8684538,42.7225623,,
1422654960,-77.8662826,42.7227007,,
1563247899,-77.8687195,42.7190739,,
1563247916,-77.8689997,42.7205735,,
4358025317,-77.8735886,42.7290972,,
4358025318,-77.8740384,42.729824,,
