osmid,x,y,ref,highway
212392025,-75.01618,43.188228,,
212392027,-75.014426,43.18904,,
212417694,-75.013985,43.18479,,
212417701,-75.011789,43.185015,,
212431596,-75.01319,43.187209,,
212431603,-75.011701,43.187816,,
212434317,-75.019517,43.192036,,
212434323,-75.019029,43.192715,,
212434491,-75.014491,43.185789,,
212434493,-75.014564,43.185933,,
212434505,-75.01834,43.190882,,
212444609,-75.017505,43.192365,,
212477069,-75.012683,43.186457,,
212478313,-75.015735,43.191205,,
212506805,-75.018764,43.184686,,
