u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
111238247,111238252,0,False,residential,,2.225,,,,,,,,,,,12272369,
111238247,111370438,0,False,residential,Elm Street,160.123,,,,,,,,,,,12294792,
111238247,111640809,0,False,residential,Spruce Street,199.846,,,,,,,,,,,12318992,
111238252,111238247,0,False,residential,,2.225,,,,,,,,,,,12272369,
111238252,111434518,0,False,residential,Elm Street,93.071,,,,,,,,,,,12294796,
111238252,111519941,0,False,residential,Spruce Street,142.312,,,,,,,,,,,12318979,
111268815,111268819,0,False,residential,,17.458,,,,,,,,,,,12275076,
111268819,111268824,0,False,residential,,93.682,,,,,,,,,,,12275076,
111268819,111268815,0,False,residential,,17.458,,,,,,,,,,,12275076,
111268819,111271783,0,False,residential,,53.951,,,,,,,,,,,12275421,
111268824,111268819,0,False,residential,,93.682,,,,,,,,,,,12275076,
111268824,111470866,0,False,tertiary,Langford Road,86.451,,,,,,,,,,,12319243,
111268824,111369058,0,False,tertiary,Langford Road,328.203,,,,,,,,,,,12319243,
111271783,111268819,0,False,residential,,53.951,,,,,,,,,,,12275421,
111278992,111278996,0,False,residential,,122.782,,,,,,,,,,,12276176,
111278996,111278992,0,False,residential,,122.782,,,,,,,,,,,12276176,
111278996,111470866,0,False,tertiary,Langford Road,406.058,,,,,,,,,,,12319243,
111279006,111279008,0,False,residential,,129.898,,,,,,,,,,,12276178,
111279008,111279006,0,False,residential,,129.898,,,,,,,,,,,12276178,
111279008,111369058,0,False,primary,Gowanda State Road,20.129,2,,,,,,,,,,12320639,US 62
111290510,111290514,0,False,residential,,5.075,,,,,,,,,,,12277681,
111290514,111290510,0,False,residential,,5.075,,,,,,,,,,,12277681,
111290514,111478212,0,False,residential,Park Street,147.341,,,,,,,,,,,12299847,
111290514,111488367,0,False,residential,"['Railroad Avenue', 'Harrison Avenue']",448.64,,,,,,,,,,,"[12312179, 12304669]",
111297312,111297316,0,False,residential,,17.384,,,,,,,,,,,12278605,
111297316,111297312,0,False,residential,,17.384,,,,,,,,,,,12278605,
111297316,111370432,0,False,residential,Walnut Street,229.731,,,,,,,,,,,12310577,
111297316,111381098,0,False,residential,Gurney Avenue,193.642,,,,,,,,,,,12289221,
111351256,111351258,0,False,residential,Woode Avenue,88.653,,,,,,,,,,,12285752,
111351256,111486308,0,False,residential,High Street,247.744,,,,,,,,,,,12316181,
111351256,111544659,0,False,residential,High Street,138.773,,,,,,,,,,,12316181,
111351258,111351261,0,False,residential,Woode Avenue,93.073,,,,,,,,,,,12285752,
111351258,111351256,0,False,residential,Woode Avenue,88.653,,,,,,,,,,,12285752,
111351258,111541484,0,False,residential,Pine Street,138.622,,,,,,,,,,,12307006,
111351261,111351258,0,False,residential,Woode Avenue,93.073,,,,,,,,,,,12285752,
111351261,111544663,0,False,residential,Front Street,138.44,,,,,,,,,,,12321044,
111367352,111367356,0,False,residential,Weiser Court,73.135,,,,,,,,,,,12287550,
111367356,111367352,0,False,residential,Weiser Court,73.135,,,,,,,,,,,12287550,
111367356,111470869,0,False,residential,Santello Drive,9.341,,,,,,,,,,,12299081,
111367356,111470866,0,False,residential,Santello Drive,75.446,,,,,,,,,,,12299081,
111369058,111369059,0,False,residential,Peter Drive,129.671,,,,,,,,,,,12287722,
111369058,111279008,0,False,primary,Gowanda State Road,20.129,2,,,,,,,,,,12320639,US 62
111369058,111383858,0,False,primary,Gowanda State Road,213.114,2,,,,,,,,,,12320639,US 62
