osmid,x,y,ref,highway
261340273,-73.692057,40.791264,,
261340278,-73.6921141,40.7904163,,
261340878,-73.6574973,40.7869053,,
261340988,-73.67339,40.772616,27S,motorway_junction
261341006,-73.671293,40.77308,,
261342448,-73.667155,40.783803,,
261342454,-73.667595,40.783212,,
261342513,-73.666148,40.786988,,
261342515,-73.666058,40.786796,,
261343004,-73.686269,40.772248,,
261343016,-73.673934,40.7742,,
261343022,-73.672506,40.774378,,
261343023,-73.667887,40.774925,27,motorway_junction
261343026,-73.6707196,40.7737552,,
261343035,-73.672899,40.772932,,
261344338,-73.688518,40.766328,26N,motorway_junction
261344347,-73.69046,40.76647,,
261344379,-73.692034,40.76425,,
261344382,-73.690561,40.765425,26S,motorway_junction
261344402,-73.690295,40.765897,,
261344413,-73.692,40.768931,,
261344414,-73.692547,40.768644,,
261344442,-73.7019461,40.7686815,,
261344447,-73.7036284,40.7693706,,
261344889,-73.693216,40.767332,,
261344892,-73.6913769,40.7683825,,
261345439,-73.6704342,40.7731602,,
261345465,-73.669504,40.773695,27N,motorway_junction
261346853,-73.664531,40.779303,,
261347466,-73.667166,40.791166,,
261347475,-73.668333,40.791017,,
261348940,-73.667877,40.780518,,
261348944,-73.667563,40.780574,,
261349189,-73.659606,40.779557,,
261349417,-73.6601383,40.7803868,,
261349499,-73.6678218,40.7699369,,
261349503,-73.666664,40.768995,,
261351364,-73.686694,40.771104,,
261351368,-73.685015,40.771879,,
261351381,-73.6807054,40.7722781,,
261351408,-73.6708136,40.7739576,,traffic_signals
261352282,-73.6721046,40.7696343,,
261352283,-73.6718337,40.770105,,
261352433,-73.689984,40.764591,,
261352453,-73.686869,40.766536,,
261355930,-73.693074,40.791973,,
261355945,-73.691351,40.791864,,
261357470,-73.667021,40.778923,,
261357482,-73.668357,40.778475,,
261357485,-73.668354,40.7824,,
261357486,-73.668162,40.782436,,
261357490,-73.668044,40.782067,,
261357495,-73.668237,40.78272,,
261358359,-73.679815,40.78813,,
261358360,-73.679895,40.788191,,
261358412,-73.676252,40.777185,,
261358413,-73.676211,40.777321,,
261359935,-73.667665,40.774809,,
261359995,-73.69007,40.764983,,
261360022,-73.6893,40.765748,26N,motorway_junction
261361178,-73.671425,40.777174,,
261361193,-73.671173,40.776772,,
261361797,-73.689692,40.79168,,
261361872,-73.671507,40.768242,,
261362919,-73.68724,40.788946,,
261362920,-73.687042,40.788371,,
261363086,-73.6600749,40.7783005,,
261363089,-73.657803,40.778639,,
261363623,-73.66772,40.788892,,
261363626,-73.667714,40.788446,,
261363630,-73.667436,40.787771,,
261366322,-73.663415,40.784671,,
261366327,-73.66279,40.782094,,
261366332,-73.661951,40.780029,,
261366336,-73.6613839,40.7793256,,traffic_signals
261369693,-73.673675,40.786159,,
261370408,-73.6760461,40.7701649,,
261370409,-73.6761024,40.7710709,,
261372806,-73.663727,40.78297,,
261372812,-73.663326,40.782229,,
261373274,-73.667802,40.790064,,
261373277,-73.666872,40.78922,,
261377991,-73.681124,40.766696,,
261377992,-73.681153,40.7670795,,turning_loop
261381535,-73.671397,40.767166,,
261381542,-73.675316,40.76697,,
261381553,-73.682682,40.766523,,turning_circle
261383664,-73.668787,40.787504,,
261383667,-73.669133,40.788344,,
261384758,-73.665994,40.778511,,
261384786,-73.66823,40.777806,,
261384814,-73.66823,40.782001,,
261384821,-73.669302,40.781238,,
261390223,-73.6741388,40.7828197,,
261390487,-73.6711873,40.769587,,
261390488,-73.6707903,40.7703031,,
261392273,-73.686825,40.789295,,
261396117,-73.676862,40.76503,,
261396687,-73.665534,40.783087,,
261396691,-73.666075,40.78357,,
261396968,-73.66915,40.789155,,
261396978,-73.670518,40.789719,,
261398281,-73.690552,40.766791,,
261398468,-73.659999,40.788134,,
261398481,-73.660829,40.789656,,
261399003,-73.674703,40.785993,,
261399292,-73.674436,40.785179,,
