u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
62630411,677214362,0,False,primary,South Main Street,92.215,,,,,,,,,,,8748663,NY 56
62630411,62785861,0,False,primary,South Main Street,28.64,,,,,,,,,,,8748663,NY 56
62630411,62630438,0,True,residential,Bank Street,191.158,,,,,,,,,,,8735128,
62630438,62767795,0,True,residential,Mechanic Street,47.312,,,,,,,,,,,8747487,
62689679,62689680,0,False,residential,Railroad Avenue,118.211,,,,,,,,,,,8742428,
62689679,62703436,0,False,residential,Bernard Avenue,245.639,,,,,,,,,,,8746316,
62689679,62758281,0,False,residential,"['Bernard Avenue', 'Spruce Street']",353.183,,,,,,,,,,,"[8746848, 8746316]",
62689680,62689681,0,False,residential,Railroad Avenue,72.848,,,,,,,,,,,8742428,
62689680,62689679,0,False,residential,Railroad Avenue,118.211,,,,,,,,,,,8742428,
62689680,62758281,0,False,residential,Park Street,296.776,,,,,,,,,,,8752845,
62689680,62697336,0,False,residential,Park Street,246.09,,,,,,,,,,,8752845,
62689681,62689680,0,False,residential,Railroad Avenue,72.848,,,,,,,,,,,8742428,
62689681,62697331,0,False,residential,Spring Street,45.32,,,,,,,,,,,8742990,
62689681,62697336,0,False,residential,Spring Street,254.943,,,,,,,,,,,8742990,
62696849,62749687,0,False,primary,South Main Street,87.524,,,,,,,,,,,8748663,NY 56
62696849,62696858,0,False,residential,Whitney Street,311.64,,,,,,,,,,,8742951,
62696849,62713606,0,False,primary,South Main Street,1011.666,,,,,,,,,,,8748663,NY 56
62696849,62909202,0,False,residential,Elm Street,332.106,,,,,,,,,,,8759294,
62696858,62871839,0,False,residential,Morgan Road,44.921,,,,,,,,,,,8754114,
62696858,62696849,0,False,residential,Whitney Street,311.64,,,,,,,,,,,8742951,
62696858,62714189,0,False,residential,Morgan Road,186.992,,,,,,,,,,,8754114,
62697324,62697326,0,False,residential,Spring Street,72.984,,,,,,,,,,,8742990,
62697324,62851778,0,False,residential,River Street,224.934,,,,,,,,,,,8754784,
62697324,62706499,0,False,residential,"['Spring Street', 'Ridge Street']",245.482,,,,,,,yes,,,,"[42057702, 8747734, 8742990]",
62697326,62697324,0,False,residential,Spring Street,72.984,,,,,,,,,,,8742990,
62697326,62697331,0,False,residential,Spring Street,387.867,,,,,,,,,,,8742990,
62697326,62758281,0,False,residential,Spruce Street,232.467,,,,,,,,,,,8746848,
62697326,62758935,0,False,residential,Outer Maple Street,26.815,,,,,,,,,,,8746893,
62697331,62689681,0,False,residential,Spring Street,45.32,,,,,,,,,,,8742990,
62697331,62909202,0,False,residential,Pleasant Street,171.193,,,,,,,,,,,8756948,
62697331,62697326,0,False,residential,Spring Street,387.867,,,,,,,,,,,8742990,
62697336,62703436,0,False,residential,Park Avenue,119.881,,,,,,,,,,,8743397,
62697336,62689681,0,False,residential,Spring Street,254.943,,,,,,,,,,,8742990,
62697336,62785861,0,False,residential,Park Street,96.238,,,,,,,,,,,8752845,
62697336,62689680,0,False,residential,Park Street,246.09,,,,,,,,,,,8752845,
62703436,62697336,0,False,residential,Park Avenue,119.881,,,,,,,,,,,8743397,
62703436,677214362,0,False,residential,Bernard Avenue,102.335,,,,,,,,,,,8746316,
62703436,62689679,0,False,residential,Bernard Avenue,245.639,,,,,,,,,,,8746316,
62706499,62887159,0,False,residential,"['Walnut Street', 'High Street']",357.55,,,,,,,,,,,"[8758328, 8743591]",
62706499,62697324,0,False,residential,"['Ridge Street', 'Spring Street']",245.482,,,,,,,yes,,,,"[8742990, 42057702, 8747734]",
62706499,62771520,0,False,residential,Ridge Street,210.119,,,,,,,,,,,8747734,
62708176,62758281,0,False,residential,Park Street,56.202,,,,,,,,,,,8752845,
62708176,62708181,0,False,residential,Ashley Street,238.362,,,,,,,,,,,8743727,
62708176,62851778,0,False,residential,Park Street,175.694,,,,,,,,,,,8752845,
62708181,62708176,0,False,residential,Ashley Street,238.362,,,,,,,,,,,8743727,
62708181,62761561,0,False,residential,Prospect Street,554.983,,,,,,,,,,,8754506,
62708181,62876521,0,False,residential,Prospect Street,29.299,,,,,,,,,,,8754506,
62709267,62709270,0,False,residential,Rupert Palmen Lane,66.114,,,,,,,,,,,8743818,
62709267,62917940,0,False,residential,Sports Avenue,119.498,,,,,,,,,,,8757617,
62709267,62917928,0,False,residential,Sports Avenue,146.568,,,,,,,,,,,8757617,
62709270,62709267,0,False,residential,Rupert Palmen Lane,66.114,,,,,,,,,,,8743818,
62713606,62713615,0,False,residential,Lake Shore Drive,933.899,,,,,,,,,,,8744097,
62713606,62696849,0,False,primary,South Main Street,1011.666,,,,,,,,,,,8748663,NY 56
62713615,62713606,0,False,residential,Lake Shore Drive,933.899,,,,,,,,,,,8744097,
62713615,62914853,0,False,residential,Riverside Drive,214.837,,,,,,,,,,,8757383,
62714183,62714185,0,False,residential,Bicknell Street,162.182,,,,,,,,,,,8744127,
62714183,62785861,0,False,primary,South Main Street,44.548,,,,,,,,,,,8748663,NY 56
62714183,62749687,0,False,primary,South Main Street,66.923,,,,,,,,,,,8748663,NY 56
62714185,62714183,0,False,residential,Bicknell Street,162.182,,,,,,,,,,,8744127,
62714185,62767795,0,False,residential,Leonard Street,140.814,,,,,,,,,,,8747608,
62714185,62714189,0,False,residential,Bicknell Street,57.675,,,,,,,,,,,8744127,
62714189,62714185,0,False,residential,Bicknell Street,57.675,,,,,,,,,,,8744127,
62714189,62721119,0,False,residential,Depot Street,119.171,,,,,,,,,,,8746548,
62714189,62696858,0,False,residential,Morgan Road,186.992,,,,,,,,,,,8754114,
62721119,62721119,0,False,residential,"['Town Line Road', 'Depot Street', 'Pine Street', 'Lang Street']",995.209,,,,,,,,,,,"[8744832, 8755218, 8746548, 8755338]",
62721119,62721119,1,False,residential,"['Town Line Road', 'Depot Street', 'Pine Street', 'Lang Street']",995.209,,,,,,,,,,,"[8744832, 8755338, 8755218, 8746548]",
62721119,62714189,0,False,residential,Depot Street,119.171,,,,,,,,,,,8746548,
62727607,62727622,0,False,residential,Baldwin Avenue,50.057,,,,,,,,,,,8757656,
62727607,62858307,0,False,residential,Baldwin Avenue,91.911,,,,,,,,,,,8757656,
62727622,62727607,0,False,residential,Baldwin Avenue,50.057,,,,,,,,,,,8757656,
62727622,62727607,1,True,residential,Baldwin Acres,188.301,,,,,,,,,,,8745204,
62727622,62918559,0,False,residential,Baldwin Avenue,207.884,,,,,,,,,,,8757656,
62749687,62714183,0,False,primary,South Main Street,66.923,,,,,,,,,,,8748663,NY 56
62749687,62696849,0,False,primary,South Main Street,87.524,,,,,,,,,,,8748663,NY 56
62749687,62749694,0,False,residential,Mc Kinley Street,120.409,,,,,,,,,,,8746399,
62749694,62749687,0,False,residential,Mc Kinley Street,120.409,,,,,,,,,,,8746399,
62751285,62858309,0,False,primary,North Main Street,128.52,,,,,,,,,,,8753288,NY 56
62751285,62761561,0,False,residential,"['Harrison Street', 'Morton Street']",298.346,,,,,,,,,,,"[8746496, 8747091]",
62751285,62858317,0,False,primary,North Main Street,354.182,,,,,,,,,,,8753288,NY 56
62758281,62689680,0,False,residential,Park Street,296.776,,,,,,,,,,,8752845,
62758281,62708176,0,False,residential,Park Street,56.202,,,,,,,,,,,8752845,
62758281,62689679,0,False,residential,"['Bernard Avenue', 'Spruce Street']",353.183,,,,,,,,,,,"[8746848, 8746316]",
62758281,62697326,0,False,residential,Spruce Street,232.467,,,,,,,,,,,8746848,
62758932,62866117,0,False,residential,Elm Street,46.219,,,,,,,,,,,8759294,
62758932,62758935,0,False,residential,Outer Maple Street,170.073,,,,,,,,,,,8746893,
62758932,62937862,0,False,residential,Elm Street,166.888,,,,,,,,,,,8759294,
62758935,62697326,0,False,residential,Outer Maple Street,26.815,,,,,,,,,,,8746893,
62758935,62758932,0,False,residential,Outer Maple Street,170.073,,,,,,,,,,,8746893,
62758935,62866117,0,False,residential,Maple Street Trailer Court,179.837,,,,,,,,,,,8753815,
62761561,62858309,0,False,residential,Prospect Street,163.092,,,,,,,,,,,8754506,
62761561,62751285,0,False,residential,"['Harrison Street', 'Morton Street']",298.346,,,,,,,,,,,"[8746496, 8747091]",
62761561,62708181,0,False,residential,Prospect Street,554.983,,,,,,,,,,,8754506,
62767795,62714185,0,False,residential,Leonard Street,140.814,,,,,,,,,,,8747608,
62767795,62925353,0,False,residential,Lafayette Street,104.657,,,,,,,,,,,8758115,
62771500,62771502,0,False,residential,Ridge Street,165.12,,,,,,,,,,,8747734,
62771500,62779706,0,False,residential,River Road,106.495,,,,,,,,,,,153110366,
62771502,62771500,0,False,residential,Ridge Street,165.12,,,,,,,,,,,8747734,
62771502,62771520,0,False,residential,Ridge Street,431.766,,,,,,,,,,,8747734,
62771502,62779699,0,False,residential,Noreen Drive,110.114,,,,,,,,,,,8748244,
62771520,62706499,0,False,residential,Ridge Street,210.119,,,,,,,,,,,8747734,
62771520,62771502,0,False,residential,Ridge Street,431.766,,,,,,,,,,,8747734,
62771520,62887159,0,False,residential,Blanchard Avenue,178.829,,,,,,,,,,,8755430,
62779699,62771502,0,False,residential,Noreen Drive,110.114,,,,,,,,,,,8748244,
62779699,62779706,0,False,residential,Noreen Drive,168.812,,,,,,,,,,,8748245,
62779699,62917570,0,False,residential,"['Crescent Drive', 'Circle Drive']",260.135,,,,,,,,,,,"[8748969, 8757588]",
62779706,62771500,0,False,residential,River Road,106.495,,,,,,,,,,,153110366,
62779706,62779699,0,False,residential,Noreen Drive,168.812,,,,,,,,,,,8748245,
62785861,62630411,0,False,primary,South Main Street,28.64,,,,,,,,,,,8748663,NY 56
62785861,62714183,0,False,primary,South Main Street,44.548,,,,,,,,,,,8748663,NY 56
62785861,62697336,0,False,residential,Park Street,96.238,,,,,,,,,,,8752845,
62851778,62697324,0,False,residential,River Street,224.934,,,,,,,,,,,8754784,
62851778,62708176,0,False,residential,Park Street,175.694,,,,,,,,,,,8752845,
62851778,62878616,0,False,residential,River Street,149.004,,,,,,,,,,,8754784,
62858307,62858309,0,False,primary,North Main Street,34.743,,,,,,,,,,,8753288,NY 56
62858307,677214363,0,False,primary,North Main Street,136.32,,,,,,,,,,,8753288,NY 56
62858307,62727607,0,False,residential,Baldwin Avenue,91.911,,,,,,,,,,,8757656,
62858309,62751285,0,False,primary,North Main Street,128.52,,,,,,,,,,,8753288,NY 56
62858309,62858307,0,False,primary,North Main Street,34.743,,,,,,,,,,,8753288,NY 56
62858309,62761561,0,False,residential,Prospect Street,163.092,,,,,,,,,,,8754506,
62858317,62751285,0,False,primary,North Main Street,354.182,,,,,,,,,,,8753288,NY 56
62858317,62886235,0,False,residential,Cedar Street,355.366,,,,,,,,,,,8755373,
62860477,62860481,0,False,residential,Orchard Street,62.882,,,,,,,,,,,8753409,
62860477,62897460,0,False,residential,Cottage Street,79.682,,,,,,,,,,,8756156,
62860477,62897451,0,False,residential,Cottage Street,209.814,,,,,,,,,,,8756156,
62860481,62860477,0,False,residential,Orchard Street,62.882,,,,,,,,,,,8753409,
62860481,62892645,0,False,residential,Baldwin Avenue,83.691,,,,,,,,,,,8757656,
62860481,62882962,0,False,residential,"['Pairie Street', 'Baldwin Avenue']",227.051,,,,,,,,,,,"[8757656, 8755154]",
62866117,62758932,0,False,residential,Elm Street,46.219,,,,,,,,,,,8759294,
62866117,62758935,0,False,residential,Maple Street Trailer Court,179.837,,,,,,,,,,,8753815,
62866117,62917940,0,False,residential,Elm Street,421.433,,,,,,,,,,,8759294,
62870259,62876521,0,False,residential,"['Clark Street', 'New Street']",372.788,,,,,,,,,,,"[8757000, 8754021]",
62871839,62696858,0,False,residential,Morgan Road,44.921,,,,,,,,,,,8754114,
62871839,2308996547,0,False,residential,Felton Street,101.174,,,,,,,,,,,221921692,
62876514,62876521,0,False,residential,Prospect Street,145.612,,,,,,,,,,,8754506,
62876521,62708181,0,False,residential,Prospect Street,29.299,,,,,,,,,,,8754506,
62876521,62876514,0,False,residential,Prospect Street,145.612,,,,,,,,,,,8754506,
62876521,62870259,0,False,residential,"['Clark Street', 'New Street']",372.788,,,,,,,,,,,"[8757000, 8754021]",
62878616,62851778,0,False,residential,River Street,149.004,,,,,,,,,,,8754784,
62882962,62860481,0,False,residential,"['Pairie Street', 'Baldwin Avenue']",227.051,,,,,,,,,,,"[8757656, 8755154]",
62886235,62858317,0,False,residential,Cedar Street,355.366,,,,,,,,,,,8755373,
62886235,62892645,0,False,residential,Grove Street,335.482,,,,,,,,,,,8755867,
62887159,62771520,0,False,residential,Blanchard Avenue,178.829,,,,,,,,,,,8755430,
62887159,62706499,0,False,residential,"['Walnut Street', 'High Street']",357.55,,,,,,,,,,,"[8758328, 8743591]",
62887159,62929052,0,False,residential,High Street,148.465,,,,,,,,,,,8758328,
62892645,62860481,0,False,residential,Baldwin Avenue,83.691,,,,,,,,,,,8757656,
62892645,62886235,0,False,residential,Grove Street,335.482,,,,,,,,,,,8755867,
62892645,62918559,0,False,residential,Baldwin Avenue,102.913,,,,,,,,,,,8757656,
62897451,62918559,0,False,residential,Lafayette Street,67.915,,,,,,,,,,,8758110,
62897451,62925332,0,False,residential,Lafayette Street,53.99,,,,,,,,,,,8758110,
62897451,62860477,0,False,residential,Cottage Street,209.814,,,,,,,,,,,8756156,
62897460,62860477,0,False,residential,Cottage Street,79.682,,,,,,,,,,,8756156,
62909202,62697331,0,False,residential,Pleasant Street,171.193,,,,,,,,,,,8756948,
62909202,62917940,0,False,residential,Elm Street,11.429,,,,,,,,,,,8759294,
62909202,62696849,0,False,residential,Elm Street,332.106,,,,,,,,,,,8759294,
62914853,62713615,0,False,residential,Riverside Drive,214.837,,,,,,,,,,,8757383,
62917570,62779699,0,False,residential,"['Crescent Drive', 'Circle Drive']",260.135,,,,,,,,,,,"[8748969, 8757588]",
62917928,62709267,0,False,residential,Sports Avenue,146.568,,,,,,,,,,,8757617,
62917940,62909202,0,False,residential,Elm Street,11.429,,,,,,,,,,,8759294,
62917940,62709267,0,False,residential,Sports Avenue,119.498,,,,,,,,,,,8757617,
62917940,62866117,0,False,residential,Elm Street,421.433,,,,,,,,,,,8759294,
62918559,62897451,0,False,residential,Lafayette Street,67.915,,,,,,,,,,,8758110,
62918559,62727622,0,False,residential,Baldwin Avenue,207.884,,,,,,,,,,,8757656,
62918559,62892645,0,False,residential,Baldwin Avenue,102.913,,,,,,,,,,,8757656,
62925332,62897451,0,False,residential,Lafayette Street,53.99,,,,,,,,,,,8758110,
62925353,62767795,0,False,residential,Lafayette Street,104.657,,,,,,,,,,,8758115,
62929052,62887159,0,False,residential,High Street,148.465,,,,,,,,,,,8758328,
62937862,62758932,0,False,residential,Elm Street,166.888,,,,,,,,,,,8759294,
677214362,62703436,0,False,residential,Bernard Avenue,102.335,,,,,,,,,,,8746316,
677214362,62630411,0,False,primary,South Main Street,92.215,,,,,,,,,,,8748663,NY 56
677214362,677214363,0,False,primary,North Main Street,6.784,,,,,,,,,,,8753288,NY 56
677214363,62630438,0,True,residential,Mechanic Street,111.292,,,,,,,,,,,8747487,
677214363,677214362,0,False,primary,North Main Street,6.784,,,,,,,,,,,8753288,NY 56
677214363,62858307,0,False,primary,North Main Street,136.32,,,,,,,,,,,8753288,NY 56
2308996547,62871839,0,False,residential,Felton Street,101.174,,,,,,,,,,,221921692,
