u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
212888554,212888555,0,False,unclassified,,46.897,,,,,,,,,,,20134265,
212888554,213142620,0,True,secondary,South Main Street,52.269,,,,,,,,,,,48207758,NY 26
212888555,212888554,0,False,unclassified,,46.897,,,,,,,,,,,20134265,
212888555,213076950,0,True,secondary,South Main Street,382.652,,,,,,,,,,,20154565,NY 26
212939238,212939241,0,False,residential,Elm Avenue,74.313,,,,,,,,,,,20138214,
212939238,213010042,0,False,secondary,Madison Street,8.54,,,,,,,,,,,20147740,NY 12B;NY 26
212939238,212939247,0,False,secondary,Madison Street,38.618,,,,,,,,,,,20147740,NY 12B;NY 26
212939241,212939238,0,False,residential,Elm Avenue,74.313,,,,,,,,,,,20138214,
212939247,212939249,0,False,residential,Elm Avenue,66.641,,,,,,,,,,,20138215,
212939247,212939238,0,False,secondary,Madison Street,38.618,,,,,,,,,,,20147740,NY 12B;NY 26
212939249,212939247,0,False,residential,Elm Avenue,66.641,,,,,,,,,,,20138215,
212940147,212940162,0,False,residential,McAdam Street,106.822,,,,,,,,,,,20138310,
212940162,213063546,0,False,secondary,Madison Street,133.605,,,,,,,,,,,20147740,NY 12B;NY 26
212940162,212940147,0,False,residential,McAdam Street,106.822,,,,,,,,,,,20138310,
212940162,213010042,0,False,secondary,Madison Street,89.211,,,,,,,,,,,20147740,NY 12B;NY 26
212955758,212968011,0,False,tertiary,Broad Street,81.221,,,,,,,,,,,20140396,CR 3
212955758,212955769,0,False,residential,Mill Street,129.046,,,,,,,,,,,20139394,
212955769,212955758,0,False,residential,Mill Street,129.046,,,,,,,,,,,20139394,
212968011,212955758,0,False,tertiary,Broad Street,81.221,,,,,,,,,,,20140396,CR 3
212968011,212968015,0,False,tertiary,Broad Street,106.857,,,,,,,,,,,20140396,CR 3
212968011,213050018,0,False,residential,Cassety Street,42.531,,,,,,,yes,,,,"[20150074, 242672419, 242672420]",
212968015,212968011,0,False,tertiary,Broad Street,106.857,,,,,,,,,,,20140396,CR 3
212968015,212994832,0,False,secondary,Madison Street,55.122,,,,,,,,,,,48207761,NY 12B;NY 26
212968015,213063573,0,False,secondary,Madison Street,45.554,,,,,,,yes,,,,"[20147740, 242672430, 242672431]",NY 12B;NY 26
212994832,212994833,0,False,tertiary,College Street,72.729,,,,,,,,,,,20142277,
212994832,213038871,0,False,secondary,Main Street,221.025,,,,,,,,,,,20148499,NY 12B
212994832,212888555,0,True,secondary,South Main Street,344.317,,,,,,,,,,,20154565,NY 26
212994832,212968015,0,False,secondary,Madison Street,55.122,,,,,,,,,,,48207761,NY 12B;NY 26
212994833,212994835,0,False,tertiary,College Street,22.273,,,,,,,,,,,20142277,
212994833,212994832,0,False,tertiary,College Street,72.729,,,,,,,,,,,20142277,
212994833,213129580,0,False,residential,Scerbo Lane,101.265,,,,,,,,,,,20151711,
212994835,212994833,0,False,tertiary,College Street,22.273,,,,,,,,,,,20142277,
213010042,213010045,0,False,residential,Maple Street,34.754,,,,,,,,,,,20143413,
213010042,212939238,0,False,secondary,Madison Street,8.54,,,,,,,,,,,20147740,NY 12B;NY 26
213010042,212940162,0,False,secondary,Madison Street,89.211,,,,,,,,,,,20147740,NY 12B;NY 26
213010045,213010042,0,False,residential,Maple Street,34.754,,,,,,,,,,,20143413,
213021156,213076937,0,False,secondary,Augusta Road,46.733,,,,,,,,,,,48207760,NY 26
213021156,213095360,0,False,unclassified,Augusta Road,79.334,,,,,,,,,,,20149575,
213021156,213167885,0,True,secondary,South Main Street,25.71,,,,,,,,,,,48207758,NY 26
213038871,212994835,0,True,residential,Cottage Street,185.688,,,,,,,,,,,20145904,
213038871,213040264,0,False,secondary,North Main Street,193.98,,,,,,,,,,,20146059,NY 12B
213038871,212994832,0,False,secondary,Main Street,221.025,,,,,,,,,,,20148499,NY 12B
213040264,213038871,0,False,secondary,North Main Street,193.98,,,,,,,,,,,20146059,NY 12B
213040264,213140069,0,False,residential,Geranium Lane,107.983,,,,,,,,,,,20152422,
213050014,213050018,0,False,residential,Cooper Street,103.344,,,,,,,,,,,20146862,
213050014,213162743,0,False,residential,Maple Avenue,226.522,,,,,,,,,,,20154104,
213050018,213050014,0,False,residential,Cooper Street,103.344,,,,,,,,,,,20146862,
213050018,213063573,0,False,residential,Davie Lane,108.61,,,,,,,,,,,20149674,
213050018,212968011,0,False,residential,Cassety Street,42.531,,,,,,,yes,,,,"[20150074, 242672419, 242672420]",
213050018,213103403,0,False,residential,Cassety Street,62.154,,,,,,,,,,,20150074,
213063546,212940162,0,False,secondary,Madison Street,133.605,,,,,,,,,,,20147740,NY 12B;NY 26
213063546,213110109,0,False,residential,Newel Street,39.781,,,,,,,,,,,20150540,
213063546,213063561,0,False,secondary,Madison Street,291.07,,,,,,,,,,,20147740,NY 12B;NY 26
213063561,213063573,0,False,secondary,Madison Street,219.628,,,,,,,,,,,20147740,NY 12B;NY 26
213063561,213063546,0,False,secondary,Madison Street,291.07,,,,,,,,,,,20147740,NY 12B;NY 26
213063561,213142620,0,False,residential,Division Street,105.937,,,,,,,yes,,,,"[242672424, 242672425, 20152605]",
213063573,212968015,0,False,secondary,Madison Street,45.554,,,,,,,yes,,,,"[20147740, 242672430, 242672431]",NY 12B;NY 26
213063573,213063561,0,False,secondary,Madison Street,219.628,,,,,,,,,,,20147740,NY 12B;NY 26
213063573,213050018,0,False,residential,Davie Lane,108.61,,,,,,,,,,,20149674,
213076937,213021156,0,False,secondary,Augusta Road,46.733,,,,,,,,,,,48207760,NY 26
213076950,213076937,0,True,secondary,Main Street,41.803,,,,,,,,,,,20148500,NY 26
213076950,213021156,0,True,secondary,South Main Street,29.153,,,,,,,,,,,48207759,
213095360,213021156,0,False,unclassified,Augusta Road,79.334,,,,,,,,,,,20149575,
213095360,213167885,0,False,tertiary,South Main Street,76.377,,,,,,,,,,,20154567,CR 3
213103403,213050018,0,False,residential,Cassety Street,62.154,,,,,,,,,,,20150074,
213110109,213063546,0,False,residential,Newel Street,39.781,,,,,,,,,,,20150540,
213129580,212994833,0,False,residential,Scerbo Lane,101.265,,,,,,,,,,,20151711,
213140069,213040264,0,False,residential,Geranium Lane,107.983,,,,,,,,,,,20152422,
213142620,212968015,0,True,secondary,South Main Street,258.509,,,,,,,,,,,48207758,NY 26
213142620,213063561,0,False,residential,Division Street,105.937,,,,,,,yes,,,,"[242672424, 242672425, 20152605]",
213162743,213050014,0,False,residential,Maple Avenue,226.522,,,,,,,,,,,20154104,
213167885,213095360,0,False,tertiary,South Main Street,76.377,,,,,,,,,,,20154567,CR 3
213167885,212888554,0,True,secondary,South Main Street,391.03,,,,,,,,,,,48207758,NY 26
