u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
221715114,221715117,0,False,residential,,41.786,,,,,,,,,,,20652018,
221715114,222261359,0,False,tertiary,Seybolt Avenue,21.873,,,,,,,,,,,20706267,CR 73
221715114,222063749,0,False,tertiary,Seybolt Avenue,408.259,,,,,,,,,,,20706267,CR 73
221715117,221715114,0,False,residential,,41.786,,,,,,,,,,,20652018,
221715117,221715187,0,False,residential,,38.434,,,,,,,,,,,20652027,
221715117,222261363,0,False,residential,Orchard Street,98.575,,,,,,,,,,,20697566,
221715117,222261359,0,False,residential,Orchard Street,33.609,,,,,,,,,,,20697566,
221715187,221715117,0,False,residential,,38.434,,,,,,,,,,,20652027,
221715187,222261359,0,False,tertiary,Seybolt Avenue,21.765,,,,,,,,,,,20706267,CR 73
221715187,222352907,0,False,tertiary,Seybolt Avenue,89.937,,,,,,,,,,,20706267,CR 73
221751552,221794299,0,False,tertiary,Sanitorium Avenue,39.137,,,,,,,,,,,20694963,CR 90
221751552,221996770,0,False,tertiary,Sanitorium Avenue,73.21,,,,,,,,,,,20694963,CR 90
221794299,221751552,0,False,tertiary,Sanitorium Avenue,39.137,,,,,,,,,,,20694963,CR 90
221820927,222163463,0,False,secondary,State Street,45.837,,,,,,,,,,,20689692,NY 211
221820927,221820942,0,False,residential,,110.692,,,,,,,,,,,20663432,
221820927,221921287,0,False,secondary,State Street,134.529,,,,,,,,,,,20689692,NY 211
221820942,221820927,0,False,residential,,110.692,,,,,,,,,,,20663432,
221843844,221843866,0,False,tertiary,Mount Hope Avenue,196.668,,,,,,,,,,,20666304,CR 11
221843844,2418163130,0,False,tertiary,Mount Hope Avenue,79.7,,,,,,,,,,,20666304,CR 11
221843866,221843877,0,False,tertiary,Mount Hope Avenue,177.445,,,,,,,,,,,20666304,CR 11
221843866,221843844,0,False,tertiary,Mount Hope Avenue,196.668,,,,,,,,,,,20666304,CR 11
221843866,222193529,0,False,residential,Otis Circle,80.771,,,,,,,,,,,20692181,
221843877,222352896,0,False,tertiary,Seybolt Avenue,55.528,,,,,,,,,,,20706269,
221843877,221843866,0,False,tertiary,Mount Hope Avenue,177.445,,,,,,,,,,,20666304,CR 11
221843877,221961404,0,False,tertiary,Highland Avenue,40.554,,,,,,,,,,,20674575,CR 11
221848890,221848904,0,False,residential,Geoffrey Court,108.789,1,,,,,,,,,,20666807,
221848890,222034277,0,False,residential,Laura Lane,108.504,,,,,,,,,,,20678340,
221848890,222034250,0,False,residential,Laura Lane,127.95,,,,,,,,,,,20678340,
221848904,221848890,0,False,residential,Geoffrey Court,108.789,1,,,,,,,,,,20666807,
221868696,221868829,0,False,residential,Boorman Terrace,516.725,,,,,,,,,,,20668530,
221868829,221961417,0,False,residential,Borden Street,157.829,,,,,,,,,,,20707499,
221868829,221868696,0,False,residential,Boorman Terrace,516.725,,,,,,,,,,,20668530,
221868829,222372429,0,False,residential,Borden Street,101.189,,,,,,,,,,,20707499,
221872313,221872369,0,False,residential,Schobl Street,546.187,,,,,,,,,,,20668819,
221872313,222063796,0,False,residential,Field Road,195.58,,,,,,,,,,,20680112,
221872313,222063749,0,False,residential,Field Road,506.033,,,,,,,,,,,20680112,
221872369,221872313,0,False,residential,Schobl Street,546.187,,,,,,,,,,,20668819,
221872369,222289806,0,False,residential,Main Street,54.31,,,,,,,,,,,20700589,
221872369,222063796,0,False,residential,Main Street,497.87,,,,,,,,,,,20700589,
221921287,221820927,0,False,secondary,State Street,134.529,,,,,,,,,,,20689692,NY 211
221951546,222296170,0,False,residential,Wallace Street,29.433,,,,,,,,,,,20701252,
221951546,221951566,0,False,residential,Kelly Hill Road,48.116,,,,,,,,,,,20674004,
221951566,221951546,0,False,residential,Kelly Hill Road,48.116,,,,,,,,,,,20674004,
221951566,222163421,0,False,secondary,State Street,196.205,,,,,,,,,,,20689687,NY 211
221951566,221961484,0,False,secondary,State Highway 211,55.083,,,,,,,,,,,303563854,NY 211
221961404,221961414,0,False,tertiary,Highland Avenue,137.31,,,,,,,,,,,20674575,CR 11
221961404,221843877,0,False,tertiary,Highland Avenue,40.554,,,,,,,,,,,20674575,CR 11
221961404,222352896,0,False,tertiary,Seybolt Avenue,37.681,,,,,,,,,,,20706267,CR 73
221961414,221961417,0,False,tertiary,Highland Avenue,33.066,,,,,,,,,,,20674575,CR 11
221961414,221961404,0,False,tertiary,Highland Avenue,137.31,,,,,,,,,,,20674575,CR 11
221961414,222352907,0,False,residential,"['Harding Street', 'Lewis Street']",356.163,,,,,,,,,,,"[20712881, 20695435]",
221961417,221961414,0,False,tertiary,Highland Avenue,33.066,,,,,,,,,,,20674575,CR 11
221961417,221868829,0,False,residential,Borden Street,157.829,,,,,,,,,,,20707499,
221961417,221961430,0,False,tertiary,Highland Avenue,129.462,,,,,,,,,,,20674575,CR 11
221961430,221961475,0,False,tertiary,Highland Avenue,475.738,,,,,,,,,,,20674575,CR 11
221961430,221961417,0,False,tertiary,Highland Avenue,129.462,,,,,,,,,,,20674575,CR 11
221961430,221974532,0,False,residential,Church Street,80.275,,,,,,,,,,,20675450,
221961430,222221822,0,False,residential,School Street,293.638,,,,,,,,,,,20694443,
221961475,221961484,0,False,tertiary,Highland Avenue,119.31,,,,,,,yes,,,,"[209258136, 209258137, 20674575]",CR 11
221961475,221961430,0,False,tertiary,Highland Avenue,475.738,,,,,,,,,,,20674575,CR 11
221961475,222261398,0,False,residential,Main Street,145.531,,,,,,,,,,,20700589,
