osmid,x,y,ref,highway
213275837,-76.822298,42.67847,,
213275873,-76.821561,42.679258,,
213279652,-76.827422,42.675201,,
213285930,-76.823453,42.678588,,
213285937,-76.823517,42.680666,,
213287262,-76.824736,42.669908,,
213287269,-76.823224,42.674077,,
213287278,-76.822972,42.675329,,
213287281,-76.822825,42.676458,,
213287302,-76.820074,42.680781,,
213295993,-76.827211,42.669863,,
213295999,-76.827349,42.673922,,
213296007,-76.827483,42.676316,,
213298429,-76.825717,42.675253,,
213298432,-76.825738,42.676364,,
213298435,-76.825756,42.677624,,
213298438,-76.825793,42.678711,,
213298443,-76.825813,42.680593,,
213298479,-76.825539,42.674001,,
213298483,-76.825607,42.675255,,
213315747,-76.826997,42.677604,,
