u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213344958,213548595,0,False,residential,"['Central Avenue', 'Waverly Park']",143.982,,,,,,,,,,,"[20247649, 20173662]",
213369988,213772153,0,False,primary,Waverly Avenue,113.286,,,,,,,,,,,50199513,CR 19
213369988,213618870,0,False,primary,Waverly Avenue,20.905,,,,,,,,,,,50199513,CR 19
213369988,213370006,0,False,residential,,615.311,,,,,,,,,,,20176264,
213370006,213588698,0,False,residential,West 4th Street,466.731,,,,,,,,,,,"[20176264, 20196547]",
213370006,213369988,0,False,residential,,615.311,,,,,,,,,,,20176264,
213370006,213772143,0,False,residential,West 6th Street,365.324,,,,,,,,,,,20230498,
213380518,213613657,0,False,secondary,River Avenue,65.605,,,,,,,,,,,32209724,CR 65
213380518,213626200,0,False,secondary,Division Street,70.94,,,,,,,,,,,49728684,CR 65
213380518,213613648,0,False,residential,River Avenue,24.943,,,,,,,,,,,20199119,
213400532,213400535,0,False,residential,,75.223,,,,,,,,,,,20179818,
213400535,213400532,0,False,residential,,75.223,,,,,,,,,,,20179818,
213400535,213402867,0,False,residential,,37.074,,,,,,,,,,,20180101,
213400535,213400544,0,False,residential,Bransford Street,101.656,,,,,,,,,,,20201496,
213400544,213400547,0,False,residential,,46.858,,,,,,,,,,,20179819,
213400544,213402876,0,False,residential,,34.364,,,,,,,,,,,20180102,
213400544,213400535,0,False,residential,Bransford Street,101.656,,,,,,,,,,,20201496,
213400547,213400544,0,False,residential,,46.858,,,,,,,,,,,20179819,
213400547,213613668,0,False,secondary,River Avenue,97.326,,,,,,,,,,,32209724,CR 65
213400547,213613664,0,False,secondary,River Avenue,65.263,,,,,,,,,,,32209724,CR 65
213400551,213400553,0,False,residential,,36.38,,,,,,,,,,,20179821,
213400553,213400555,0,False,residential,,56.981,,,,,,,,,,,20179821,
213400553,213400551,0,False,residential,,36.38,,,,,,,,,,,20179821,
213400553,214121301,0,False,residential,Barnes Street,102.729,,,,,,,,,,,20238597,
213400555,213400553,0,False,residential,,56.981,,,,,,,,,,,20179821,
213402867,213400535,0,False,residential,,37.074,,,,,,,,,,,20180101,
213402876,213400544,0,False,residential,,34.364,,,,,,,,,,,20180102,
213446192,213446194,0,False,tertiary,Cedar Avenue,165.033,,,,,,,,,,,20185970,
213446192,213588133,0,False,tertiary,Baker Street,186.971,,,,,,,,,,,20245879,
213446192,213626178,0,False,tertiary,Division Street,178.832,,,,,,,,,,,32209596,
213446194,213446197,0,False,tertiary,Cedar Avenue,248.331,,,,,,,,,,,20185970,
213446194,213446192,0,False,tertiary,Cedar Avenue,165.033,,,,,,,,,,,20185970,
213446194,213556117,0,False,residential,Amity Street,197.218,,,,,,,,,,,20193582,
213446194,213556113,0,False,residential,Amity Street,180.72,,,,,,,,,,,20193582,
213446197,213446202,0,False,tertiary,Cedar Avenue,288.757,,,,,,,,,,,20185970,
213446197,213446194,0,False,tertiary,Cedar Avenue,248.331,,,,,,,,,,,20185970,
213446197,213588135,0,False,residential,Mulford Street,197.799,,,,,,,,,,,20226643,
213446197,213951318,0,False,residential,Mulford Street,89.398,,,,,,,,,,,20226643,
213446202,213446205,0,False,tertiary,Cedar Avenue,88.903,,,,,,,,,,,20185970,
213446202,213446197,0,False,tertiary,Cedar Avenue,288.757,,,,,,,,,,,20185970,
213446202,213494649,0,False,residential,Laurel Street,101.665,,,,,,,,,,,20231514,
213446202,214025021,0,False,residential,Laurel Street,92.855,,,,,,,,,,,20231514,
213446205,213446208,0,False,tertiary,Cedar Avenue,100.886,,,,,,,,,,,20185970,
213446205,213446202,0,False,tertiary,Cedar Avenue,88.903,,,,,,,,,,,20185970,
213446205,214156942,0,False,residential,Pine Boulevard,297.943,,,,,,,,,,,20241207,
213446208,213446211,0,False,tertiary,Cedar Avenue,84.93,,,,,,,,,,,20185970,
213446208,213446205,0,False,tertiary,Cedar Avenue,100.886,,,,,,,,,,,20185970,
213446208,213655362,0,False,residential,Campbell Street,290.948,,,,,,,,,,,20203507,
213446211,213446214,0,False,tertiary,Cedar Avenue,23.363,,,,,,,,,,,20185970,
213446211,213446208,0,False,tertiary,Cedar Avenue,84.93,,,,,,,,,,,20185970,
213446211,214343770,0,False,residential,Cedar Grove Court,158.642,,,,,,,,,,,468033036,
213446214,213446216,0,False,tertiary,Cedar Avenue,97.123,,,,,,,,,,,20185970,
213446214,213446211,0,False,tertiary,Cedar Avenue,23.363,,,,,,,,,,,20185970,
