osmid,x,y,ref,highway
211455917,-78.335982,42.041645,,
211456474,-78.335153,42.040068,,
211462094,-78.346437,42.041978,,
211462100,-78.345582,42.042929,,
211464848,-78.3376642,42.0415926,,
211464854,-78.3379426,42.0420277,,
211464867,-78.3371234,42.0420518,,
211464872,-78.336447,42.041222,,
211482223,-78.339268,42.036811,,
211490569,-78.343355,42.030808,,
211493285,-78.335998,42.03988,,
211503500,-78.33427,42.041674,,
211519184,-78.331623,42.04,,
211526240,-78.339534,42.035761,,
211526244,-78.338481,42.036029,,
211536915,-78.329331,42.04158,,
211537641,-78.335918,42.039121,,
211559444,-78.3287,42.035922,,
211559452,-78.328827,42.036475,,
211559454,-78.329417,42.037247,,
211559462,-78.330628,42.038823,,
211568431,-78.340543,42.038603,,
211568450,-78.335737,42.039938,,
211568463,-78.332502,42.040634,,
211571245,-78.333167,42.036748,,
211571263,-78.334782,42.037563,,
211577382,-78.329597,42.035885,,
211585406,-78.336478,42.04121,,
211585417,-78.335855,42.041399,,
211591165,-78.340346,42.038363,,
211610574,-78.332171,42.035643,,
211610575,-78.33216,42.036947,,
211618175,-78.329492,42.039754,,
211618181,-78.32938,42.040167,,
211628740,-78.331375,42.039508,,
211629326,-78.335186,42.036055,,
211631255,-78.332016,42.043116,,
211631269,-78.332806,42.042094,,
211631286,-78.332127,42.041136,,
211632905,-78.339134,42.036843,,
211632918,-78.338177,42.027987,,
211632921,-78.338155,42.028213,,
211632925,-78.337937,42.030822,,
211632927,-78.337932,42.030889,,
211632932,-78.337776,42.03367,,
211632938,-78.337747,42.034751,,
211660905,-78.340659,42.03873,,
211660917,-78.341627,42.039658,,
211686603,-78.330799,42.036979,,
211689163,-78.342063,42.030392,,
211705927,-78.327999,42.040159,,
211709241,-78.333981,42.028648,,
211709581,-78.332495,42.036895,,
211709620,-78.327593,42.038085,,
211733706,-78.341165,42.03685,,
