u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
62647957,444212998,0,False,residential,,141.914,,,,,,,,,,,8736956,
62666836,444212968,0,False,residential,,35.928,,,,,,,,,,,8739773,
62666836,62777889,0,False,trunk,,92.774,2,,,,,,,,,,8748157,US 11;NY 812
62687909,62752019,0,False,residential,Main Street,14.349,,,,,,,,,,,8749003,
62687909,62687919,0,False,residential,Dashnaw Street,222.309,,,,,,,,,,,8742292,
62687909,62792520,0,False,residential,Main Street,149.083,,,,,,,,,,,8749003,
62687919,62687909,0,False,residential,Dashnaw Street,222.309,,,,,,,,,,,8742292,
62699122,62792520,0,False,residential,Main Street,64.763,,,,,,,,,,,8749003,
62699122,62792518,0,False,residential,Main Street,134.411,,,,,,,,,,,8749003,
62752019,62687909,0,False,residential,Main Street,14.349,,,,,,,,,,,8749003,
62752019,62777889,0,False,residential,Main Street,645.373,,,,,,,,,,,8749003,
62777858,62777889,0,False,trunk,,1038.504,2,,,,,,,,,,8748157,US 11;NY 812
62777858,62860215,0,False,residential,Willow Street,155.618,,,,,,,,,,,8753392,
62777889,62666836,0,False,trunk,,92.774,2,,,,,,,,,,8748157,US 11;NY 812
62777889,62777858,0,False,trunk,,1038.504,2,,,,,,,,,,8748157,US 11;NY 812
62777889,62752019,0,False,residential,Main Street,645.373,,,,,,,,,,,8749003,
62792499,62792518,0,False,residential,Main Street,544.373,,,,,,,,,,,8749003,
62792518,62699122,0,False,residential,Main Street,134.411,,,,,,,,,,,8749003,
62792518,62792499,0,False,residential,Main Street,544.373,,,,,,,,,,,8749003,
62792518,62860215,0,False,residential,Willow Street,269.758,,,,,,,,,,,8753392,
62792520,62699122,0,False,residential,Main Street,64.763,,,,,,,,,,,8749003,
62792520,62687909,0,False,residential,Main Street,149.083,,,,,,,,,,,8749003,
62792520,62860215,0,False,residential,School Street,474.827,,,,,,,,,,,8754949,
62860215,62777858,0,False,residential,Willow Street,155.618,,,,,,,,,,,8753392,
62860215,62792518,0,False,residential,Willow Street,269.758,,,,,,,,,,,8753392,
62860215,62792520,0,False,residential,School Street,474.827,,,,,,,,,,,8754949,
444212968,444212998,0,False,residential,,57.697,,,,,,,,,,,8736956,
444212968,62666836,0,False,residential,,35.928,,,,,,,,,,,8739773,
444212997,444212998,0,False,residential,,12.161,,,,,,,,,,,8739776,
444212998,444212968,0,False,residential,,57.697,,,,,,,,,,,8736956,
444212998,444212997,0,False,residential,,12.161,,,,,,,,,,,8739776,
444212998,62647957,0,False,residential,,141.914,,,,,,,,,,,8736956,
