u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
83893783,1246380395,0,False,secondary,King Street,35.46,,,,,,,,,,,108702747,NY 120A
83996011,254852159,0,False,secondary,King Street,75.533,2,,,,,,,,,,229101208,NY 120A
83996011,84006631,0,False,secondary,King Street,134.366,2,,,,,,,,,,229101208,NY 120A
84006631,83996011,0,False,secondary,King Street,134.366,2,,,,,,,,,,229101208,NY 120A
84006631,2395643660,0,False,tertiary,Glenville Road,110.756,,,,,,,,,,,572409839,
141015465,475350556,0,True,motorway,Hutchinson River Parkway,157.659,2,,,50 mph,,,,,,,447626626,HRP
141015465,254135657,0,True,motorway_link,,85.751,1,,,,,,,,,,23467006,
244458934,254126498,0,False,residential,,70.946,,,,,,,,,,,22771376,
244458934,3759787574,0,False,tertiary,Anderson Hill Road,331.678,2,,,,,,,,,,248112661,CR 18A
254113209,254113219,0,False,residential,Heirloom Lane,131.908,,,,,,,,,,,23464725,
254113209,254113219,1,False,residential,High Point Circle,99.181,,,,,,,,,,,23515048,
254113209,254658759,0,False,residential,High Point Circle,49.844,,,,,,,,,,,23515048,
254113219,254113209,0,False,residential,Heirloom Lane,131.908,,,,,,,,,,,23464725,
254113219,254113209,1,False,residential,High Point Circle,99.181,,,,,,,,,,,23515048,
254113219,254253624,0,False,residential,High Point Circle,107.386,,,,,,,,,,,23515048,
254117375,254852336,0,False,secondary,King Street,25.467,2,,,,,,,,,,229101208,NY 120A
254117375,254852335,0,False,secondary,King Street,76.817,2,,,,,,,,,,229101208,NY 120A
254117375,254117379,0,False,residential,,73.746,,,,,,,,,,,23465138,
254117379,254117386,0,False,residential,,121.6,,,,,,,,,,,23465138,
254117379,254117375,0,False,residential,,73.746,,,,,,,,,,,23465138,
254117379,254167650,0,False,residential,,98.693,,,,,,,,,,,23470749,
254117386,254117379,0,False,residential,,121.6,,,,,,,,,,,23465138,
254122900,3759787798,0,False,residential,,242.276,,,,,,,,,,,23465616,
254122900,254126506,0,False,residential,,104.774,,,,,,,,,,,372419488,
254122900,254126498,0,False,residential,,49.62,,,,,,,,,,,372419488,
254126498,3759787609,0,False,residential,,206.491,,,,,,,,,,,22771376,
254126498,244458934,0,False,residential,,70.946,,,,,,,,,,,22771376,
254126498,254122900,0,False,residential,,49.62,,,,,,,,,,,372419488,
254126506,254168274,0,False,residential,,365.415,,,,,,,,,,,23470806,
254126506,254126512,0,False,residential,,81.867,,,,,,,,,,,372419488,
254126506,254122900,0,False,residential,,104.774,,,,,,,,,,,372419488,
254126512,254126506,0,False,residential,,81.867,,,,,,,,,,,372419488,
254130192,254232734,0,False,residential,Stone Falls Court,94.369,,,,,,,,,,,"[23526721, 23466389]",
254130192,254723200,0,False,tertiary,North Ridge Street,17.591,,,,,,,,,,,23538107,54B
254130192,254232736,0,False,tertiary,North Ridge Street,61.987,,,,,,,,,,,23538107,54B
254133445,254180692,0,False,residential,Parkridge Court,43.243,,,,,,,,,,,"[23472200, 23466685]",
254133445,254180692,1,False,residential,Longledge Drive,19.523,,,,,,,,,,,23476334,
254133445,254232333,0,False,residential,Longledge Drive,83.386,,,,,,,,,,,23476334,
254135657,475350556,0,True,motorway_link,,97.832,,,,,,,,,,,23470174,
254135657,254885541,0,False,tertiary,North Ridge Street,92.484,,,,,,,,,,,50050072,CR 54B
254135657,254734987,0,False,tertiary,North Ridge Street,172.853,,,,,,,,,,,50050072,CR 54B
254139825,254213096,0,True,tertiary,Airport Road,128.526,1,,,,,,,,,,492439433,
254148942,254742993,0,False,residential,Westview Avenue,49.798,,,,,,,,,,,23524335,
254148943,254673000,0,False,residential,Roanoke Avenue,49.621,,,,,,,,,,,23516592,
254162562,254162575,0,False,residential,,123.407,,,,,,,,,,,23470060,
