u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
212662404,212668277,0,False,residential,Marina Drive,162.826,,,,,,,,,,,20118410,
212662442,212705227,0,False,residential,Kingsbury Avenue,117.182,,,,,,,,,,,20116989,
212662442,212679971,0,False,residential,New Street,171.504,,,,,,,,,,,20118950,
212662442,212681111,0,False,residential,"['Ann Street', 'New Street']",173.35,,,,,,,,,,,"[20118950, 20115511]",
212663464,212663498,0,False,residential,,72.188,,,,,,,,,,,20114128,
212663498,212663464,0,False,residential,,72.188,,,,,,,,,,,20114128,
212663498,212698075,0,False,residential,Timmerman Avenue,187.538,,,,,,,,,,,20116741,
212663498,212682888,0,False,residential,Timmerman Avenue,66.523,,,,,,,,,,,20116741,
212668277,212662404,0,False,residential,Marina Drive,162.826,,,,,,,,,,,20118410,
212668277,212708785,0,False,tertiary,Bridge Street,255.011,,,,,,,yes,,,,"[76697810, 232400994, 76697813, 91009327]",CR 61
212676483,212684931,0,False,residential,Sanders Street,103.988,,,,,,,,,,,20115784,
212676483,212684928,0,False,residential,Sanders Street,77.044,,,,,,,,,,,20115784,
212676490,212676483,0,True,residential,Mechanic Street,103.572,,,,,,,,,,,20115193,
212676490,212697174,0,False,residential,East Liberty Street,87.231,,,,,,,,,,,20116468,
212676490,212697171,0,False,residential,East Liberty Street,78.731,,,,,,,,,,,20116468,
212676496,212682454,0,False,primary,West Main Street,82.074,,,,,,,,,,,20115606,NY 5
212676496,212682451,0,False,primary,West Main Street,45.024,,,,,,,,,,,20115606,NY 5
212676496,212676490,0,True,residential,Mechanic Street,186.703,,,,,,,,,,,20115193,
212676631,212676635,0,False,residential,Hill Top Drive,95.88,,,,,,,,,,,20115204,
212676631,212730158,0,False,residential,Old Meadow Drive,30.407,,,,,,,,,,,20118818,
212676631,212700189,0,False,residential,"['Meadow Road', 'Old Meadow Drive']",297.963,,,,,,,,,,,"[20118818, 20119798]",
212676635,212676631,0,False,residential,Hill Top Drive,95.88,,,,,,,,,,,20115204,
212676635,212700189,0,False,residential,Averill Street,210.536,,,,,,,,,,,20116652,
212679971,212712736,0,False,residential,New Street,52.735,,,,,,,,,,,20118950,
212679971,212684928,0,False,residential,"['Sanders Street', 'Mill Street']",94.533,,,,,,,,,,,"[20115784, 20115419]",
212679971,212662442,0,False,residential,New Street,171.504,,,,,,,,,,,20118950,
212680313,212680316,0,False,residential,Park Place,172.909,,,,,,,,,,,20115450,
212680313,212705230,0,False,residential,Kingsbury Avenue,76.602,,,,,,,,,,,20116989,
