osmid,x,y,ref,highway
211462737,-78.743061,42.153325,20,motorway_junction
211462763,-78.7509267,42.1549566,,
211463511,-78.75061,42.16648,,
211463541,-78.751647,42.168653,,
211463556,-78.751492,42.166417,,
211467960,-78.708279,42.147849,,
211468035,-78.707357,42.149591,,
211471275,-78.746686,42.158776,,
211471293,-78.745449,42.157119,,
211475810,-78.713392,42.157515,,
211475824,-78.713125,42.158495,,
211475833,-78.713045,42.158763,,
211476650,-78.714207,42.150314,,
211477237,-78.7211,42.160755,,
211477240,-78.721278,42.16051,,
211480280,-78.708192,42.150565,,
211489548,-78.717555,42.1543,,
211490436,-78.703241,42.148015,,
211492202,-78.748122,42.158251,,
211493506,-78.7579906,42.1594727,,
211497146,-78.714625,42.17664,,
211497168,-78.71772,42.181197,,
211497172,-78.713879,42.186366,,
211497896,-78.707401,42.150149,,
211497899,-78.707539,42.150149,,
211497906,-78.708217,42.150136,,
211497927,-78.708911,42.151318,,
211498297,-78.736668,42.157305,,
211498298,-78.736118,42.157318,,
211498301,-78.73561,42.157302,,
211498974,-78.7119527,42.1500775,,
211498985,-78.724011,42.149763,,
211499917,-78.746309,42.165881,,
211499919,-78.74619,42.165291,,
211499924,-78.748848,42.162899,,
211499929,-78.747699,42.163288,,
211499947,-78.745507,42.163515,,
211499952,-78.744442,42.163752,,
211500882,-78.708309,42.14778,,
211500943,-78.712756,42.149557,21,motorway_junction
211507766,-78.7354757,42.1522104,,turning_circle
211511616,-78.74295,42.157718,,
211511643,-78.741549,42.15765,,
211511672,-78.732671,42.161855,,
211511675,-78.73285,42.161403,,
211512136,-78.7579712,42.1592798,,
211515928,-78.746924,42.15377,,
211515962,-78.751994,42.152838,,
211521757,-78.707341,42.149894,,
211521815,-78.70694,42.151897,,
211521838,-78.706933,42.151974,,
211521894,-78.699654,42.15178,21,motorway_junction
211525832,-78.706896,42.153212,,
211527477,-78.735879,42.158259,,
211527479,-78.73522,42.158149,,
211527481,-78.734868,42.158876,,
211528265,-78.6905418,42.1564314,,
211528277,-78.6885894,42.1596797,,
211528651,-78.697109,42.165096,,
211529576,-78.694872,42.16574,,
211529582,-78.694602,42.16661,,
211537363,-78.727358,42.150948,,
211539375,-78.71627,42.151811,,
211539379,-78.714405,42.151882,,
211539451,-78.696542,42.163803,,
211539454,-78.696097,42.165231,,
211539459,-78.695938,42.165744,,
211539462,-78.695471,42.166818,,
211539468,-78.694731,42.168518,,
211539471,-78.693982,42.170224,,
211543059,-78.721523,42.167224,,
211543076,-78.724223,42.168579,,
211543084,-78.716283,42.151522,,
211543088,-78.716916,42.151536,,
211543096,-78.718747,42.151643,,
211543107,-78.719819,42.151703,,
211544522,-78.721707,42.15932,,
211544528,-78.721125,42.160457,,
211544782,-78.712048,42.150767,,
211544783,-78.71306,42.1507,,
211544789,-78.747584,42.158361,,
211544794,-78.748011,42.15813,,
211544825,-78.742086,42.159285,,
211544829,-78.74037,42.158993,,
211544832,-78.739954,42.158922,,
211544837,-78.736589,42.158374,,
211544840,-78.736472,42.158355,,
211544843,-78.736245,42.15832,,
211544846,-78.734818,42.158082,,
211544848,-78.733544,42.157871,,
211544851,-78.732522,42.157703,,
211544857,-78.730588,42.157385,,
211544860,-78.729002,42.157129,,
211544864,-78.728508,42.157047,,
211544867,-78.726134,42.156654,,
211544869,-78.724191,42.156339,,
211544871,-78.723103,42.156168,,
211544873,-78.722447,42.156063,,
211544876,-78.721681,42.155938,,
211544880,-78.721181,42.15586,,
211544883,-78.72073,42.155792,,
211544889,-78.717278,42.155247,,
211544891,-78.716101,42.155062,,
211545968,-78.721136,42.159132,,
211545981,-78.723717,42.159994,,
211549748,-78.7500881,42.1568289,,
211549770,-78.749052,42.158326,,
211550562,-78.711515,42.154326,,
211551213,-78.712193,42.158328,,
211551216,-78.712092,42.158977,,
211551221,-78.712388,42.157363,,
211551385,-78.741703,42.15462,,
211552622,-78.686907,42.16003,,
211561681,-78.701013,42.156391,,
211561683,-78.701144,42.156007,,
211561688,-78.702296,42.15684,,
211562073,-78.71338,42.154623,,
211562120,-78.722412,42.153356,,
211562129,-78.724312,42.153833,,
211562135,-78.725385,42.154111,,
211562141,-78.727501,42.154536,,
211562554,-78.741672,42.158086,,
211567768,-78.752767,42.164825,,
211567814,-78.750529,42.16498,,
211567993,-78.69279,42.162174,,
211568002,-78.68981,42.160441,,
211568011,-78.691084,42.162812,,
211568365,-78.7484634,42.1563232,,
211570502,-78.715738,42.156075,,
211570812,-78.707424,42.15673,,
211570900,-78.708929,42.156958,,
211570963,-78.721737,42.152355,,
211570964,-78.721642,42.152685,,
211570966,-78.721409,42.1535,,
211570971,-78.721246,42.154055,,
211570973,-78.720991,42.154925,,
211571907,-78.7070831,42.15193,,
211571920,-78.710261,42.151282,,
211571923,-78.712113,42.151245,,
211572241,-78.716251,42.1523,,
211572244,-78.716215,42.153063,,
211572256,-78.71611,42.154178,,
211572260,-78.716098,42.154236,,
211572263,-78.715929,42.155037,,
211573122,-78.718934,42.159564,,
211573128,-78.719254,42.159104,,
211573465,-78.692735,42.169919,,
211573572,-78.7141856,42.1481426,,
211573590,-78.717448,42.147806,,
211574473,-78.728778,42.157988,,
211574481,-78.728296,42.159364,,
211574484,-78.727363,42.160319,,
211576049,-78.71944,42.153157,,
211576990,-78.727856,42.160508,,
211576995,-78.72874,42.160183,,
211581768,-78.720501,42.152487,,
211581979,-78.713214,42.160486,,
211582023,-78.699347,42.157747,,
211582025,-78.700402,42.1579,,
211582050,-78.714149,42.161021,,
211582745,-78.709268,42.152323,,
211582750,-78.709366,42.153937,,
211584003,-78.696384,42.157238,,
211584009,-78.697631,42.156966,,
211584062,-78.704518,42.156766,,
211584063,-78.704327,42.15744,,
211585425,-78.714733,42.159145,,
211585844,-78.700905,42.152499,,
211588416,-78.701312,42.161552,,
211588420,-78.700519,42.163994,,
211590465,-78.700709,42.157526,,
211590479,-78.699355,42.158763,,
211597068,-78.69934,42.157366,,
211597071,-78.699358,42.159136,,
211597091,-78.699578,42.161382,,
211600813,-78.694697,42.157464,,
211600818,-78.695069,42.158425,,
211600823,-78.695519,42.159609,,
211600833,-78.696002,42.161025,,
211600847,-78.695865,42.162277,,
211600866,-78.695575,42.16358,,
211600869,-78.695283,42.164536,,
211600876,-78.694938,42.165594,,
211600884,-78.694272,42.166531,,
211600898,-78.693479,42.168235,,
211601851,-78.723689,42.156841,,
211601855,-78.726728,42.158591,,
211601869,-78.726788,42.158532,,
211602465,-78.721139,42.162747,,
211602468,-78.720676,42.163699,,
211603985,-78.751069,42.162716,,
211604001,-78.749654,42.16504,,
211604010,-78.749212,42.165696,,
211604016,-78.748138,42.167478,,
211604485,-78.712057,42.15516,,
211604500,-78.715881,42.155681,,
211604691,-78.714524,42.152812,,
211604696,-78.714692,42.154157,,
211604699,-78.714798,42.154863,,
211606089,-78.716986,42.158616,,
211606090,-78.716501,42.159583,,
211607513,-78.708678,42.152324,,
211607515,-78.708401,42.153716,,
211607749,-78.714683,42.159452,,
211609844,-78.715163,42.152243,,
211610075,-78.738506,42.164955,,
211610092,-78.74125,42.166059,,
211613114,-78.699308,42.163149,,
211613117,-78.698414,42.162976,,
211617269,-78.756991,42.159266,,
211617277,-78.757005,42.158493,,
211617307,-78.754832,42.157485,,
211617533,-78.726611,42.149886,,
211618021,-78.722164,42.154212,,
211618030,-78.72455,42.155158,,
211618051,-78.724165,42.16335,,
211618134,-78.74474,42.165405,,
211618729,-78.699679,42.156112,,
211618742,-78.723005,42.151317,,
211619823,-78.757684,42.158501,,
211620826,-78.7101983,42.1498703,,
211620830,-78.71023,42.150493,,
211620834,-78.710315,42.152304,,
211620838,-78.710397,42.154142,,
211625764,-78.694513,42.163417,,
211625771,-78.696657,42.163832,,
211625772,-78.697587,42.164065,,
211625776,-78.698648,42.164289,,
211626621,-78.7081603,42.1478146,,
211626644,-78.708987,42.147059,,
211629157,-78.748214,42.16575,,
211629159,-78.74817,42.165145,,
211629165,-78.69086,42.160541,,
211629171,-78.690449,42.159414,,
211633485,-78.696863,42.163225,,
211638889,-78.715908,42.155605,,
211638899,-78.715137,42.157879,,
211641643,-78.724532,42.153478,,
211643997,-78.722525,42.161129,,
211644521,-78.706704,42.153813,,
211644533,-78.707123,42.15363,,
211644555,-78.712378,42.154461,,
211645698,-78.694938,42.160917,,
211646980,-78.703588,42.149239,,
211647007,-78.705067,42.146695,,
211650437,-78.736714,42.15608,,
211651303,-78.72634,42.152572,,
211651316,-78.718011,42.154339,,
211651725,-78.741962,42.162083,,
211652355,-78.721485,42.163923,,
211652369,-78.696839,42.158037,,
211652379,-78.696539,42.16107,,
211656555,-78.701711,42.159529,,
211658443,-78.69146,42.156459,,
211658445,-78.692051,42.158101,,
211658448,-78.692401,42.158989,,
211658451,-78.692832,42.160187,,
211658457,-78.69303,42.160737,,
211658478,-78.6929098,42.1622295,,
211659956,-78.693412,42.157823,,
211660861,-78.713892,42.161687,,
211660864,-78.713874,42.16184,,
211660884,-78.71502,42.162306,,
211660898,-78.713115,42.162264,,
211664200,-78.692688,42.155977,,
211664208,-78.693738,42.158709,,
211671224,-78.74523,42.167553,,
211672163,-78.723068,42.160818,,
211672165,-78.722936,42.16107,,
211672334,-78.706369,42.161147,,
211672969,-78.723382,42.164504,,
211674256,-78.736196,42.16306,,
211674283,-78.736143,42.159906,,
211674285,-78.73601,42.159887,,
211674288,-78.735817,42.159868,,
211674293,-78.735202,42.159862,,
211675150,-78.719835,42.150613,,
211675157,-78.719084,42.154429,,
211675911,-78.716942,42.150884,,
211677973,-78.719064,42.158326,,
211677976,-78.718379,42.159291,,
211679657,-78.725858,42.159442,,
211679659,-78.727183,42.15814,,
211680194,-78.692988,42.166219,,
211680200,-78.696722,42.167139,,
211683642,-78.723314,42.161199,,
211685672,-78.727982,42.157856,,
211685968,-78.696141,42.156586,,
211685971,-78.696705,42.15807,,
211686563,-78.74486,42.165981,,
211687020,-78.712,42.150436,,
211689118,-78.705466,42.156715,,
211689121,-78.705175,42.157634,,
211689212,-78.69224,42.167914,,
211689226,-78.706926,42.15282,,
211689229,-78.706902,42.152259,,
211689264,-78.707035,42.152276,,
211689489,-78.701842,42.14794,,
211693978,-78.753838,42.158786,,
211697028,-78.69337,42.165334,,
211697030,-78.691892,42.168661,,
211698265,-78.733655,42.157582,,
211709253,-78.717928,42.155949,,
211712367,-78.698069,42.157687,,
211712382,-78.698081,42.161231,,
211712388,-78.697894,42.162469,,
211715951,-78.706154,42.162028,,
211717796,-78.7209365,42.156702,,
211717823,-78.7227574,42.157735,,
211717853,-78.730738,42.161074,,
211717894,-78.74333,42.161563,,traffic_signals
211725506,-78.703068,42.156615,,
211728446,-78.696363,42.165813,,
211729031,-78.699893,42.161414,,
211729447,-78.702338,42.161652,,
211731903,-78.742936,42.16084,,
211731906,-78.743362,42.160668,,
211733182,-78.726968,42.15156,,
211739979,-78.734712,42.15558,,
1543165978,-78.7411172,42.1518091,,
1543166017,-78.749781,42.1566851,,
3083920278,-78.6886681,42.1601982,,
3083920282,-78.7128528,42.1614354,,
