osmid,x,y,ref,highway
212310717,-74.3606561,43.4967293,,
212310721,-74.3646266,43.4955632,,
212310784,-74.3664885,43.5015983,,
212310789,-74.3647632,43.5024014,,
212311930,-74.380972,43.578807,,
212315863,-74.3547758,43.5031575,,
212315885,-74.3584633,43.5073797,,
212317855,-74.370143,43.59166,,
212318461,-74.379623,43.573729,,
212319777,-74.402861,43.627446,,
212322511,-74.3556959,43.4944152,,
212322963,-74.3851208,43.5666768,,
212322970,-74.3839942,43.5669691,,
212331385,-74.3674053,43.5039479,,
212331717,-74.3478508,43.4880077,,
212331722,-74.3492639,43.4881904,,
212333853,-74.3656989,43.4977695,,
212333858,-74.3652319,43.4973695,,
212334004,-74.3637926,43.4996398,,
212335408,-74.3518088,43.5426136,,
212335416,-74.358278,43.535673,,
212335498,-74.378934,43.543324,,
212335543,-74.376907,43.552323,,
212335818,-74.3297645,43.5393752,,
212336557,-74.3300587,43.5574368,,
212336594,-74.3437069,43.5620633,,
212336599,-74.344529,43.562638,,
212336605,-74.3543456,43.5102167,,
212336615,-74.3549926,43.5117774,,
212336877,-74.3378484,43.500374,,
212338855,-74.334424,43.52531,,
212338883,-74.336289,43.528702,,
212338924,-74.3381113,43.5228753,,
212338942,-74.335777,43.524264,,
212338962,-74.332511,43.522057,,
212338986,-74.3249226,43.5864487,,
212338997,-74.3304884,43.5895435,,
212340100,-74.3680297,43.4979087,,
212340105,-74.3654207,43.4952519,,
212340229,-74.341929,43.614718,,
212340250,-74.338438,43.616692,,
212340270,-74.356989,43.599215,,
212340974,-74.3638047,43.5010912,,
212340981,-74.3623547,43.5016796,,
212341652,-74.362049,43.4986576,,
212341989,-74.3734302,43.4888281,,
212341999,-74.3739573,43.4888943,,
212342063,-74.3592455,43.5065755,,
212342077,-74.3602446,43.5092991,,
212345795,-74.353552,43.4942366,,
212345815,-74.362627,43.4994758,,
212345823,-74.3643055,43.5018591,,
212346330,-74.3696346,43.4959251,,
212346334,-74.3748194,43.4897219,,
212348825,-74.390596,43.5661394,,
212348847,-74.3845492,43.5653533,,
212349432,-74.3535307,43.4972361,,
212350603,-74.3612042,43.5044786,,
212350606,-74.3622562,43.5055946,,
212350663,-74.3575594,43.5082314,,
212350669,-74.3602278,43.5124425,,
212353474,-74.3502467,43.4934199,,
212354233,-74.3467561,43.4908289,,
212354237,-74.3455853,43.4918767,,
212355634,-74.3461088,43.5226613,,
212355672,-74.3455909,43.5369683,,
212356163,-74.327022,43.602739,,
212356186,-74.33938,43.598975,,
212356212,-74.331175,43.605287,,
212356986,-74.3732009,43.4881762,,
212358851,-74.369828,43.591591,,
212358870,-74.372881,43.59255,,
212361127,-74.392822,43.547618,,
212361137,-74.3845132,43.5343696,,
212364672,-74.3965125,43.6304015,,
212366438,-74.3666288,43.497141,,
212366666,-74.3756839,43.4905227,,
212368476,-74.330223,43.526355,,
212371294,-74.3674844,43.4938217,,
212373549,-74.3507357,43.4874963,,
1546411367,-74.3746823,43.4898482,,
1548952427,-74.3353517,43.5240792,,
1548952556,-74.3213106,43.5642569,,
1548952878,-74.3188473,43.5508381,,
2941455515,-74.3570913,43.4761076,,
2941455517,-74.3567043,43.4750724,,
2941455519,-74.3547001,43.4955277,,
2941455520,-74.3560359,43.4945043,,
2941455521,-74.3546651,43.4942764,,
2941455522,-74.3542227,43.4952514,,
2941455523,-74.359897,43.4996798,,
2941455524,-74.3629108,43.4998629,,
