u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
221852976,221853023,0,False,residential,Hilltop Road,257.2,,,,,,,,,,,20667179,
221852976,222368340,0,False,residential,High Street,248.012,,,,,,,,,,,20707730,
221852976,222289589,0,False,residential,High Street,124.89,,,,,,,,,,,20707730,
221853023,221852976,0,False,residential,Hilltop Road,257.2,,,,,,,,,,,20667179,
221871108,222010614,0,False,secondary,,25.47,,,,,,,,,,,20677367,NY 284
221871108,221871124,0,False,residential,Barton Avenue,120.801,,,,,,,,,,,20668706,
221871124,222195174,0,False,residential,Railroad Avenue,134.42,,,,,,,,,,,20692340,
221871124,222195171,0,False,residential,Railroad Avenue,117.954,,,,,,,,,,,20692340,
221871124,221871108,0,False,residential,Barton Avenue,120.801,,,,,,,,,,,20668706,
221921875,222010567,0,False,secondary,,28.735,,,,,,,,,,,20677367,NY 284
221921875,221921899,0,False,residential,Kithcart Lane,128.917,,,,,,,,,,,20672085,
221921899,221921875,0,False,residential,Kithcart Lane,128.917,,,,,,,,,,,20672085,
221969297,222251977,0,False,residential,Nob Hill Drive,32.587,,,,,,,,,,,20696643,
221969297,3312485750,0,False,residential,Curving Hill Road,175.048,,,,,,,,,,,20675123,
221969297,222251962,0,False,residential,Nob Hill Drive,64.662,,,,,,,,,,,20696643,
221993125,221993144,0,False,residential,1st Avenue,282.22,,,,,,,,,,,20676522,
221993125,222195171,0,False,residential,Prospect Street,129.725,,,,,,,,,,,20713337,
221993125,222166794,0,False,residential,Prospect Street,112.496,,,,,,,,,,,20713337,
221993144,221993125,0,False,residential,1st Avenue,282.22,,,,,,,,,,,20676522,
222010567,221921875,0,False,secondary,,28.735,,,,,,,,,,,20677367,NY 284
222010567,222236338,0,False,residential,Orchard Street,20.972,,,,,,,,,,,20697531,
222010567,222010576,0,False,secondary,,40.642,,,,,,,,,,,20677367,NY 284
222010576,222010586,0,False,secondary,,89.603,,,,,,,,,,,20677367,NY 284
222010576,222010567,0,False,secondary,,40.642,,,,,,,,,,,20677367,NY 284
222010576,222236338,0,False,residential,Lewis Street,36.357,,,,,,,,,,,20695433,
222010586,222010591,0,False,secondary,,8.955,,,,,,,,,,,20677367,NY 284
222010586,222010576,0,False,secondary,,89.603,,,,,,,,,,,20677367,NY 284
222010586,222037602,0,False,residential,Jersey Avenue,117.33,,,,,,,,,,,20678632,
222010591,222010595,0,False,secondary,,60.021,,,,,,,,,,,20677367,NY 284
222010591,222010586,0,False,secondary,,8.955,,,,,,,,,,,20677367,NY 284
222010591,222036955,0,False,residential,Jersey Avenue,115.883,,,,,,,,,,,20678580,
222010595,222010591,0,False,secondary,,60.021,,,,,,,,,,,20677367,NY 284
222010595,222010606,0,False,secondary,,68.949,,,,,,,,,,,20677367,NY 284
222010595,222037598,0,False,residential,Mackerel Street,284.297,,,,,,,,,,,20690375,
222010606,222010614,0,False,secondary,,66.104,,,,,,,,,,,20677367,NY 284
222010606,222010595,0,False,secondary,,68.949,,,,,,,,,,,20677367,NY 284
222010606,222195171,0,False,tertiary,Main Street,139.633,,,,,,,,,,,20700563,
222010614,221871108,0,False,secondary,,25.47,,,,,,,,,,,20677367,NY 284
222010614,222010606,0,False,secondary,,66.104,,,,,,,,,,,20677367,NY 284
222010614,222261072,0,False,residential,Orchard Street,151.097,,,,,,,,,,,20697531,
222036955,222010591,0,False,residential,Jersey Avenue,115.883,,,,,,,,,,,20678580,
222036955,222261072,0,False,residential,Orchard Street,21.35,,,,,,,,,,,20697531,
222036955,222236338,0,False,residential,Orchard Street,234.912,,,,,,,,,,,20697531,
222037590,222037594,0,False,residential,Jersey Avenue,17.228,,,,,,,,,,,20678632,
222037590,222251955,0,False,residential,Nob Hill Drive,41.182,,,,,,,,,,,20696643,
222037594,222037598,0,False,residential,Jersey Avenue,96.215,,,,,,,,,,,20678632,
222037594,222037590,0,False,residential,Jersey Avenue,17.228,,,,,,,,,,,20678632,
222037594,3312486163,0,False,residential,Cemetery Access Road,253.577,,,,,,,,,,,20680192,
222037598,3312486163,0,False,residential,Jersey Avenue,3.788,,,,,,,,,,,20678632,
222037598,222037594,0,False,residential,Jersey Avenue,96.215,,,,,,,,,,,20678632,
222037598,222010595,0,False,residential,Mackerel Street,284.297,,,,,,,,,,,20690375,
222037602,3312486163,0,False,residential,Jersey Avenue,57.393,,,,,,,,,,,20678632,
222037602,222010586,0,False,residential,Jersey Avenue,117.33,,,,,,,,,,,20678632,
222037602,222064909,0,False,residential,Cemetery Access Road,29.087,,,,,,,,,,,20680190,
222064909,222037602,0,False,residential,Cemetery Access Road,29.087,,,,,,,,,,,20680190,
222166794,222166816,0,False,residential,2nd Avenue,145.076,,,,,,,,,,,20690014,
222166794,221993125,0,False,residential,Prospect Street,112.496,,,,,,,,,,,20713337,
222166794,3312485753,0,False,residential,Prospect Street,153.659,,,,,,,,,,,20713337,
222166816,222166794,0,False,residential,2nd Avenue,145.076,,,,,,,,,,,20690014,
222195171,221871124,0,False,residential,Railroad Avenue,117.954,,,,,,,,,,,20692340,
222195171,222289589,0,False,tertiary,Main Street,123.668,,,,,,,,,,,20700563,
222195171,222010606,0,False,tertiary,Main Street,139.633,,,,,,,,,,,20700563,
222195171,221993125,0,False,residential,Prospect Street,129.725,,,,,,,,,,,20713337,
222195174,221871124,0,False,residential,Railroad Avenue,134.42,,,,,,,,,,,20692340,
222231483,444234380,0,False,residential,Reservoir Avenue,350.795,,,,,,,,,,,20695096,
222231483,222236338,0,False,residential,Lewis Street,125.496,,,,,,,,,,,20695433,
222231483,222236282,0,False,residential,Lewis Street,138.464,,,,,,,,,,,20695433,
222236282,222231483,0,False,residential,Lewis Street,138.464,,,,,,,,,,,20695433,
222236338,222010567,0,False,residential,Orchard Street,20.972,,,,,,,,,,,20697531,
222236338,222010576,0,False,residential,Lewis Street,36.357,,,,,,,,,,,20695433,
222236338,222231483,0,False,residential,Lewis Street,125.496,,,,,,,,,,,20695433,
222236338,222036955,0,False,residential,Orchard Street,234.912,,,,,,,,,,,20697531,
222251955,222251962,0,False,residential,Nob Hill Drive,71.408,,,,,,,,,,,20696643,
222251955,222037590,0,False,residential,Nob Hill Drive,41.182,,,,,,,,,,,20696643,
222251955,3312485748,0,False,residential,Blueberry Hill Road,200.04,,,,,,,,,,,20712522,
222251962,221969297,0,False,residential,Nob Hill Drive,64.662,,,,,,,,,,,20696643,
222251962,222251955,0,False,residential,Nob Hill Drive,71.408,,,,,,,,,,,20696643,
222251962,3312485750,0,False,residential,Wagon Wheel Drive,110.3,,,,,,,,,,,20706073,
222251977,221969297,0,False,residential,Nob Hill Drive,32.587,,,,,,,,,,,20696643,
222261072,222036955,0,False,residential,Orchard Street,21.35,,,,,,,,,,,20697531,
222261072,222010614,0,False,residential,Orchard Street,151.097,,,,,,,,,,,20697531,
222261072,3312486169,0,False,residential,Legion Drive,120.495,,,,,,,,,,,20699839,
222289589,222195171,0,False,tertiary,Main Street,123.668,,,,,,,,,,,20700563,
222289589,221852976,0,False,residential,High Street,124.89,,,,,,,,,,,20707730,
222368340,222368357,0,False,residential,Hillside Avenue,226.656,,,,,,,,,,,20707226,
222368340,222376290,0,False,residential,High Street,146.572,,,,,,,,,,,20707730,
222368340,221852976,0,False,residential,High Street,248.012,,,,,,,,,,,20707730,
222368357,222368340,0,False,residential,Hillside Avenue,226.656,,,,,,,,,,,20707226,
222376290,222368340,0,False,residential,High Street,146.572,,,,,,,,,,,20707730,
444234380,222231483,0,False,residential,Reservoir Avenue,350.795,,,,,,,,,,,20695096,
3312485748,3312485753,0,False,residential,Wagon Wheel Drive,110.933,,,,,,,,,,,20706073,
3312485748,3312485750,0,False,residential,Wagon Wheel Drive,33.728,,,,,,,,,,,20706073,
3312485748,222251955,0,False,residential,Blueberry Hill Road,200.04,,,,,,,,,,,20712522,
3312485750,221969297,0,False,residential,Curving Hill Road,175.048,,,,,,,,,,,20675123,
