osmid,x,y,ref,highway
221852976,-74.564067,41.303388,,
221853023,-74.564493,41.304668,,
221871108,-74.5615797,41.3026672,,
221871124,-74.562897,41.3030977,,
221921875,-74.559818,41.299662,,
221921899,-74.560189,41.29858,,
221969297,-74.562935,41.299747,,
221993125,-74.563865,41.300993,,
221993144,-74.566902,41.302099,,
222010567,-74.559865,41.299918,,
222010576,-74.560011,41.300265,,
222010586,-74.56064,41.300914,,
222010591,-74.56071,41.300975,,
222010595,-74.561185,41.30138,,
222010606,-74.561713,41.301851,,
222010614,-74.561606,41.302439,,
222036955,-74.559787,41.301753,,
222037590,-74.561807,41.298453,,
222037594,-74.561746,41.298601,,
222037598,-74.561416,41.29943,,
222037602,-74.56121,41.299958,,
222064909,-74.560871,41.299926,,
222166794,-74.564452,41.300083,,
222166816,-74.566003,41.300648,,
222195171,-74.5633461,41.302092,,
222195174,-74.562359,41.304237,,
222231483,-74.558905,41.299095,,
222236282,-74.557604,41.298915,,
222236338,-74.559687,41.300051,,
222251955,-74.562193,41.298658,,
222251962,-74.562573,41.299233,,
222251977,-74.563115,41.300007,,
222261072,-74.559981,41.301878,,
222289589,-74.564768,41.302396,,
222368340,-74.562761,41.305378,,
222368357,-74.565264,41.306122,,
222376290,-74.563179,41.306647,,
444234380,-74.556092,41.301413,,
3312485748,-74.5640942,41.2986246,,
3312485750,-74.5637321,41.2987586,,
3312485753,-74.5653328,41.29887,,
3312486163,-74.5614033,41.2994627,,
3312486165,-74.5671298,41.2996375,,turning_circle
3312486169,-74.5601566,41.3027016,,
