osmid,x,y,ref,highway
212364732,-75.189683,43.079855,,
212405786,-75.189648,43.076939,,
212405798,-75.182334,43.075303,,
212405930,-75.185823,43.087708,,
212838347,-75.240294,43.099802,,
212838350,-75.241718,43.100236,,
212838483,-75.257972,43.106637,,
212838485,-75.258886,43.10703,,
212838487,-75.259788,43.107431,,
212838489,-75.260739,43.107841,,
212838491,-75.261849,43.108321,,
212838681,-75.225335,43.110291,,
212838687,-75.224426,43.107712,,
212838695,-75.224021,43.107325,,
212839022,-75.225705,43.100692,,
212839034,-75.226467,43.099751,,
212839685,-75.2427322,43.1079242,,
212840334,-75.237284,43.106636,,
212840368,-75.237331,43.105149,,
212841418,-75.267228,43.092431,,
212841438,-75.268423,43.091997,,
212841492,-75.263702,43.092237,,
212843795,-75.229719,43.123969,,
212843804,-75.22968,43.1242913,,
212843828,-75.226863,43.126886,,motorway_junction
212843842,-75.224796,43.10321,,
212843856,-75.225158,43.103697,,
212843889,-75.2232313,43.1058196,,
212845607,-75.238971,43.104862,,
212845655,-75.240366,43.106971,,
212845680,-75.23982,43.106286,,
212845991,-75.2292799,43.1240978,,motorway_junction
212846514,-75.211643,43.113263,,
212846519,-75.210745,43.112505,,
212846538,-75.207407,43.110564,,
212846623,-75.199773,43.11121,31,motorway_junction
212847179,-75.273131,43.089679,,
212847237,-75.267997,43.090791,,motorway_junction
212847250,-75.292335,43.080603,,
212847307,-75.293255,43.081092,,motorway_junction
212847313,-75.264026,43.093716,,
212847350,-75.2635179,43.0923904,,
212847717,-75.212718,43.114584,,
212847745,-75.21223,43.11598,,
212847757,-75.212007,43.116801,,
212847771,-75.210833,43.117995,,
212847776,-75.210327,43.118076,,
212847781,-75.209604,43.118182,,
212847788,-75.209167,43.118404,,
212847791,-75.209047,43.118499,,
212848080,-75.228766,43.102626,,traffic_signals
212848088,-75.2285004,43.102864,,traffic_signals
212848113,-75.2262554,43.1040346,,
212848119,-75.225902,43.104461,,
212848374,-75.228226,43.124964,,
212848400,-75.2264784,43.1267897,,
212848602,-75.221841,43.07377,,
212848639,-75.22033,43.072901,,
212848672,-75.240941,43.1064547,,
212848920,-75.213712,43.113788,,
212848933,-75.210942,43.112572,,
212848947,-75.207588,43.110523,,
212848984,-75.201156,43.111199,,
212849535,-75.192242,43.096623,,
212849598,-75.188852,43.09452,,motorway_junction
212849718,-75.281268,43.094513,,
212850500,-75.292567,43.08037,,
212850522,-75.29232,43.079047,,
212850532,-75.29135,43.078214,,
212851962,-75.20948,43.117953,,
212852072,-75.228234,43.123364,,
212852090,-75.227627,43.125305,,
212852434,-75.16705,43.10848,,
212852552,-75.290234,43.081836,,motorway_junction
212854384,-75.223862,43.130353,,
212855442,-75.18804,43.088919,,
212855450,-75.187731,43.089335,,
212855468,-75.216332,43.117369,,
212855480,-75.214264,43.116731,,
212855491,-75.213151,43.116717,,
212855550,-75.222546,43.106539,,
212855565,-75.225158,43.105169,,
212855592,-75.2266579,43.104441,,
212855635,-75.219111,43.101508,,
212855643,-75.219083,43.101786,,
212855935,-75.238571,43.105433,,
212855966,-75.240579,43.106229,,motorway_junction
212855994,-75.239897,43.107809,,motorway_junction
212856023,-75.2373068,43.110415,,motorway_junction
212856087,-75.237266,43.105134,,
212856132,-75.241229,43.106422,,
212856136,-75.242045,43.106762,,
212856981,-75.232554,43.080101,,
212856994,-75.230649,43.079597,,
212857707,-75.25852,43.099702,,
212858745,-75.214457,43.1147,,
212858768,-75.219204,43.116285,,motorway_junction
212858796,-75.22097,43.118119,,motorway_junction
212859936,-75.29297,43.080789,,
212859989,-75.293121,43.080303,,motorway_junction
212860656,-75.23312,43.123155,,
212860671,-75.227557,43.121099,,motorway_junction
212860676,-75.2243959,43.1199561,,motorway_junction
212861797,-75.210382,43.117593,,
212862940,-75.195552,43.097111,,motorway_junction
212862966,-75.194877,43.095612,,
212863408,-75.214239,43.113393,,
212863541,-75.2386157,43.1059519,,
212863604,-75.238861,43.105399,,motorway_junction
212863712,-75.272133,43.077596,,
212863956,-75.279804,43.086729,,
212864939,-75.2297828,43.1196793,,motorway_junction
212864950,-75.191799,43.095936,,
212865499,-75.235319,43.104837,,
212865536,-75.236989,43.107111,,
212866266,-75.209062,43.075129,,
212866841,-75.233698,43.120743,,
212866911,-75.212625,43.11466,,
212866984,-75.210963,43.113997,,motorway_junction
212868446,-75.272543,43.093211,,
212868449,-75.272508,43.09333,,
212868456,-75.226094,43.121719,,
212868493,-75.228872,43.123426,,
212868569,-75.268623,43.093157,,
212868572,-75.268581,43.092849,,
212868574,-75.268555,43.092509,,
212868576,-75.268546,43.092404,,
212868591,-75.271884,43.090092,,
212869756,-75.268446,43.092405,,
212869759,-75.268452,43.092503,,
212869761,-75.268489,43.093164,,
212870063,-75.2393299,43.0824269,,traffic_signals
212870801,-75.183052,43.092114,,
212870819,-75.1843148,43.0922828,,
212871703,-75.237411,43.105468,,
212873153,-75.213482,43.116214,,
212873189,-75.213982,43.117641,,
212873245,-75.226506,43.100943,,
212873255,-75.2265067,43.1012758,,
212874288,-75.292132,43.080536,,motorway_junction
212874334,-75.29185,43.080138,,
212874898,-75.2083036,43.1130355,31,motorway_junction
212875738,-75.21029,43.118528,,
212876711,-75.214393,43.113281,,
212876714,-75.214736,43.113484,,
212877321,-75.269305,43.09254,,
212878142,-75.27504,43.098268,,
212878151,-75.275278,43.098141,,
212879970,-75.226794,43.108713,,
212880446,-75.242307,43.106963,,
212881112,-75.205203,43.112097,,
212881594,-75.183643,43.09136,,
212881851,-75.214685,43.113068,,
212881861,-75.216053,43.114337,,
212881912,-75.220559,43.077561,,
212882588,-75.20046,43.090579,,
212883212,-75.230151,43.124073,,
212883445,-75.28503,43.076606,,
212883461,-75.284195,43.075845,,
212884095,-75.289428,43.078315,,motorway_junction
212884118,-75.290154,43.076823,,
212884646,-75.2307449,43.1214829,,
212884701,-75.229774,43.121368,,motorway_junction
212884712,-75.231129,43.121869,,
212886059,-75.275895,43.088467,,motorway_junction
212886075,-75.254335,43.108411,,
212886610,-75.289947,43.084357,,
212888096,-75.289984,43.081676,,
212888135,-75.290137,43.078968,,motorway_junction
212889756,-75.193344,43.09527,,
212889788,-75.189623,43.094747,,
212890225,-75.229629,43.102933,,
212890239,-75.229381,43.103311,,
212891565,-75.23683,43.110828,,
212892702,-75.22431,43.119349,,
212892964,-75.291636,43.079888,,motorway_junction
212893468,-75.225461,43.103071,,
212893526,-75.275116,43.089024,,motorway_junction
212893794,-75.235075,43.098566,,
212894304,-75.224668,43.129149,,
212894314,-75.223137,43.130589,,
212894335,-75.211765,43.114932,,
212894373,-75.210073,43.115569,,
212894691,-75.175852,43.111548,,
212894693,-75.176451,43.111798,,
212894700,-75.2631547,43.0921801,,
212894724,-75.262617,43.091406,,
212894769,-75.263729,43.092111,,
212895845,-75.229673,43.082148,,
212895847,-75.230548,43.081099,,
212896098,-75.213255,43.084296,,
212896100,-75.213462,43.084021,,
212896107,-75.215057,43.083488,,
212896176,-75.215903,43.082459,,
212896618,-75.262518,43.085981,,
212896630,-75.264843,43.085842,,
212896658,-75.221148,43.077458,,
212896671,-75.220391,43.076343,,
212896677,-75.220059,43.076255,,
212897959,-75.205675,43.080717,,
212898148,-75.216764,43.093113,,
212898152,-75.21742,43.092323,,
212898186,-75.240709,43.092911,,
212898195,-75.237944,43.091668,,
212898204,-75.238116,43.098045,,
212898218,-75.237219,43.096836,,
212898224,-75.240537,43.096872,,traffic_signals
212898229,-75.239967,43.096275,,
212898231,-75.239892,43.096236,,
212898237,-75.238444,43.09561,,
212898239,-75.237554,43.095206,,
212898243,-75.236592,43.094772,,
212898245,-75.235677,43.09437,,
212898246,-75.234747,43.093956,,
212898247,-75.23382,43.093543,,
212898249,-75.232813,43.093093,,
212898251,-75.231902,43.09268,,
212898252,-75.231057,43.092305,,
212898254,-75.230209,43.091925,,
212898256,-75.229289,43.091512,,
212898258,-75.228266,43.091058,,
212898260,-75.227183,43.090571,,
212898262,-75.226205,43.090125,,
212898265,-75.223243,43.0888,,
212898266,-75.221416,43.087973,,
212898269,-75.220631,43.087619,,
212898271,-75.219115,43.086938,,
212898273,-75.217708,43.086299,,
212898275,-75.216498,43.085755,,
212898278,-75.215184,43.085162,,
212898281,-75.214225,43.084734,,
212898284,-75.2123,43.083861,,
212898286,-75.211839,43.083654,,
212898288,-75.211375,43.083444,,
212898290,-75.210108,43.082868,,
212898293,-75.209313,43.082511,,
212898296,-75.208507,43.082156,,
212898303,-75.207137,43.081335,,
212898470,-75.252785,43.090826,,
212898474,-75.254238,43.092406,,
212898479,-75.255557,43.093335,,
212898482,-75.256437,43.094316,,
212900330,-75.210714,43.116443,,
212900333,-75.208947,43.115773,,
212900336,-75.207742,43.115331,,
212900347,-75.205544,43.114667,,traffic_signals
212900353,-75.204635,43.114488,,traffic_signals
212900356,-75.202961,43.114135,,
212900361,-75.200069,43.113571,,
212900362,-75.19978,43.113515,,
212900364,-75.19896,43.113354,,
212900366,-75.198835,43.113329,,
212900369,-75.195446,43.112713,,
212900370,-75.190819,43.111886,,
212900375,-75.189714,43.111687,,
212900377,-75.189296,43.111608,,
212900383,-75.186047,43.111019,,
212900385,-75.180951,43.110126,,
212900389,-75.179578,43.109876,,
212900397,-75.176099,43.10924,,
212900401,-75.174828,43.109006,,
212900408,-75.171988,43.108486,,
212900411,-75.169308,43.10799,,
212900413,-75.168767,43.107885,,
212900478,-75.236461,43.091903,,
212900487,-75.237068,43.091788,,
212900496,-75.236941,43.091328,,
212900509,-75.236343,43.091459,,
212901105,-75.202341,43.115564,,
212901113,-75.200294,43.118074,,
212901123,-75.198294,43.120518,,
212901133,-75.197317,43.121731,,
212901143,-75.264906,43.094088,,
212901145,-75.266187,43.094637,,
212901148,-75.267042,43.095011,,
212901150,-75.267883,43.095381,,
212901353,-75.23275,43.097894,,traffic_signals
212901356,-75.231851,43.097675,,
212901360,-75.231672,43.097637,,
212901366,-75.230785,43.097374,,
212901369,-75.230021,43.097137,,
212901380,-75.229129,43.09687,,
212901383,-75.227961,43.096512,,
212901387,-75.227192,43.096271,,
212901390,-75.226996,43.09621,,
212901393,-75.225997,43.095909,,
212901397,-75.225216,43.09567,,
212901404,-75.224973,43.095597,,
212901407,-75.223302,43.095088,,
212901410,-75.222766,43.094929,,
212901414,-75.221075,43.094423,,
212901417,-75.220191,43.094153,,
212901421,-75.217396,43.093304,,
212901424,-75.21586,43.092834,,
212901425,-75.215432,43.092705,,
212901428,-75.214498,43.092426,,
212901433,-75.213795,43.092213,,
212901435,-75.21159,43.091537,,
212901438,-75.210138,43.091095,,
212901439,-75.20885,43.090709,,
212901441,-75.207763,43.090376,,
212901446,-75.207034,43.090154,,
212901455,-75.204639,43.08942,,
212901464,-75.202719,43.088581,,
212901469,-75.200164,43.087431,,
212901481,-75.196177,43.085648,,
212902622,-75.23108,43.095234,,
212902630,-75.231849,43.094263,,
212902635,-75.233934,43.09177,,
212902640,-75.234771,43.090756,,
212902647,-75.23598,43.0893,,
212902655,-75.238591,43.086176,,
212902657,-75.241139,43.083134,,
212903073,-75.278719,43.073357,,
212903079,-75.279717,43.072549,,
212903085,-75.281485,43.070959,,
212903171,-75.208666,43.083857,,
212903179,-75.207181,43.083244,,
212903185,-75.204575,43.082041,,
212903261,-75.21933,43.09167,,
212903791,-75.207322,43.0862,,
212903801,-75.205428,43.085337,,
212903811,-75.202833,43.084145,,
212903822,-75.265934,43.093285,,
212903824,-75.265906,43.092768,,
212903830,-75.207902,43.08551,,
212903834,-75.206015,43.084637,,
212903836,-75.203404,43.083447,,
212903846,-75.235285,43.106316,,
212903859,-75.194178,43.120614,,
212903867,-75.193108,43.120399,,
212905292,-75.209614,43.117801,,
212905295,-75.207872,43.11708,,
212905321,-75.263409,43.083763,,
212905335,-75.26429,43.082704,,
212906378,-75.253294,43.09288,,
212906384,-75.251831,43.091298,,
212906428,-75.189838,43.087312,,
212906844,-75.241675,43.089913,,
212906846,-75.242823,43.088549,,
212906848,-75.243264,43.087997,,
212906878,-75.27194,43.079762,,
212906880,-75.27112,43.079252,,
212906896,-75.269959,43.07827,,
212906900,-75.270751,43.080576,,
212906907,-75.270991,43.080381,,
212907049,-75.230933,43.093845,,
212907051,-75.23009,43.093467,,
212907053,-75.22924,43.093091,,
212907055,-75.22832,43.092676,,
212907057,-75.227295,43.09222,,
212907058,-75.226207,43.091729,,
212907059,-75.225237,43.091285,,
212907060,-75.214226,43.086285,,
212907062,-75.213272,43.08585,,
212907063,-75.212319,43.085413,,
212907065,-75.211368,43.084976,,
212907102,-75.219709,43.081984,,
212907366,-75.243658,43.107197,,
212907454,-75.252429,43.101204,,
212907459,-75.253994,43.101884,,
212907469,-75.254739,43.102379,,
212907918,-75.23006,43.094929,,
212907924,-75.233013,43.091356,,
212907927,-75.233856,43.090344,,
212907932,-75.235081,43.088897,,
212907934,-75.237672,43.085772,,
212907937,-75.240179,43.082761,,
212908498,-75.209126,43.118387,,
212909131,-75.222321,43.120727,,
212909135,-75.221091,43.122221,,
212909137,-75.219857,43.123716,,
212909140,-75.218464,43.125417,,
212909149,-75.21708,43.127107,,
212909153,-75.216075,43.128313,,
212909287,-75.198756,43.07619,,
212909290,-75.198588,43.075926,,
212909822,-75.209243,43.115392,,
212910185,-75.246022,43.107195,,
212910191,-75.246456,43.106328,,
212910200,-75.245248,43.094558,,
212910215,-75.246935,43.09604,,
212910218,-75.248707,43.096836,,
212910224,-75.249469,43.097187,,
212910227,-75.2501886,43.0975682,,
212910232,-75.250376,43.097661,,traffic_signals
212910235,-75.250506,43.097728,,traffic_signals
212910240,-75.250654,43.097804,,
212910241,-75.251365,43.098124,,
212910245,-75.253118,43.098878,,
212910248,-75.25399,43.099254,,
212910250,-75.255844,43.100082,,
212910253,-75.257247,43.100721,,
212910257,-75.262196,43.102962,,
212910261,-75.263108,43.103373,,
212910266,-75.264038,43.103788,,
212910269,-75.265138,43.104293,,
212910739,-75.247892,43.094847,,
212910749,-75.249653,43.095651,,
212910751,-75.251345,43.096419,,
212910886,-75.230922,43.098451,,
212910901,-75.228683,43.097691,,
212910905,-75.226728,43.097095,,
212910913,-75.224771,43.096497,,
212910922,-75.222812,43.095901,,
212910933,-75.220619,43.095245,,
212910939,-75.219714,43.094981,,
212910953,-75.215293,43.09362,,
212910957,-75.21449,43.093373,,
212910960,-75.213871,43.093183,,
212910968,-75.210943,43.092299,,
212910971,-75.209497,43.091856,,
212910974,-75.208205,43.091469,,
212910977,-75.207131,43.091147,,
212910997,-75.203987,43.090187,,
212911000,-75.203175,43.089821,,
212911002,-75.202091,43.089332,,
212911006,-75.199545,43.088196,,
212911013,-75.227339,43.12881,,
212911023,-75.225358,43.131218,,
212911589,-75.275935,43.074258,,
212911597,-75.277781,43.07271,,
212912291,-75.23215,43.100376,,
212912303,-75.232165,43.099652,,
212912901,-75.203557,43.090704,,
212912903,-75.202922,43.090729,,
212912908,-75.202182,43.090773,,
212913170,-75.279106,43.071812,,
212913180,-75.280535,43.070546,,
212913392,-75.217418,43.098175,,
212913396,-75.216555,43.096731,,
212913398,-75.215886,43.095623,,
212913401,-75.215188,43.094502,,
212913405,-75.214161,43.092827,,
212913407,-75.213436,43.091628,,
212913409,-75.212637,43.090316,,
212913412,-75.212132,43.089476,,
212913414,-75.211868,43.089049,,
212913416,-75.211454,43.088394,,
212913418,-75.211276,43.08811,,
212913420,-75.210732,43.087214,,
212913421,-75.210703,43.087165,,
212913423,-75.210185,43.08633,,
212913425,-75.209858,43.085796,,
212913427,-75.209686,43.085522,,
212913430,-75.209471,43.085185,,
212913432,-75.20893,43.084297,,
212913436,-75.208463,43.08352,,
212913439,-75.208005,43.082765,,
212913441,-75.207838,43.082479,,
212913443,-75.207064,43.081216,,
212913448,-75.206312,43.079955,,
212913466,-75.205036,43.077218,,
212913486,-75.205626,43.074742,,
212913504,-75.20387,43.072622,,
212914389,-75.192115,43.113813,,
212914433,-75.192659,43.114609,,
212914837,-75.242785,43.090407,,
212914841,-75.240026,43.089167,,
212915345,-75.261888,43.085039,,
212915354,-75.263927,43.084,,
212915741,-75.270529,43.076742,,
212915758,-75.269354,43.0768,,
212915770,-75.266197,43.075062,,
212915920,-75.227996,43.126054,,
212915944,-75.227768,43.127539,,
212916084,-75.17865,43.115948,,
212916106,-75.275957,43.077378,,
212916120,-75.276962,43.076862,,
212916290,-75.262683,43.085897,,
212916758,-75.270149,43.079952,,
212916776,-75.203693,43.115659,,
212916779,-75.203386,43.116038,,
212916782,-75.203141,43.116335,,
212916783,-75.2026,43.116994,,
212916788,-75.201339,43.118542,,
212916791,-75.199917,43.120291,,
212916793,-75.199355,43.12099,,
212916796,-75.198587,43.12191,,
212916983,-75.206441,43.116902,,
212917361,-75.279293,43.077544,,
212917372,-75.277349,43.075442,,
212918640,-75.233849,43.097577,,
212919138,-75.231418,43.098211,,
212919143,-75.23144,43.098569,,
212919439,-75.205746,43.080629,,
212919443,-75.201122,43.078599,,
212919449,-75.199368,43.078143,,
212920183,-75.271388,43.083835,,
212920191,-75.273105,43.085709,,
212920666,-75.218897,43.072368,,
212920677,-75.21988,43.071246,,
212920679,-75.220426,43.070693,,
212920789,-75.218126,43.07226,,
212920810,-75.218192,43.07317,,
212920813,-75.218624,43.072709,,
212920819,-75.199131,43.096048,,
212920828,-75.200234,43.094669,,
212920833,-75.201383,43.09331,,
212920836,-75.202784,43.09164,,
212920839,-75.203379,43.090915,,
212920845,-75.203916,43.090271,,
212920848,-75.205276,43.088645,,
212920851,-75.205857,43.087948,,
212920854,-75.206657,43.086994,,
212920857,-75.207104,43.086455,,
