osmid,x,y,ref,highway
212759083,-77.4087975,42.9853557,,
212773534,-77.4065229,42.990923,,
212773538,-77.4070201,42.9901307,,
212777583,-77.4117431,42.9743573,,
212777686,-77.4231276,42.9787709,,
212777689,-77.4240038,42.9789475,,
212778470,-77.4135068,42.9843425,,
212778473,-77.4116306,42.983493,,
212778481,-77.4096098,42.98254,,
212779331,-77.4014719,42.9733772,,
212779980,-77.4231081,42.9778028,,
212779992,-77.4231311,42.9795608,,
212779994,-77.4238407,42.979895,,
212779998,-77.4240719,42.9799523,,
212781490,-77.4069925,42.9825814,,
212783549,-77.4026086,42.9845493,,
212783563,-77.4036307,42.9834702,,
212783581,-77.4023099,42.9826667,,
212786361,-77.4026927,42.9850564,,
212786371,-77.4000053,42.9840701,,
212786377,-77.3987149,42.9837774,,
212791447,-77.4089277,42.9769451,,
212794353,-77.409547,42.9811372,,
212794385,-77.4105305,42.9773532,,
212794394,-77.4116765,42.9747277,,
212795100,-77.406543,42.9928054,,turning_circle
212795198,-77.4035638,42.989143,,
212795209,-77.4022683,42.9883523,,
212795294,-77.4052855,42.9886684,,
212795298,-77.405568,42.9895809,,turning_circle
212796040,-77.4004665,42.9831103,,
212798064,-77.4072434,42.9819766,,
212798723,-77.4059641,42.9752849,,
212798765,-77.4014762,42.9742668,,
212803804,-77.4072101,42.9756027,,
212805341,-77.4241981,42.9783798,,
212808748,-77.4102718,42.9892582,,
212808760,-77.4104233,42.9877503,,
212808785,-77.4099311,42.9854123,,
212810117,-77.3980392,42.9860567,,
212810120,-77.398201,42.984813,,
212810461,-77.4055191,42.9840836,,
212810463,-77.4045091,42.9835925,,
212816986,-77.4087058,42.9875586,,
212816991,-77.4077313,42.9876281,,
212817007,-77.4052741,42.9870517,,
212817012,-77.4032176,42.9870398,,
212817105,-77.399832,42.987088,,
212818681,-77.42363,42.9803003,,
212820119,-77.4162906,42.9806695,,
212822383,-77.4035861,42.9865171,,
212823377,-77.4183002,42.9794032,,
212824818,-77.4068237,42.9764468,,
212824820,-77.4066195,42.9764116,,
212826103,-77.4102348,42.9844539,,
212827071,-77.4099914,42.9862541,,
212828987,-77.4026594,42.9860038,,
212830184,-77.4077588,42.9864612,,
212832216,-77.4129408,42.9826857,,
212832700,-77.4023662,42.9823829,,
212833488,-77.4060411,42.9856934,,
1038365886,-77.4231577,42.9789858,,
1525451974,-77.417116,42.9762197,,
1525452042,-77.4194424,42.9786983,,
2591108996,-77.4117841,42.9819979,,
2591109001,-77.4108973,42.9831526,,
2591109002,-77.4122163,42.9837582,,
2591109009,-77.4120983,42.9831969,,
3083012099,-77.4115154,42.9816429,,
3083012103,-77.4131179,42.9825847,,
