u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213263319,213263327,0,False,residential,Walnut Street,249.29,,,,,,,,,,,20167261,
213263327,213283577,0,False,primary,West Main Street,142.122,4,,,,,,,,,,20169869,US 20;NY 5
213263327,213263332,0,False,residential,Walnut Street,130.842,,,,,,,,,,,20167261,
213263327,213263319,0,False,residential,Walnut Street,249.29,,,,,,,,,,,20167261,
213263327,213295803,0,False,primary,West Main Street,138.386,4,,,,,,,,,,20169869,US 20;NY 5
213263332,213263339,0,False,residential,Walnut Street,19.448,,,,,,,,,,,20167261,
213263332,213263327,0,False,residential,Walnut Street,130.842,,,,,,,,,,,20167261,
213263332,213283579,0,False,residential,West William Street,140.531,,,,,,,,,,,20170879,
213263339,213320679,0,False,residential,Railroad Avenue,95.056,,,,,,,,,,,20171832,
213263339,213283583,0,False,residential,Railroad Avenue,139.218,,,,,,,,,,,20171832,
213263339,213263353,0,False,residential,Walnut Street,253.206,,,,,,,,,,,20167261,
213263339,213263332,0,False,residential,Walnut Street,19.448,,,,,,,,,,,20167261,
213263353,213283603,0,False,residential,West Wright Avenue,128.06,,,,,,,,,,,20171282,
213263353,213263339,0,False,residential,Walnut Street,253.206,,,,,,,,,,,20167261,
213263353,213314300,0,False,residential,West Wright Avenue,290.064,,,,,,,,,,,20171282,
213263695,213263698,0,False,residential,Grove Street,105.027,,,,,,,,,,,20167290,
213263695,213296126,0,False,residential,East Illick Street,96.345,,,,,,,,,,,20170957,
213263695,213296123,0,False,residential,"['Grove Street', 'Lincoln Street']",190.276,,,,,,,,,,,"[20167290, 20170836]",
213263698,213263700,0,False,residential,Grove Street,98.976,,,,,,,,,,,20167290,
213263698,213263695,0,False,residential,Grove Street,105.027,,,,,,,,,,,20167290,
213263698,213312429,0,False,tertiary,East River Street,112.899,,,,30 mph,,,,,,,20171097,CR 117
213263698,213296129,0,False,tertiary,East River Street,96.64,,,,30 mph,,,,,,,20171097,CR 117
213263700,213263698,0,False,residential,Grove Street,98.976,,,,,,,,,,,20167290,
213263700,213294938,0,False,residential,Kendig Street,55.942,,,,,,,,,,,20172688,
213263700,213296132,0,False,residential,Kendig Street,98.264,,,,,,,,,,,20172688,
213268783,213268785,0,False,residential,,22.133,,,,,,,,,,,20167695,
213268785,213268783,0,False,residential,,22.133,,,,,,,,,,,20167695,
213268785,213305246,0,False,residential,West Water Street,299.132,,,,,,,,,,,20170578,
213268785,213295791,0,False,residential,Locust Street,303.015,,,,,,,,,,,284503045,
213268785,213296149,0,False,residential,Locust Street,223.632,,,,,,,yes,,,,"[20171124, 284503045, 284503046]",
213277792,213277806,0,False,residential,Carlton Road,267.721,,,,,,,,,,,20168563,
213277792,213285354,0,False,residential,Thurber Drive,250.343,,,,,,,,,,,20169067,
213277792,213314227,0,False,residential,Douglas Drive,85.591,,,,,,,,,,,20172759,
213277806,213314229,0,False,residential,Wycliff Road,100.251,,,,,,,,,,,20171408,
213277806,213277826,0,False,residential,Carlton Road,97.954,,,,,,,,,,,20168563,
213277806,213277792,0,False,residential,Carlton Road,267.721,,,,,,,,,,,20168563,
213277826,213277806,0,False,residential,Carlton Road,97.954,,,,,,,,,,,20168563,
213277860,213281941,0,False,residential,East Wright Avenue,102.245,,,,,,,,,,,20168856,
213277860,213277879,0,False,residential,Taylor Avenue,629.435,,,,,,,,,,,20168569,
213277860,213281945,0,False,residential,East Wright Avenue,203.002,,,,,,,,,,,20168856,
213277879,213285853,0,False,tertiary,North Road,162.422,,,,,,,,,,,20170505,
213277879,213277860,0,False,residential,Taylor Avenue,629.435,,,,,,,,,,,20168569,
213277879,213303883,0,False,tertiary,North Road,216.982,,,,,,,,,,,20170505,
213278004,213300740,0,False,tertiary,North Road,115.259,,,,,,,,,,,20170505,
213278004,213303855,0,False,tertiary,North Road,154.612,,,,,,,,,,,20170505,
213280646,213280659,0,False,residential,Jellico Lane,87.083,,,,,,,,,,,20168761,
213280646,213313855,0,False,residential,Arrow Head Drive,574.51,,,,,,,,,,,20171225,
213280646,213313778,0,False,residential,Arrow Head Drive,95.127,,,,,,,,,,,20171225,
213280659,213280646,0,False,residential,Jellico Lane,87.083,,,,,,,,,,,20168761,
213281382,213285354,0,False,residential,Thurber Drive,414.317,,,,,,,,,,,20169067,
213281382,213288932,0,False,primary,East Main Street,311.285,4,,,,,,,,,,20170132,US 20;NY 5
213281702,213281704,0,False,residential,East William Street,66.641,,,,,,,,,,,20168846,
213281702,213289105,0,False,residential,Chapel Street,131.708,,,,,,,,,,,20169343,
213281702,213289065,0,False,residential,Chapel Street,217.755,,,,,,,,,,,20169343,
213281704,213281702,0,False,residential,East William Street,66.641,,,,,,,,,,,20168846,
213281704,213281710,0,False,residential,East William Street,169.28,,,,,,,,,,,20168846,
213281704,213320247,0,False,residential,Stewart Street,370.086,,,,,,,,,,,20171785,
213281710,213287311,0,False,residential,Mill Street,126.645,,,,,,,,,,,20170406,
213281710,213299240,0,False,residential,Mill Street,124.69,,,,,,,,,,,20170406,
213281710,213281715,0,False,residential,East William Street,154.032,,,,,,,,,,,20168846,
213281710,213281704,0,False,residential,East William Street,169.28,,,,,,,,,,,20168846,
213281715,213287316,0,False,residential,Inslee Street,125.433,,,,,,,,,,,20170388,
213281715,213299246,0,False,residential,Inslee Street,125.939,,,,,,,,,,,20170388,
213281715,213281720,0,False,residential,East William Street,239.263,,,,,,,,,,,20168846,
213281715,213281710,0,False,residential,East William Street,154.032,,,,,,,,,,,20168846,
213281720,213287321,0,False,residential,Swift Street,125.444,,,,,,,,,,,20170249,
213281720,213299251,0,False,residential,Swift Street,126.264,,,,,,,,,,,20170249,
213281720,213281724,0,False,residential,East William Street,172.393,,,,,,,,,,,20168846,
213281720,213281715,0,False,residential,East William Street,239.263,,,,,,,,,,,20168846,
213281724,213287322,0,False,residential,Clark Street,126.213,,,,,,,,,,,20172788,
213281724,213299256,0,False,residential,Clark Street,128.806,,,,,,,,,,,20172788,
213281724,213281727,0,False,residential,East William Street,241.878,,,,,,,,,,,20168846,
213281724,213281720,0,False,residential,East William Street,172.393,,,,,,,,,,,20168846,
213281727,213281730,0,False,residential,East William Street,25.085,,,,,,,,,,,20168846,
213281727,213285838,0,False,residential,Church Street,125.14,,,,,,,,,,,20169102,
213281727,213281724,0,False,residential,East William Street,241.878,,,,,,,,,,,20168846,
213281730,213281727,0,False,residential,East William Street,25.085,,,,,,,,,,,20168846,
213281730,213285861,0,False,residential,Church Street,126.887,,,,,,,,,,,20169106,
213281730,213281737,0,False,residential,East William Street,165.611,,,,,,,,,,,20168846,
213281737,213287335,0,False,secondary,North Virginia Street,124.864,,,,,,,,,,,20171488,NY 96
213281737,213281730,0,False,residential,East William Street,165.611,,,,,,,,,,,20168846,
213281737,213296012,0,False,residential,West William Street,157.11,,,,,,,,,,,20170882,
213281737,213295777,0,False,secondary,North Virginia Street,126.842,,,,,,,,,,,20171488,NY 96
213281934,213281936,0,False,residential,East Wright Avenue,312.905,,,,,,,,,,,20168856,
213281934,213302384,0,False,residential,Inslee Street,199.778,,,,,,,,,,,20170388,
213281934,213302354,0,False,residential,Inslee Street,92.497,,,,,,,,,,,20170388,
213281936,213281938,0,False,residential,East Wright Avenue,270.034,,,,,,,,,,,20168856,
213281936,213281934,0,False,residential,East Wright Avenue,312.905,,,,,,,,,,,20168856,
213281936,213300740,0,False,residential,Swift Street,332.152,,,,,,,,,,,139892671,
213281936,213300732,0,False,residential,Swift Street,166.13,,,,,,,,,,,"[20170249, 139892671]",
213281938,213281941,0,False,residential,East Wright Avenue,35.349,,,,,,,,,,,20168856,
213281938,213281936,0,False,residential,East Wright Avenue,270.034,,,,,,,,,,,20168856,
213281938,213285845,0,False,residential,Church Street,179.815,,,,,,,,,,,20169104,
213281941,213277860,0,False,residential,East Wright Avenue,102.245,,,,,,,,,,,20168856,
213281941,213281938,0,False,residential,East Wright Avenue,35.349,,,,,,,,,,,20168856,
213281941,213285881,0,False,residential,Church Street,126.004,,,,,,,,,,,20169109,
213281945,213295477,0,False,secondary,North Virginia Street,223.471,,,,,,,,,,,20171488,NY 96
213281945,213277860,0,False,residential,East Wright Avenue,203.002,,,,,,,,,,,20168856,
213281945,213296023,0,False,residential,West Wright Avenue,194.731,,,,,,,,,,,20171282,
213281945,213303883,0,False,secondary,North Virginia Street,692.705,,,,,,,,,,,20171488,NY 96
213282702,213282746,0,False,secondary,Fayette Street,214.173,,,,30 mph,,,,,,,20168897,NY 96
213282746,213282749,0,False,secondary,Fayette Street,10.682,,,,30 mph,,,,,,,20168897,NY 96
213282746,213296123,0,False,residential,Lincoln Street,92.814,,,,,,,,,,,20170836,
213282746,213282702,0,False,secondary,Fayette Street,214.173,,,,30 mph,,,,,,,20168897,NY 96
213282749,213282751,0,False,secondary,Fayette Street,86.491,,,,30 mph,,,,,,,20168897,NY 96
213282749,213282746,0,False,secondary,Fayette Street,10.682,,,,30 mph,,,,,,,20168897,NY 96
213282749,213307498,0,False,residential,Rocklan Avenue,148.153,,,,,,,,,,,20171318,
213282751,213282753,0,False,secondary,Fayette Street,104.505,,,,30 mph,,,,,,,20168897,NY 96
213282751,213282749,0,False,secondary,Fayette Street,86.491,,,,30 mph,,,,,,,20168897,NY 96
213282751,213308954,0,False,residential,"['Market Street', 'West Illick Street']",190.966,,,,,,,,,,,"[20171472, 20170835]",
213282751,213296126,0,False,residential,West Illick Street,92.872,,,,,,,,,,,20171472,
213282753,213282751,0,False,secondary,Fayette Street,104.505,,,,30 mph,,,,,,,20168897,NY 96
213282753,2882395873,0,False,secondary,West River Street,69.932,,,,30 mph,,,,,,,86579620,NY 96
213282753,213282755,0,False,residential,Fayette Street,100.66,,,,,,,,,,,86579622,
213282753,213308954,0,False,tertiary,West River Street,96.299,,,,,,,,,,,20172691,CR 117
213282755,213282758,0,False,residential,Fayette Street,132.987,,,,,,,,,,,86579622,
213282755,213282753,0,False,residential,Fayette Street,100.66,,,,,,,,,,,86579622,
213282755,213296132,0,False,residential,Kendig Street,95.524,,,,,,,,,,,139807621,
213282755,213308954,0,False,residential,"['Market Street', 'Kendig Street']",196.15,,,,,,,,,,,"[20170835, 139807621]",
213282758,213282755,0,False,residential,Fayette Street,132.987,,,,,,,,,,,86579622,
213282758,213296138,0,False,residential,Huff Street,88.437,,,,,,,,,,,20173111,
213282758,213336922,0,False,residential,Huff Street,161.955,,,,,,,,,,,20173111,
213283312,213283320,0,False,residential,Stark Street,23.419,,,,,,,,,,,20168940,
213283312,213283579,0,False,residential,West William Street,202.672,,,,,,,,,,,20170879,
213283312,213301002,0,False,residential,West William Street,68.635,,,,,,,,,,,20170882,
213283320,213283333,0,False,residential,Stark Street,118.145,,,,,,,,,,,20168940,
213283320,213283312,0,False,residential,Stark Street,23.419,,,,,,,,,,,20168940,
213283320,213299421,0,False,residential,Chestnut Street,150.416,,,,,,,,,,,20171347,
213283333,213283340,0,False,residential,Stark Street,161.301,,,,,,,,,,,20168940,
213283333,213283320,0,False,residential,Stark Street,118.145,,,,,,,,,,,20168940,
213283333,213299421,0,False,residential,West Elisha Street,134.951,,,,,,,,,,,20170146,
213283340,213283343,0,False,residential,Stark Street,88.254,,,,,,,,,,,20168940,
213283340,213283333,0,False,residential,Stark Street,161.301,,,,,,,,,,,20168940,
213283340,213295468,0,False,residential,West Elizabeth Street,220.446,,,,,,,,,,,20169844,
213283343,213283340,0,False,residential,Stark Street,88.254,,,,,,,,,,,20168940,
213283343,213283347,0,False,residential,Stark Street,506.715,,,,,,,,,,,20168940,
213283343,213314337,0,False,residential,West Wright Avenue,302.805,,,,,,,,,,,20171282,
213283343,213283603,0,False,residential,West Wright Avenue,133.474,,,,,,,,,,,20171282,
213283347,213283357,0,False,residential,Stark Street,319.092,,,,,,,,,,,20168940,
213283347,213283343,0,False,residential,Stark Street,506.715,,,,,,,,,,,20168940,
213283357,213283359,0,False,residential,Stark Street,74.575,,,,,,,,,,,20168940,
213283357,213283347,0,False,residential,Stark Street,319.092,,,,,,,,,,,20168940,
213283357,213309480,0,False,residential,Soetaert Circle,212.694,,,,,,,,,,,20170876,
213283359,213283357,0,False,residential,Stark Street,74.575,,,,,,,,,,,20168940,
213283359,213311744,0,False,residential,Chadwick Drive,224.232,,,,,,,,,,,20171023,
213283469,213283497,0,False,residential,Gorham Street,307.076,,,,,no,,yes,,,,"[217858824, 20168946, 217858823, 402083823]",
213283469,213300177,0,False,tertiary,"['River Road', 'East River Street']",879.093,,,,"['30 mph', '45 mph']",,,,,,,"[20171113, 20171097, 284503049]",CR 117
213283469,213312436,0,False,tertiary,East River Street,390.712,,,,30 mph,,,,,,,20171097,CR 117
213283497,213299240,0,False,primary,East Main Street,62.795,4,,,,,,,,,,20170132,US 20;NY 5
213283497,213299246,0,False,primary,East Main Street,110.479,4,,,,,,,,,,20170132,US 20;NY 5
213283497,213283469,0,False,residential,Gorham Street,307.076,,,,,no,,yes,,,,"[217858824, 20168946, 402083823, 217858823]",
213283577,213283579,0,False,residential,North Seneca Street,130.224,,,,,,,,,,,20168950,
213283577,213284489,0,False,residential,South Seneca Street,199.763,,,,,,,,,,,20169004,
213283577,213263327,0,False,primary,West Main Street,142.122,4,,,,,,,,,,20169869,US 20;NY 5
213283577,213295796,0,False,primary,West Main Street,185.138,4,,,,,,,,,,20169869,US 20;NY 5
213283579,213283577,0,False,residential,North Seneca Street,130.224,,,,,,,,,,,20168950,
213283579,213283583,0,False,residential,North Seneca Street,18.624,,,,,,,,,,,20168950,
213283579,213283312,0,False,residential,West William Street,202.672,,,,,,,,,,,20170879,
213283579,213263332,0,False,residential,West William Street,140.531,,,,,,,,,,,20170879,
213283583,213263339,0,False,residential,Railroad Avenue,139.218,,,,,,,,,,,20171832,
213283583,213283603,0,False,residential,North Seneca Street,305.206,,,,,,,,,,,20168950,
213283583,213283579,0,False,residential,North Seneca Street,18.624,,,,,,,,,,,20168950,
213283603,213263353,0,False,residential,West Wright Avenue,128.06,,,,,,,,,,,20171282,
213283603,213283583,0,False,residential,North Seneca Street,305.206,,,,,,,,,,,20168950,
213283603,213283343,0,False,residential,West Wright Avenue,133.474,,,,,,,,,,,20171282,
213284408,213284426,0,False,residential,Rollins Avenue,218.92,,,,,,,,,,,20168999,
213284408,213300732,0,False,residential,Swift Street,66.342,,,,,,,,,,,20170249,
213284408,213300719,0,False,residential,Swift Street,166.072,,,,,,,,,,,20170249,
213284426,213284408,0,False,residential,Rollins Avenue,218.92,,,,,,,,,,,20168999,
213284489,213283577,0,False,residential,South Seneca Street,199.763,,,,,,,,,,,20169004,
213285354,213281382,0,False,residential,Thurber Drive,414.317,,,,,,,,,,,20169067,
213285354,213277792,0,False,residential,Thurber Drive,250.343,,,,,,,,,,,20169067,
213285354,213303796,0,False,unclassified,Dipronio Drive,566.105,,,,,,,,,,,20171649,
213285384,213305246,0,False,secondary,South Virginia Street,39.711,,,,,,,,,,,20170737,NY 96
213285384,213285420,0,False,residential,East Water Street,611.811,,,,,,,,,,,20169069,
213285384,213296149,0,False,secondary,Washington Street,207.393,,,,,,,yes,,,,"[284503050, 284503051, 48400854, 48400855, 48400856]",NY 96
213285420,213299251,0,False,primary,East Main Street,50.169,4,,,,,,,,,,20170132,US 20;NY 5
213285420,213285384,0,False,residential,East Water Street,611.811,,,,,,,,,,,20169069,
213285420,213299256,0,False,primary,East Main Street,119.102,4,,,,,,,,,,20170132,US 20;NY 5
213285838,213281727,0,False,residential,Church Street,125.14,,,,,,,,,,,20169102,
213285838,213299256,0,False,primary,East Main Street,220.895,4,,,,,,,,,,20170132,US 20;NY 5
213285838,213295777,0,False,primary,East Main Street,186.638,4,,,,,,,,,,20170132,US 20;NY 5
213285845,213281938,0,False,residential,Church Street,179.815,,,,,,,,,,,20169104,
213285845,213285853,0,False,residential,Church Street,372.134,,,,,,,,,,,20169104,
213285845,213303855,0,False,residential,Norris Drive,413.086,,,,,,,,,,,20172941,
213285853,213277879,0,False,tertiary,North Road,162.422,,,,,,,,,,,20170505,
213285853,213285845,0,False,residential,Church Street,372.134,,,,,,,,,,,20169104,
213285853,213303855,0,False,tertiary,North Road,131.097,,,,,,,,,,,20170505,
213285861,213281730,0,False,residential,Church Street,126.887,,,,,,,,,,,20169106,
213285861,213285866,0,False,residential,East Elisha Street,21.548,,,,,,,,,,,20169218,
213285861,213287335,0,False,residential,East Elisha Street,170.173,,,,,,,,,,,20169218,
213285866,213285869,0,False,residential,Church Street,125.845,,,,,,,,,,,20169109,
213285866,213285861,0,False,residential,East Elisha Street,21.548,,,,,,,,,,,20169218,
213285866,213287322,0,False,residential,East Elisha Street,262.706,,,,,,,,,,,20169218,
213285869,213285866,0,False,residential,Church Street,125.845,,,,,,,,,,,20169109,
213285869,213285879,0,False,residential,Church Street,21.727,,,,,,,,,,,20169109,
213285869,213312099,0,False,residential,East Elizabeth Street,23.654,,,,,,,,,,,20171061,
213285869,213312071,0,False,residential,East Elizabeth Street,282.973,,,,,,,,,,,20171061,
213285879,213285881,0,False,residential,Church Street,152.914,,,,,,,,,,,20169109,
213285879,213285869,0,False,residential,Church Street,21.727,,,,,,,,,,,20169109,
213285879,213312099,0,False,residential,East Elizabeth Street,25.16,,,,,,,,,,,20171065,
213285879,213300732,0,False,residential,Mechanic Street,371.372,,,,,,,,,,,20172711,
213285881,213285879,0,False,residential,Church Street,152.914,,,,,,,,,,,20169109,
213285881,213281941,0,False,residential,Church Street,126.004,,,,,,,,,,,20169109,
213285881,213322605,0,False,residential,Disbrow Avenue,71.263,,,,,,,,,,,20171953,
213286347,213331600,0,False,residential,Kendig Street,177.901,,,,,,,,,,,20172690,
213286347,213286351,0,False,residential,Close Street,89.66,,,,,,,,,,,20169149,
213286347,213331604,0,False,residential,Kendig Street,30.009,,,,,,,,,,,20172690,
213286351,213286347,0,False,residential,Close Street,89.66,,,,,,,,,,,20169149,
213287311,213302650,0,False,residential,Mill Street,238.157,,,,,,,,,,,20170406,
213287311,213281710,0,False,residential,Mill Street,126.645,,,,,,,,,,,20170406,
213287311,213287316,0,False,residential,East Elisha Street,133.621,,,,,,,,,,,20169218,
213287316,213287318,0,False,residential,East Elisha Street,76.715,,,,,,,,,,,20169218,
