u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
119674318,211761374,0,False,residential,,65.02,,,,,,,,,,,13009842,
119676556,211762196,0,False,residential,,24.609,,,,,,,,,,,13010071,
119687577,211765371,0,False,residential,,44.552,,,,,,,,,,,13011100,
119687577,119778266,0,False,residential,Church Street,54.812,,,,,,,,,,,13036305,
119687577,119810249,0,False,residential,Church Street,47.506,,,,,,,,,,,13036305,
119726160,211774771,0,False,residential,West 5th Street,122.087,,,,,,,,,,,13015290,
119726160,119909125,0,False,residential,Church Street,52.453,,,,,,,,,,,13036305,
119726160,119909120,0,False,residential,Church Street,60.606,,,,,,,,,,,13036305,
119778253,119778266,0,False,residential,2nd Street,123.204,,,,,,,,,,,13022650,
119778253,119851377,0,False,secondary,Main Street,52.496,,,,,,,,,,,13030848,NY 367
119778253,211813581,0,False,secondary,Main Street,50.543,,,,,,,,,,,13030848,NY 367
119778266,119778253,0,False,residential,2nd Street,123.204,,,,,,,,,,,13022650,
119778266,119851386,0,False,residential,Church Street,52.041,,,,,,,,,,,13036305,
119778266,119687577,0,False,residential,Church Street,54.812,,,,,,,,,,,13036305,
119778266,119778277,0,False,residential,2nd Street,55.253,,,,,,,,,,,13022650,
119778277,119778266,0,False,residential,2nd Street,55.253,,,,,,,,,,,13022650,
119810244,119810249,0,False,residential,3rd Street,124.059,,,,,,,,,,,13026306,
119810244,211813581,0,False,secondary,Main Street,49.982,,,,,,,,,,,13030848,NY 367
119810244,211813574,0,False,secondary,Main Street,104.27,,,,,,,,,,,13030848,NY 367
119810249,119810244,0,False,residential,3rd Street,124.059,,,,,,,,,,,13026306,
119810249,119687577,0,False,residential,Church Street,47.506,,,,,,,,,,,13036305,
119810249,119909135,0,False,residential,Church Street,103.347,,,,,,,,,,,13036305,
119810249,119938577,0,False,residential,Tannery Lane,55.761,,,,,,,,,,,13038452,
119837683,119837719,0,False,residential,Terrace Street,124.674,,,,,,,,,,,13029087,
119837719,211813416,0,False,residential,6th Street,207.783,,,,,,,,,,,13031118,
119837719,119837738,0,False,residential,Terrace Street,189.292,,,,,,,,,,,13029087,
119837719,119837683,0,False,residential,Terrace Street,124.674,,,,,,,,,,,13029087,
119837738,119837746,0,False,residential,Terrace Street,142.25,,,,,,,,,,,13029087,
119837738,119837719,0,False,residential,Terrace Street,189.292,,,,,,,,,,,13029087,
119837738,211813568,0,False,residential,East 5th Street,182.704,,,,,,,,,,,13035031,
119837746,211761374,0,False,residential,Terrace Street,91.203,,,,,,,,,,,13029087,
119837746,119837738,0,False,residential,Terrace Street,142.25,,,,,,,,,,,13029087,
119837746,211813574,0,False,residential,East 4th Street,158.463,,,,,,,,,,,13038615,
119837783,119889702,0,False,secondary,Front Street,53.65,,,,,,,,,,,13034295,NY 427
119837783,211761374,0,False,residential,Terrace Street,245.423,,,,,,,,,,,13029087,
119837783,211813583,0,False,secondary,Front Street,121.3,,,,,,,,,,,13034295,NY 427
119851377,119851386,0,False,residential,1st Street,121.736,,,,,,,,,,,13030382,
119851377,211813583,0,False,secondary,Main Street,53.476,,,,,,,,,,,13030848,NY 367
119851377,119778253,0,False,secondary,Main Street,52.496,,,,,,,,,,,13030848,NY 367
119851386,119851377,0,False,residential,1st Street,121.736,,,,,,,,,,,13030382,
119851386,119778266,0,False,residential,Church Street,52.041,,,,,,,,,,,13036305,
119851386,211821201,0,False,residential,Church Street,53.148,,,,,,,,,,,13036305,
119889702,119837783,0,False,secondary,Front Street,53.65,,,,,,,,,,,13034295,NY 427
119889731,211813583,0,False,residential,Front Street,65.395,,,,,,,,,,,13034298,
119909120,119726160,0,False,residential,Church Street,60.606,,,,,,,,,,,13036305,
119909125,119909135,0,False,residential,Church Street,52.048,,,,,,,,,,,13036305,
119909125,119726160,0,False,residential,Church Street,52.453,,,,,,,,,,,13036305,
119909125,211813571,0,False,residential,Park Lane,120.711,,,,,,,,,,,13038996,
119909135,119810249,0,False,residential,Church Street,103.347,,,,,,,,,,,13036305,
119909135,119909125,0,False,residential,Church Street,52.048,,,,,,,,,,,13036305,
119909135,211762196,0,False,residential,West 4th Street,94.978,,,,,,,,,,,13040304,
119909135,211813574,0,False,residential,West 4th Street,121.639,,,,,,,,,,,13040304,
119938577,119810249,0,False,residential,Tannery Lane,55.761,,,,,,,,,,,13038452,
119946345,211813571,0,False,residential,Park Lane,18.723,,,,,,,,,,,13038996,
119964587,211762196,0,False,residential,West 4th Street,21.653,,,,,,,,,,,13040304,
211761374,119674318,0,False,residential,,65.02,,,,,,,,,,,13009842,
211761374,119837746,0,False,residential,Terrace Street,91.203,,,,,,,,,,,13029087,
211761374,119837783,0,False,residential,Terrace Street,245.423,,,,,,,,,,,13029087,
211762196,119676556,0,False,residential,,24.609,,,,,,,,,,,13010071,
211762196,119964587,0,False,residential,West 4th Street,21.653,,,,,,,,,,,13040304,
211762196,119909135,0,False,residential,West 4th Street,94.978,,,,,,,,,,,13040304,
211765371,119687577,0,False,residential,,44.552,,,,,,,,,,,13011100,
211774771,119726160,0,False,residential,West 5th Street,122.087,,,,,,,,,,,13015290,
211774771,211813571,0,False,secondary,Main Street,52.93,,,,,,,,,,,13030848,NY 367
211774771,211813568,0,False,secondary,Main Street,43.822,,,,,,,,,,,13030848,NY 367
211779980,211813462,0,False,residential,Berwick Turnpike,43.529,,,,,,,,,,,13016957,
211779980,211780014,0,False,residential,Berwick Turnpike,1272.941,,,,,,,,,,,13016957,
211780014,211779980,0,False,residential,Berwick Turnpike,1272.941,,,,,,,,,,,13016957,
211780014,211821201,0,False,secondary,Front Street,356.215,,,,,,,,,,,13034295,NY 427
211813416,211813561,0,False,residential,6th Street,17.356,,,,,,,,,,,13031118,
211813416,119837719,0,False,residential,6th Street,207.783,,,,,,,,,,,13031118,
211813416,211813425,0,False,residential,Main Street,115.39,,,,,,,,,,,13030796,
211813425,211813416,0,False,residential,Main Street,115.39,,,,,,,,,,,13030796,
211813455,211813462,0,False,secondary,Main Street,224.494,,,,,,,,,,,13030848,NY 367
211813462,211779980,0,False,residential,Berwick Turnpike,43.529,,,,,,,,,,,13016957,
211813462,211813465,0,False,secondary,Main Street,138.102,,,,,,,,,,,13030848,NY 367
211813462,211813455,0,False,secondary,Main Street,224.494,,,,,,,,,,,13030848,NY 367
211813465,211813561,0,False,secondary,Main Street,316.488,,,,,,,,,,,13030848,NY 367
211813465,211813462,0,False,secondary,Main Street,138.102,,,,,,,,,,,13030848,NY 367
211813465,2552278606,0,False,residential,Main Street Extended,142.662,,,,,,,,,,,248427012,
211813561,211813416,0,False,residential,6th Street,17.356,,,,,,,,,,,13031118,
211813561,211813568,0,False,secondary,Main Street,234.768,,,,,,,,,,,13030848,NY 367
211813561,211813465,0,False,secondary,Main Street,316.488,,,,,,,,,,,13030848,NY 367
211813568,211774771,0,False,secondary,Main Street,43.822,,,,,,,,,,,13030848,NY 367
211813568,211813561,0,False,secondary,Main Street,234.768,,,,,,,,,,,13030848,NY 367
211813568,119837738,0,False,residential,East 5th Street,182.704,,,,,,,,,,,13035031,
211813571,211813574,0,False,secondary,Main Street,50.543,,,,,,,,,,,13030848,NY 367
211813571,211774771,0,False,secondary,Main Street,52.93,,,,,,,,,,,13030848,NY 367
211813571,119946345,0,False,residential,Park Lane,18.723,,,,,,,,,,,13038996,
211813571,119909125,0,False,residential,Park Lane,120.711,,,,,,,,,,,13038996,
211813574,211813571,0,False,secondary,Main Street,50.543,,,,,,,,,,,13030848,NY 367
211813574,119837746,0,False,residential,East 4th Street,158.463,,,,,,,,,,,13038615,
211813574,119909135,0,False,residential,West 4th Street,121.639,,,,,,,,,,,13040304,
211813574,119810244,0,False,secondary,Main Street,104.27,,,,,,,,,,,13030848,NY 367
211813581,119778253,0,False,secondary,Main Street,50.543,,,,,,,,,,,13030848,NY 367
211813581,119810244,0,False,secondary,Main Street,49.982,,,,,,,,,,,13030848,NY 367
211813581,211813595,0,False,residential,Main Street,55.019,,,,,,,,,,,13030852,
211813583,119851377,0,False,secondary,Main Street,53.476,,,,,,,,,,,13030848,NY 367
211813583,211821201,0,False,secondary,Front Street,124.868,,,,,,,,,,,13034295,NY 427
211813583,119889731,0,False,residential,Front Street,65.395,,,,,,,,,,,13034298,
211813583,119837783,0,False,secondary,Front Street,121.3,,,,,,,,,,,13034295,NY 427
211813595,211813581,0,False,residential,Main Street,55.019,,,,,,,,,,,13030852,
211821201,211813583,0,False,secondary,Front Street,124.868,,,,,,,,,,,13034295,NY 427
211821201,211780014,0,False,secondary,Front Street,356.215,,,,,,,,,,,13034295,NY 427
211821201,119851386,0,False,residential,Church Street,53.148,,,,,,,,,,,13036305,
2552278606,211813465,0,False,residential,Main Street Extended,142.662,,,,,,,,,,,248427012,
