osmid,x,y,ref,highway
213341216,-74.479068,41.578918,,
213341224,-74.481203,41.579008,,
213341229,-74.482211,41.579029,,
213341248,-74.482684,41.578655,,
213341253,-74.482317,41.57894,,
213346634,-74.485309,41.575418,,
213346646,-74.486094,41.574294,,
213350539,-74.491116,41.572626,,
213350547,-74.491395,41.572166,,
213350561,-74.492193,41.573015,,
213350595,-74.491466,41.571546,,
213358095,-74.4834108,41.5728469,,
213358176,-74.491391,41.573744,,
213358188,-74.490616,41.573278,,
213374651,-74.486077,41.580618,,
213374654,-74.486561,41.580973,,
213382202,-74.490958,41.582005,,
213382219,-74.490109,41.586072,,
213382278,-74.491346,41.578877,,
213382282,-74.490093,41.580022,,
213388967,-74.482645,41.580815,,
213388970,-74.482156,41.580587,,
213395715,-74.492378,41.582656,,
213407337,-74.483458,41.572405,,
213420949,-74.491617,41.579005,,
213420969,-74.49289,41.578058,,
213437425,-74.478807,41.579291,,
213440986,-74.485992,41.578667,,
213440994,-74.487328,41.579436,,
213441045,-74.48953,41.582581,,
213445663,-74.480536,41.575623,,
213445676,-74.48155,41.576265,,
213445701,-74.4799014,41.5753378,,
213463085,-74.481579,41.574344,,
213463089,-74.48098,41.575056,,
213467473,-74.484938,41.575898,,
213467477,-74.484321,41.576623,,
213467480,-74.483874,41.577145,,
213468722,-74.478818,41.579717,,
213468735,-74.477983,41.580463,,
213468739,-74.477719,41.580861,,
213475040,-74.491615,41.575467,,
213475085,-74.493724,41.575641,,
213483181,-74.483885,41.577932,,
213483221,-74.482729,41.578265,,
213483235,-74.479596,41.578161,,
213483248,-74.483975,41.578646,,
213483272,-74.484796,41.580841,,
213483276,-74.483639,41.580191,,
213495212,-74.4885086,41.573167,,
213495289,-74.489186,41.576095,,
213512399,-74.483231,41.576104,,
213512402,-74.483802,41.575371,,
213520813,-74.481176,41.579797,,
213520823,-74.482876,41.579924,,
213528028,-74.479993,41.577308,,
213528036,-74.482746,41.57731,,
213529425,-74.487181,41.575184,,
213529433,-74.488938,41.575986,,
213529446,-74.490019,41.576559,,
213532410,-74.490188,41.578335,,
213532422,-74.489824,41.580188,,
213539056,-74.483326,41.573956,,
213539061,-74.4832102,41.5750936,,
213559999,-74.4804875,41.5738471,,
213560002,-74.479914,41.574586,,
213562456,-74.481137,41.580621,,
213564461,-74.494237,41.580401,,
213564471,-74.488374,41.577491,,
213564473,-74.4861651,41.5764564,,
213564475,-74.485996,41.576387,,
213564479,-74.483983,41.575455,,
213564480,-74.482731,41.574874,,
213564482,-74.479761,41.573508,,
213564484,-74.479447,41.573364,,
213566558,-74.487672,41.57459,,
213571055,-74.482129,41.575593,,
213572506,-74.492408,41.580646,,
213581136,-74.487333,41.578049,,
213581166,-74.483178,41.580573,,
213583749,-74.486761,41.574399,,
213583753,-74.487077,41.573176,,
213589471,-74.4890351,41.572866,,
213599475,-74.484849,41.574118,,
213599477,-74.484987,41.573471,,
213613605,-74.478886,41.574116,,
213613608,-74.478584,41.574505,,
213613635,-74.475218,41.576115,,
213622604,-74.49515,41.580636,,
213629711,-74.485422,41.577123,,
213629713,-74.485094,41.577505,,
213631890,-74.477411,41.573528,,
213660806,-74.476879,41.574501,,
213675240,-74.488551,41.576403,,
213676168,-74.495743,41.579028,,
213677617,-74.480735,41.57229,,
213701720,-74.484331,41.58119,,
213701723,-74.485182,41.580559,,
2418352079,-74.4830495,41.5750218,,
2418352084,-74.4833948,41.5730921,,
2418352085,-74.4832743,41.5748639,,
2418362069,-74.4840204,41.5677667,,
2418362133,-74.4832415,41.5728372,,
2418362193,-74.48249,41.5733901,,
2418362216,-74.4835602,41.5675367,,
