osmid,x,y,ref,highway
212027227,-73.422033,43.838946,,
212027238,-73.42452,43.839021,,
212027251,-73.60846,44.199267,,
212027275,-73.607224,44.19838,,
212027289,-73.492361,44.470562,,
212027313,-73.48783,44.471027,,
212027318,-73.48755,44.470997,,
212027328,-73.486296,44.466724,,
212027331,-73.486283,44.466678,,
212027334,-73.485812,44.465092,,
212027360,-73.486206,44.459304,,
212027374,-73.487248,44.457081,,
212027435,-73.492661,44.444415,,
212027466,-73.494297,44.437338,,
212027477,-73.704869,44.410345,,
212027510,-73.702214,44.412201,,
212027516,-73.702057,44.411564,,
212027529,-73.702383,44.412828,,
212027539,-73.75994,43.841908,,
212027547,-73.761318,43.842032,,
212027553,-73.763831,43.842117,,
212027559,-73.764722,43.842157,,
212027568,-73.406683,44.373239,,
212027612,-73.405693,44.373004,,
212027621,-73.421863,43.84235,,
212027627,-73.420049,43.84219,,
212027629,-73.983592,44.26893,,
212027633,-73.984595,44.269384,,
212027637,-73.985584,44.269837,,
212027638,-73.985649,44.269864,,
212027645,-73.986601,44.270351,,
212027658,-73.987358,44.271098,,
212027675,-73.986199,44.270894,,
212027681,-74.122179,44.329287,,
212027690,-74.122327,44.328854,,
212027696,-73.999236,44.292822,,
212027788,-74.00301,44.287245,,
212027794,-73.600661,44.222221,,
212027853,-73.610858,44.22419,,
212027864,-73.438028,43.852927,,
212027872,-73.437238,43.852566,,
212027885,-73.437602,43.85324,,
212027897,-73.880801,43.793571,,
212027906,-73.878372,43.793809,,
212027927,-73.873898,43.793824,,
212028088,-73.472196,44.250198,,
212028117,-73.471465,44.254383,,
212028221,-73.451306,44.263819,,
212028231,-73.460517,44.483962,,
212028255,-73.454253,44.484285,,
212028268,-73.811019,43.958818,,
212028833,-73.82919,44.022911,,
212028876,-73.435411,43.849283,,
212028879,-73.434104,43.84955,,
212028882,-73.433658,43.849622,,
212028885,-73.434419,44.179534,,
212028889,-73.433491,44.179847,,
212028893,-73.43305,44.179964,,
212028898,-73.431945,44.180292,,
212028911,-73.4851072,44.5002734,,
212028929,-73.432092,44.180542,,
212028932,-73.432395,44.18042,,
212029031,-73.79775,44.247463,,
212029050,-73.796105,44.248002,,
212029087,-73.772185,43.794433,,
212029092,-73.772312,43.794056,,
212029100,-73.772995,43.793516,,
212029108,-73.977492,43.796394,,
212029114,-73.977219,43.79584,,
212029116,-73.977283,43.795573,,
212029129,-73.448414,44.11165,,
212029144,-73.976808,43.795268,,
212029154,-73.7944409,44.2035388,,
212029157,-73.789209,44.2039349,,
212029167,-73.771878,43.794172,,
212029177,-73.397274,44.460611,,
212029180,-73.397671,44.460378,,
212029221,-73.397851,44.46191,,
212029227,-73.397522,44.461875,,
212029250,-73.397206,44.462967,,
212029286,-73.78845,43.781818,,
212029290,-73.788595,43.781601,,
212029359,-74.0044619,44.3144231,,
212029449,-73.500996,44.110104,,
212029481,-73.492389,44.115861,,
212029569,-73.74237,44.252019,,
212029571,-73.741837,44.252297,,
212029582,-73.741805,44.252878,,
212029598,-73.682023,44.435149,,
212029601,-73.681891,44.435046,,
212029609,-74.102472,43.9560521,,
212029638,-74.003942,44.291082,,
212029678,-73.399846,44.463937,,
212029698,-73.399385,44.463853,,
212029741,-73.399841,44.46343,,
212029744,-73.399817,44.463565,,
212029749,-73.400455,44.464083,,
212029774,-73.954643,43.792875,,
212029777,-73.954404,43.792013,,
212029787,-73.969101,43.7933,,
212029795,-73.964523,43.793065,,
212029801,-73.444279,44.185962,,
212029818,-73.44433,44.186229,,
212029903,-74.0097091,43.849682,,
212029906,-74.0080244,43.8490857,,
212029976,-73.584016,44.220665,,
212029987,-73.583378,44.220218,,
212029997,-74.213241,43.969918,,
212030003,-74.215448,43.971082,,
212030011,-74.211734,43.915552,,
212030021,-74.211302,43.916355,,
212030029,-73.770932,43.82454,,
212030072,-73.462707,43.858471,,
212030081,-73.462767,43.859276,,
212030088,-73.465532,43.857672,,
212030089,-73.465512,43.857765,,
212030093,-74.0094,43.803918,,
212030105,-74.009175,43.801797,,
212030160,-74.008055,43.812363,,
212030170,-74.005759,43.8125,,
212030172,-73.992542,43.798163,,
212030177,-73.993414,43.798875,,
212030184,-73.599105,44.221754,,
212030186,-73.598013,44.221471,,
212030190,-73.597667,44.221536,,
212030209,-74.012574,43.794314,,
212030210,-74.012659,43.795883,,
212030211,-74.21147,43.913393,,
212030213,-74.211347,43.913908,,
212030225,-73.598069,44.221713,,
212030320,-73.814661,44.183916,,
212030447,-73.4036865,44.3728304,,
212030500,-73.580985,44.427804,,
212030507,-73.582501,44.430386,,
212030511,-73.462534,43.932082,,
212030516,-73.465769,43.931116,,
212030524,-73.586005,44.422175,,
212030536,-73.588373,44.424573,,
212030552,-73.548886,43.922137,,
212030557,-73.546813,43.922194,,
212030585,-74.221271,43.921238,,
212030587,-74.221537,43.920518,,
212030590,-74.221671,43.920246,,
212030593,-74.221844,43.919896,,
212030598,-73.779413,44.152248,,
212030602,-73.778672,44.152102,,
212030606,-73.569403,44.285504,,
212030610,-73.569294,44.286327,,
212030623,-74.222098,43.920061,,
212030632,-74.219421,43.920954,,
212030635,-74.219888,43.920097,,
212030872,-73.397696,44.394629,,
212030876,-73.397428,44.394997,,
212030909,-73.394048,44.391644,,
212030912,-73.394092,44.391938,,
212030944,-73.585358,43.879119,,
212030946,-73.586502,43.878824,,
212030955,-73.587285,43.878978,,
212030964,-73.587715,43.879524,,
212030969,-73.586921,43.88001,,
212030982,-73.58541,43.8792,,
212030985,-73.584946,43.878677,,
212030986,-73.440745,44.408019,,
212030992,-73.44262,44.407888,,
212031012,-73.659192,44.413414,,
212031025,-73.657716,44.413198,,
212031033,-73.585668,43.879102,,
212031062,-73.649311,44.412694,,
212031065,-73.648808,44.412787,,
212031068,-73.326158,44.266547,,
212031101,-73.59093,44.291761,,
212031104,-73.590759,44.290922,,
212031138,-73.584767,44.289331,,
212031147,-73.585855,44.289264,,
212031186,-74.217283,43.920449,,
212031191,-74.217551,43.919603,,
212031224,-74.21779,43.92051,,
212031226,-74.21811,43.919786,,
212031257,-74.217544,43.920461,,
212031258,-74.217805,43.91964,,
212031280,-74.216926,43.920437,,
212031282,-74.217101,43.919704,,
212031284,-74.217144,43.919548,,
212031455,-74.115393,44.317098,,
212031520,-74.008204,44.261485,,
212031531,-74.009964,44.260868,,
212031534,-74.010031,44.260443,,
212031568,-73.587455,43.878976,,
212031623,-73.586945,43.880107,,
212031632,-73.550987,44.349946,,
212031769,-73.481766,44.503502,,
212031994,-73.771639,43.814954,,
212031995,-73.770559,43.815102,,
212031998,-73.769723,43.815079,,
212032001,-73.768822,43.815129,,
212032010,-73.768504,43.814989,,
212032070,-73.768598,43.815571,,
212032071,-73.768703,43.815545,,
212032074,-73.770156,43.81518,,
212032087,-73.424014,43.987918,,
212032089,-73.421703,43.987439,,
212032095,-73.419845,43.987453,,
212032106,-73.420009,43.982222,,
212032133,-73.79937,44.24923,,
212032138,-73.8015297,44.2498677,,
212032216,-74.158426,43.969632,,
212032218,-74.158809,43.970786,,
212032251,-73.724495,44.413095,,
212032252,-73.724534,44.413745,,
212032253,-73.768346,43.832981,,
212032254,-73.768033,43.833133,,
212032265,-73.767477,43.833051,,
212032362,-73.9880785,44.2888324,,
212032366,-73.987151,44.288856,,
212032371,-74.070542,44.296225,,
212032420,-73.984818,44.276682,,
212032448,-73.986195,44.27769,,
212032490,-73.41448,43.965457,,
212032534,-73.414202,43.962573,,
212032545,-73.41384,43.964377,,
212032557,-73.413108,43.964413,,
212032575,-74.092318,44.299508,,
212032581,-73.770698,43.830438,,
212032585,-73.770093,43.829915,,
212032590,-73.459623,43.805305,,
212032592,-73.459225,43.804972,,
212032756,-73.978626,44.283556,,
212032762,-73.978253,44.28369,,
212032809,-73.768722,44.166911,,
212032840,-73.77941,44.169857,,
212032854,-73.771629,43.814655,,
212032856,-73.77091,43.814734,,
212032863,-73.770339,43.814746,,
212032870,-73.779757,44.168542,,
212032876,-73.770695,43.814617,,
212032889,-74.083486,43.872492,,
212032901,-74.082873,43.873092,,
212032957,-74.079893,43.872966,,
212032963,-74.080055,43.873708,,
212032986,-73.461683,43.805205,,
212033010,-74.079253,43.873079,,
212033027,-74.07986,43.873801,,
212033061,-73.983067,44.272916,,
212033064,-73.366114,44.376275,,
212033065,-73.365935,44.376825,,
212033076,-73.427186,43.835336,,
212033085,-73.428268,43.835076,,
212033100,-73.366846,44.377149,,
212033231,-73.434726,43.804343,,
212033252,-73.979599,44.280118,,
212033281,-73.977974,44.279419,,
212033295,-73.502495,44.175838,,
212033329,-73.406449,44.393966,,
212033344,-73.405346,44.394103,,
212033382,-73.529888,43.921286,,
212033385,-73.530847,43.921464,,
212033391,-73.813514,44.399835,,
212033394,-73.81316,44.399425,,
212033402,-73.4718046,44.0372776,,
212033411,-73.498595,44.017723,,
212033423,-73.497586,44.01708,,
212033479,-73.664531,43.88613,,
212033497,-73.66567,43.884661,,
212033664,-74.106034,44.3181,,
212033676,-74.103325,44.316922,,
212033695,-73.488334,43.930719,,
212033705,-73.488987,43.931788,,
212033743,-73.562849,43.883314,,
212033752,-73.565221,43.885583,,
212033796,-74.168376,43.895523,,
212033871,-74.163589,43.894397,,
212033887,-73.433854,44.187432,,
212033888,-73.588286,44.218516,,
212033896,-73.589851,44.217549,,
212033933,-73.437609,43.806248,,
212033938,-73.437445,43.806223,,
212033977,-73.415663,43.99872,,
212033985,-73.414697,43.999954,,
212034138,-73.448001,43.885841,,
212034141,-73.447783,43.885793,,
212034238,-73.560423,43.881305,,
