osmid,x,y,ref,highway
62651263,-75.822227,44.385714,,
62690751,-75.546727,44.263491,,
62716177,-75.521757,44.25222,,
62848033,-75.832127,44.390302,,
62861128,-75.70605,44.33249,,
212379435,-76.129561,44.183377,,
212379500,-76.137151,44.189433,,
212379525,-76.165511,43.754577,,
212379575,-76.180915,43.741041,,
212379640,-76.021923,43.810305,,
212379654,-76.020681,43.810947,,
212379662,-76.298217,44.050753,,
212379726,-76.286696,44.057427,,
212379733,-76.1473676,43.7107522,,
212379742,-76.150478,43.705876,,
212379780,-76.159051,43.69108,,
212379787,-76.159931,43.689477,,
212379812,-76.161437,43.688751,,
212379844,-76.176178,43.689654,,
212379875,-76.139731,43.722929,,
212379890,-76.148,43.718835,,
212379907,-76.148617,43.717828,,
212380191,-76.125846,43.90358,,
212380307,-76.119661,43.90269,,
212380895,-75.886559,43.985055,,
212380930,-75.835192,43.992055,,
212380939,-75.8350603,43.9925965,,
212380995,-75.836285,43.993326,,
212380997,-75.836276,43.993182,,
212381009,-75.8358352,43.9922947,,
212381013,-75.835094,43.99189,,
212381081,-76.0638482,43.6892765,,
212381083,-76.063764,43.688267,,
212381122,-76.061747,43.673393,,
212381125,-76.06171,43.673142,,
212381147,-75.7740876,44.0295687,,
212381159,-75.772209,44.030714,,
212381165,-75.772094,44.030791,,
212381213,-75.814913,44.275239,,
212381262,-75.814009,44.280221,,
212381287,-75.814657,44.281406,,
212381297,-76.109923,43.950338,,
212381300,-76.108575,43.95088,,
212381313,-76.165576,43.881016,,
212381321,-76.1665712,43.880676,,
212381326,-76.168203,43.880057,,
212381335,-76.17007,43.87941,,
212381341,-76.174942,43.878069,,
212381343,-76.177858,43.877237,,
212381345,-76.180533,43.876461,,
212381442,-76.201455,43.862951,,
212381478,-76.046103,44.009544,,
212381479,-76.044224,44.00956,,
212381482,-76.024451,43.803934,,
212381502,-76.025837,43.804701,,
212381530,-75.661387,44.023914,,
212381573,-75.665534,44.022914,,
212381600,-76.203731,44.199571,,
212381616,-76.20244,44.198653,,
212381679,-75.977081,44.328143,,
212381687,-75.9744951,43.9164324,,
212381743,-75.962365,43.91876,,
212381749,-75.961099,43.919404,,
212381753,-75.9594,43.920279,,
212381761,-75.956427,43.921809,,
212381764,-75.954053,43.92304,,
212381779,-75.942113,43.92955,,
212381782,-75.941407,43.92994,,
212381785,-75.940842,43.930247,,
212381794,-75.939434,43.931013,,
212381807,-75.938831,43.930996,,
212381813,-75.938724,43.930957,,
212381824,-76.18666,43.6824,,
212381827,-76.186411,43.682532,,
212381833,-76.185962,43.682757,,
212381836,-76.185573,43.682951,,
212381844,-76.229937,43.821672,,
212381851,-76.144966,43.776945,,
212381854,-76.144929,43.77615,,
212381872,-76.120797,43.95019,,
212381908,-75.707986,44.150208,,
212381922,-75.709068,44.148034,,
212381946,-75.795231,44.216284,,
212381959,-75.794496,44.216756,,
212381979,-75.7867062,44.2937296,,
212381989,-75.87212,43.831971,,
212382030,-75.878469,43.831952,,
212382101,-75.764236,44.010959,,
212382119,-75.76213,44.009868,,
212382149,-75.769273,44.012721,,
212382192,-76.127823,43.931691,,
212382199,-76.12889,43.933478,,
212382279,-75.899605,44.347775,,
212382285,-75.900457,44.348361,,
212382293,-76.226272,44.066863,,
212382316,-75.901164,44.347862,,
212382322,-75.900273,44.347322,,
212382355,-75.721473,44.323084,,
212382359,-75.721445,44.323221,,
212382366,-75.720674,44.324112,,
212382369,-75.720354,44.324056,,
212382371,-75.720134,44.324,,
212382374,-75.719814,44.323968,,
212382397,-75.721214,44.323275,,
212382400,-75.721688,44.323163,,
212382422,-75.715225,44.32268,,
212382425,-75.715327,44.322844,,
212382428,-75.71557,44.322868,,
212382434,-76.211795,43.822392,,
212382450,-76.212594,43.822891,,
212382453,-75.715305,44.323179,,
212382456,-75.499664,44.045231,,
212382458,-76.235226,43.81766,,
212382463,-75.880251,43.967009,,
212382480,-75.879456,43.966789,,
212382597,-75.944496,44.347458,,
212382600,-75.943958,44.34718,,
212382651,-76.147578,44.198642,,
212382663,-75.94397,44.347526,,
212382672,-75.944313,44.34758,,
212382714,-75.853439,44.379794,,
212382718,-75.853669,44.379998,,
212382861,-76.01043,44.253064,,
212382870,-76.122137,43.915053,,
212382872,-76.123173,43.915614,,
212382887,-75.920185,44.251401,,
212382906,-75.919927,44.250311,,
212382914,-75.581308,44.183324,,
212382994,-75.551332,43.985347,,
212382996,-75.550008,43.985323,,
212383084,-75.908745,43.959852,,
212383132,-75.91403,43.957111,,traffic_signals
212383222,-76.339271,44.124883,,
212383224,-76.340612,44.124429,,
212383304,-76.01662,44.259868,,
212383307,-76.016907,44.260203,,
212383329,-76.016596,44.261077,,
212383338,-76.018605,44.260251,,
212383419,-76.069753,43.965191,,
212383427,-76.069217,43.964489,,
212383436,-76.066681,43.967825,,
212383459,-76.06661,43.965398,,
212383532,-76.206485,44.193072,,
212383538,-76.207481,44.19426,,
212383646,-76.2655889,43.873061,,
212383702,-75.635461,43.999154,,
212383705,-75.634913,43.999202,,
212383733,-75.633695,43.999605,,
212383779,-76.179307,43.793592,,
212383789,-76.178873,43.792199,,
212383858,-75.946092,43.961379,,
212383860,-75.946152,43.9616,,
212383915,-76.076605,43.71644,39,motorway_junction
212383951,-76.078793,43.710891,,
212383954,-76.07579,43.714866,,
212383991,-76.072433,43.710669,,
212383997,-76.073215,43.68696,,
212384023,-76.07005,43.68371,,
212384030,-76.071362,43.67808,38,motorway_junction
212384071,-76.074448,43.676879,,
212384077,-75.762382,44.022617,,
212384086,-75.762163,44.022067,,
212384091,-75.976204,44.295514,,
212384097,-75.976012,44.295613,,
212384140,-76.000794,43.886052,43,motorway_junction
212384148,-76.030307,43.825909,,
212384167,-76.021461,43.824864,,
212384263,-76.02892,43.8201116,,
212384282,-76.022621,43.821022,,
212384323,-75.719053,44.324598,,
212384327,-75.718474,44.32473,,
212384332,-75.717918,44.324825,,
212384335,-75.717369,44.32455,,
212384338,-75.717147,44.324164,,
212384345,-75.716874,44.324301,,
212384357,-75.499695,44.044123,,
212384361,-75.720387,44.323904,,
212384363,-75.720652,44.323745,,
212384367,-75.927466,43.995819,,
212384369,-75.92757,43.996119,,
212384377,-75.703622,44.082136,,
212384437,-75.695427,44.079575,,
212384520,-75.677583,44.084446,,
212384539,-75.9758478,43.9128023,,
212384564,-75.976759,43.914246,,
212384661,-76.036736,44.33329,,
212384667,-76.036605,44.333456,,
212384676,-76.036537,44.333521,,
212384682,-76.036449,44.333368,,
212384731,-75.914837,44.3373719,,
212384732,-75.9146274,44.3371632,,
212384734,-75.914246,44.337839,,
212384737,-75.914212,44.337675,,
212384741,-75.956693,44.31893,,
212384752,-75.957388,44.31901,,
212384820,-76.3676049,44.1003197,,
212384863,-75.8683854,43.9845594,,
212384890,-75.874218,43.991147,,
212384895,-75.944727,44.223354,,
212384898,-75.944393,44.22308,,
212385021,-76.252682,43.879918,,
212385023,-76.251323,43.876781,,
212385030,-75.89307,44.349272,,
212385036,-75.891925,44.349232,,
212385117,-75.919181,43.91995,,
212385131,-75.91931,43.921723,,
212385174,-75.984669,44.010163,,
212385181,-75.984003,44.010156,,
212385194,-75.938141,44.010764,,
212385198,-75.937971,44.01064,,
212385202,-75.937971,44.010856,,
212385221,-75.586816,44.083967,,
212385228,-75.756166,44.290861,,
212385233,-75.758411,44.291387,,
212385242,-75.759453,44.291649,,
212385249,-75.757901,44.292042,,
212385280,-75.771129,44.280224,,
212385402,-75.766026,44.278461,,
212385413,-75.755662,44.292661,,
212385425,-75.758956,44.29249,,
212385465,-75.756202,44.039344,,
212385470,-75.784978,44.295133,,
212385490,-75.7855579,44.2938918,,
212385621,-75.804237,44.077736,,
212385624,-75.804569,44.078179,,
212385646,-75.720467,44.062833,,
212385807,-75.894214,44.332072,,
212385813,-75.894622,44.330913,,
212385817,-76.032176,43.810586,,
212385863,-76.0342945,43.8114641,41,motorway_junction
212385879,-75.759749,44.04185,,
212385888,-75.93803,43.986765,,
212385907,-75.938057,43.987579,,
212385916,-75.937963,43.987946,,
212386017,-75.9102566,43.9748129,,traffic_signals
212386051,-76.214152,44.12108,,
212386095,-76.196616,44.116761,,
212386103,-76.189863,44.114453,,
212386199,-75.933388,43.999068,,
212386239,-75.900002,44.003534,,
212386248,-75.899664,44.003047,,
212386255,-75.899174,44.002944,,
212386339,-75.901441,44.029843,,
212386354,-75.90384,44.031154,,
212386441,-75.760746,44.047694,,
212386457,-75.786133,44.174304,,
212386492,-75.783949,44.175016,,
212386516,-75.783751,44.176608,,
212386525,-75.753864,44.187275,,
212386529,-75.75505,44.188146,,
212386623,-76.078026,44.151181,,
212386634,-75.946406,43.985467,46,motorway_junction
212386677,-75.943123,43.988474,,
212386709,-75.941412,43.991203,,
212386721,-75.9483769,43.9731095,45,motorway_junction
212386735,-75.9477728,43.9759293,,traffic_signals
212386749,-75.948274,43.979264,,
212386787,-75.877183,44.167479,,
212386799,-75.872185,44.168255,,
212386808,-75.8773,44.173486,,
212386837,-75.872327,44.17239,,
212386847,-76.000808,43.763495,,
212386850,-76.001366,43.764142,,
212386856,-75.877919,44.171641,,
212386858,-75.877667,44.171607,,
212386879,-75.909629,43.980999,,
212386883,-75.909313,43.981445,,
212386890,-75.853923,44.358553,,
212386935,-75.850469,44.360961,,
212386952,-75.913236,44.011232,,
212386984,-75.916302,44.018606,,
212387014,-75.518273,44.033328,,
212387022,-76.139361,44.066735,,
212387032,-76.140469,44.06608,,
212387040,-75.985169,43.899676,,
212387052,-75.984511,43.900707,,
212387076,-75.982601,43.903082,,
212387087,-75.981448,43.904618,,
212387100,-75.913108,43.963041,,
212387135,-75.915156,43.964546,,
212387237,-75.948092,44.328895,,
212387269,-75.9621649,44.30384,,
212387274,-75.9616281,44.3043044,,
212388082,-75.709211,44.155748,,
212388110,-75.708048,44.156476,,
212388141,-75.722633,44.042019,,
212388146,-75.535724,44.091812,,
212388182,-75.531522,44.096243,,
212388312,-76.217239,43.895289,,
212388331,-76.218102,43.894571,,
212388352,-76.217719,43.893578,,
212388523,-75.8809229,43.9766801,,
212388525,-75.8808908,43.9766444,,
212388554,-75.8794578,43.9753077,,
212388615,-75.75075,44.033573,,
212388620,-75.749865,44.034718,,
212388627,-75.904793,43.994332,,
212388682,-75.981965,44.343584,,
212388685,-75.982627,44.343997,,
212388808,-76.073684,43.975674,,
212388866,-76.275367,43.9735,,
212388876,-76.27471,43.974185,,
212388882,-76.2411052,44.174367,,
212388893,-76.243621,44.175155,,
212388951,-75.6156014,43.9829805,,
212388961,-75.971043,43.9796746,,
212388963,-75.971332,43.979622,,
212388992,-75.971508,43.97865,,
212388994,-75.971054,43.9786106,,
212389017,-75.971214,43.9815886,,
212389022,-75.971874,43.981541,,
212389042,-75.971644,43.981045,,
212389045,-75.971168,43.9810916,,
212389064,-75.971251,43.9821586,,
212389218,-75.787283,43.995139,,
212389236,-75.786549,43.993268,,
212389262,-76.006562,43.78347,,
212389265,-76.005819,43.783498,,
212389270,-76.232617,44.02409,,
212389274,-76.233315,44.025752,,
212389277,-76.231621,44.024219,,
212389279,-76.232225,44.025995,,
212389382,-76.000106,44.311857,,
212389413,-75.996068,44.311647,,
212389447,-76.126733,44.220983,,
212389451,-76.127225,44.221612,,
212389691,-75.979349,43.91496,,
212389713,-75.977842,43.912429,,
212389718,-75.988664,43.913608,,
212389739,-75.987125,43.911251,,
212389743,-75.951683,43.918955,,
212389777,-75.911941,44.337081,,
212389779,-75.911671,44.336972,,
212389810,-76.044576,44.012056,,
212389838,-76.163567,43.755239,,
212389847,-76.164081,43.755061,,
212389854,-75.975124,43.893626,,
212389872,-75.97432,43.894383,,
212390152,-76.142298,44.113515,,
212390213,-75.884174,44.361422,,
212390236,-75.883964,44.362156,,
212390250,-75.908795,44.337782,,
212390265,-75.908196,44.337144,,
212390567,-75.850586,44.38557,,
212390583,-75.852192,44.38467,,
212390612,-75.760756,44.048941,,
212390645,-75.752846,43.918833,,
212390742,-75.888459,44.259627,,
212390746,-75.89175,44.261257,,
212390754,-75.888946,44.263983,,
212390758,-75.89135,44.263481,,
212390781,-75.924376,43.98652,,
212390808,-75.922508,43.984604,,
212390824,-75.960918,44.192025,,
212390970,-75.595889,44.131408,,
212390988,-76.3043052,44.1451395,,
212391021,-76.303536,44.144053,,
212391026,-76.061197,43.952049,,
212391028,-76.064287,43.952084,,
212391048,-76.082474,43.952919,,
212391054,-76.0827286,43.9531352,,
212391173,-76.05761,44.249829,,
212391180,-76.056822,44.249439,,
212391199,-76.053687,44.247865,,
212391212,-75.759392,44.02145,,
212391215,-75.759155,44.021521,,
212391233,-76.17604,43.688235,,
212391366,-75.927397,43.973646,,
212391377,-75.927357,43.972088,,
212391489,-76.205518,44.076311,,
212391517,-76.206341,44.081031,,
212391606,-75.892305,43.913115,,
212391631,-75.892028,43.911207,,
212391639,-75.93352,44.246866,,
212391656,-75.933183,44.247846,,
212391728,-75.855785,44.035466,,
212391733,-75.855389,44.035242,,
212391782,-75.850739,44.036203,,
212391785,-75.705523,44.034572,,
212391788,-75.705567,44.035671,,
212391790,-75.813589,44.0532118,,
212391822,-75.808401,44.052545,,
212391853,-76.17648,43.726533,,
212391867,-76.181677,43.724723,,
212391987,-75.834297,44.237978,,
212392093,-75.867519,43.985463,,
212392099,-76.101625,43.731394,,
212392116,-76.099421,43.73123,,
212392195,-75.644871,44.27888,,
212392206,-75.645052,44.280123,,
212392247,-75.8811129,43.9776147,,
212392250,-75.8812775,43.9766689,,
212392276,-75.8813298,43.976612,,
212392292,-75.8813707,43.9765259,,
212392307,-75.941001,44.329589,,
212392411,-76.223863,43.85558,,
212392426,-76.224335,43.85848,,
212392437,-76.215835,43.857473,,
212392445,-76.216633,43.858131,,
212392492,-76.03871,44.16087,,
212392504,-76.035974,44.160034,,
212392575,-75.776843,44.019672,,
212392583,-75.777231,44.020218,,
212392653,-75.963609,44.298596,,
212392665,-75.9641571,44.3000322,,
212392677,-75.796373,44.084309,,
212392687,-75.796008,44.083374,,
212392692,-75.904745,43.970407,,
212392697,-75.904603,43.970612,,
212392724,-75.9513032,43.9752693,,
212392788,-75.948525,43.979343,45,motorway_junction
212392868,-75.576778,44.261272,,
212392875,-75.575335,44.260426,,
212393012,-75.606848,44.192877,,
212393015,-75.605997,44.192749,,
212393021,-76.024167,44.263354,,
212393039,-76.022383,44.266251,,
212393050,-76.022103,44.267079,,
212393061,-75.795744,44.218396,,
212393069,-75.792206,44.219293,,
212393075,-75.913949,44.017033,,
212393096,-75.912435,44.01356,,
212393162,-76.175946,43.723964,,
212393179,-76.173839,43.724376,,
212393310,-75.739631,44.107718,,
212393331,-75.740294,44.108339,,
212393337,-75.991937,44.285913,,
212393351,-75.992771,44.2861,,
212393356,-75.792016,44.040537,,
212393359,-75.792128,44.040646,,
212393365,-75.794327,44.042793,,
212393371,-75.869543,44.015185,,
212393376,-75.86934,44.014638,,
212393381,-76.172249,44.211414,,
212393384,-76.171961,44.211643,,
212393410,-76.167455,44.209447,,
212393421,-75.781562,44.036544,,
212393427,-75.781482,44.036642,,
212393434,-75.779823,44.035845,,
212393440,-75.779734,44.035953,,
212393516,-75.968183,44.333211,,
212393649,-76.186473,43.74926,,
212393682,-76.186909,43.749577,,
212393710,-75.839264,44.272644,,
212393774,-75.827003,44.283504,,
212393822,-76.2547224,44.1665896,,
212393825,-76.2543803,44.1668957,,
212393866,-76.065929,44.24207,,
212393874,-75.798195,44.215639,,
212393888,-75.79579,44.217155,,
212394043,-76.2164388,44.1890534,,
212394052,-76.218054,44.189682,,
212394060,-76.221223,44.18527,,
212394063,-76.222328,44.18577,,
212394072,-75.658427,44.023922,,
212394074,-75.658472,44.023749,,
212394076,-75.658564,44.023431,,
212394099,-75.821695,44.25275,,
212394132,-75.824511,44.255488,,
212394144,-75.824945,44.255388,,
212394146,-75.825052,44.255289,,
212394163,-75.916831,43.943703,,
212394166,-75.919282,43.943766,,
212394191,-75.891151,43.988677,,
212394194,-75.892109,43.988222,,
212394256,-76.2378992,44.1779005,,
212394259,-76.2384666,44.1780808,,
212394262,-76.2387439,44.1781676,,
212394265,-76.2389973,44.1783036,,
212394268,-76.2392025,44.1784297,,
212394273,-76.2397843,44.1777135,,
212394275,-76.23956,44.177612,,
212394288,-76.2382197,44.1776759,,
212394325,-75.948588,43.976196,,
212394436,-76.172381,43.967659,,
212394438,-76.172105,43.967564,,
212394468,-76.032149,43.816907,,
