u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
212438377,212438400,0,False,residential,Borkowski Road,2045.601,,,,,,,,,,,20098485,
212438377,212492687,0,False,residential,Rector Road,2410.035,,,,,,,,,,,20102052,
212438377,212492657,0,False,residential,Rector Road,2480.306,,,,,,,,,,,20102052,
212438400,212438413,0,False,residential,Borkowski Road,839.916,,,,,,,,,,,20098485,
212438400,212438377,0,False,residential,Borkowski Road,2045.601,,,,,,,,,,,20098485,
212438400,212506780,0,False,residential,Snyder Road,1267.26,,,,,,,,,,,20102930,
212438413,212485407,0,False,residential,Gardner Road,49.123,,,,,,,,,,,20101650,
212438413,212438400,0,False,residential,Borkowski Road,839.916,,,,,,,,,,,20098485,
212438413,212485399,0,False,residential,Gardner Road,3432.939,,,,,,,,,,,20101650,
212438482,212438496,0,False,residential,Bickford Road,1210.725,,,,,,,yes,,,,"[20098489, 137778474, 137778475]",
212438482,212481765,0,False,residential,Nefsey Road,3797.861,,,,,,,,,,,20101509,
212438482,212479497,0,False,primary,State Highway 12,1623.695,,,,,,,,,,,137778490,NY 12
212438482,212460859,0,False,primary,State Highway 12,1634.641,,,,,,,,,,,137778490,NY 12
212438496,212476218,0,False,residential,Rice Road,981.553,,,,,,,,,,,20101187,
212438496,212476255,0,False,residential,Rice Road,2496.395,,,,,,,,,,,20101190,
212438496,212438482,0,False,residential,Bickford Road,1210.725,,,,,,,yes,,,,"[20098489, 137778474, 137778475]",
212438840,212438842,0,False,residential,Michigan Mills Road,94.071,,,,,,,,,,,20098502,
212438840,212450906,0,False,residential,Michigan Mills Road,938.013,,,,,,,,,,,"[20099234, 20098502]",
212438840,212443182,0,False,residential,,252.076,,,,,,,,,,,20098738,
212438842,212438844,0,False,residential,Michigan Mills Road,190.721,,,,,,,,,,,20098502,
212438842,212438840,0,False,residential,Michigan Mills Road,94.071,,,,,,,,,,,20098502,
212438842,212443182,0,False,residential,,122.639,,,,,,,,,,,20098738,
212438844,212438842,0,False,residential,Michigan Mills Road,190.721,,,,,,,,,,,20098502,
212438844,212443663,0,False,residential,"['North South Trail', 'Michigan Mills Road']",1987.011,,,,,,,,,,,"[20103481, 20100022, 20098502]",
212438844,212443206,0,False,residential,,148.659,,,,,,,,,,,20098740,
212438854,212438863,0,False,residential,Michigan Mills Road,845.1,,,,,,,,,,,20098504,
212438854,212438881,0,False,residential,Michigan Mills Road,709.704,,,,,,,,,,,20098505,
212438854,212476803,0,False,residential,Dolphin Road,1954.455,,,,,,,,,,,20101219,
212438863,212438876,0,False,residential,Michigan Mills Road,1829.308,,,,,,,,,,,20098504,
212438863,212438854,0,False,residential,Michigan Mills Road,845.1,,,,,,,,,,,20098504,
212438863,212450880,0,False,residential,Dolan Road,2552.093,,,,,,,yes,,,,"[138993177, 20102986, 138993172]",
212438876,212438863,0,False,residential,Michigan Mills Road,1829.308,,,,,,,,,,,20098504,
212438876,212456185,0,False,residential,Michigan Mills Road,271.292,,,,,,,,,,,20099645,
212438876,212461157,0,False,residential,Page Road,1129.334,,,,,,,,,,,20101503,
212438881,212497552,0,False,residential,Highmarket Road,60.565,,,,,,,,,,,20102388,
212438881,212438854,0,False,residential,Michigan Mills Road,709.704,,,,,,,,,,,20098505,
212438881,212513804,0,False,residential,North Road,3231.242,,,,,,,,,,,20103611,
212438891,212438897,0,False,tertiary,Florence Road,766.658,,,,,,,,,,,20098508,
212438891,212472701,0,False,residential,Liehs,589.996,,,,,,,,,,,20100992,
212438897,212438904,0,False,tertiary,Florence Road,1042.696,,,,,,,,,,,20098508,
212438897,212438891,0,False,tertiary,Florence Road,766.658,,,,,,,,,,,20098508,
212438897,3186878934,0,False,unclassified,"['Cassio Road', 'Barker Road']",4206.791,,,,,,,,,,,"[20150219, 20102679]",
212438897,212507402,0,False,residential,Gregory Road,2729.266,,,,,,,,,,,20103488,
212438904,212451975,0,False,residential,,774.173,,,,,,,,,,,20099319,
212438904,212438908,0,False,tertiary,Florence Road,540.53,,,,,,,,,,,20098508,
212438904,212438897,0,False,tertiary,Florence Road,1042.696,,,,,,,,,,,20098508,
212438908,212438911,0,False,tertiary,Florence Road,578.553,,,,,,,,,,,20098508,
212438908,212438904,0,False,tertiary,Florence Road,540.53,,,,,,,,,,,20098508,
212438908,212515787,0,False,residential,Driscoll Road,2265.952,,,,,,,,,,,20103478,
212438911,212438937,0,False,tertiary,Florence Road,831.499,,,,,,,,,,,20098508,
212438911,212438908,0,False,tertiary,Florence Road,578.553,,,,,,,,,,,20098508,
212438911,3186878934,0,False,tertiary,Redfield Road,2755.691,,,,,,,,,,,20102445,
212438937,212489207,0,False,tertiary,"['Florence Road', 'Mary Street']",416.358,,,,,,,yes,,,,"[137623952, 20101879, 20098508, 137623951]",
212438937,212438911,0,False,tertiary,Florence Road,831.499,,,,,,,,,,,20098508,
212438937,212459361,0,False,residential,,173.365,,,,,,,,,,,20099910,
212438957,212442868,0,False,residential,Gomer Hill Road,2443.541,,,,,,,,,,,"[20098717, 20098511]",
212438957,212439130,0,False,residential,Gomer Hill Road,140.758,,,,,,,,,,,20098517,
212438957,212486250,0,False,residential,Moore Road,3164.37,,,,,,,,,,,20103098,
212439010,212439014,0,False,residential,Gomer Hill Road,183.691,,,,,,,,,,,20098517,
212439010,212476169,0,False,residential,County Road 51,90.037,,,,,,,,,,,20102441,
212439010,212500444,0,False,residential,"['County Road 51', 'West Road']",1364.699,,,,,,,,,,,"[20102441, 20102562]",
212439014,212439052,0,False,residential,Gomer Hill Road,1249.425,,,,,,,,,,,20098517,
212439014,212439010,0,False,residential,Gomer Hill Road,183.691,,,,,,,,,,,20098517,
212439014,212502133,0,False,residential,Lyman Road,1713.508,,,,,,,,,,,20102861,
212439052,212439080,0,False,residential,Gomer Hill Road,896.551,,,,,,,,,,,20098517,
212439052,212439014,0,False,residential,Gomer Hill Road,1249.425,,,,,,,,,,,20098517,
212439052,212443919,0,False,residential,Platt Road,1309.481,,,,,,,,,,,20098766,
212439080,212439087,0,False,residential,Gomer Hill Road,622.711,,,,,,,,,,,20098517,
212439080,212439052,0,False,residential,Gomer Hill Road,896.551,,,,,,,,,,,20098517,
212439080,212509012,0,False,residential,Lovenduski Road,537.444,,,,,,,,,,,20103074,
