osmid,x,y,ref,highway
83893783,-73.6759392,41.0373129,,
83911774,-73.510147,41.200504,,
83931647,-73.509174,41.20093,,
83943206,-73.639672,41.141496,,
83970134,-73.6057915,41.1567455,,
83974650,-73.637765,41.142311,,
83974653,-73.635501,41.143348,,
83975651,-73.51173,41.199811,,
83996011,-73.6710655,41.0314725,,
84002274,-73.571915,41.172051,,
84006631,-73.6719064,41.0324986,,traffic_signals
100626184,-73.8327023,40.9490139,,
100627938,-73.8293421,40.952562,,
141015465,-73.6757911,41.036435,27S,motorway_junction
141026147,-73.675746,41.0363289,,
164656616,-73.7387243,41.2404513,,
164657525,-73.736982,41.238678,,
165083560,-73.5755046,41.2081655,,
165235424,-73.736911,41.21544,,
165236779,-73.7402476,41.2151938,,
165699275,-73.6901808,41.23576,,
165700200,-73.6942455,41.2368114,,
165700391,-73.692936,41.2358762,,
166558985,-73.574917,41.209005,,
166655337,-73.567551,41.212551,,
166659448,-73.561824,41.2171385,,
166664655,-73.552876,41.2122289,,
166676310,-73.5544897,41.2048185,,
166688429,-73.5522962,41.1975625,,
166688449,-73.547031,41.1978351,,
166691223,-73.5384908,41.19365,,
166691831,-73.5400872,41.192171,,
166692760,-73.53262,41.1926166,,
166692768,-73.5342078,41.1933787,,
166694140,-73.54282,41.2007706,,
166699444,-73.5479322,41.1994561,,
166699466,-73.5504041,41.1979901,,
166705577,-73.5529018,41.2018907,,
166705622,-73.5536399,41.2031177,,
166718147,-73.55414,41.209826,,
167196223,-73.6556239,41.1972216,,
167256496,-73.7130533,41.2064563,,
167256507,-73.7123494,41.2105824,,
167256509,-73.7127443,41.2114218,,
167257653,-73.7100578,41.2099367,,
167258621,-73.7151475,41.2055974,,
167259755,-73.716067,41.2049975,,
167262228,-73.718349,41.1929073,,turning_circle
167262252,-73.7153106,41.187908,,turning_circle
167262662,-73.716744,41.1889092,,turning_circle
167262678,-73.7161088,41.190595,,
167263014,-73.7170787,41.1915122,,turning_circle
167263018,-73.7166066,41.1917188,,
167264067,-73.713285,41.1937081,,turning_circle
167264092,-73.7163148,41.191144,,
167264255,-73.7143493,41.1933917,,
167264441,-73.7152419,41.1937211,,
167265092,-73.7140832,41.195607,,turning_circle
167265099,-73.716023,41.1954907,,
167273325,-73.717053,41.1929396,,
191099232,-73.7161271,41.0183329,26W,motorway_junction
191099932,-73.7210077,41.0147701,,
191111874,-73.9285133,41.2877434,,
191122010,-73.9116273,41.2288794,,
191125014,-73.8794305,41.1910295,,motorway_junction
191126374,-73.8898605,41.2031458,,
191129812,-73.9341493,41.2678232,,
191130820,-73.9329455,41.2731863,,
191130823,-73.9320265,41.2746491,,
191130851,-73.9285642,41.2890677,,
191130857,-73.9301414,41.2911255,,
204783856,-73.9348106,41.2973081,,
204784502,-73.9358619,41.2985713,,
204784504,-73.9361004,41.2984422,,
244458934,-73.6868758,41.0423588,,
254113209,-73.6927477,41.0540483,,
254113219,-73.6918005,41.0535597,,
254113223,-73.673241,41.273313,,
254113232,-73.674167,41.274424,,
254113236,-73.846609,40.970718,,
254113237,-73.846631,40.9709486,,
254113257,-73.8859233,41.2053127,,
254113261,-73.8858293,41.2051452,,
254113279,-73.885277,41.203712,,
254113290,-73.8997545,40.9365864,,
254113291,-73.9003186,40.9366549,,
254113292,-73.9006013,40.9366874,,
254113293,-73.9013259,40.9367703,,
254113296,-73.9020595,40.9368625,,
254113299,-73.8979662,40.9363582,,
254113301,-73.898817,40.93647,,
254113303,-73.8855302,41.2073397,,
254113304,-73.771799,40.937079,,
254113305,-73.771666,40.937054,,
254113313,-73.77117,40.938112,,
254113316,-73.772175,40.939108,,
254113318,-73.730715,41.013124,,
254113345,-73.75204,40.946914,,
254113349,-73.7529007,40.9474108,,
254113350,-73.730992,41.013025,,
254113351,-73.851191,41.306158,,
254113362,-73.851184,41.30734,,
254113371,-73.782009,40.89197,,
254113374,-73.78358,40.890214,,
254113375,-73.708112,40.949929,,
254113376,-73.707636,40.950244,,
254113378,-73.706795,40.950816,,
254113387,-73.704808,40.952083,,
254113409,-73.6494778,41.2111641,,
254113416,-73.6533265,41.2148307,,
254113422,-73.6562707,41.2172356,,
254113425,-73.6574281,41.2189159,,
254113431,-73.6575944,41.2205765,,
254113492,-73.6562776,41.2311558,,
254113494,-73.6561584,41.2314307,,
254113523,-73.6536682,41.2409483,,
254113525,-73.6537466,41.2418406,,
254113530,-73.6545457,41.2463438,,
254113535,-73.6546546,41.2470748,,
254113538,-73.6545687,41.2472199,,
254113550,-73.6440145,41.203897,,
254113551,-73.6440808,41.2039534,,
254113552,-73.6447859,41.2045193,,
254113554,-73.6465691,41.2059204,,
254113586,-73.6547601,41.2470258,,
254113596,-73.655143,41.2473447,,
254113597,-73.8617645,41.0598609,,
254113599,-73.860631,41.059744,,
254113600,-73.860429,41.05969,,
254113614,-73.8304109,41.0603237,,
254113615,-73.8316024,41.0611221,,
254113625,-73.8328817,41.0615786,,
254113627,-73.8339072,41.0616862,,
254113637,-73.8438568,41.0633577,,
254113644,-73.842848,41.064202,,
254113649,-73.841983,41.064404,,
254113650,-73.841015,41.064237,,
254113658,-73.834101,41.0612513,,traffic_signals
254113659,-73.8341801,41.0611217,,traffic_signals
254113724,-73.739019,40.954288,,
254113728,-73.73939,40.954288,,
254113734,-73.740006,40.954735,,
254113735,-73.74061,40.955187,,
254113738,-73.740942,40.955826,,
254113743,-73.741255,40.956539,,
254113751,-73.74212,40.957281,,
254113752,-73.742255,40.957382,,
254113766,-73.743583,40.959374,,
254113780,-73.744329,40.96009,,
254113817,-73.746673,40.960788,,
254113827,-73.747957,40.963317,,
254113828,-73.748222,40.963642,,
254113831,-73.748537,40.964096,,
254113845,-73.749233,40.966808,,
254113852,-73.749379,40.967467,,
254113860,-73.749622,40.968943,,
254113863,-73.750364,40.96957,,
254113866,-73.751317,40.970381,,
254113867,-73.751928,40.970849,,
254113868,-73.752245,40.971092,,
254113869,-73.752298,40.971133,,
254113872,-73.753483,40.971996,,
254113875,-73.851021,41.170127,,
254113876,-73.849251,41.169695,,
254113877,-73.75675,41.003859,,
254113879,-73.7563123,41.0031164,,
254113883,-73.756145,41.002214,,
254113884,-73.755807,41.001527,,
254113889,-73.756059,41.000656,,
254113892,-73.7650119,41.067514,,
254113905,-73.7628676,41.0680634,,
254113910,-73.925057,41.293093,,
254113911,-73.86623,40.992367,,
254113914,-73.866029,40.993614,,
254113915,-73.866538,40.994021,,
254113916,-73.865981,40.993655,,
254113917,-73.8954362,40.9473351,,
254113918,-73.894416,40.9470881,,
254113920,-73.8934097,40.9468529,,
254113921,-73.892002,40.946426,,
254113922,-73.89029,40.945951,,
254113924,-73.888509,40.945488,,
254113933,-73.887577,40.945261,,
254113934,-73.886713,40.945032,,
254113935,-73.8984135,40.9504601,,
254113937,-73.897703,40.949794,,
254113938,-73.897029,40.949328,,
254113939,-73.89633,40.9488794,,
254113941,-73.8953851,40.9480573,,
254113946,-73.836167,40.925043,,
254113956,-73.837975,40.925564,,
254113957,-73.8385,40.925746,,
254113958,-73.839355,40.926044,,
254113960,-73.840111,40.92631,,
254113961,-73.797206,41.04433,,
254113962,-73.796436,41.044279,,
254113963,-73.7525501,41.2444097,,
254113987,-73.7494304,41.2456508,,
254113988,-73.7693678,40.9900077,,
254114011,-73.7697038,40.9889869,,
254114015,-73.7978694,40.8995745,,
254114035,-73.7973602,40.9011182,,
254114036,-73.871278,40.925566,,
254114039,-73.869643,40.927182,,
254114041,-73.866142,41.315581,,
254114042,-73.867213,41.315456,,
254114043,-73.784632,41.180051,,
254114052,-73.783997,41.181894,,
254114053,-73.850765,41.288414,,
254114054,-73.8507863,41.2892897,,
254114059,-73.8501845,41.2912152,,
254114066,-73.9308415,41.2727059,,
254114069,-73.9303691,41.2751146,,
254114070,-73.930194,41.276058,,
254114072,-73.9299442,41.2767076,,
254114076,-73.820653,40.944959,,
254114077,-73.822895,40.944908,,
254114085,-73.6533943,41.3459054,,traffic_signals
254114098,-73.6538549,41.3442643,,
254114116,-73.834141,41.048294,7A,motorway_junction
254114120,-73.858197,41.315329,,
254114121,-73.857392,41.315411,,
254114122,-73.856514,41.3155,,
254114138,-73.85727,41.315051,,
254114156,-73.858058,41.314899,,
254114157,-73.858255,41.315606,,
254114158,-73.858197,41.315876,,
254114159,-73.8566431,41.3159415,,
254114165,-73.858271,41.316188,,
254114166,-73.858163,41.315614,,
254114167,-73.856244,41.315949,,
254114169,-73.8558076,41.3155647,,
254114170,-73.875183,40.911901,,
254114172,-73.874893,40.911687,,
254114179,-73.873564,40.911136,,
254114181,-73.873276,40.911204,,
254114185,-73.872928,40.911201,,
254114195,-73.868078,41.044654,,
254114201,-73.866856,41.044949,,
254114219,-73.749399,41.217661,,
254114228,-73.7493355,41.218167,,
254114229,-73.796023,40.951643,,
254114270,-73.798948,40.953103,,
254114274,-73.794502,41.130636,28,motorway_junction
254114281,-73.794842,41.131609,,
254114384,-73.7652643,41.1179962,,
254114406,-73.8742889,40.9126953,,
254114417,-73.873464,40.914401,,
254114422,-73.71599,41.305488,,
254114423,-73.718065,41.305251,,
254114503,-73.6789394,41.2574063,5,motorway_junction
254114504,-73.6862402,41.3343178,,
254114514,-73.685338,41.333397,,
254114541,-73.814969,41.144548,,
254114546,-73.7648887,41.0369396,,
254114548,-73.7781898,40.9580505,,
254114559,-73.778188,40.956228,,
254114563,-73.778013,40.956016,,
254114565,-73.849123,41.007146,,
254114570,-73.848207,41.006945,,
254114571,-73.833208,41.136219,,
254114580,-73.831979,41.134734,,
254114629,-73.802608,41.139271,,
254114637,-73.8020859,41.1402314,,
254114640,-73.801129,41.140445,,
254114642,-73.800159,41.140199,,
254114643,-73.808843,41.183139,,traffic_signals
254114719,-73.807467,41.184157,8,motorway_junction
254114720,-73.736201,41.214629,,
254114730,-73.735576,41.214662,,
254114795,-73.8549831,40.9346714,,
254114816,-73.8556067,40.936159,,
254114843,-73.573088,41.335704,,
254114849,-73.8481586,41.0042521,,turning_circle
254114850,-73.848002,41.004555,,
254114855,-73.850429,41.008032,,
254114858,-73.849815,41.007445,,
254114859,-73.903422,41.228763,,
254114901,-73.905441,41.227052,,
254114938,-73.829831,40.956729,,
254114943,-73.830768,40.956306,,
254114948,-73.831297,40.954921,,
254114998,-73.83115,40.951572,,
254115042,-73.5809207,41.2754216,,
254115044,-73.711363,41.213491,,
254115048,-73.710923,41.214035,,
254115052,-73.684161,41.335766,,
254115053,-73.684386,41.33586,,
254115054,-73.683399,41.336625,,
254115055,-73.683709,41.336951,,
254115075,-73.68353,41.337212,,
254115076,-73.683907,41.336734,,
254115128,-73.819786,41.331887,,
254115129,-73.7309943,40.9640334,18B-A,motorway_junction
254115137,-73.7334567,40.9631318,18B,motorway_junction
254115140,-73.735218,40.962644,,
254115144,-73.7365125,40.9622969,18A,motorway_junction
254115153,-73.716766,41.295227,,
254115175,-73.720131,41.292414,,
254115176,-73.812316,41.198692,,
254115181,-73.8100568,41.199331,,
254115182,-73.711674,41.333178,,
254115192,-73.711363,41.333833,,
254115193,-73.711312,41.333794,,
254115199,-73.710817,41.333055,,
254115201,-73.710756,41.332622,,
254115203,-73.710652,41.33342,,
254115207,-73.713936,41.336912,,
254115214,-73.714014,41.336717,,
254115221,-73.711737,41.337838,,
254115223,-73.712348,41.337567,,
254115225,-73.713322,41.337293,,
254115226,-73.713465,41.337243,,
254115229,-73.873254,41.319079,,
254115230,-73.872359,41.3189,,
254115233,-73.871957,41.318889,,
254115242,-73.702262,41.341292,,
254115246,-73.701903,41.34052,,
254115247,-73.869003,40.918911,,
254115255,-73.8661319,40.9206515,,
254115297,-73.701235,41.337868,,
254115299,-73.70123,41.3377,,
254115300,-73.701284,41.337351,,
254115301,-73.900493,41.285723,,
254115302,-73.900332,41.285579,,
254115361,-73.8565157,40.9331512,,
254115393,-73.8189933,41.0404123,,
254115398,-73.8182026,41.0380371,,
254115399,-73.8170586,41.0370173,,
254115413,-73.818983,41.033245,,
254115420,-73.818051,41.03557,,
254115421,-73.8619371,41.0604905,,traffic_signals
254115443,-73.7961023,40.9888479,,
254115445,-73.7960659,40.9885232,,
254115447,-73.71472,41.337228,,
254115448,-73.716168,41.323322,,
254115450,-73.715968,41.323509,,
254115463,-73.71598,41.324365,,
254115477,-73.8167146,40.9021769,,traffic_signals
254115614,-73.7185988,41.0802138,,
254115644,-73.7171822,41.0800788,,
254115646,-73.847411,41.198335,,
254115689,-73.850709,41.197088,,
254115710,-73.708422,41.190136,,
254115716,-73.759099,40.977247,,
254115720,-73.759127,40.977066,,
254115722,-73.761617,40.976173,,
254115723,-73.699787,41.194848,,
254115725,-73.699317,41.195283,,
254115726,-73.698908,41.193011,,
254115728,-73.697573,41.193044,,
254115734,-73.709301,41.184037,,
254115784,-73.703806,41.184259,,
254115786,-73.706222,41.177232,,
254115807,-73.705415,41.178126,,
254115910,-73.6775673,40.9913219,,traffic_signals
254115912,-73.6771719,40.9909494,,
254115929,-73.8220683,41.0538591,21,motorway_junction
254115948,-73.7636474,41.2374448,,
254115985,-73.766501,41.24474,,
254115987,-73.7839957,41.1239592,,
254115989,-73.7839013,41.1240239,,
254115990,-73.7836782,41.124192,,
254115993,-73.7832919,41.1245282,,
254115994,-73.813725,41.304535,,
254115997,-73.814452,41.304654,,
254116008,-73.813665,41.304124,,
254116028,-73.7233137,41.3350003,,
254116034,-73.721257,41.335301,,
254116041,-73.6963912,41.0388304,,traffic_signals
254116076,-73.7410746,40.9677198,,
254116084,-73.739795,40.963073,,
254116108,-73.739696,40.960461,,
254116109,-73.687282,41.34707,,
254116112,-73.829773,41.018342,,
254116116,-73.829671,41.017265,,
254116121,-73.831322,40.955895,,
254116124,-73.830844,40.956793,,
254116164,-73.668218,41.341429,,
254116167,-73.8297408,41.0595847,,
254116168,-73.8296586,41.0597044,,
254116176,-73.8280422,41.0604298,,
254116208,-73.8281882,41.0595415,,
254116220,-73.7688933,41.043258,,
254116234,-73.597024,41.200434,,
254116239,-73.597536,41.201491,,
254116242,-73.805182,41.2687498,,
254116282,-73.8331617,41.0582088,,
254116283,-73.8304923,41.0591213,,motorway_junction
254116293,-73.601264,41.20139,,
254116295,-73.600747,41.202097,,
254116296,-73.602064,41.202829,,
254116297,-73.601134,41.202941,,
254116299,-73.60284,41.202729,,
254116300,-73.602745,41.203208,,
254116303,-73.8614257,40.9354269,,
254116311,-73.80807,41.098656,,
254116313,-73.758014,41.115633,,
254116314,-73.757878,41.11502,,
254116318,-73.757597,41.114488,,
254116391,-73.815695,41.33194,,
254116392,-73.8157226,41.3325665,,traffic_signals
254116393,-73.8157305,41.3327039,,traffic_signals
254116395,-73.784463,41.271301,,
254116398,-73.784463,41.270653,,
254116430,-73.6985159,40.9764946,,
254116513,-73.690655,40.992074,,
254116518,-73.691172,40.992244,,
254116524,-73.692185,40.992783,,
254116547,-73.807198,41.0091,,
254116548,-73.807823,41.009399,,
254116637,-73.654624,41.304518,,
254116641,-73.654671,41.30349,,
254116769,-73.638536,41.30106,,
254116947,-73.62826,41.30098,,
254116969,-73.802094,41.095804,,motorway_junction
254117021,-73.8024127,41.0962477,,
254117022,-73.8227156,41.2916646,,
254117027,-73.821844,41.291556,,
254117044,-73.723258,40.944302,,
254117062,-73.718783,40.946604,,
254117086,-73.764528,41.047356,,
254117087,-73.7640535,41.0474931,,
254117088,-73.666832,41.296741,,
254117089,-73.666921,41.296594,,
254117091,-73.859192,40.955549,,
254117099,-73.860406,40.955279,,
254117109,-73.7437489,40.9827569,,
254117153,-73.738536,40.985776,,
254117154,-73.6143,41.304113,,
254117157,-73.613878,41.304468,,
254117158,-73.6146137,41.3076659,,
254117162,-73.602429,41.304567,,
254117165,-73.602464,41.30478,,
254117166,-73.602402,41.305747,,
