u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
41247989,41509906,0,False,primary,Western Avenue,66.308,4,,,30 mph,,,,,,,36173374,US 20
41247989,41508683,0,False,primary,Western Avenue,41.026,4,,,30 mph,,,,,,,36173374,US 20
41248059,41248068,0,False,residential,Pine Tree Lane,147.931,,,,30 mph,,,,,,,5563805,
41248059,41338488,0,False,residential,Harding Street,89.702,,,,30 mph,,,,,,,5593307,
41248059,41565489,0,False,residential,"['Harding Street', 'Marsdale Street']",348.885,,,,30 mph,,,,,,,"[5595161, 5593307]",
41248068,41248072,0,False,residential,Pine Tree Lane,118.089,,,,30 mph,,,,,,,5563805,
41248068,41296788,0,False,residential,Maxwell Street,169.024,,,,30 mph,,,,,,,5569462,
41248068,41248059,0,False,residential,Pine Tree Lane,147.931,,,,30 mph,,,,,,,5563805,
41248072,41248068,0,False,residential,Pine Tree Lane,118.089,,,,30 mph,,,,,,,5563805,
41248513,41505836,0,False,tertiary,Krumkill Road,111.45,,,,30 mph,,,,,,,"[5588568, 5595831]",
41248513,41532904,0,False,tertiary,Bender Lane,344.196,,,,30 mph,,,,,,,168276291,
41259648,41300933,0,False,tertiary,Buckingham Drive,83.467,,,,30 mph,,,,,,,5591365,
41259648,41435287,0,False,tertiary,Buckingham Drive,23.272,,,,30 mph,,,,,,,5591365,
41259648,41259660,0,True,tertiary_link,,33.778,,,,,,,,,,,5565067,
41259660,41338488,0,False,tertiary,New Scotland Avenue,32.479,,,,30 mph,,,,,,,112401605,
41259660,41338485,0,False,tertiary,New Scotland Avenue,24.443,,,,30 mph,,,,,,,112401605,
41261088,41261144,0,True,motorway,,686.954,2,,,55 mph,,,,,,,36170723,NY 85
41265357,41349267,0,False,residential,Cortland Street,90.606,,,,30 mph,,,,,,,5574660,
41265357,41253090,0,True,motorway_link,,235.826,,,,,,,,,,,5564353,
41265357,41546803,0,False,residential,Ormond Street,270.708,,,,30 mph,,,,,,,5593015,
41272264,41272265,0,False,residential,Plymouth Street,45.785,,,,30 mph,,,,,,,5566526,
41272264,41415221,0,True,residential,Plymouth Street,105.596,,,,30 mph,,,,,,,43707666,
41272264,41349260,0,False,residential,Lenox Avenue,278.103,,,,30 mph,,,,,,,5581859,
41272265,41272264,0,False,residential,Plymouth Street,45.785,,,,30 mph,,,,,,,5566526,
41277003,41261088,0,True,motorway,,393.954,2,,,55 mph,,,yes,,,,"[67973850, 36170723, 36170724]",NY 85
41281495,41281496,0,False,residential,Marion Avenue,8.94,,,,30 mph,,,,,,,5567634,
41281495,41301917,0,True,residential,Marion Avenue,88.943,,,,30 mph,,,,,,,5575698,
41281496,41281495,0,False,residential,Marion Avenue,8.94,,,,30 mph,,,,,,,5567634,
41281496,41349220,0,True,residential,Marion Avenue,92.457,,,,30 mph,,,,,,,43676232,
41287615,41287618,0,False,residential,Marion Avenue,7.259,,,,30 mph,,,,,,,5568431,
41287615,41362004,0,True,residential,Marion Avenue,87.188,,,,30 mph,,,,,,,5575698,
41287618,41287615,0,False,residential,Marion Avenue,7.259,,,,30 mph,,,,,,,5568431,
41287618,41362083,0,True,residential,Marion Avenue,88.189,,,,30 mph,,,,,,,43676232,
41289301,41289302,0,False,residential,Westford Street,226.452,,,,30 mph,,,,,,,5568682,
41289301,41412717,0,False,tertiary,Whitehall Road,82.408,,,,30 mph,,,,,,,5579995,
41289301,41412708,0,False,tertiary,Whitehall Road,89.897,,,,30 mph,,,,,,,5579995,
41289302,41289301,0,False,residential,Westford Street,226.452,,,,30 mph,,,,,,,5568682,
41289302,41511239,0,False,residential,Hackett Boulevard,78.0,,,,30 mph,,,,,,,5589192,
41289302,41353701,0,False,residential,"['Hurst Avenue', 'Westford Street']",298.742,,,,30 mph,,,,,,,"[5568682, 5575023]",
41289302,41438313,0,False,residential,Hackett Boulevard,75.915,,,,30 mph,,,,,,,5589192,
41292174,41338003,0,False,primary,Western Avenue,34.843,4,,,30 mph,,,,,,,36173374,US 20
41296777,41296778,0,False,residential,Maxwell Street,189.124,,,,30 mph,,,,,,,5569461,
41296777,41412723,0,False,tertiary,Whitehall Road,80.134,,,,30 mph,,,,,,,5579995,
41296777,41412717,0,False,tertiary,Whitehall Road,82.219,,,,30 mph,,,,,,,5579995,
41296778,41296780,0,False,residential,Maxwell Street,183.153,,,,30 mph,,,,,,,5569461,
41296778,41296777,0,False,residential,Maxwell Street,189.124,,,,30 mph,,,,,,,5569461,
41296778,41511239,0,False,residential,Hackett Boulevard,79.521,,,,30 mph,,,,,,,5589192,
41296778,41502437,0,False,residential,Hackett Boulevard,78.945,,,,30 mph,,,,,,,5589192,
41296780,41296778,0,False,residential,Maxwell Street,183.153,,,,30 mph,,,,,,,5569461,
41296780,41353701,0,False,residential,Hurst Avenue,78.053,,,,30 mph,,,,,,,5575023,
41296780,41353699,0,False,residential,Hurst Avenue,83.3,,,,30 mph,,,,,,,5575023,
41296788,41248068,0,False,residential,Maxwell Street,169.024,,,,30 mph,,,,,,,5569462,
41300933,41328162,0,False,tertiary,Buckingham Drive,105.694,,,,30 mph,,,,,,,5591365,
41300933,41259648,0,False,tertiary,Buckingham Drive,83.467,,,,30 mph,,,,,,,5591365,
41300933,41328152,0,False,residential,"['Holmes Dale', 'Rafts Way']",593.57,,,,30 mph,,,,,,,"[5569824, 5577307]",
41301917,41301919,0,False,residential,Mercer Street,8.696,,,,30 mph,,,,,,,5569923,
