u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
41247991,41382267,0,False,residential,Melrose Avenue,96.094,,,,30 mph,,,,,,,5577567,
41247991,41382054,0,False,residential,Melrose Avenue,96.436,,,,30 mph,,,,,,,5577567,
41251019,2566950241,0,True,motorway_link,,327.085,,,,30 mph,,,,,,,5564133,
41251019,41317138,0,True,motorway,,803.745,2,,,55 mph,,,,,,,36170722,NY 85
41251035,41251041,0,True,tertiary,,121.493,,,,45 mph,,,,,,,44667278,
41251041,41317138,0,True,motorway_link,,322.521,,,,35 mph,,,,,,,44667279,
41281958,41494229,0,False,secondary,Washington Avenue,59.145,4,,,30 mph,,,,,,,5587269,
41281958,41424183,0,False,primary,Washington Avenue,31.254,4,,,30 mph,,,,,,,139632129,
41281958,41281902,0,True,motorway_link,,337.945,,,,,,,,,,,5567694,
41292187,41292192,0,False,residential,Clermont Street,11.962,,,,30 mph,,,,,,,5569004,
41292187,41477315,0,True,residential,Belvidere Avenue,96.646,,,,30 mph,,,,,,,35146829,
41292192,41292187,0,False,residential,Clermont Street,11.962,,,,30 mph,,,,,,,5569004,
41292192,41292197,0,False,residential,Clermont Street,187.89,,,,30 mph,,,,,,,5569004,
41292192,41487367,0,True,residential,Belvidere Avenue,82.734,,,,30 mph,,,,,,,5586532,
41292197,41292199,0,False,residential,Clermont Street,261.633,,,,30 mph,,,,,,,5569004,
41292197,41382281,0,False,residential,Melrose Avenue,96.984,,,,30 mph,,,,,,,5577567,
41292197,41382276,0,False,residential,Melrose Avenue,95.985,,,,30 mph,,,,,,,5577567,
41292197,41292192,0,False,residential,Clermont Street,187.89,,,,30 mph,,,,,,,5569004,
41292199,41292197,0,False,residential,Clermont Street,261.633,,,,30 mph,,,,,,,5569004,
41292199,41359891,0,False,residential,Hawkins Street,93.325,,,,30 mph,,,,,,,5575498,
41292199,41359888,0,False,residential,Hawkins Street,95.64,,,,30 mph,,,,,,,5575498,
41292199,41292205,0,False,residential,Clermont Street,156.624,,,,30 mph,,,,,,,5569004,
41292205,41494222,0,False,secondary,Washington Avenue,93.223,4,,,30 mph,,,,,,,5587269,
41292205,41292199,0,False,residential,Clermont Street,156.624,,,,30 mph,,,,,,,5569004,
41292205,41494218,0,False,secondary,Washington Avenue,40.288,4,,,30 mph,,,,,,,5587269,
41297766,41546795,0,False,primary,Western Avenue,44.475,4,,,30 mph,,,,,,,36173374,US 20
41297766,41297770,0,False,tertiary,Brevator Street,319.267,,,,30 mph,,,,,,,5569545,
41297766,41356786,0,False,primary,Western Avenue,50.121,4,,,30 mph,,,,,,,36173374,US 20
41297770,41297778,0,False,tertiary,Brevator Street,231.062,,,,30 mph,,,,,,,5569545,
41297770,41487446,0,False,residential,Belvidere Avenue,96.341,,,,30 mph,,,,,,,171232942,
41297770,41297766,0,False,tertiary,Brevator Street,319.267,,,,30 mph,,,,,,,5569545,
41297778,41297770,0,False,tertiary,Brevator Street,231.062,,,,30 mph,,,,,,,5569545,
41297778,41297784,0,False,tertiary,Brevator Street,226.303,,,,30 mph,,,,,,,5569545,
41297778,41382281,0,False,residential,Melrose Avenue,98.334,,,,30 mph,,,,,,,5577567,
41297784,41359891,0,False,residential,Hawkins Street,97.274,,,,30 mph,,,,,,,5575498,
41297784,41297794,0,False,tertiary,Brevator Street,157.34,,,,30 mph,,,,,,,5569545,
41297784,41297778,0,False,tertiary,Brevator Street,226.303,,,,30 mph,,,,,,,5569545,
41297794,41297784,0,False,tertiary,Brevator Street,157.34,,,,30 mph,,,,,,,5569545,
41297794,41494229,0,False,secondary,Washington Avenue,94.981,4,,,30 mph,,,,,,,5587269,
41297794,41494222,0,False,secondary,Washington Avenue,97.549,4,,,30 mph,,,,,,,5587269,
41317138,41281902,0,True,motorway,,91.001,2,,,55 mph,,,,,,,36170722,NY 85
