u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
111253320,111438932,0,False,residential,Middlesex Road,174.473,,,,30 mph,,,,,,,12295235,
111253320,111341602,0,False,residential,Middlesex Road,293.994,,,,30 mph,,,,,,,12295240,
111253320,256639573,0,False,primary,Delaware Avenue,157.835,,,,30 mph,,,,,,,277113676,NY 384
111253320,111461535,0,False,primary,Delaware Avenue,341.279,,,,30 mph,,,,,,,277113676,NY 384
111335330,3627799841,0,False,residential,Randwood Lane,56.621,,,,30 mph,,,,,,,12283820,
111335330,111335330,0,False,residential,Randwood Lane,47.93,,,,30 mph,,,,,,,357553618,
111335330,111335330,1,False,residential,Randwood Lane,47.93,,,,30 mph,,,,,,,357553618,
111335397,111358796,0,False,primary,Delaware Avenue,51.28,,,,30 mph,,,,,,,255923794,NY 384
111335397,111461543,0,False,primary,Delaware Avenue,52.617,,,,30 mph,,,,,,,255923794,NY 384
111335397,111335400,0,False,residential,Great Arrow Avenue,360.848,,,,30 mph,,,,,,,12283844,
111335400,111488579,0,False,residential,Lincoln Parkway,72.499,,,,30 mph,,,,,,,12320102,
111335400,111335397,0,False,residential,Great Arrow Avenue,360.848,,,,30 mph,,,,,,,12283844,
111339471,111488579,0,False,residential,Lincoln Parkway,84.711,,,,30 mph,,,,,,,12320102,
111339471,5494294798,0,True,residential,Lincoln Parkway,5.953,,,,30 mph,,,,,,,572135478,
111339471,111339475,0,False,tertiary,Amherst Street,376.648,,,,30 mph,,,,,,,572135477,
111339475,111358796,0,False,primary,Delaware Avenue,107.659,,,,30 mph,,,,,,,255923794,NY 384
111339475,111339480,0,False,tertiary,Amherst Street,135.228,,,,30 mph,,,,,,,277113682,
111339475,111461535,0,False,primary,Delaware Avenue,96.881,,,,30 mph,,,,,,,277113676,NY 384
111339475,111339471,0,False,tertiary,Amherst Street,376.648,,,,30 mph,,,,,,,572135477,
111339480,111339483,0,False,tertiary,Amherst Street,205.63,,,,30 mph,,,,,,,277113682,
111339480,111339475,0,False,tertiary,Amherst Street,135.228,,,,30 mph,,,,,,,277113682,
111339480,111341602,0,False,residential,Meadow Road,289.754,,,,30 mph,,,,,,,96299468,
111339483,111358803,0,False,residential,Edge Park Avenue,108.95,,,,30 mph,,,,,,,12297982,
111339483,111339487,0,False,tertiary,Amherst Street,101.093,,,,30 mph,,,,,,,277113682,
111339483,111339480,0,False,tertiary,Amherst Street,205.63,,,,30 mph,,,,,,,277113682,
111339487,111439012,0,False,residential,Middlesex Road,44.038,,,,,,,,,,,12295243,
111339487,111339489,0,False,tertiary,Amherst Street,29.006,,,,30 mph,,,,,,,277113682,
111339487,111339483,0,False,tertiary,Amherst Street,101.093,,,,30 mph,,,,,,,277113682,
111339489,111516403,0,True,residential,New Amsterdam Avenue,241.742,,,,30 mph,,,,,,,12304303,
111339489,111339491,0,False,tertiary,Amherst Street,8.06,,,,30 mph,,,,,,,277113682,
111339489,111339487,0,False,tertiary,Amherst Street,29.006,,,,30 mph,,,,,,,277113682,
111339491,111439012,0,False,residential,Middlesex Road,56.41,,,,30 mph,,,,,,,12295240,
111339491,4117889012,0,False,tertiary,Amherst Street,121.357,,,,30 mph,,,,,,,277113682,
111339491,111339489,0,False,tertiary,Amherst Street,8.06,,,,30 mph,,,,,,,277113682,
111341602,111439012,0,False,residential,Middlesex Road,263.869,,,,30 mph,,,,,,,12295240,
111341602,4117889108,0,False,residential,Meadow Road,156.907,,,,30 mph,,,,,,,96299468,
111341602,111253320,0,False,residential,Middlesex Road,293.994,,,,30 mph,,,,,,,12295240,
111341602,111339480,0,False,residential,Meadow Road,289.754,,,,30 mph,,,,,,,96299468,
111358796,111339475,0,False,primary,Delaware Avenue,107.659,,,,30 mph,,,,,,,255923794,NY 384
111358796,111335397,0,False,primary,Delaware Avenue,51.28,,,,30 mph,,,,,,,255923794,NY 384
111358796,111358803,0,False,residential,Delham Avenue,351.339,,,,30 mph,,,,,,,12286589,
111358803,111462266,0,False,residential,Edge Park Avenue,101.967,,,,30 mph,,,,,,,12297982,
111358803,111339483,0,False,residential,Edge Park Avenue,108.95,,,,30 mph,,,,,,,12297982,
111358803,111358796,0,False,residential,Delham Avenue,351.339,,,,30 mph,,,,,,,12286589,
111363956,2660337075,0,False,tertiary,Colvin Avenue,108.668,,,,30 mph,,,,,,,12287176,
111363956,2616604288,0,False,residential,Crescent Avenue,569.39,,,,30 mph,,,,,,,255957490,
111429369,4117889002,0,False,residential,Middlebury Lane,80.235,,,,30 mph,,,,,,,12294321,
111438932,111438953,0,False,residential,Middlesex Road,121.969,,,,30 mph,,,,,,,12295235,
111438932,111253320,0,False,residential,Middlesex Road,174.473,,,,30 mph,,,,,,,12295235,
111438932,111536723,0,False,residential,Dana Road,349.047,,,,30 mph,,,,,,,12315512,
111438953,5494294794,0,False,residential,Middlesex Road,128.764,,,,30 mph,,,,,,,12295235,
111438953,111438932,0,False,residential,Middlesex Road,121.969,,,,30 mph,,,,,,,12295235,
111438953,111444600,0,False,residential,Hallam Road,346.69,,,,30 mph,,,,,,,12295917,
111438959,5494294794,0,False,residential,Middlesex Road,11.025,,,,30 mph,,,,,,,12295235,
111438959,5494294809,0,True,residential,Lincoln Parkway,66.828,,,,30 mph,,,,,,,572135478,
111439012,111341602,0,False,residential,Middlesex Road,263.869,,,,30 mph,,,,,,,12295240,
111439012,111339491,0,False,residential,Middlesex Road,56.41,,,,30 mph,,,,,,,12295240,
111439012,111339487,0,False,residential,Middlesex Road,44.038,,,,,,,,,,,12295243,
111444600,5494294796,0,False,residential,Bedford Avenue,117.792,,,,30 mph,,,,,,,12306507,
111444600,111438953,0,False,residential,Hallam Road,346.69,,,,30 mph,,,,,,,12295917,
111444600,111536723,0,False,residential,Bedford Avenue,137.165,,,,30 mph,,,,,,,12306507,
111461535,111536723,0,False,residential,Bedford Avenue,125.895,,,,30 mph,,,,,,,12306507,
111461535,111253320,0,False,primary,Delaware Avenue,341.279,,,,30 mph,,,,,,,277113676,NY 384
111461535,111339475,0,False,primary,Delaware Avenue,96.881,,,,30 mph,,,,,,,277113676,NY 384
111461543,111335397,0,False,primary,Delaware Avenue,52.617,,,,30 mph,,,,,,,255923794,NY 384
111461543,111462266,0,False,residential,Rand Avenue,360.46,,,,30 mph,,,,,,,12303387,
111461543,111461547,0,False,primary,Delaware Avenue,102.926,,,,30 mph,,,,,,,255923794,NY 384
111461547,111462269,0,False,residential,Knox Avenue,371.204,,,,30 mph,,,,,,,12303577,
111461547,111461543,0,False,primary,Delaware Avenue,102.926,,,,30 mph,,,,,,,255923794,NY 384
111462266,111462269,0,False,residential,Edge Park Avenue,102.312,,,,30 mph,,,,,,,12297982,
111462266,111358803,0,False,residential,Edge Park Avenue,101.967,,,,30 mph,,,,,,,12297982,
111462266,111461543,0,False,residential,Rand Avenue,360.46,,,,30 mph,,,,,,,12303387,
111462269,111462266,0,False,residential,Edge Park Avenue,102.312,,,,30 mph,,,,,,,12297982,
111462269,111510644,0,False,residential,Knox Avenue,46.236,,,,30 mph,,,,,,,12303577,
111462269,111461547,0,False,residential,Knox Avenue,371.204,,,,30 mph,,,,,,,12303577,
111483691,2616604288,0,False,tertiary,Parkside Avenue,57.46,4,,,30 mph,,,,,,,261449675,
111483691,2660337075,0,True,residential,Tillinghast Place,455.695,,,,30 mph,,,,,,,12319306,
111483691,2063816238,0,False,tertiary,Parkside Avenue,105.144,4,,,30 mph,,,,,,,261449675,
111488579,111335400,0,False,residential,Lincoln Parkway,72.499,,,,30 mph,,,,,,,12320102,
111488579,111339471,0,False,residential,Lincoln Parkway,84.711,,,,30 mph,,,,,,,12320102,
111508058,5494294803,0,False,residential,,9.37,,,,,,,,,,,571758019,
111508058,5494294804,0,True,residential,Lincoln Parkway,47.156,,,,30 mph,,,,,,,572135478,
111510644,111462269,0,False,residential,Knox Avenue,46.236,,,,30 mph,,,,,,,12303577,
111516403,111339487,0,True,residential,New Amsterdam Avenue,259.669,,,,30 mph,,,,,,,12304302,
111516403,111516410,0,False,residential,New Amsterdam Avenue,143.887,,,,,,,,,,,227929398,
111516410,111516403,0,False,residential,New Amsterdam Avenue,143.887,,,,,,,,,,,227929398,
111536723,111444600,0,False,residential,Bedford Avenue,137.165,,,,30 mph,,,,,,,12306507,
111536723,111461535,0,False,residential,Bedford Avenue,125.895,,,,30 mph,,,,,,,12306507,
111536723,111438932,0,False,residential,Dana Road,349.047,,,,30 mph,,,,,,,12315512,
111536736,5494294796,0,False,residential,Bedford Avenue,10.119,,,,30 mph,,,,,,,12306507,
111536736,5494294801,0,True,residential,Lincoln Parkway,51.528,,,,30 mph,,,,,,,572135478,
111552231,5494294806,0,False,residential,,10.046,,,,,,,,,,,571758021,
111552231,5494294807,0,True,residential,Lincoln Parkway,67.816,,,,30 mph,,,,,,,572135478,
256639260,5494294787,0,False,residential,Nottingham Terrace,9.777,,,,,,,,,,,85535166,
256639260,1354415777,0,False,trunk_link,,96.989,,,,,,,,,,,26192667,
256639260,2683449009,0,False,residential,Nottingham Terrace,319.218,,,,,,,,,,,85535166,
256639573,4117889108,0,False,residential,Nottingham Terrace,351.626,,,,30 mph,,,,,,,12288882,
256639573,4118278133,0,False,residential,Nottingham Terrace,37.114,,,,,,,,,,,85535166,
256639573,111253320,0,False,primary,Delaware Avenue,157.835,,,,30 mph,,,,,,,277113676,NY 384
264574441,1354415967,0,True,motorway,Scajaquada Expressway,123.849,2,,,30 mph,,,,,,,25837279,NY 198
264576487,1354415986,0,True,"['trunk', 'motorway']",Scajaquada Expressway,247.351,2,,,30 mph,,,yes,,,,"[25837281, 46614550, 25837279]",NY 198
388385227,4118278133,0,True,motorway_link,,118.673,,,,,,,,,,,33899006,
388385227,388385262,0,True,motorway,Scajaquada Expressway,38.584,2,,,30 mph,,,,,,,46614534,NY 198
388385262,1354415777,0,True,motorway,Scajaquada Expressway,523.07,2,,,30 mph,,,,,,,46614534,NY 198
1354415777,256639260,0,False,trunk_link,,96.989,,,,,,,,,,,26192667,
1354415777,264575100,0,True,"['trunk', 'motorway']",Scajaquada Expressway,177.216,2,,,30 mph,,,yes,,,,"[25837366, 25837370, 46614534]",NY 198
1354415986,264574441,0,True,motorway,Scajaquada Expressway,436.965,2,,,30 mph,,,,,,,25837279,NY 198
2063816238,111483691,0,False,tertiary,Parkside Avenue,105.144,4,,,30 mph,,,,,,,261449675,
2616604288,111483691,0,False,tertiary,Parkside Avenue,57.46,4,,,30 mph,,,,,,,261449675,
2616604288,111363956,0,False,residential,Crescent Avenue,569.39,,,,30 mph,,,,,,,255957490,
2660337075,111363956,0,False,tertiary,Colvin Avenue,108.668,,,,30 mph,,,,,,,12287176,
2660337075,4117889180,0,False,tertiary,Colvin Avenue,133.197,,,,30 mph,,,,,,,12287176,
2683449009,256639260,0,False,residential,Nottingham Terrace,319.218,,,,,,,,,,,85535166,
3627799841,111335330,0,False,residential,Randwood Lane,56.621,,,,30 mph,,,,,,,12283820,
3627799841,3627799842,0,False,residential,Nottingham Terrace,82.699,,,,,,,,,,,85535166,
3627799841,4117889002,0,False,residential,Nottingham Terrace,111.291,,,,,,,,,,,85535166,
3627799842,3627799841,0,False,residential,Nottingham Terrace,82.699,,,,,,,,,,,85535166,
3627799842,5494294787,0,False,residential,Nottingham Terrace,160.641,,,,,,,,,,,85535166,
3627799842,3627799856,0,False,residential,Randwood Lane,66.111,,,,,,,,,,,357553620,
3627799856,3627799856,0,False,residential,Randwood Lane,46.314,,,,,,,,,,,357553619,
3627799856,3627799856,1,False,residential,Randwood Lane,46.314,,,,,,,,,,,357553619,
3627799856,3627799842,0,False,residential,Randwood Lane,66.111,,,,,,,,,,,357553620,
4117889002,111429369,0,False,residential,Middlebury Lane,80.235,,,,30 mph,,,,,,,12294321,
4117889002,3627799841,0,False,residential,Nottingham Terrace,111.291,,,,,,,,,,,85535166,
4117889002,4122598958,0,False,residential,Nottingham Terrace,126.968,,,,,,,,,,,85535166,
4117889012,111339491,0,False,tertiary,Amherst Street,121.357,,,,30 mph,,,,,,,277113682,
4117889012,4117889108,0,False,residential,Nottingham Terrace,426.893,,,,30 mph,,,,,,,12288882,
4117889012,4117889180,0,False,tertiary,"['Amherst Street', 'Colvin Avenue']",391.144,,,,30 mph,,,,,,,"[12287176, 277113682]",
4117889108,111341602,0,False,residential,Meadow Road,156.907,,,,30 mph,,,,,,,96299468,
4117889108,256639573,0,False,residential,Nottingham Terrace,351.626,,,,30 mph,,,,,,,12288882,
4117889108,4117889012,0,False,residential,Nottingham Terrace,426.893,,,,30 mph,,,,,,,12288882,
4117889180,2660337075,0,False,tertiary,Colvin Avenue,133.197,,,,30 mph,,,,,,,12287176,
4117889180,4117889012,0,False,tertiary,"['Amherst Street', 'Colvin Avenue']",391.144,,,,30 mph,,,,,,,"[12287176, 277113682]",
4118278133,4122598958,0,False,residential,Nottingham Terrace,7.051,,,,,,,,,,,85535166,
4118278133,256639573,0,False,residential,Nottingham Terrace,37.114,,,,,,,,,,,85535166,
4122598958,4117889002,0,False,residential,Nottingham Terrace,126.968,,,,,,,,,,,85535166,
