osmid,x,y,ref,highway
111264808,-78.8549681,42.8878262,,
111271772,-78.8539505,42.8970616,,traffic_signals
111276387,-78.8538831,42.8851312,,traffic_signals
111302125,-78.853976,42.893007,,traffic_signals
111321056,-78.863328,42.887744,,
111321059,-78.86326,42.887759,,
111321064,-78.862065,42.888019,,traffic_signals
111321069,-78.861074,42.888235,,
111321071,-78.860964,42.888259,,
111321073,-78.86029,42.888406,,
111321075,-78.859709,42.888533,,
111321079,-78.858525,42.888793,,
111321086,-78.858485,42.888801,,
111321090,-78.857915,42.888927,,
111321096,-78.857279,42.889056,,traffic_signals
111321102,-78.855614,42.88943,,
111321107,-78.853968,42.889787,,traffic_signals
111322482,-78.8588091,42.8849333,,
111325252,-78.85475,42.89277,,
111325258,-78.856541,42.895122,,
111330433,-78.8596892,42.88078,,traffic_signals
111330443,-78.85902,42.882748,,traffic_signals
111330449,-78.8582951,42.8849579,,traffic_signals
111330460,-78.858766,42.886319,,
111330473,-78.860954,42.890817,,
111330475,-78.862084,42.892866,,
111330482,-78.861956,42.892918,,
111330484,-78.862522,42.893685,,
111333803,-78.853973,42.894059,,
111335647,-78.8658458,42.8960098,,
111335652,-78.8655368,42.8958903,,
111335655,-78.8649274,42.8956639,,
111342870,-78.85776,42.891827,,
111342876,-78.859369,42.89397,,
111349605,-78.8640341,42.8940803,,
111351806,-78.855903,42.89015,,
111351809,-78.854509,42.890455,,
111351833,-78.853957,42.896777,,
111360466,-78.8607101,42.894902,,
111377097,-78.854076,42.879788,,
111377569,-78.8644279,42.8875065,,traffic_signals
111377574,-78.86481,42.888466,,
111377579,-78.865217,42.889469,,
111377588,-78.86551,42.890321,,
111384346,-78.8668355,42.8869865,,
111384349,-78.8656302,42.8872468,,
111403226,-78.856609,42.882328,,
111403377,-78.8556536,42.8850148,,
111403383,-78.856652,42.887494,,
111403386,-78.856951,42.888237,,
111403398,-78.858342,42.891645,,
111403410,-78.859929,42.893745,,
111403416,-78.860494,42.894511,,
111403677,-78.8682854,42.892803,,traffic_signals
111403689,-78.8655709,42.8924578,,
111408777,-78.855318,42.896605,,
111408780,-78.853956,42.89659,,
111410525,-78.867018,42.885586,,
111410530,-78.866335,42.885743,,
111411350,-78.856145,42.890747,,
111411358,-78.853968,42.891036,,
111428851,-78.8571606,42.8963635,,
111434392,-78.8663636,42.8944289,,
111438602,-78.8618645,42.8944329,,
111438835,-78.8679296,42.8813679,,
111438844,-78.8664231,42.8828197,,
111446584,-78.860671,42.883033,,
111453568,-78.8638428,42.8835935,,traffic_signals
111453575,-78.8614905,42.8831684,,traffic_signals
111453597,-78.853918,42.881845,,traffic_signals
111453603,-78.8528955,42.881661,,
111458694,-78.8529018,42.883331,,
111458700,-78.8529094,42.8851217,,
111464974,-78.8656569,42.8962424,,
111466451,-78.8629871,42.894047,,
111466453,-78.8594818,42.8954205,,
111466457,-78.8582843,42.8958944,,
111470714,-78.8539517,42.88782,,
111480205,-78.865027,42.891668,,
111480207,-78.863877,42.892141,,
111480211,-78.863826,42.892162,,
111480212,-78.862934,42.892522,,
111480217,-78.861008,42.893298,,
111480220,-78.858396,42.894367,,
111480223,-78.857354,42.894792,,
111480227,-78.855713,42.895453,,
111480231,-78.853953,42.89617,,traffic_signals
111483478,-78.8685414,42.8814759,,
111483486,-78.8672483,42.8829648,,
111486950,-78.8670737,42.8812189,,
111486952,-78.8663186,42.8810788,,
111486956,-78.8647372,42.8807893,,traffic_signals
111488076,-78.853966,42.895132,,
111494851,-78.855258,42.888614,,
111494867,-78.8549376,42.8850377,,
111494895,-78.856385,42.891333,,
111494906,-78.856723,42.892149,,traffic_signals
111494920,-78.858979,42.895133,,
111495259,-78.85397,42.891848,,
111496159,-78.864244,42.889775,,
111496162,-78.864154,42.889804,,
111496164,-78.863059,42.890152,,
111496166,-78.862957,42.890184,,
111496167,-78.862081,42.890461,,
111496169,-78.861988,42.89049,,
111496172,-78.8595,42.891277,,
111496175,-78.855629,42.892496,,
111504718,-78.8539195,42.883315,,
111505179,-78.857101,42.886989,,
111511283,-78.8656724,42.8826895,,
111511286,-78.8647884,42.8825349,,
111511294,-78.8642119,42.8824363,,
111511302,-78.853911,42.880642,,
111516050,-78.864406,42.892923,,
111535604,-78.8595724,42.8950118,,
111541475,-78.8634724,42.8848651,,traffic_signals
111547455,-78.8676839,42.8946517,,traffic_signals
111565211,-78.860064,42.8849121,,
111584370,-78.8660706,42.8951718,,
111610470,-78.865015,42.8942013,,traffic_signals
111611245,-78.8690198,42.8948772,,
111616399,-78.8698984,42.8960929,,
111619874,-78.8666612,42.8954187,,
111621643,-78.8702283,42.8950744,,traffic_signals
256402653,-78.8668765,42.892866,,traffic_signals
256533017,-78.8665357,42.884819,,
356366407,-78.8666053,42.8944697,,
1111120695,-78.866971,42.8850091,,
1111120696,-78.8543331,42.8790097,,traffic_signals
1111120698,-78.8554878,42.8792253,,
1111120700,-78.8660017,42.8849323,,
1111120704,-78.8603572,42.884915,,
1111120705,-78.8647273,42.8849385,,
1111120706,-78.8621406,42.8850065,,
1111120708,-78.8569805,42.8812115,,
1111120709,-78.8582782,42.8850803,,traffic_signals
1111120713,-78.8569695,42.8851038,,
1111120714,-78.8556921,42.8851326,,
1111120715,-78.8559554,42.8810281,,
1111120721,-78.859789,42.8828807,,
1111120726,-78.863395,42.8849836,,traffic_signals
