u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
254125716,254144118,0,False,secondary,Albany Post Road,107.118,,,,,,,,,,,23523259,NY 9A
254125716,254125778,0,False,residential,,95.997,,,,,,,,,,,23465974,
254125716,254664731,0,False,residential,Laurel Hill Road,108.94,,,,,,,,,,,23515599,
254125716,787820668,0,False,secondary,Albany Post Road,206.55,,,,,,,,,,,23523259,NY 9A
254125778,254125716,0,False,residential,,95.997,,,,,,,,,,,23465974,
254144097,254144118,0,False,residential,,406.906,,,,,,,,,,,23467920,
254144118,254125716,0,False,secondary,Albany Post Road,107.118,,,,,,,,,,,23523259,NY 9A
254144118,254728169,0,False,secondary,Albany Post Road,29.315,,,,,,,,,,,23523259,NY 9A
254144118,254144097,0,False,residential,,406.906,,,,,,,,,,,23467920,
254145190,254656368,0,False,secondary,New York and Albany Post Road,189.568,,,,,,,,,,,72157241,NY 9A
254151991,787864837,0,False,residential,Watch Hill Road,120.022,,,,,,,,,,,63702620,
254153949,254153957,0,False,residential,,98.942,,,,,,,,,,,23469082,
254153957,254153949,0,False,residential,,98.942,,,,,,,,,,,23469082,
254153957,254566180,0,False,residential,Cortlandt Street,47.286,,,,,,,,,,,23524810,
254153957,254235895,0,False,residential,Cortlandt Street,15.573,,,,,,,,,,,23524810,
254157797,254157800,0,False,residential,Robin Hill Road,85.126,,,,,,,,,,,23469493,
254157800,787864837,0,False,residential,Old Post Road,18.702,,,,,,,,,,,63702625,
254157800,254157797,0,False,residential,Robin Hill Road,85.126,,,,,,,,,,,23469493,
254157800,254176940,0,False,residential,Old Post Road,108.628,,,,,,,,,,,63702625,
254158025,254158036,0,False,residential,,104.347,,,,,,,,,,,23469521,
254158036,254158025,0,False,residential,,104.347,,,,,,,,,,,23469521,
254158036,4532260718,0,False,residential,Springvale Road,204.355,,,,,,,,,,,23476613,
254158036,254235908,0,False,residential,Springvale Road,56.964,,,,,,,,,,,23476613,
254176940,787826560,0,False,residential,"['Pine Hill Road', 'Birch Lane']",394.888,,,,,,,,,,,"[23471828, 23527133]",
254176940,254728169,0,False,residential,Old Post Road,122.543,,,,,,,,,,,63702625,
