u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
261342085,261342094,0,False,residential,,177.113,,,,,,,,,,,24113491,
261342085,261386484,0,False,tertiary,Arrandale Avenue,136.301,,,,,,,,,,,24121212,
261342094,261342085,0,False,residential,,177.113,,,,,,,,,,,24113491,
261344622,261417914,0,False,residential,Pheasant Run,63.513,,,,,,,,,,,24131836,
261344622,261344626,0,False,residential,,102.455,,,,,,,,,,,24114064,
261344622,261468866,0,False,residential,Pheasant Run,325.924,,,,,,,,,,,24131836,
261344626,261344622,0,False,residential,,102.455,,,,,,,,,,,24114064,
261344628,261417913,0,False,secondary,East Shore Road,169.645,,,,,,,,,,,24125043,
261344628,261399432,0,False,secondary,East Shore Road,140.776,,,,,,,,,,,24125043,
261344628,261344634,0,False,residential,,94.864,,,,,,,,,,,24114067,
261344628,261498200,0,False,residential,Blue Sea Lane,454.44,,,,,,,,,,,24136515,
261344634,261344628,0,False,residential,,94.864,,,,,,,,,,,24114067,
261348653,261483167,0,False,residential,Pond Road,12.627,,,,,,,,,,,24137488,
261348653,261348662,0,False,residential,,186.177,,,,,,,,,,,24115137,
261348653,261503654,0,False,residential,Pond Road,345.154,,,,,,,,,,,24137488,
261348662,261348653,0,False,residential,,186.177,,,,,,,,,,,24115137,
261350802,261386492,0,False,secondary,West Shore Road,17.468,,,,,,,,,,,32204796,
261350802,261350817,0,False,residential,,205.269,,,,,,,,,,,24115714,
261350802,261421932,0,False,secondary,West Shore Road,87.025,,,,,,,,,,,32204796,
261350817,261350802,0,False,residential,,205.269,,,,,,,,,,,24115714,
261351851,443252134,0,False,residential,White Pine Lane,117.031,,,,,,,,,,,24120885,
261354362,261432039,0,False,residential,Cricket Lane,83.165,,,,,,,,,,,"[24116352, 24126726]",
261354362,261445379,0,False,secondary,Kings Point Road,460.219,,,,,,,,,,,24128416,
261354362,261445339,0,False,secondary,Kings Point Road,537.081,,,,,,,,,,,24128416,
261354362,261478462,0,False,residential,Gatsby Lane,273.209,,,,,,,,,,,24133298,
261354726,261417902,0,False,secondary,East Shore Road,21.36,,,,,,,,,,,24125043,
261354726,261417901,0,False,secondary,East Shore Road,51.049,,,,,,,,,,,24125043,
261354726,261354728,0,False,residential,,176.881,,,,,,,,,,,24116463,
261354728,261354726,0,False,residential,,176.881,,,,,,,,,,,24116463,
261359475,261359479,0,False,residential,,86.566,,,,,,,,,,,24117691,
261359479,261359481,0,False,residential,,101.486,,,,,,,,,,,24117691,
261359479,261359475,0,False,residential,,86.566,,,,,,,,,,,24117691,
261359479,261381194,0,False,tertiary,Station Road,253.695,,,,,,,,,,,24120673,
261359479,443252127,0,False,tertiary,Station Road,201.597,,,,,,,,,,,24120673,
261359481,261359483,0,False,residential,,77.422,,,,,,,,,,,24117691,
261359481,261359479,0,False,residential,,101.486,,,,,,,,,,,24117691,
261359483,261359481,0,False,residential,,77.422,,,,,,,,,,,24117691,
261360467,261445321,0,False,residential,Farmers Road,383.527,,,,,,,,,,,"[24128553, 24117923]",
261360468,261360469,0,False,residential,,8.741,,,,,,,,,,,24117925,
261360468,261360470,0,False,residential,,7.565,,,,,,,,,,,24117929,
261360468,261360479,0,False,residential,,121.666,,,,,,,,,,,24117929,
261360469,261360468,0,False,residential,,8.741,,,,,,,,,,,24117925,
261360470,261360468,0,False,residential,,7.565,,,,,,,,,,,24117929,
261360479,261360468,0,False,residential,,121.666,,,,,,,,,,,24117929,
261360479,261373509,0,False,secondary,Redbrook Road,207.018,,,,,,,,,,,24122575,
