osmid,x,y,ref,highway
261362966,-73.745325,40.794623,,
261362977,-73.748076,40.793762,,
261362982,-73.748693,40.79346,,
261362984,-73.749071,40.79315,,
261362989,-73.749913,40.792478,,
261362991,-73.750829,40.792104,,
261380875,-73.752433,40.794372,,
261380876,-73.752631,40.794353,,
261380878,-73.753399,40.795671,,
261388739,-73.752311,40.790688,,
261388746,-73.752126,40.791696,,
261388750,-73.751527,40.792929,,
261393748,-73.743291,40.79097,,
261393751,-73.743933,40.791758,,
261393756,-73.744692,40.793053,,
261393762,-73.745735,40.79581,,
261393766,-73.746299,40.796699,,
261393767,-73.746428,40.796857,,
261393770,-73.747954,40.798664,,
261398907,-73.749829,40.791397,,
261398910,-73.748042,40.792405,,
261406919,-73.750819,40.796779,,
261406923,-73.752224,40.796404,,
261410656,-73.749831,40.795397,,
261410659,-73.75064,40.79687,,
261410921,-73.748556,40.798423,,
261410922,-73.747956,40.797703,,
261410925,-73.74701,40.796568,,
261410938,-73.748492,40.794279,,
261413963,-73.74825,40.79107,,
261418336,-73.748719,40.797418,,
261418346,-73.749498,40.795537,,
261418348,-73.750422,40.795041,,
261418349,-73.750967,40.794748,,
261418350,-73.751334,40.794529,,
261418354,-73.752215,40.794037,,
261418618,-73.746769,40.791897,,
261444138,-73.748954,40.794863,,
261452486,-73.752958,40.796356,,
261452521,-73.752459,40.792892,,
261465663,-73.751471,40.789863,,
261469040,-73.747311,40.791596,,
261472597,-73.751607,40.79638,,
261473896,-73.748839,40.7907365,,
261473922,-73.752099,40.796212,,
261486021,-73.750523,40.789669,,
261488772,-73.753181,40.79741,,
443242430,-73.749704,40.790244,,
443242437,-73.74978,40.7902034,,
