u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42462329,598784391,0,True,secondary,Cropsey Avenue,22.418,,,,,,,,,,,226933483,
42462352,42493879,0,True,motorway_link,,81.893,,,,,,,,,,,5678098,
42462352,42462387,0,True,motorway_link,,60.026,,,,,,,,,,,46905918,
42462387,42514897,0,True,residential,Avenue Z,33.921,,,,,,,,,,,5681782,
42462387,42535035,0,False,residential,Avenue Z,45.263,,,,,,,,,,,46905919,
42462744,4205909301,0,True,secondary,Shore Parkway,16.641,,,,,,,,,,,226933461,
42462744,42493841,0,True,secondary,Cropsey Avenue,78.777,,,,,,,,,,,"[420627360, 420627362]",
42463626,42469555,0,False,residential,27th Avenue,140.926,,,,,,,,,,,5675504,
42463626,42480306,0,False,residential,Shore Parkway North,82.279,,,,,,,,,,,46905915,
42463626,42480315,0,False,residential,Shore Parkway North,78.641,,,,,,,,,,,46905915,
42463713,598784392,0,True,motorway_link,,67.41,,,,,,,,,,,5681824,
42463713,598784392,1,True,motorway_link,,67.448,,,,,,,,,,,5674282,
42463817,42479555,0,False,secondary,Bay 8th Street,22.562,,,,,,,,,,,421842732,
42463817,455481630,0,True,motorway_link,,82.313,,,,,,,,,,,5674335,
42463992,598784395,0,False,primary,Bay Parkway,90.76,4,,,,,,,,,,440696460,
42463992,2316047321,0,True,residential,Bay Parkway,39.676,,,,,,,,,,,5675397,
42463992,598784398,0,True,secondary,Shore Parkway,122.893,,,,,,,,,,,5680540,
42464128,455442137,0,True,motorway_link,,159.982,,,,,,,,,,,5674388,
42464128,42480320,0,False,residential,Shore Parkway North,87.464,,,,,,,,,,,46905915,
42464160,42522936,0,True,secondary,Shore Parkway,188.664,,,,,,,,,,,46905921,
42466343,42466347,0,False,residential,Bay 54th Street,53.782,,,,,,,,,,,5674843,
42466343,4205909295,0,False,residential,Bay 54th Street,19.288,,,,,,,,,,,5674843,
42466347,42466343,0,False,residential,Bay 54th Street,53.782,,,,,,,,,,,5674843,
42466347,2328361250,0,True,residential,Bay 54th Street,88.901,,,,,,,,,,,224003160,
42467240,42487983,0,False,secondary,86th Street,77.194,,,,,,,,,,,46865653,
42467240,42487979,0,False,secondary,86th Street,80.113,,,,,,,,,,,46865653,
42467242,42467240,0,True,residential,Bay 22nd Street,290.32,,,,,,,,,,,5675029,
42467242,42488681,0,True,tertiary,Benson Avenue,80.75,,,,,,,,,,,275300274,
