osmid,x,y,ref,highway
42427305,-74.0016907,40.7157471,,traffic_signals
42427307,-74.000818,40.71693,,traffic_signals
42427311,-74.000274,40.717619,,traffic_signals
42427316,-73.999956,40.718017,,traffic_signals
42427319,-73.9994292,40.7186723,,traffic_signals
42427322,-73.999234,40.718913,,
42429636,-73.9939482,40.714294,,traffic_signals
42429637,-73.9934,40.715355,,traffic_signals
42429641,-73.9928342,40.7164566,,
42432238,-73.9987971,40.7145118,,
42432241,-73.998866,40.714995,,
42432244,-73.9984926,40.7156303,,traffic_signals
42432246,-73.9977531,40.7168256,,traffic_signals
42432250,-73.9971031,40.7178782,,traffic_signals
42435448,-73.9993214,40.7159173,,traffic_signals
42435451,-73.9985861,40.7171185,,traffic_signals
42435456,-73.9979382,40.7181633,,traffic_signals
42437559,-73.9974922,40.7139962,,traffic_signals
42437564,-73.9967566,40.7150274,,traffic_signals
42437580,-73.9954317,40.7173076,,traffic_signals
42437988,-73.9930451,40.7143569,,traffic_signals
42438034,-73.9977158,40.7153613,,
42438038,-74.000138,40.7162,,
42439580,-73.999841,40.719193,,traffic_signals
42440798,-73.9942713,40.7156085,,traffic_signals
42440804,-73.9969813,40.7165615,,traffic_signals
42440810,-73.999313,40.71755,,traffic_signals
42440815,-74.000532,40.71843,,traffic_signals
42445474,-74.002558,40.716181,,traffic_signals
42445479,-74.002078,40.716731,,traffic_signals
42445481,-74.0015648,40.7173003,,traffic_signals
42445484,-74.000988,40.717932,,traffic_signals
42445603,-73.9944558,40.7169745,,traffic_signals
42445606,-73.9963184,40.7176103,,traffic_signals
42445612,-73.9987548,40.718442,,traffic_signals
42445780,-74.0007838,40.715297,,
42446617,-73.9980379,40.7148267,,
42447255,-73.999449,40.71733,,
42451650,-73.9941375,40.7142818,,traffic_signals
42453691,-73.9948484,40.7142419,,traffic_signals
541467364,-73.9964706,40.715497,,
588455736,-73.9957449,40.7155833,,
588785633,-73.9947285,40.7143535,,
588938282,-73.9946026,40.7143922,,
1773060097,-73.9975944,40.7140611,,traffic_signals
1773063787,-73.9971597,40.7146482,,
1773063789,-73.9968603,40.7150651,,traffic_signals
1773066054,-73.9974137,40.714086,,
1775260897,-73.9947223,40.7164964,,
2567558915,-73.9941554,40.7158457,,
4477147269,-73.9948695,40.7158153,,traffic_signals
4477147270,-73.9950325,40.7158789,,traffic_signals
4477147271,-73.9953614,40.715764,,
4506716195,-73.9954452,40.7160039,,traffic_signals
5161246301,-73.9958294,40.7166469,,traffic_signals
5161246307,-73.9960723,40.7162403,,traffic_signals
