u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42790949,42810834,0,False,residential,Pearl Street,75.623,,,,,,,,,,,5701371,
42790961,42919916,0,False,residential,Eggert Place,76.38,,,,,,,,,,,531091105,
42790978,42919911,0,False,residential,Gipson Street,100.517,,,,,,,,,,,5710081,
42793604,42884983,0,False,residential,Beach 52nd Street,120.5,,,,,,,,,,,5709986,
42793644,42825410,0,False,residential,Beach 51st Street,67.954,,,,,,,,,,,5702260,
42793655,42884978,0,False,residential,Beach 50th Street,105.775,,,,,,,,,,,5708897,
42793678,42884954,0,False,residential,Beach 45th Street,96.358,,,,,,,,,,,5709698,
42801132,42905020,0,False,residential,Beach 43rd Street,188.505,,,,,,,,,,,"[5700650, 5707428]",
42805630,42884946,0,False,primary,Edgemere Avenue,75.187,,,,,,,,,,,310572195,
42805630,42805632,0,False,residential,Beach 41st Street,22.04,,,,,,,,,,,542377582,
42805630,1701259971,0,False,residential,Beach 41st Street,108.849,,,,,,,,,,,542377583,
42805630,42884942,0,False,primary,Edgemere Avenue,74.815,,,,,,,,,,,310572195,
42805632,42805630,0,False,residential,Beach 41st Street,22.04,,,,,,,,,,,542377582,
42805632,42805634,0,False,residential,Beach 41st Street,84.113,,,,,,,,,,,574107797,
42805632,42844889,0,False,tertiary,Rockaway Freeway,230.503,,,,,,,,,,,309733277,
42805632,42841669,0,False,tertiary,Rockaway Freeway,221.838,,,,,,,,,,,309733277,
42805634,42852441,0,False,residential,Rockaway Beach Boulevard,70.235,,,,,,,,,,,157892127,
42805634,42852439,0,False,residential,Rockaway Beach Boulevard,76.236,,,,,,,,,,,157892127,
42805634,42805632,0,False,residential,Beach 41st Street,84.113,,,,,,,,,,,574107797,
42805634,42805646,0,True,residential,Beach 41st Street,193.343,,,,,,,,,,,5701055,
42805646,42883803,0,False,primary,Beach Channel Drive,90.69,,,,,,,,,,,226906160,
42805646,42883793,0,False,primary,Beach Channel Drive,42.287,,,,,,,,,,,226906160,
42806691,42806695,0,False,residential,Virginia Street,125.701,,,,,,,,,,,5701122,
42806691,42906015,0,False,residential,Caffrey Avenue,44.122,,,,,,,,,,,5708168,
42806691,2887149621,0,False,residential,Caffrey Avenue,36.316,,,,,,,,,,,5708168,
42806691,42888512,0,False,residential,"['Elvira Avenue', 'Virginia Street']",199.773,,,,,,,,,,,"[5701122, 5706259]",
42806695,42806699,0,False,residential,Virginia Street,83.437,,,,,,,,,,,5701122,
42806695,42806691,0,False,residential,Virginia Street,125.701,,,,,,,,,,,5701122,
42806695,42864227,0,False,residential,Cedarlawn Avenue,198.21,,,,,,,,,,,5705245,
42806699,42806703,0,False,residential,Virginia Street,81.738,,,,,,,,,,,5701122,
42806699,42806703,1,False,residential,"['Beck Road', 'Annapolis Street', 'Almont Road']",283.645,,,,,,,,,,,"[5704113, 5710095, 5707503]",
42806699,42806695,0,False,residential,Virginia Street,83.437,,,,,,,,,,,5701122,
42806703,42806706,0,False,residential,Virginia Street,76.91,,,,,,,,,,,5701122,
42806703,42806699,0,False,residential,Virginia Street,81.738,,,,,,,,,,,5701122,
42806703,42806699,1,False,residential,"['Beck Road', 'Annapolis Street', 'Almont Road']",283.645,,,,,,,,,,,"[5704113, 5707503, 5710095]",
42806706,42806703,0,False,residential,Virginia Street,76.91,,,,,,,,,,,5701122,
42806706,261368915,0,False,residential,Empire Avenue,46.523,,,,,,,,,,,5705086,
42806706,42806709,0,False,residential,Virginia Street,92.115,,,,,,,,,,,5701122,
42806706,42870939,0,False,residential,Empire Avenue,110.576,,,,,,,,,,,5705086,
42806709,42806706,0,False,residential,Virginia Street,92.115,,,,,,,,,,,5701122,
42806715,42806716,0,True,residential,Virginia Street,140.785,,,,,,,,,,,5701123,
42806715,42806732,0,False,tertiary,Central Avenue,45.14,,,,,,,,,,,5703658,
42806716,42892470,0,False,residential,Brunswick Avenue,99.083,,,,,,,,,,,5707010,
42806727,42806732,0,True,residential,Virginia Street,130.271,,,,,,,,,,,5701124,
42806727,42845860,0,False,residential,Alonzo Road,60.999,,,,,,,,,,,5703402,
42806732,42848815,0,False,tertiary,Central Avenue,30.232,,,,,,,,,,,5703658,
42806732,42806715,0,False,tertiary,Central Avenue,45.14,,,,,,,,,,,5703658,
42806938,42806939,0,False,residential,Bay 30th Street,156.934,,,,,,,,,,,5701135,
42806938,42862837,0,False,residential,Dwight Avenue,58.657,,,,,,,,,,,5709980,
42806938,42816432,0,False,residential,Dwight Avenue,80.334,,,,,,,,,,,5709980,
42806939,42806938,0,False,residential,Bay 30th Street,156.934,,,,,,,,,,,5701135,
42806939,42857916,0,False,residential,Bessemund Avenue,37.778,,,,,,,,,,,5704219,
42806939,42857911,0,False,residential,Bessemund Avenue,37.805,,,,,,,,,,,5704219,
42807170,42807173,0,False,residential,Hanson Court,123.125,,,,,,,,,,,5701146,
42807170,42811095,0,True,residential,Grassmere Terrace,102.296,,,,,,,,,,,5708664,
42807173,42807170,0,False,residential,Hanson Court,123.125,,,,,,,,,,,5701146,
42807173,42938259,0,False,residential,Collier Avenue,24.057,,,,,,,,,,,5710546,
42807173,42811091,0,False,residential,Collier Avenue,116.312,,,,,,,,,,,5710546,
42807226,42807228,0,False,residential,Beach 55th Street,123.394,,,,,,,,,,,5701150,
42807226,42852410,0,False,primary,Edgemere Avenue,66.683,,,,,,,,,,,310572195,
42807226,42859854,0,False,primary,Edgemere Avenue,65.566,,,,,,,,,,,310572195,
42807228,42807226,0,False,residential,Beach 55th Street,123.394,,,,,,,,,,,5701150,
42808317,42886156,0,False,residential,Conch Place,185.189,,,,,,,,,,,5706735,
42808322,42816506,0,False,residential,"['Almeda Avenue', 'Beach 58th Street']",633.998,,,,,,,,,,,"[5701739, 59392916]",
42808322,42859859,0,True,residential,Beach 54th Street,292.013,,,,,,,,,,,157892069,
42808954,42808957,0,True,primary,Seagirt Boulevard,92.247,,,,,,,,,,,"[5701264, 420354596]",
42808957,5528117888,0,True,primary,Seagirt Boulevard,2.561,,,,,,,,,,,420354596,
42808957,42859031,0,False,residential,Highland Court,87.007,,,,,,,,,,,5704506,
42808961,279224143,0,False,residential,Camp Road,18.492,,,,,,,,,,,5704120,
42808961,42856285,0,False,residential,Camp Road,37.578,,,,,,,,,,,5704120,
42808961,5528117882,0,True,primary,Seagirt Boulevard,59.366,,,,,,,,,,,5705236,
42808969,42833414,0,False,residential,Seagirt Avenue,72.973,,,,,,,,,,,276149180,
42808969,42833410,0,True,residential,Seagirt Avenue,40.257,,,,,,,,,,,276149183,
42808969,42811071,0,False,residential,Beach 25th Street,286.063,,,,,,,,,,,276149178,
42809138,42913398,0,False,residential,Cornaga Avenue,107.391,,,,,,,,,,,220636040,
42809138,42908687,0,False,residential,Cornaga Avenue,40.773,,,,,,,,,,,220636040,
42809138,42809140,0,True,residential,Neilson Street,204.627,,,,,,,,,,,5701277,
42809140,42809142,0,True,residential,Neilson Street,205.85,,,,,,,,,,,5701277,
42809140,42929227,0,True,residential,Dinsmore Avenue,83.044,,,,,,,,,,,5710026,
42809142,42809145,0,True,residential,Neilson Street,82.807,,,,,,,,,,,5701277,
42809145,42848835,0,False,tertiary,Central Avenue,110.996,,,,,,,,,,,5703658,
42809145,1701271170,0,False,tertiary,Central Avenue,67.353,,,,,,,,,,,5703658,
42809364,3586505210,0,False,residential,Beach 6th Street,15.601,,,,,,,,,,,5701293,
42809364,3586505208,0,True,primary,Seagirt Boulevard,162.968,,,,,,,,,,,5705239,
42809365,42809369,0,False,residential,Beach 6th Street,75.801,,,,,,,,,,,5701293,
42809365,3586505210,0,False,residential,Beach 6th Street,85.311,,,,,,,,,,,5701293,
42809365,42914977,0,False,residential,"['Jarvis Avenue', 'Beach 7th Street']",233.003,,,,25 mph,,,,,,,"[5703504, 5708101]",
42809365,42846921,0,False,residential,Jarvis Avenue,180.474,,,,25 mph,,,,,,,5703504,
42809369,42809372,0,False,residential,Beach 6th Street,78.097,,,,,,,,,,,5701293,
42809369,42864191,0,False,residential,Meehan Avenue,160.983,,,,,,,,,,,5709297,
42809369,42809365,0,False,residential,Beach 6th Street,75.801,,,,,,,,,,,5701293,
42809369,42914977,0,False,residential,Meehan Avenue,157.075,,,,,,,,,,,5709297,
42809372,42809375,0,False,residential,Beach 6th Street,30.453,,,,,,,,,,,5701293,
42809372,42809369,0,False,residential,Beach 6th Street,78.097,,,,,,,,,,,5701293,
42809372,42895654,0,False,residential,Lanett Avenue,136.685,,,,,,,,,,,5706746,
42809372,42878762,0,False,residential,Lanett Avenue,47.066,,,,,,,,,,,5706746,
42809375,42809372,0,False,residential,Beach 6th Street,30.453,,,,,,,,,,,5701293,
42809375,42878768,0,False,residential,Hicksville Road,60.639,,,,,yes,,,,,,5705581,
42809375,42878762,0,False,residential,Hicksville Road,41.703,,,,,yes,,,,,,5705581,
42809382,42809385,0,False,residential,Beach 6th Street,135.942,,,,,,,,,,,5701294,
42809385,42809382,0,False,residential,Beach 6th Street,135.942,,,,,,,,,,,5701294,
42809385,42833466,0,False,residential,Seagirt Avenue,153.387,,,,,,,,,,,5702750,
