osmid,x,y,ref,highway
42460762,-74.033135,40.611445,,
42460764,-74.032693,40.611956,,
42461071,-74.025373,40.619404,,traffic_signals
42461074,-74.02636,40.618254,,traffic_signals
42461078,-74.0274853,40.616949,,traffic_signals
42461084,-74.0287,40.61563,,
42461089,-74.029402,40.614814,,
42461094,-74.030165,40.613927,,
42461098,-74.030855,40.613122,,
42461102,-74.031378,40.612509,,
42461110,-74.031856,40.611952,,
42461611,-74.025243,40.616672,,
42461626,-74.0261666,40.617041,,
42461914,-74.0343764,40.6086923,2,motorway_junction
42463494,-74.0262056,40.6152368,,
42465599,-74.026214,40.621491,,traffic_signals
42465611,-74.02677,40.620846,,
42465615,-74.02722,40.620323,,
42465622,-74.027713,40.619749,,
42465625,-74.028205,40.619173,,
42465629,-74.0287,40.618593,,
42465632,-74.029302,40.617896,,
42465637,-74.0304649,40.6165129,,
42465639,-74.031228,40.615723,,
42466073,-74.03136,40.622729,,
42466077,-74.031639,40.622049,,
42466079,-74.031918,40.621367,,traffic_signals
42466082,-74.03205,40.621041,,
42466085,-74.032195,40.620688,,
42466087,-74.032328,40.620362,,
42466089,-74.032474,40.620004,,
42466092,-74.032647,40.619579,,
42466094,-74.032752,40.619323,,
42466096,-74.0330073,40.6187194,,traffic_signals
42466098,-74.033313,40.617945,,traffic_signals
42466100,-74.0336046,40.6172318,,
42466106,-74.033866,40.616594,,
42466122,-74.033899,40.616511,,
42466126,-74.034146,40.615913,,
42466130,-74.03419,40.615805,,
42466132,-74.034539,40.614939,,
42466138,-74.034701,40.614658,,
42466141,-74.034946,40.614289,,
42466144,-74.035352,40.613673,,
42466146,-74.035726,40.613103,,
42466150,-74.036094,40.612558,,
42466631,-74.024543,40.61899,,
42466639,-74.0255103,40.6178396,,
42470714,-74.0401786,40.6216011,,
42470715,-74.0404654,40.6207668,,
42470770,-74.0399923,40.6191813,,
42470773,-74.039575,40.618501,,
42470778,-74.039183,40.617856,,
42470780,-74.038768,40.617181,,
42470783,-74.0383573,40.6165181,,
42470786,-74.037966,40.6158709,,
42470789,-74.037665,40.615181,,
42470796,-74.0370638,40.6138365,,
42471461,-74.033076,40.615253,,
42471463,-74.032021,40.614728,,
42471470,-74.035395,40.616205,,
42471473,-74.035286,40.616025,,
42471481,-74.031947,40.614815,,
42477742,-74.035743,40.615076,,
42477745,-74.0353534,40.6144376,,
42478695,-74.023634,40.618537,,
42478697,-74.024624,40.617389,,
42478701,-74.0257161,40.6160746,,traffic_signals
42478705,-74.027369,40.613235,,
42478707,-74.0275288,40.6129714,,
42482643,-74.030174,40.61834,,
42482648,-74.028397,40.617444,,
42482658,-74.024832,40.6156315,,
42482661,-74.02396,40.615161,,
42482679,-74.0380687,40.6205766,,
42482682,-74.035437,40.619956,,
42484100,-74.022004,40.618938,,
42484104,-74.022732,40.618088,,
42484109,-74.023717,40.616937,,
42484111,-74.02641,40.612904,,
42484124,-74.0270571,40.6102305,,
42485246,-74.036972,40.618795,,
42485248,-74.03599,40.618596,,
42485251,-74.030845,40.616699,,
42485252,-74.029576,40.616067,,
42485253,-74.036895,40.618663,,
