osmid,x,y,ref,highway
42428232,-73.9883321,40.7475512,,traffic_signals
42428234,-73.9881952,40.7482903,,traffic_signals
42428253,-73.9878246,40.7506844,,traffic_signals
42428258,-73.9876623,40.7514433,,traffic_signals
42428264,-73.9875229,40.7521844,,traffic_signals
42428268,-73.9873181,40.7528998,,traffic_signals
42428272,-73.9871097,40.7536275,,traffic_signals
42428277,-73.9868863,40.7543309,,traffic_signals
42428283,-73.9866586,40.7550505,,traffic_signals
42428287,-73.9864171,40.7558137,,traffic_signals
42430292,-73.9891568,40.7478958,,traffic_signals
42430295,-73.988708,40.7485042,,traffic_signals
42430298,-73.9882654,40.7491158,,traffic_signals
42430304,-73.9877652,40.7497921,,traffic_signals
42430308,-73.9872889,40.750458,,traffic_signals
42430311,-73.9868238,40.751088,,traffic_signals
42430314,-73.986399,40.7517,,traffic_signals
42430317,-73.985947,40.752317,,traffic_signals
42430320,-73.985488,40.752935,,traffic_signals
42430324,-73.9850397,40.7535585,,traffic_signals
42430329,-73.984596,40.754177,,traffic_signals
42430333,-73.984118,40.754842,,traffic_signals
42433611,-73.988787,40.753517,,traffic_signals
42433620,-73.991633,40.754707,,traffic_signals
42435422,-73.992006,40.749101,,traffic_signals
42435642,-73.9939536,40.7515176,,traffic_signals
42435644,-73.9934596,40.7521959,,traffic_signals
42435645,-73.9929759,40.7528582,,traffic_signals
42435646,-73.9925251,40.7534779,,traffic_signals
42435650,-73.992079,40.754091,,traffic_signals
42435654,-73.991177,40.75533,,traffic_signals
42435657,-73.9907278,40.7559486,,traffic_signals
42435660,-73.990276,40.756567,,traffic_signals
42435663,-73.9897914,40.7572335,,traffic_signals
42437363,-73.9869489,40.7560361,,traffic_signals
42437654,-73.990617,40.7510002,,traffic_signals
42439440,-73.991563,40.749706,,traffic_signals
42439952,-73.9901341,40.7516588,,traffic_signals
42439955,-73.9896878,40.7522886,,traffic_signals
42439960,-73.989243,40.752895,,traffic_signals
42439964,-73.988335,40.75413,,traffic_signals
42439968,-73.9878881,40.7547554,,traffic_signals
42439972,-73.987447,40.755373,,traffic_signals
4443775465,-73.9948451,40.7502936,,traffic_signals
4461990857,-73.9911207,40.7503112,,
5005658556,-73.9876681,40.7497625,,
5005658557,-73.9877144,40.7497043,,
5005658562,-73.9874518,40.7500359,,
5005658563,-73.9874992,40.7499794,,
5005658564,-73.9876382,40.7500667,,
5005658565,-73.9876901,40.7499961,,
5005658572,-73.9871981,40.7503581,,
5005658573,-73.9871802,40.7503832,,
5005658574,-73.9872056,40.7503944,,
5005658575,-73.9872231,40.7503717,,
5005658576,-73.9873484,40.7504244,,
5005658577,-73.9873287,40.7504517,,
5005658578,-73.9873541,40.750462,,
5005658579,-73.987375,40.7504372,,
5005659765,-73.9877462,40.7500293,,
5005659766,-73.9877505,40.7500049,,
5005659767,-73.9877838,40.7500078,,
5005659768,-73.9877784,40.7500338,,
5005659769,-73.987912,40.7500492,,
5005659770,-73.9879136,40.750024,,
5005659771,-73.9879544,40.7500261,,
5005659772,-73.9879506,40.7500509,,
5005659773,-73.9881561,40.7496276,,
5005659774,-73.9881599,40.7496085,,
5005659775,-73.9881845,40.7496119,,
5005659776,-73.9881802,40.749631,,
5020832391,-73.9877211,40.7554808,,
5020832392,-73.9878139,40.7555217,,
5020832393,-73.9869372,40.7551516,,
5020832394,-73.9872848,40.7552966,,
5020832615,-73.9873719,40.7553415,,
5020832616,-73.987383,40.755326,,
5020832617,-73.9874035,40.7553345,,
5020832618,-73.9873926,40.7553502,,
5020832619,-73.9875083,40.7553982,,
5020832620,-73.9875198,40.7553825,,
5020832621,-73.9875403,40.7553911,,
5020832622,-73.9875291,40.7554068,,
5020832853,-73.9863479,40.7556304,,
5020832854,-73.9863537,40.7556104,,
5020832855,-73.9863788,40.755616,,
5020832856,-73.9863724,40.7556358,,
5020832857,-73.9865184,40.7556619,,
5020832858,-73.9865261,40.7556411,,
5020832859,-73.9865508,40.7556454,,
5020832860,-73.9865459,40.7556657,,
5020832902,-73.9867467,40.7556508,,
5020832903,-73.9868981,40.7557047,,
5020832906,-73.9869546,40.7556819,,
5020832907,-73.9869215,40.7556866,,
5020832908,-73.9869319,40.7556714,,
5020832910,-73.9869441,40.7556955,,
