u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42463393,42463398,0,False,residential,22nd Street,37.471,,,,,,,,,,,5681889,
42463393,42536765,0,False,residential,22nd Street,78.013,,,,,,,,,,,5681889,
42463393,42465868,0,True,secondary,3rd Avenue,79.573,,,,,,,,,,,46846356,
42463398,42463393,0,False,residential,22nd Street,37.471,,,,,,,,,,,5681889,
42463398,42465667,0,True,secondary,3rd Avenue,78.378,,,,,,,,,,,222266016,
42465328,42465332,0,False,tertiary,5th Avenue,79.572,,,,,,,,,,,43242540,
42465328,42477317,0,True,tertiary,17th Street,236.94,,,,,,,,,,,46846358,
42465332,42465336,0,False,tertiary,5th Avenue,79.205,,,,,,,,,,,43242540,
42465332,42465328,0,False,tertiary,5th Avenue,79.572,,,,,,,,,,,43242540,
42465332,42496451,0,True,tertiary,18th Street,238.649,,,,,,,,,,,46846342,
42465336,42469705,0,True,tertiary,19th Street,237.488,,,,,,,,,,,5675556,
42465336,42465332,0,False,tertiary,5th Avenue,79.205,,,,,,,,,,,43242540,
42465336,42465340,0,False,tertiary,5th Avenue,79.345,,,,,,,,,,,226998580,
42465340,42465343,0,False,tertiary,5th Avenue,79.293,,,,,,,,,,,226998580,
42465340,42465336,0,False,tertiary,5th Avenue,79.345,,,,,,,,,,,226998580,
42465340,42477334,0,False,secondary,20th Street,237.49,,,,,,,,,,,420280671,
42465340,42521144,0,False,secondary,20th Street,238.377,,,,,,,,,,,420280671,
42465343,42465340,0,False,tertiary,5th Avenue,79.293,,,,,,,,,,,226998580,
42465343,42465349,0,False,tertiary,5th Avenue,79.311,,,,,,,,,,,226998582,
42465343,42476426,0,True,residential,21st Street,237.491,,,,,,,,,,,46847405,
42465349,42521145,0,True,residential,22nd Street,238.085,,,,,,,,,,,46847615,
42465349,42465356,0,False,tertiary,5th Avenue,79.573,,,,,,,,,,,226998582,
42465349,42465343,0,False,tertiary,5th Avenue,79.311,,,,,,,,,,,226998582,
42465356,42465362,0,False,tertiary,5th Avenue,77.36,,,,,,,,,,,38436292,
42465356,42465349,0,False,tertiary,5th Avenue,79.573,,,,,,,,,,,226998582,
42465356,42477344,0,True,residential,23rd Street,237.556,,,,,,,,,,,46847616,
42465362,42465356,0,False,tertiary,5th Avenue,77.36,,,,,,,,,,,38436292,
42465362,42493044,0,True,residential,24th Street,236.959,,,,,,,,,,,46847617,
42465362,42465376,0,False,tertiary,5th Avenue,79.88,,,,,,,,,,,38436292,
42465376,42465382,0,False,tertiary,5th Avenue,80.204,,,,,,,,,,,38436292,
42465376,42465362,0,False,tertiary,5th Avenue,79.88,,,,,,,,,,,38436292,
42465382,42521147,0,True,residential,26th Street,236.452,,,,,,,,,,,5680619,
42465382,42465376,0,False,tertiary,5th Avenue,80.204,,,,,,,,,,,38436292,
42465382,42465385,0,False,tertiary,5th Avenue,78.925,,,,,,,,,,,38436292,
42465385,42465392,0,False,tertiary,5th Avenue,81.063,,,,,,,,,,,38436292,
42465385,42465382,0,False,tertiary,5th Avenue,78.925,,,,,,,,,,,38436292,
42465392,42465399,0,False,tertiary,5th Avenue,78.743,,,,,,,,,,,38436292,
42465392,42465385,0,False,tertiary,5th Avenue,81.063,,,,,,,,,,,38436292,
42465392,42472281,0,True,residential,28th Street,236.398,,,,,,,,,,,5676051,
42465399,42465401,0,False,tertiary,5th Avenue,79.55,,,,,,,,,,,38436292,
42465399,42465392,0,False,tertiary,5th Avenue,78.743,,,,,,,,,,,38436292,
42465401,42465404,0,False,tertiary,5th Avenue,78.731,,,,,,,,,,,38436292,
42465401,42465399,0,False,tertiary,5th Avenue,79.55,,,,,,,,,,,38436292,
42465401,42467515,0,True,residential,30th Street,33.545,,,,,,,,,,,420278623,
42465404,42465408,0,False,tertiary,5th Avenue,80.059,,,,,,,,,,,38436292,
42465404,42465401,0,False,tertiary,5th Avenue,78.731,,,,,,,,,,,38436292,
42465408,42465421,0,False,tertiary,5th Avenue,78.721,,,,,,,,,,,38436292,
42465408,42465404,0,False,tertiary,5th Avenue,80.059,,,,,,,,,,,38436292,
42465408,42519962,0,True,residential,32nd Street,238.264,,,,,,,,,,,525711239,
42465421,42465425,0,False,tertiary,5th Avenue,79.471,,,,,,,,,,,38436292,
42465421,42465408,0,False,tertiary,5th Avenue,78.721,,,,,,,,,,,38436292,
42465425,42521154,0,True,residential,34th Street,238.587,,,,,,,,,,,5680413,
42465425,42465421,0,False,tertiary,5th Avenue,79.471,,,,,,,,,,,38436292,
42465425,42465427,0,False,tertiary,5th Avenue,157.255,,,,,,,,,,,"[249622107, 38436292, 249622108]",
42465427,42521159,0,True,residential,36th Street,237.593,,,,,,,,,,,5681176,
42465427,42473404,0,False,residential,"['37th Street', '36th Street', '7th Avenue']",1013.522,,,,,,,,,,,"[44893521, 315748979, 315748981, 43220221, 5679423]",
42465427,42465425,0,False,tertiary,5th Avenue,157.255,,,,,,,,,,,"[249622107, 249622108, 38436292]",
42465657,1372888790,0,True,secondary,17th Street,192.974,,,,,,,,,,,5677663,
42465660,598291035,0,True,tertiary,18th Street,33.375,,,,,,,,,,,46846342,
42465660,42465657,0,True,secondary,3rd Avenue,80.702,,,,,,,,,,,222266016,
42465661,42465660,0,True,secondary,3rd Avenue,79.168,,,,,,,,,,,222266016,
42465661,1372888836,0,True,tertiary,19th Street,193.59,,,,,,,,,,,423699668,
42465664,1372888826,0,False,secondary,20th Street,190.955,,,,,,,,,,,46865613,
42465664,42465852,0,False,secondary,20th Street,36.958,,,,,,,,,,,46865613,
42465664,42465661,0,True,secondary,3rd Avenue,79.486,,,,,,,,,,,222266016,
42465667,42465857,0,False,residential,21st Street,36.857,,,,,,,,,,,5676526,
42465667,1372888614,0,True,residential,21st Street,191.03,,,,,,,,,,,46847405,
42465667,42465664,0,True,secondary,3rd Avenue,79.564,,,,,,,,,,,222266016,
42465671,42465868,0,False,residential,23rd Street,38.46,,,,,,,,,,,5680936,
42465671,1372888841,0,True,residential,23rd Street,189.197,,,,,,,,,,,46847616,
42465671,42463398,0,True,secondary,3rd Avenue,79.369,,,,,,,,,,,222266016,
42465680,598300223,0,False,residential,24th Street,38.261,,,,,,,,,,,5678032,
42465680,42465671,0,True,secondary,3rd Avenue,81.829,,,,,,,,,,,222266016,
42465687,1372888703,0,True,residential,25th Street,189.151,,,,,,,,,,,5675016,
42465687,42465871,0,False,residential,25th Street,37.927,,,,,,,,,,,5675018,
42465687,42465680,0,True,secondary,3rd Avenue,77.31,,,,,,,,,,,222266016,
42465698,42465874,0,False,residential,26th Street,36.561,,,,,,,,,,,5680621,
42465698,42465687,0,True,secondary,3rd Avenue,79.857,,,,,,,,,,,222266016,
42465704,1372888866,0,True,residential,27th Street,190.452,,,,,,,,,,,5678515,
42465704,42465878,0,False,residential,27th Street,35.251,,,,,,,,,,,5678516,
42465704,42465698,0,True,secondary,3rd Avenue,80.769,,,,,,,,,,,222266016,
42465710,42465881,0,False,residential,28th Street,36.393,,,,,,,,,,,46848393,
42465710,42465704,0,True,secondary,3rd Avenue,78.033,,,,,,,,,,,222266016,
42465717,42465710,0,True,secondary,3rd Avenue,78.3,,,,,,,,,,,222266016,
