osmid,x,y,ref,highway
42463393,-73.9984333,40.6634605,,traffic_signals
42463398,-73.9980792,40.663257,,traffic_signals
42465328,-73.991089,40.66359,,traffic_signals
42465332,-73.991673,40.663028,,traffic_signals
42465336,-73.992255,40.662469,,traffic_signals
42465340,-73.992838,40.661909,,traffic_signals
42465343,-73.99342,40.661349,,traffic_signals
42465349,-73.994004,40.66079,,traffic_signals
42465356,-73.994588,40.660228,,traffic_signals
42465362,-73.9951714,40.6596912,,
42465376,-73.9957593,40.6591283,,traffic_signals
42465382,-73.9963515,40.658564,,
42465385,-73.9969218,40.6580017,,traffic_signals
42465392,-73.997526,40.6574348,,
42465399,-73.998091,40.6568711,,traffic_signals
42465401,-73.998671,40.656307,,
42465404,-73.999256,40.6557553,,
42465408,-73.999837,40.655186,,
42465421,-74.000413,40.654629,,traffic_signals
42465425,-74.000995,40.654067,,
42465427,-74.0021559,40.6529605,,traffic_signals
42465657,-73.9951878,40.6660769,,traffic_signals
42465660,-73.995795,40.665516,,traffic_signals
42465661,-73.9963687,40.6649525,,traffic_signals
42465664,-73.9969259,40.664376,,traffic_signals
42465667,-73.9975106,40.6638145,,traffic_signals
42465671,-73.9986532,40.6626914,,traffic_signals
42465680,-73.999254,40.6621136,,
42465687,-73.9998226,40.6615683,,traffic_signals
42465698,-74.0004127,40.6610067,,traffic_signals
42465704,-74.0010135,40.6604411,,
42465710,-74.0015822,40.6598876,,traffic_signals
42465717,-74.0021562,40.6593342,,traffic_signals
42465728,-74.0027355,40.6587685,,traffic_signals
42465734,-74.0033256,40.6582273,,
42465736,-74.0039372,40.6576413,,traffic_signals
42465737,-74.0045004,40.657096,,
42465738,-74.0050932,40.6565507,,traffic_signals
42465740,-74.0056752,40.6559687,,
42465743,-74.0062599,40.6554111,,traffic_signals
42465846,-73.9964162,40.665906,,
42465849,-73.9967274,40.6651654,,traffic_signals
42465852,-73.9972638,40.6645876,,traffic_signals
42465857,-73.9978378,40.6640342,,traffic_signals
42465868,-73.999018,40.6628989,,traffic_signals
42465871,-74.0001874,40.6617677,,traffic_signals
42465874,-74.0007614,40.661202,,traffic_signals
42465878,-74.0013247,40.6606527,,
42465881,-74.0019201,40.6600911,,traffic_signals
42465889,-74.0030896,40.6589761,,traffic_signals
42465893,-74.0036636,40.6584308,,
42465899,-74.0042537,40.6578407,,traffic_signals
42465906,-74.004833,40.6573035,,
42465908,-74.0054231,40.6567419,,traffic_signals
42465911,-74.0060078,40.6561844,,
42465915,-74.0066033,40.6556268,,traffic_signals
42467192,-73.997955,40.6604537,,traffic_signals
42467204,-74.0009331,40.6622112,,
42467515,-73.998982,40.656495,,
42467517,-73.999251,40.656232,,
42468700,-73.998697,40.656774,,
42469697,-74.000507,40.6674455,,
42469703,-73.994457,40.6638157,,traffic_signals
42469705,-73.990052,40.661139,,traffic_signals
42469707,-73.98784,40.659816,,traffic_signals
42469710,-73.985645,40.658481,,
42469715,-73.983439,40.65715,,traffic_signals
42472281,-73.999705,40.6587717,,traffic_signals
42473404,-73.9939362,40.6470656,,traffic_signals
42476077,-73.984024,40.656592,,traffic_signals
42476416,-73.999418,40.665035,,
42476421,-73.99562,40.6626947,,traffic_signals
42476426,-73.991217,40.660019,,
42476429,-73.989013,40.658691,,
42477317,-73.9888744,40.6622791,,
42477322,-73.98947,40.661699,,traffic_signals
42477334,-73.990635,40.660579,,traffic_signals
42477341,-73.9918,40.659458,,
42477344,-73.992383,40.658899,,
42480445,-74.000285,40.6582117,,traffic_signals
42480464,-74.0046506,40.6608968,,
42486915,-74.001453,40.6570907,,traffic_signals
42487611,-73.9874411,40.6602021,,
42487613,-73.988428,40.65925,,traffic_signals
42487617,-73.989593,40.658134,,
42489364,-73.993291,40.6649347,,traffic_signals
42493044,-73.99737,40.6610177,,traffic_signals
42496107,-74.008773,40.6569528,,
42496110,-74.0081878,40.6575127,,
42496115,-74.0076106,40.6580649,,
42496120,-74.0070281,40.6586222,,
42496127,-74.00644,40.6591848,,
42496133,-74.0052628,40.6603111,,
42496441,-73.9978079,40.6667073,,
42496451,-73.993875,40.6643757,,traffic_signals
42496914,-74.003782,40.6548437,,traffic_signals
42498568,-73.981453,40.653416,,
42499902,-73.99912,40.6593327,,traffic_signals
42499915,-74.002347,40.6612683,,
42501930,-73.981796,40.655246,,traffic_signals
42501934,-73.98111,40.651592,,traffic_signals
42519962,-74.002035,40.6565317,,traffic_signals
42521144,-73.995039,40.6632537,,traffic_signals
42521145,-73.9962037,40.6621317,,traffic_signals
42521146,-73.996788,40.6615737,,traffic_signals
42521147,-73.998539,40.6598937,,traffic_signals
42521149,-74.000865,40.6576487,,traffic_signals
42521152,-74.002618,40.6559717,,traffic_signals
42521154,-74.0032,40.6554107,,traffic_signals
42521159,-74.00436,40.6542907,,traffic_signals
42523576,-74.001705,40.661779,,
42528772,-73.9988288,40.6656068,,
42528786,-73.986228,40.657921,,
42536765,-73.9991628,40.6638918,,
449025276,-73.9971849,40.6645162,,
449388060,-73.9963945,40.6679538,24,motorway_junction
449388143,-73.9961373,40.665491,24,motorway_junction
588152198,-73.9942071,40.6660171,,
588152199,-73.9935163,40.6657571,1,motorway_junction
588152207,-73.9925002,40.6644615,,
588152221,-73.9850571,40.6584966,,
588152228,-73.9837538,40.6577161,4,motorway_junction
598290954,-73.9963048,40.6667148,,
598290955,-73.9961429,40.6666227,,
598290956,-73.9960196,40.6665526,,
598290960,-73.9953819,40.66619,,traffic_signals
598290969,-73.9962669,40.6657446,,
598291035,-73.9960998,40.6657074,,traffic_signals
598291052,-73.9966201,40.6653607,,
598291108,-73.9978807,40.6702353,,traffic_signals
598291114,-73.9970602,40.6689311,,traffic_signals
598300223,-73.9995981,40.6623378,,traffic_signals
598308332,-74.0024862,40.6595435,,traffic_signals
1372888568,-73.99631,40.6621957,,traffic_signals
1372888614,-73.9957251,40.6627576,,traffic_signals
1372888646,-74.0044647,40.654354,,traffic_signals
1372888660,-74.0015578,40.6571539,,traffic_signals
1372888670,-73.9986447,40.6599561,,traffic_signals
1372888679,-73.9974903,40.6610875,,traffic_signals
1372888695,-74.0027231,40.6560346,,traffic_signals
1372888699,-74.0021376,40.6565971,,traffic_signals
1372888703,-73.9980605,40.6605162,,traffic_signals
1372888763,-74.0038874,40.6549063,,traffic_signals
1372888774,-74.0003945,40.6582703,,traffic_signals
1372888790,-73.993395,40.6649987,,traffic_signals
1372888798,-74.0009699,40.6577118,,traffic_signals
1372888801,-74.0033054,40.6554733,,traffic_signals
1372888807,-73.99398,40.6644387,,traffic_signals
1372888826,-73.9951442,40.6633165,,traffic_signals
1372888836,-73.9945634,40.6638774,,traffic_signals
1372888841,-73.9968937,40.6616361,,traffic_signals
1372888860,-73.9998099,40.6588348,,traffic_signals
1372888866,-73.9992251,40.6593956,,traffic_signals
1942054887,-73.9876014,40.6603976,,
1942054997,-73.9902537,40.663661,,
2582687832,-74.004076,40.6614617,,
5216036367,-74.0000439,40.6626972,,
